"subagency","type","obligation"
"Food and Nutrition Service","contract",1533544
"Food Safety and Inspection Service","grant",1051241.71
"Food Safety and Inspection Service","contract",-2794.55
"Foreign Agricultural Service","grant",5711324.07
"Foreign Agricultural Service","contract",18000
"Forest Service","grant",96853911
"Forest Service","contract",3076644.37
"GAO, Except Comptroller General","grant",0
"GAO, Except Comptroller General","contract",-280
"General Services Administration","grant",0
"General Services Administration","contract",95000
"Health Resources and Services Administration","grant",802343122
"Health Resources and Services Administration","contract",24461990.55
"Immediate Office of the Secretary of Transportation","grant",60797679.67
"Immediate Office of the Secretary of Transportation","contract",2403884.05
"Immediate Office of the Under Secretary for Management","grant",-1084044.13
"Immediate Office of the Under Secretary for Management","contract",0
"Indian Health Service","grant",3856207
"Indian Health Service","contract",9058043.33
"Institute of Museum and Library Services","grant",29750893.62
"Institute of Museum and Library Services","contract",0
"Insular Affairs","grant",2081589.83
"Insular Affairs","contract",0
"Internal Revenue Service","grant",4804144.86
"Internal Revenue Service","contract",37295.12
"International Boundary and Water Commission: U.S.-Mexico","grant",0
"International Boundary and Water Commission: U.S.-Mexico","contract",9560
"International Trade Administration","grant",0
"International Trade Administration","contract",117127.54
"International Trade Commission","grant",0
"International Trade Commission","contract",90278.78
"Maritime Administration","grant",948000
"Maritime Administration","contract",764836.57
"Millennium Challenge Corporation","grant",0
"Millennium Challenge Corporation","contract",-464005.65
"Mine Safety and Health Administration","grant",3394365.72
"Mine Safety and Health Administration","contract",21600
"Minority Business Development Agency","grant",6988856
"Minority Business Development Agency","contract",0
"Missile Defense Agency","grant",0
"Missile Defense Agency","contract",182188713.31
"National Aeronautics and Space Administration","grant",755258248.09
"National Aeronautics and Space Administration","contract",2965281497.12
"National Agricultural Statistics Service","grant",1049710
"National Agricultural Statistics Service","contract",77313.8
"National Archives and Records Administration","grant",0
"National Archives and Records Administration","contract",5500361.71
"National Endowment for the Arts","grant",5505604.52
"National Endowment for the Arts","contract",125515
"National Endowment for the Humanities","grant",31035141.35
"National Endowment for the Humanities","contract",0
"National Geospatial-Intelligence Agency","grant",0
"National Geospatial-Intelligence Agency","contract",1083902
"National Highway Traffic Safety Administration","grant",196000
"National Highway Traffic Safety Administration","contract",15876033.1
"National Historical Publications and Records Commission","grant",4704042.62
"National Historical Publications and Records Commission","contract",0
"National Institute of Food and Agriculture","grant",683460554
"National Institute of Food and Agriculture","contract",12230
"National Institute of Standards and Technology","grant",129712321.88
"National Institute of Standards and Technology","contract",632708.84
"National Institutes of Health","grant",21739931162
"National Institutes of Health","contract",397567565.84
"National Oceanic and Atmospheric Administration","grant",467348620.37
"National Oceanic and Atmospheric Administration","contract",19315062.64
"National Park Service","grant",47718387.33
"National Park Service","contract",4955572
"National Protection and Programs Directorate","grant",0
"National Protection and Programs Directorate","contract",3289876.85
"National Science Foundation","grant",5858212858
"National Science Foundation","contract",3254768.16
"National Telecommunications and Information Administration","grant",-152108
"National Telecommunications and Information Administration","contract",0
"National Transportation Safety Board","grant",0
"National Transportation Safety Board","contract",38999.08
"Natural Resources Conservation Service","grant",0
"Natural Resources Conservation Service","contract",121118.2
"Nuclear Regulatory Commission","grant",15727862.99
"Nuclear Regulatory Commission","contract",2213577.9
"Occupational Safety and Health Administration","grant",19019382.83
"Occupational Safety and Health Administration","contract",32000
"Office of Assistant Secretary for Health","grant",27595990
"Office of Assistant Secretary for Health","contract",0
"Office of Assistant Secretary for Preparedness and Response","grant",63622146
"Office of Assistant Secretary for Preparedness and Response","contract",16207424.14
"Office of Economic Adjustment","grant",12382023
"Office of Economic Adjustment","contract",0
"Office of Government-wide Policy","grant",0
"Office of Government-wide Policy","contract",200000
"Office of Health Affairs","grant",0
"Office of Health Affairs","contract",1399408.77
"Office of Justice Programs","grant",106672095.39
"Office of Justice Programs","contract",11405
"Office of Lead Hazard Control and Healthy Homes","grant",5210174.65
"Office of Lead Hazard Control and Healthy Homes","contract",0
"Office of Personnel Management","grant",0
"Office of Personnel Management","contract",99881.11
"Office of Surface Mining, Reclamation and Enforcement","grant",145694.02
"Office of Surface Mining, Reclamation and Enforcement","contract",-1593
"Office of the Assistant Secretary for Administration","grant",0
"Office of the Assistant Secretary for Administration","contract",40945655.23
"Office of the Assistant Secretary for Administration and Management","grant",0
"Office of the Assistant Secretary for Administration and Management","contract",-2602.36
"Office of the Chief Economist","grant",0
"Office of the Chief Economist","contract",49700
"Office of the Chief Information Officer","grant",0
"Office of the Chief Information Officer","contract",320626.77
"Office of the Chief Procurement Officer","grant",0
"Office of the Chief Procurement Officer","contract",727685.85
"Office of the Comptroller of the Currency","grant",0
"Office of the Comptroller of the Currency","contract",142127.96
"Office of the Inspector General","grant",0
