Recipient,INST_TYPE_1,INST_TYPE_2,total_awards,grants,contracts,student_aid,Total_Federal_Investment
Faith Baptist Bible College and Theological Seminary,Private not-for-profit, 4-year or above,0,0,0,1329350.1,1329350.1
Faith Theological Seminary,Private not-for-profit, 4-year or above,0,0,0,455011,455011
Family of Faith Christian University,Private not-for-profit, 4-year or above,0,0,0,252889,252889
Farmingdale State College,Public, 4-year or above,0,537494,0,33483822.9,34021316.9
Fashion Institute of Technology,Public, 4-year or above,0,0,0,45229235.2,45229235.2
Faulkner University,Private not-for-profit, 4-year or above,0,-36313.14,0,36132004.2,36095691.1
Fayette County Career & Technical Institute Practical Nursing Program,Public, less-than 2-year,0,0,0,1169982.7,1169982.7
Fayette Institute of Technology,Public, less-than 2-year,0,0,0,202886.1,202886.1
Fayetteville State University,Public, 4-year or above,-57847.58,12495122.81,-57847.58,46080897.9,58518173.1
Fayetteville Technical Community College,Public, 2-year,172350,0,172350,42894218.1,43066568.1
Feather River Community College District,Public, 4-year or above,0,868135,0,3084571,3952706
Felician University,Private not-for-profit, 4-year or above,0,0,0,19353863.5,19353863.5
Ferris State University,Public, 4-year or above,0,1772433,0,97567514,99339947
Ferrum College,Private not-for-profit, 4-year or above,0,0,0,15758467.4,15758467.4
Fielding Graduate University,Private not-for-profit, 4-year or above,0,1336981,0,17467971,18804952
Finger Lakes Community College,Public, 2-year,0,359555,0,18132970.2,18492525.2
Finlandia University,Private not-for-profit, 4-year or above,0,1107316,0,3825991,4933307
Firelands Regional Medical Center School of Nursing,Private not-for-profit, 2-year,0,275000,0,346510,621510
Fisher College,Private not-for-profit, 4-year or above,0,0,0,12842328,12842328
Fisk University,Private not-for-profit, 4-year or above,146800,5100546,146800,9398177.5,14645523.5
Fitchburg State University,Public, 4-year or above,0,945884,0,34763607.4,35709491.4
Flagler College,Private not-for-profit, 4-year or above,0,49395.73,0,21240078,21289473.7
Flagler Technical Institute,Public, less-than 2-year,0,0,0,109505.4,109505.4
Flathead Valley Community College,Public, 2-year,0,-139636.83,0,4943377,4803740.2
Fletcher Technical Community College,Public, 2-year,0,0,0,9002380.7,9002380.7
Flint Hills Technical College,Public, 2-year,0,0,0,2253177,2253177
Florence-Darlington Technical College,Public, 2-year,0,4217742.67,0,16823335.5,21041078.2
Florida Agricultural and Mechanical University,Public, 4-year or above,4880,35617999.42,4880,110996761.8,146619641.2
Florida Atlantic University,Public, 4-year or above,393924.5,20932147.48,393924.5,164080589.2,185406661.2
Florida College,Private not-for-profit, 4-year or above,0,0,0,3767407,3767407
Florida Gateway College,Public, 4-year or above,0,242136,0,7593822.4,7835958.4
Florida Gulf Coast University,Public, 4-year or above,80865.02,2720748.34,80865.02,68171784.7,70973398.1
Florida Institute of Technology,Private not-for-profit, 4-year or above,2083607,3085178,2083607,63556514.9,68725299.9
Florida International University,Public, 4-year or above,6490719.75,74496898.04,6490719.75,366374164.1,447361781.9
Florida Keys Community College,Public, 2-year,0,262830.6,0,3470898.9,3733729.5
Florida Memorial University,Private not-for-profit, 4-year or above,0,3842895.94,0,14035672.8,17878568.7
Florida Panhandle Technical College,Public, 2-year,0,726495,0,919078.7,1645573.7
Florida School of Traditional Midwifery,Private not-for-profit, 2-year,0,0,0,521339.2,521339.2
Florida Southern College,Private not-for-profit, 4-year or above,0,0,0,26592205.5,26592205.5
Florida SouthWestern State College,Public, 4-year or above,0,-761307.02,0,36487367,35726060
Florida State College at Jacksonville,Public, 4-year or above,125842.2,2269699.76,125842.2,64669629.6,67065171.6
Florida State University,Public, 4-year or above,10667227.5,149302940.5,10667227.5,213618445,373588612.9
Folsom Lake College,Public, 2-year,0,0,0,7572591,7572591
Fond du Lac Tribal and Community College,Public, 2-year,0,2470368.04,0,4682793.1,7153161.1
Fontbonne University,Private not-for-profit, 4-year or above,0,674866.3,0,7984658,8659524.3
Foothill College,Public, 4-year or above,0,-3612.52,0,7588975,7585362.5
Fordham University,Private not-for-profit, 4-year or above,9000,3330931.1,9000,158039474,161379405.1
Forsyth Technical Community College,Public, 2-year,0,1352796,0,21284854.7,22637650.7
Fort Hays State University,Public, 4-year or above,0,2914343.74,0,67878788,70793131.7
Fort Lewis College,Public, 4-year or above,0,5158349.91,0,18298755,23457104.9
Fort Myers Technical College,Public, 2-year,0,11446239.81,0,1461941.4,12908181.2
Fort Peck Community College,Public, 2-year,0,7094518,0,356311,7450829
Fort Scott Community College,Public, 2-year,0,1134711,0,5279560,6414271
Fort Valley State University,Public, 4-year or above,0,16395306.32,0,38486414.4,54881720.7
Four County Career Center,Public, less-than 2-year,0,0,0,19546,19546
Four Rivers Career Center,Public, less-than 2-year,0,0,0,521972,521972
Framingham State University,Public, 4-year or above,0,325910.63,0,28176555,28502465.6
Francis Marion University,Public, 4-year or above,0,1755802,0,34081719.4,35837521.4
Francis Tuttle Technology Center,Public, less-than 2-year,0,0,0,1385691,1385691
Franciscan School of Theology,Private not-for-profit, 4-year or above,0,0,0,132468,132468
Franciscan University of Steubenville,Private not-for-profit, 4-year or above,0,0,0,18451470,18451470
Frank Phillips College,Public, 2-year,0,10370,0,2342299,2352669
Franklin Academy,Private not-for-profit, less-than 2-year,0,0,0,658705,658705
Franklin and Marshall College,Private not-for-profit, 4-year or above,0,1700734,0,11479609,13180343
Franklin Career Institute,Private not-for-profit, less-than 2-year,0,0,0,804770,804770
Franklin College,Private not-for-profit, 4-year or above,0,0,0,9409704,9409704
Franklin County Career and Technology Center,Public, less-than 2-year,0,0,0,547147,547147
Franklin Pierce University,Private not-for-profit, 4-year or above,0,649931,0,34605337.7,35255268.7
Franklin Technology-MSSU,Public, less-than 2-year,0,0,0,819486,819486
Franklin University,Private not-for-profit, 4-year or above,0,749015,0,34648879,35397894
Franklin W Olin College of Engineering,Private not-for-profit, 4-year or above,0,15040,0,851758,866798
Fred W Eberle Technical Center,Public, 2-year,0,0,0,391943,391943
Frederick Community College,Public, 2-year,0,46590,0,6385525,6432115
Freed-Hardeman University,Private not-for-profit, 4-year or above,0,0,0,15120002,15120002
Fresno City College,Public, 2-year,0,1843220.25,0,37597764.8,39440985
Fresno Pacific University,Private not-for-profit, 4-year or above,0,448995,0,42260476.9,42709471.9
Friends University,Private not-for-profit, 4-year or above,0,0,0,14090068.6,14090068.6
Front Range Community College,Public, 2-year,0,1270254.44,0,47043990.4,48314244.8
Frontier Community College,Public, 2-year,0,0,0,1227636,1227636
Frontier Nursing University,Private not-for-profit, 4-year or above,0,1564107,0,40628564,42192671
Frostburg State University,Public, 4-year or above,0,1486517.29,0,33573799.1,35060316.4
Fuller Theological Seminary in California,Private not-for-profit, 4-year or above,2436.15,0,2436.15,9251715,9254151.2
Fullerton College,Public, 2-year,0,0,0,29848290.7,29848290.7
Fulton-Montgomery Community College,Public, 2-year,0,496492,0,8491942,8988434
Furman University,Private not-for-profit, 4-year or above,0,530356,0,13403225.7,13933581.7
Future Generations Graduate School,Private not-for-profit, 4-year or above,0,0,0,11748,11748
Gadsden State Community College,Public, 2-year,0,3026804.41,0,11297359.5,14324163.9
Gallaudet University,Private not-for-profit, 4-year or above,6726.71,3293885.05,6726.71,12318040,15618651.8
Galveston College,Public, 2-year,0,862462.28,0,4204070.9,5066533.2
Gannon University,Private not-for-profit, 4-year or above,80684,779634,80684,42137508.4,42997826.4
Garden City Community College,Public, 2-year,0,287656.18,0,4968563.5,5256219.7
Gardner-Webb University,Private not-for-profit, 4-year or above,0,0,0,34509528.9,34509528.9
Garnet Career Center,Public, less-than 2-year,0,0,0,479262,479262
Garrett College,Public, 2-year,0,0,0,2993063,2993063
Garrett-Evangelical Theological Seminary,Private not-for-profit, 4-year or above,0,0,0,1481004,1481004
Gaston College,Public, 2-year,0,2762204,0,8183479.8,10945683.8
Gateway Community and Technical College,Public, 2-year,0,1013282.83,0,12060595,13073877.8
Gateway Community College,Public, 2-year,0,0,0,6509656.8,6509656.8
GateWay Community College,Public, 2-year,62070,1254630,62070,10847797.9,12164497.9
Gateway Technical College,Public, 2-year,0,218399,0,22778187,22996586
Gavilan College,Public, 2-year,0,1886222.94,0,5737118.7,7623341.6
Geisinger-Lewistown Hospital School of Nursing,Private not-for-profit, 2-year,0,0,0,339884,339884
Gemological Institute of America,Private not-for-profit, less-than 2-year,0,0,0,519589,519589
Genesee Community College,Public, 2-year,0,1228310,0,15048293.3,16276603.3
Genesee Valley BOCES-Practical Nursing Program,Public, less-than 2-year,0,0,0,1091879,1091879
George C Wallace Community College-Dothan,Public, 2-year,0,1327185.81,0,10639213.7,11966399.5
George C Wallace State Community College-Hanceville,Public, 2-year,0,1348162.42,0,20558813.1,21906975.5
George C Wallace State Community College-Selma,Public, 2-year,0,881434.44,0,5300370.3,6181804.7
George Fox University,Private not-for-profit, 4-year or above,20000,100000,20000,41804646,41924646
George Mason University,Public, 4-year or above,43644871.94,55738800.74,43644871.94,207403858.6,306787531.3
George Stone Technical Center,Public, 2-year,0,440660.33,0,840191.3,1280851.6
George Washington University,Private not-for-profit, 4-year or above,6196799.35,141505964.8,6196799.35,298381800.2,446084564.3
Georgetown College,Private not-for-profit, 4-year or above,0,0,0,13099587,13099587
Georgetown University,Private not-for-profit, 4-year or above,3133867.78,104376338.9,3133867.78,269747652.4,377257859.1
Georgia Christian University,Private not-for-profit, 4-year or above,0,0,0,43445,43445
Georgia College and State University,Public, 4-year or above,0,1577140.93,0,38729809,40306949.9
Georgia Gwinnett College,Public, 4-year or above,0,450505.05,0,67824208.2,68274713.2
Georgia Highlands College,Public, 4-year or above,0,0,0,19540379.5,19540379.5
Georgia Institute of Technology-Main Campus,Public, 4-year or above,400536420.5,204635506.4,400536420.5,95703956.4,700875883.3
Georgia Military College,Public, 4-year or above,91072,448574,91072,29284110.7,29823756.7
Georgia Northwestern Technical College,Public, 2-year,0,493626,0,12051931.6,12545557.6
Georgia Piedmont Technical College,Public, 2-year,0,-44880.27,0,13143269.1,13098388.8
Georgia Southern University,Public, 4-year or above,0,4192888.65,0,180316340.3,184509228.9
Georgia Southwestern State University,Public, 4-year or above,0,0,0,19367952.1,19367952.1
Georgia State University,Public, 4-year or above,1663846.82,57628961.1,1663846.82,323316796.8,382609604.7
Georgian Court University,Private not-for-profit, 4-year or above,0,871387,0,18902068,19773455
Germanna Community College,Public, 2-year,0,0,0,9846976.8,9846976.8
Gettysburg College,Private not-for-profit, 4-year or above,41668.06,603706,41668.06,17042483,17687857.1
Glen Oaks Community College,Public, 2-year,0,692136,0,2336631.6,3028767.6
Glendale Community College,Public, 2-year,0,585003,0,32929671,33514674
Glendale Community College,Public, 2-year,0,640722,0,24211705,24852427
Glenville State College,Public, 4-year or above,0,267329,0,9389270,9656599
Goddard College,Private not-for-profit, 4-year or above,0,0,0,5850354,5850354
Gods Bible School and College,Private not-for-profit, 4-year or above,0,0,0,703597.6,703597.6
Gogebic Community College,Public, 2-year,0,272491,0,3095391,3367882
Golden Gate University-San Francisco,Private not-for-profit, 4-year or above,0,0,0,25689638.5,25689638.5
Golden State College of Court Reporting,Private not-for-profit, 2-year,0,0,0,32812,32812
Goldey-Beacom College,Private not-for-profit, 4-year or above,0,0,0,4319931,4319931
Gonzaga University,Private not-for-profit, 4-year or above,1500,125778.94,1500,60042913,60170191.9
Good Samaritan College of Nursing and Health Science,Private not-for-profit, 4-year or above,0,0,0,2965157.3,2965157.3
Goodwin College,Private not-for-profit, 4-year or above,0,550742,0,36316364,36867106
Gordon College,Private not-for-profit, 4-year or above,0,0,0,12419304,12419304
Gordon Cooper Technology Center,Public, 2-year,4496,0,4496,825496,829992
Gordon State College,Public, 4-year or above,0,0,0,20942023.5,20942023.5
Gordon-Conwell Theological Seminary,Private not-for-profit, 4-year or above,0,0,0,3197013,3197013
Goshen College,Private not-for-profit, 4-year or above,0,0,0,5865526,5865526
Goucher College,Private not-for-profit, 4-year or above,0,118360,0,12909736,13028096
Governors State University,Public, 4-year or above,0,3453272,0,45648735.2,49102007.2
Grace Bible College,Private not-for-profit, 4-year or above,0,0,0,9621480.2,9621480.2
Grace College of Barbering,Private not-for-profit, less-than 2-year,0,0,0,70039,70039
Grace Mission University,Private not-for-profit, 4-year or above,0,0,0,196471,196471
Grace School of Theology,Private not-for-profit, 4-year or above,0,0,0,451523,451523
Grace University,Private not-for-profit, 4-year or above,0,0,0,1050174,1050174
Graceland University-Lamoni,Private not-for-profit, 4-year or above,0,838124,0,22685769,23523893
Graduate Theological Union,Private not-for-profit, 4-year or above,0,0,0,1098142,1098142
Grady Health System Professional Schools,Public, 2-year,0,0,0,500030.5,500030.5
Graham Hospital School of Nursing,Private not-for-profit, 2-year,0,0,0,258500.3,258500.3
Grambling State University,Public, 4-year or above,0,6922847.91,0,80792472.1,87715320
Grand Rapids Community College,Public, 2-year,0,308771.46,0,34147778,34456549.5
Grand River Technical School,Public, less-than 2-year,0,0,0,169553.8,169553.8
Grand Valley State University,Public, 4-year or above,22284,8444572.36,22284,195598375,204065231.4
Grand View University,Private not-for-profit, 4-year or above,0,550000,0,14906392.5,15456392.5
Gratz College,Private not-for-profit, 4-year or above,0,0,0,745680,745680
Grays Harbor College,Public, 4-year or above,0,671311,0,5575241.4,6246552.4
Grayson College,Public, 2-year,0,9872,0,10777896.2,10787768.2
Great Basin College,Public, 4-year or above,0,-1066607.42,0,4333467.2,3266859.8
Great Bay Community College,Public, 2-year,0,0,0,7584882,7584882
Great Falls College Montana State University,Public, 2-year,0,-460918.86,0,7271735,6810816.1
Great Lakes Christian College,Private not-for-profit, 4-year or above,0,0,0,1285965,1285965
Great Oaks Career Campuses,Public, less-than 2-year,42791.08,0,42791.08,1654189.7,1696980.8
Great Plains Technology Center,Public, 2-year,0,0,0,538349.3,538349.3
Greater Altoona Career & Technology Center,Public, less-than 2-year,97500,0,97500,1944947,2042447
Greater Johnstown Career and Technology Center,Public, less-than 2-year,0,0,0,1816417,1816417
Green Country Technology Center,Public, less-than 2-year,0,0,0,196288.4,196288.4
Green Mountain College,Private not-for-profit, 4-year or above,0,0,0,5577572,5577572
Green River College,Public, 4-year or above,-13035,735296,-13035,13809118.6,14531379.6
Greene County Career and Technology Center,Public, less-than 2-year,0,0,0,453830,453830
Greene County Vocational School District,Public, less-than 2-year,0,0,0,201927,201927
Greenfield Community College,Public, 2-year,0,402727,0,3497945.1,3900672.1
Greensboro College,Private not-for-profit, 4-year or above,0,400430,0,8880425,9280855
Greenville College,Private not-for-profit, 4-year or above,0,1143468,0,11026648,12170116
Greenville Technical College,Public, 2-year,0,719318,0,35463958.9,36183276.9
Grinnell College,Private not-for-profit, 4-year or above,0,47482,0,5554825,5602307
Grossmont College,Public, 2-year,0,524978,0,21856242.3,22381220.3
Guilford College,Private not-for-profit, 4-year or above,0,0,0,11975506.1,11975506.1
Guilford Technical Community College,Public, 2-year,0,598226,0,47443290.7,48041516.7
Gulf Coast State College,Public, 4-year or above,7568.55,1089063,7568.55,9528117.6,10624749.2
Gupton Jones College of Funeral Service,Private not-for-profit, 2-year,0,0,0,1840177,1840177
Gustavus Adolphus College,Private not-for-profit, 4-year or above,0,554176.98,0,14609482,15163659
Gwinnett Technical College,Public, 2-year,0,0,0,30293288.3,30293288.3
Gwynedd Mercy University,Private not-for-profit, 4-year or above,0,0,0,26661164.1,26661164.1
H Councill Trenholm State Community College,Public, 2-year,0,2121735,0,4886689.8,7008424.8
Hacienda La Puente Adult Education,Public, 2-year,0,3811268,0,778265,4589533
Hagerstown Community College,Public, 2-year,0,569238,0,12430675.4,12999913.4
Halifax Community College,Public, 2-year,0,3125556,0,1466658.8,4592214.8
Hallmark University,Private not-for-profit, 4-year or above,0,0,0,9133971,9133971
Hamilton College,Private not-for-profit, 4-year or above,25000,-63318.28,25000,8591643.5,8553325.2
Hamline University,Private not-for-profit, 4-year or above,125,633639,125,30793463,31427227
Hampden-Sydney College,Private not-for-profit, 4-year or above,0,45523,0,7973972,8019495
Hampshire College,Private not-for-profit, 4-year or above,0,236529,0,10893042,11129571
Hampton University,Private not-for-profit, 4-year or above,3140100,19287435,3140100,80575283,103002818
Hannah E Mullins School of Practical Nursing,Public, less-than 2-year,0,0,0,966070.5,966070.5
Hannibal-LaGrange University,Private not-for-profit, 4-year or above,0,0,0,6555133,6555133
Harcum College,Private not-for-profit, 2-year,0,743159,0,14345340,15088499
Harding University,Private not-for-profit, 4-year or above,0,689601,0,53444112.2,54133713.2
Harford Community College,Public, 2-year,0,759151,0,9633709.4,10392860.4
Harris-Stowe State University,Public, 4-year or above,0,4734714,0,14560460.8,19295174.8
Harrisburg Area Community College-Harrisburg,Public, 2-year,38174.66,0,38174.66,45208741,45246915.7
Harrisburg University of Science and Technology,Private not-for-profit, 4-year or above,0,0,0,3977351,3977351
Hartford Seminary,Private not-for-profit, 4-year or above,0,0,0,512034,512034
Hartnell College,Public, 2-year,0,4916176.44,0,10516394.9,15432571.3
Hartwick College,Private not-for-profit, 4-year or above,11700,0,11700,13436660.6,13448360.6
Harvard University,Private not-for-profit, 4-year or above,70896995.17,976590608.6,70896995.17,133155678,1180643282
Harvey Mudd College,Private not-for-profit, 4-year or above,0,2225423,0,4175298,6400721
Hastings College,Private not-for-profit, 4-year or above,0,0,0,8279477,8279477
Haverford College,Private not-for-profit, 4-year or above,2158035,367471.58,2158035,3778122,6303628.6
Hawaii Community College,Public, 2-year,0,388280,0,5209952.5,5598232.5
Hawaii Pacific University,Private not-for-profit, 4-year or above,0,584126,0,21829766.7,22413892.7
Hawkeye Community College,Public, 2-year,0,826856.9,0,17736526.6,18563383.5
Haywood Community College,Public, 2-year,0,0,0,2293449.4,2293449.4
Hazard Community and Technical College,Public, 2-year,0,614377,0,8473950,9088327
Hazelden Betty Ford Graduate School of Addiction Studies,Private not-for-profit, 4-year or above,924269.51,337327,924269.51,3562479,4824075.5
Hazleton Area Career Center,Public, less-than 2-year,0,0,0,127916,127916
Heartland Community College,Public, 2-year,0,254355,0,8395788,8650143
Hebrew College,Private not-for-profit, 4-year or above,0,0,0,805094.5,805094.5
Hebrew Theological College,Private not-for-profit, 4-year or above,0,0,0,383107,383107
Hebrew Union College-Jewish Institute of Religion,Private not-for-profit, 4-year or above,0,0,0,2721041,2721041
Heidelberg University,Private not-for-profit, 4-year or above,0,622303,0,11477749,12100052
Helena College University of Montana,Public, 2-year,0,242136,0,5223303.7,5465439.7
Helene Fuld College of Nursing,Private not-for-profit, 4-year or above,0,0,0,3384895.4,3384895.4
Helms College,Private not-for-profit, 2-year,0,0,0,3336185.2,3336185.2
Henderson Community College,Public, 2-year,0,0,0,4535432.8,4535432.8
Henderson State University,Public, 4-year or above,0,2000572,0,21343231.4,23343803.4
Hendrix College,Private not-for-profit, 4-year or above,0,1198187,0,7675495,8873682
Hennepin Technical College,Public, 2-year,0,1405764,0,17970122,19375886
Henry Ford College,Public, 4-year or above,0,0,0,44250456,44250456
Heritage Christian University,Private not-for-profit, 4-year or above,0,0,0,92994.1,92994.1
Heritage University,Private not-for-profit, 4-year or above,76885,2475137,76885,11400126,13952148
Herkimer County BOCES-Practical Nursing Program,Public, less-than 2-year,0,0,0,609357,609357
Herkimer County Community College,Public, 2-year,0,0,0,12263495.6,12263495.6
Hesston College,Private not-for-profit, 4-year or above,0,0,0,3284301,3284301
Hibbing Community College,Public, 2-year,0,1841991,0,4942529,6784520
High Plains Technology Center,Public, less-than 2-year,0,0,0,146874.6,146874.6
High Point University,Private not-for-profit, 4-year or above,0,1894622,0,50535296,52429918
High Tech High Graduate School of Education,Private not-for-profit, 4-year or above,0,0,0,71069,71069
Highland Community College,Public, 2-year,17571.44,680663,17571.44,3984772.4,4683006.8
Highland Community College,Public, 2-year,0,242136,0,6273389,6515525
Highline College,Public, 4-year or above,0,1287856,0,9002450.5,10290306.5
Hilbert College,Private not-for-profit, 4-year or above,0,0,0,6732744,6732744
Hill College,Public, 2-year,0,0,0,9970333.5,9970333.5
Hillsborough Community College,Public, 2-year,0,765091,0,85788553.2,86553644.2
Hillyard Technical Center,Public, 2-year,0,0,0,617611.1,617611.1
Hinds Community College,Public, 2-year,0,8183331.92,0,50733562.9,58916894.8
Hiram College,Private not-for-profit, 4-year or above,0,0,0,9205118.3,9205118.3
Hiwassee College,Private not-for-profit, 4-year or above,0,657464.97,0,2592283,3249748
Hobart Institute of Welding Technology,Private not-for-profit, less-than 2-year,9910,0,9910,3739213,3749123
Hobart William Smith Colleges,Private not-for-profit, 4-year or above,0,765365.2,0,16156191,16921556.2
Hobe Sound Bible College,Private not-for-profit, 4-year or above,0,0,0,430814.5,430814.5
Hocking College,Public, 2-year,0,563460.69,0,15153585.4,15717046.1
Hodges University,Private not-for-profit, 4-year or above,0,0,0,11198767.2,11198767.2
Hofstra University,Private not-for-profit, 4-year or above,130495.22,3620334.55,130495.22,135351351.1,139102180.9
Hollins University,Private not-for-profit, 4-year or above,0,0,0,7893339,7893339
Holmes Community College,Public, 2-year,0,311848,0,18847116.1,19158964.1
Holy Apostles College and Seminary,Private not-for-profit, 4-year or above,0,0,0,619813,619813
Holy Cross College,Private not-for-profit, 4-year or above,1305145,0,1305145,2505706,3810851
Holy Family University,Private not-for-profit, 4-year or above,0,0,0,26943580,26943580
Holy Name Medical Center School of Nursing,Private not-for-profit, 2-year,0,0,0,1500288,1500288
Holy Names University,Private not-for-profit, 4-year or above,0,1624842,0,9846852,11471694
Holyoke Community College,Public, 2-year,0,886794,0,16456795.2,17343589.2
Homestead Schools,Private not-for-profit, 4-year or above,0,0,0,2883283,2883283
Honolulu Community College,Public, 2-year,0,1046102,0,4762368.2,5808470.2
Hood College,Private not-for-profit, 4-year or above,35578.88,996267,35578.88,12343266,13375111.9
Hood Theological Seminary,Private not-for-profit, 4-year or above,0,0,0,1595455,1595455
Hope College,Private not-for-profit, 4-year or above,0,2010643,0,19351066,21361709
Hope International University,Private not-for-profit, 4-year or above,0,0,0,8108458.2,8108458.2
Hopkinsville Community College,Public, 2-year,0,669740,0,8212768.9,8882508.9
Horizon University,Private not-for-profit, 4-year or above,0,0,0,49609,49609
Horry-Georgetown Technical College,Public, 2-year,0,944881.08,0,25622750,26567631.1
Houghton College,Private not-for-profit, 4-year or above,0,0,0,8278803,8278803
Houston Baptist University,Private not-for-profit, 4-year or above,0,1064140,0,26774998.7,27839138.7
Houston Community College,Public, 2-year,5600,2194932,5600,173342626.4,175543158.4
Houston Graduate School of Theology,Private not-for-profit, 4-year or above,0,0,0,1346289,1346289
Howard College,Public, 2-year,0,476258.86,0,8075114.6,8551373.5
Howard Community College,Public, 2-year,450,626602,450,18055463,18682515
Howard Payne University,Private not-for-profit, 4-year or above,0,0,0,8467361,8467361
Howard University,Private not-for-profit, 4-year or above,572503.86,33297387.86,572503.86,145162430,179032321.7
Howell Cheney THS/CT Aero Tech School,Public, 2-year,0,0,0,12968,12968
Hudson County Community College,Public, 2-year,0,0,0,29033498.1,29033498.1
Hudson Valley Community College,Public, 2-year,138161.49,1500000,138161.49,25714180.8,27352342.3
Hult International Business School,Private not-for-profit, 4-year or above,0,0,0,6084598,6084598
Humboldt State University,Public, 4-year or above,96422.34,11172605.36,96422.34,55541050,66810077.7
Humphreys University-Stockton and Modesto Campuses,Private not-for-profit, 4-year or above,0,0,0,6429644.2,6429644.2
Huntingdon College,Private not-for-profit, 4-year or above,0,0,0,11015233,11015233
Huntingdon County Career and Technology Center,Public, less-than 2-year,0,0,0,178923,178923
Huntington University,Private not-for-profit, 4-year or above,0,0,0,12589018,12589018
Huntsville Bible College,Private not-for-profit, 4-year or above,0,0,0,1211220,1211220
Husson University,Private not-for-profit, 4-year or above,0,498229,0,37451361,37949590
Huston-Tillotson University,Private not-for-profit, 4-year or above,0,2368574,0,10009874.1,12378448.1
Hutchinson Community College,Public, 2-year,0,216135,0,13086788.8,13302923.8
Hypnosis Motivation Institute,Private not-for-profit, less-than 2-year,0,0,0,1016975,1016975
Icahn School of Medicine at Mount Sinai,Private not-for-profit, 4-year or above,48415730.36,346633075,48415730.36,17867528,412916333.4
Idaho State University,Public, 4-year or above,167462.65,7113087.83,167462.65,69206005,76486555.5
Iliff School of Theology,Private not-for-profit, 4-year or above,0,0,0,2742885,2742885
Ilisagvik College,Public, 2-year,0,3006322,0,85109.4,3091431.4
Illinois Central College,Public, 2-year,0,1493932,0,13763250.6,15257182.6
Illinois College,Private not-for-profit, 4-year or above,0,975349,0,8338885,9314234
Illinois Institute of Technology,Private not-for-profit, 4-year or above,0,23407431.53,0,43072160.2,66479591.7
Illinois State University,Public, 4-year or above,31937.74,17877210.13,31937.74,130775562.5,148684710.4
Illinois Valley Community College,Public, 2-year,0,308892,0,4504481.1,4813373.1
Illinois Wesleyan University,Private not-for-profit, 4-year or above,0,4659261,0,13249273,17908534
Immaculata University,Private not-for-profit, 4-year or above,0,0,0,19498449,19498449
Immokalee Technical College,Public, 2-year,0,0,0,617620.2,617620.2
Imperial Valley College,Public, 2-year,0,2320180,0,21768224,24088404
Independence Community College,Public, 2-year,0,628441,0,2765349,3393790
Indian Capital Technology Center-Muskogee,Public, 2-year,0,0,0,1532698,1532698
Indian Hills Community College,Public, 2-year,0,2335651,0,13096682,15432333
Indian River State College,Public, 4-year or above,39731.88,1922652,39731.88,29924503.8,31886887.7
Indiana County Technology Center,Public, less-than 2-year,0,0,0,799047,799047
Indiana Institute of Technology,Private not-for-profit, 4-year or above,0,0,0,62035893.6,62035893.6
Indiana State University,Public, 4-year or above,0,2195626,0,94703018.6,96898644.6
Indiana University of Pennsylvania-Main Campus,Public, 4-year or above,0,5228099.07,0,106267612.1,111495711.2
Indiana University-Bloomington,Public, 4-year or above,9062231.25,313329686.8,9062231.25,200759903,523151821.1
Indiana University-Purdue University-Fort Wayne,Public, 4-year or above,0,0,0,38379136.3,38379136.3
Indiana University-Purdue University-Indianapolis,Public, 4-year or above,849636.69,0,849636.69,249591925,250441561.7
Indiana Wesleyan University-Marion,Private not-for-profit, 4-year or above,0,1438382,0,139033603.1,140471985.1
Institute for Clinical Social Work,Private not-for-profit, 4-year or above,0,0,0,786800,786800
Institute for Doctoral Studies in the Visual Arts,Private not-for-profit, 4-year or above,0,0,0,1707695,1707695
Institute of American Indian and Alaska Native Culture and Arts Development,Public, 4-year or above,0,2089047,0,937394,3026441
Institute of World Politics,Private not-for-profit, 4-year or above,0,0,0,2086515,2086515
International Baptist College and Seminary,Private not-for-profit, 4-year or above,0,0,0,221421,221421
Inver Hills Community College,Public, 2-year,0,869495,0,12249277,13118772
Iona College,Private not-for-profit, 4-year or above,0,9938,0,38822564,38832502
Iowa Central Community College,Public, 2-year,0,322494,0,24079904.6,24402398.6
Iowa Lakes Community College,Public, 2-year,0,2027023.46,0,6343214.5,8370238
Iowa State University,Public, 4-year or above,66591483.25,112008924.7,66591483.25,187833152,366433560
Iowa Wesleyan University,Private not-for-profit, 4-year or above,0,0,0,5237179.8,5237179.8
Iowa Western Community College,Public, 2-year,0,591707.51,0,24733125.6,25324833.1
Irvine Valley College,Public, 2-year,0,850556,0,10756609,11607165
Isothermal Community College,Public, 2-year,0,0,0,3078239.2,3078239.2
Itasca Community College,Public, 2-year,0,402506.51,0,4578055.6,4980562.1
Itawamba Community College,Public, 2-year,0,0,0,16462693,16462693
Ithaca College,Private not-for-profit, 4-year or above,0,699587,0,51921865.1,52621452.1
Ivy Tech Community College,Public, 2-year,53639.93,1531171.8,53639.93,175692440.3,177277252
J F Drake State Community and Technical College,Public, 2-year,0,1980444,0,2327628,4308072
J F Ingram State Technical College,Public, 2-year,0,387408,0,355724.7,743132.7
J Sargeant Reynolds Community College,Public, 2-year,0,0,0,17926928.6,17926928.6
Jackson College,Public, 4-year or above,0,242136,0,23136328.2,23378464.2
Jackson State Community College,Public, 2-year,0,0,0,8690615.3,8690615.3
Jackson State University,Public, 4-year or above,904461.37,18972278.88,904461.37,93286251.9,113162992.2
