Recipient,INST_TYPE_1,INST_TYPE_2,total_awards,grants,contracts,student_aid,Total_Federal_Investment
Andrew College,Private not-for-profit, 2-year,0,528024,0,2398689.4,2926713.4
Andrews University,Private not-for-profit, 4-year or above,0,261218,0,27759537.5,28020755.5
Angelina College,Public, 2-year,0,114935,0,4577547,4692482
Angelo State University,Public, 4-year or above,0,1224047.3,0,48855748.8,50079796.1
Anna Maria College,Private not-for-profit, 4-year or above,0,0,0,12631572.8,12631572.8
Anne Arundel Community College,Public, 2-year,0,648706,0,15963622.2,16612328.2
Annenberg School of Nursing,Private not-for-profit, less-than 2-year,0,0,0,167679.2,167679.2
Anoka Technical College,Public, 2-year,0,0,0,8050093,8050093
Anoka-Ramsey Community College,Public, 2-year,0,1785782,0,22063309,23849091
Antelope Valley College,Public, 4-year or above,0,1521044.63,0,33490152.1,35011196.7
Antioch College,Private not-for-profit, 4-year or above,0,0,0,1051307,1051307
Antioch University,Private not-for-profit, 4-year or above,0,0,0,57942430.7,57942430.7
Apex School of Theology,Private not-for-profit, 4-year or above,0,0,0,7498301.7,7498301.7
Apollo Career Center,Public, less-than 2-year,0,0,0,1351229.5,1351229.5
Appalachian Bible College,Private not-for-profit, 4-year or above,0,0,0,822844,822844
Appalachian College of Pharmacy,Private not-for-profit, 4-year or above,0,0,0,9743319,9743319
Appalachian School of Law,Private not-for-profit, 4-year or above,0,0,0,5637447,5637447
Appalachian State University,Public, 4-year or above,37000,9644492.06,37000,116917893,126599385.1
Applied Technology Services,Public, less-than 2-year,0,0,0,1996659.8,1996659.8
Aquinas College,Private not-for-profit, 4-year or above,0,812403,0,9402941.4,10215344.4
Arapahoe Community College,Public, 2-year,0,-959.19,0,16416747,16415787.8
Arcadia University,Private not-for-profit, 4-year or above,0,652500,0,31913837.5,32566337.5
Aria Health School of Nursing,Private not-for-profit, 2-year,0,0,0,1511286,1511286
Arizona Christian University,Private not-for-profit, 4-year or above,0,0,0,5652761,5652761
Arizona State University-Tempe,Public, 4-year or above,18973375.17,209267377.8,18973375.17,804282718.4,1032523471
Arizona Western College,Public, 2-year,0,2476597.79,0,14006487.6,16483085.4
Arkansas Baptist College,Private not-for-profit, 4-year or above,0,2309826,0,3480375.6,5790201.6
Arkansas Colleges of Health Education,Private not-for-profit, 4-year or above,0,323628,0,0,323628
Arkansas Northeastern College,Public, 2-year,0,1219270,0,2161528.2,3380798.2
Arkansas State University Mid-South,Public, 2-year,0,1146765.59,0,2509185.8,3655951.4
Arkansas State University-Beebe,Public, 2-year,0,1241246,0,8610645.4,9851891.4
Arkansas State University-Main Campus,Public, 4-year or above,36461,2828092.19,36461,110765127,113629680.2
Arkansas State University-Mountain Home,Public, 2-year,0,0,0,5293607,5293607
Arkansas State University-Newport,Public, 2-year,0,0,0,6752167.3,6752167.3
Arkansas Tech University,Public, 4-year or above,0,1387504.55,0,57184896.5,58572401
Arlington Baptist College,Private not-for-profit, 4-year or above,0,0,0,1782776.3,1782776.3
Arnot Ogden Medical Center,Private not-for-profit, 2-year,0,0,0,544415.5,544415.5
Art Academy of Cincinnati,Private not-for-profit, 4-year or above,0,0,0,3707855,3707855
Art Center College of Design,Private not-for-profit, 4-year or above,0,30000,0,21337244.4,21367244.4
Asbury Theological Seminary,Private not-for-profit, 4-year or above,0,0,0,6230872,6230872
Asbury University,Private not-for-profit, 4-year or above,0,0,0,12149046,12149046
Asheville-Buncombe Technical Community College,Public, 2-year,0,331650,0,13604498.3,13936148.3
Ashland Community and Technical College,Public, 2-year,0,1355207,0,11643152,12998359
Ashland University,Private not-for-profit, 4-year or above,0,860682.17,0,44082917.7,44943599.9
Ashtabula County Technical and Career Campus,Public, less-than 2-year,0,49544,0,918525,968069
Asnuntuck Community College,Public, 2-year,0,749510,0,5261699.3,6011209.3
Assabet Valley Regional Technical School,Public, less-than 2-year,0,0,0,434427,434427
Associated Beth Rivkah Schools,Private not-for-profit, 2-year,0,0,0,523710,523710
Assumption College,Private not-for-profit, 4-year or above,0,200000,0,16741373.7,16941373.7
Athens State University,Public, 4-year or above,0,0,0,20513330.5,20513330.5
Athens Technical College,Public, 2-year,0,0,0,7453428,7453428
Atlanta Metropolitan State College,Public, 4-year or above,0,2096020.37,0,9709823.5,11805843.9
Atlanta Technical College,Public, 2-year,0,-115174.97,0,21558213.8,21443038.8
Atlantic Cape Community College,Public, 2-year,0,484297.89,0,16422277.7,16906575.6
Atlantic Institute of Oriental Medicine,Private not-for-profit, 4-year or above,0,0,0,2891857,2891857
Atlantic Technical College,Public, 2-year,0,0,0,1590032,1590032
Auburn Career Center,Public, less-than 2-year,0,40468,0,747051.1,787519.1
Auburn University,Public, 4-year or above,4700819.64,41702960.79,4700819.64,168064377.1,214468157.5
Auburn University at Montgomery,Public, 4-year or above,36900,219877,36900,35897310,36154087
Augsburg College,Private not-for-profit, 4-year or above,0,1263705,0,31397259.5,32660964.5
Augusta Technical College,Public, 2-year,0,591493,0,11805724.7,12397217.7
Augusta University,Public, 4-year or above,4539315.45,52127847,4539315.45,107358655.5,164025817.9
Augustana College,Private not-for-profit, 4-year or above,0,241819,0,20446999,20688818
Augustana University,Private not-for-profit, 4-year or above,0,407013,0,11021049,11428062
Aultman College of Nursing and Health Sciences,Private not-for-profit, 4-year or above,0,0,0,2381704,2381704
Aurora University,Private not-for-profit, 4-year or above,0,-52693.72,0,55224429.7,55171736
Austin College,Private not-for-profit, 4-year or above,60246,1308948,60246,9272623,10641817
Austin Graduate School of Theology,Private not-for-profit, 4-year or above,0,0,0,153781,153781
Austin Peay State University,Public, 4-year or above,3000,1320378.11,3000,70243067.6,71566445.7
Austin Presbyterian Theological Seminary,Private not-for-profit, 4-year or above,0,0,0,319658,319658
Autry Technology Center,Public, 2-year,0,0,0,353420.4,353420.4
Ave Maria School of Law,Private not-for-profit, 4-year or above,0,0,0,9610743,9610743
Ave Maria University,Private not-for-profit, 4-year or above,0,0,0,5730661,5730661
Avera McKennan Hospital School of Radiologic Technology,Private not-for-profit, 2-year,0,0,0,10250,10250
Averett University,Private not-for-profit, 4-year or above,0,0,0,16373284.7,16373284.7
Avila University,Private not-for-profit, 4-year or above,0,1567194,0,14400058,15967252
AVTEC-Alaska's Institute of Technology,Public, less-than 2-year,0,0,0,532503,532503
Azusa Pacific University,Private not-for-profit, 4-year or above,0,2804341,0,162538675.2,165343016.2
B M Spurr School of Practical Nursing,Private not-for-profit, less-than 2-year,0,0,0,71443,71443
Bacone College,Private not-for-profit, 4-year or above,0,309836,0,9673610.1,9983446.1
Bais HaMedrash and Mesivta of Baltimore,Private not-for-profit, 4-year or above,0,0,0,227570,227570
Bais Medrash Elyon,Private not-for-profit, 4-year or above,0,0,0,132578,132578
Bais Medrash Toras Chesed,Private not-for-profit, 4-year or above,0,0,0,225793,225793
Baker College,Private not-for-profit, 4-year or above,0,-148784.47,0,80987396,80838611.5
Baker University,Private not-for-profit, 4-year or above,0,0,0,18066461,18066461
Bakersfield College,Public, 4-year or above,0,1218049.15,0,35916519.8,37134569
Bakke Graduate University,Private not-for-profit, 4-year or above,0,0,0,189103,189103
Baldwin Wallace University,Private not-for-profit, 4-year or above,0,457009,0,36500956,36957965
Ball State University,Public, 4-year or above,0,3039403.84,0,157086886.4,160126290.2
Baltimore City Community College,Public, 2-year,0,833457.5,0,7563316.1,8396773.6
Bank Street College of Education,Private not-for-profit, 4-year or above,0,950194,0,2242155,3192349
Baptist Bible College,Private not-for-profit, 4-year or above,0,0,0,2395156.2,2395156.2
Baptist Memorial College of Health Sciences,Private not-for-profit, 4-year or above,0,0,0,12090330.5,12090330.5
Baptist Missionary Association Theological Seminary,Private not-for-profit, 4-year or above,0,0,0,222754.5,222754.5
Baptist Theological Seminary at Richmond,Private not-for-profit, 4-year or above,0,0,0,181899,181899
Baptist University of the Americas,Private not-for-profit, 4-year or above,0,0,0,343216.5,343216.5
Barclay College,Private not-for-profit, 4-year or above,0,0,0,1589803.2,1589803.2
Bard College,Private not-for-profit, 4-year or above,0,1238289,0,16486707.4,17724996.4
Bard College at Simon's Rock,Private not-for-profit, 4-year or above,0,24000,0,2975935.9,2999935.9
Barnard College,Private not-for-profit, 4-year or above,0,6864720,0,11399893,18264613
Barnes-Jewish College Goldfarb School of Nursing,Private not-for-profit, 4-year or above,0,0,0,9074521,9074521
Barry University,Private not-for-profit, 4-year or above,0,2544613,0,127730766.7,130275379.7
Barstow Community College,Public, 2-year,0,0,0,8858694.4,8858694.4
Barton College,Private not-for-profit, 4-year or above,0,0,0,11191018,11191018
Barton County Community College,Public, 2-year,-76309.2,1268357,-76309.2,5532661,6724708.8
Bastyr University,Private not-for-profit, 4-year or above,0,0,0,48279952,48279952
Bates College,Private not-for-profit, 4-year or above,0,1565442.08,0,5724893,7290335.1
Bates Technical College,Public, 2-year,0,0,0,4818043.5,4818043.5
Baton Rouge Community College,Public, 2-year,0,35540861.88,0,36509419.8,72050281.7
Baton Rouge General Medical Center-School of Nursing,Private not-for-profit, 2-year,0,0,0,776987,776987
Bay de Noc Community College,Public, 2-year,0,103852.77,0,5804465,5908317.8
Bay Mills Community College,Public, 2-year,0,3925299,0,1033379.3,4958678.3
Bay Path University,Private not-for-profit, 4-year or above,0,0,0,46500065.6,46500065.6
Baylor College of Medicine,Private not-for-profit, 4-year or above,8388550.12,292416531.2,8388550.12,16282492,317087573.4
Baylor University,Private not-for-profit, 4-year or above,817121.2,13510490,817121.2,128045064.2,142372675.4
BCI,Private not-for-profit, less-than 2-year,0,0,0,359456,359456
Be'er Yaakov Talmudic Seminary,Private not-for-profit, 4-year or above,0,0,0,3965302.4,3965302.4
Beacon College,Private not-for-profit, 4-year or above,0,0,0,4059406.5,4059406.5
Beaufort County Community College,Public, 2-year,0,373140,0,1771601.9,2144741.9
Beaumont Adult School,Public, less-than 2-year,0,0,0,807342,807342
Becker College,Private not-for-profit, 4-year or above,0,87218.75,0,22387913.5,22475132.2
Beis Medrash Heichal Dovid,Private not-for-profit, 4-year or above,0,0,0,126059,126059
Belanger School of Nursing,Private not-for-profit, 2-year,0,0,0,606860.6,606860.6
Belhaven University,Private not-for-profit, 4-year or above,0,0,0,49393264.1,49393264.1
Bellarmine University,Private not-for-profit, 4-year or above,0,0,0,30130863.5,30130863.5
Bellevue College,Public, 4-year or above,0,622005,0,11267645.5,11889650.5
Bellevue University,Private not-for-profit, 4-year or above,0,0,0,65262516,65262516
Bellin College,Private not-for-profit, 4-year or above,0,0,0,2983631,2983631
Bellingham Technical College,Public, 4-year or above,0,1527243.43,0,9240378,10767621.4
Belmont Abbey College,Private not-for-profit, 4-year or above,0,0,0,14206704.4,14206704.4
Belmont College,Public, 2-year,0,0,0,2983329,2983329
