country,receipts,gdp,receipts_gdp,year,source
Saint Vincent and the Grenadines,222200000.00,789629630.00,0.28,2017,wb
Comoros,148600000.00,648920943.00,0.23,2017,wb
Dominica,148100000.00,562540741.00,0.26,2017,wb
Tonga,134600000.00,426057453.00,0.32,2017,wb
Sao Tome and Principe,114300000.00,390871569.00,0.29,2017,wb
Anguilla,91150000.00,337520470.00,0.27,2016,un
"Micronesia, Federated States of",213800000.00,336427533.00,0.64,2017,wb
Palau,212200000.00,291544300.00,0.73,2017,wb
Cook Islands,86900000.00,290194195.00,0.30,2016,un
Marshall Islands,116700000.00,199399247.00,0.59,2017,wb
Kiribati,197900000.00,196150061.00,1.01,2017,wb
Nauru,57800000.00,113884908.00,0.51,2017,wb
Montserrat,37040000.00,62051375.00,0.60,2016,un
Tuvalu,42680000.00,39731317.00,1.07,2017,wb
