"activity","activity_plain","sub_activity","sub_activity_plain","fiscal_year","revenue","cpi_auc_start","cpi_auc_end","inflation_rate","revenue_adjusted","percent_total","revenue_source","revenue_source_url","cpi_source","cpi_source_url"
"Excise Taxes","Excise Taxes","Highway Trust Fund","Highway Trust Fund",2015,38131980757,237.945,252.439,1.06091323625208,40454723109,38.8,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Highway Trust Fund Refunds","Highway Trust Fund Refunds",2015,0,237.945,252.439,1.06091323625208,0,0,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Black Lung Disability Trust Fund","Black Lung Disability Trust Fund",2015,546452932,237.945,252.439,1.06091323625208,579739148,0.56,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","","",2015,19231606071,237.945,252.439,1.06091323625208,20403065435,0.59,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes Refunds","Estate and Gift Taxes Refunds",2015,-810433029,237.945,252.439,1.06091323625208,-859799127,-4.21,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes",2015,20042039100,237.945,252.439,1.06091323625208,21262864563,104.21,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","","",2015,35041196205,237.945,252.439,1.06091323625208,37175668868,1.08,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","Customs Duties Refunds","Customs Duties Refunds",2015,-2664712689,237.945,252.439,1.06091323625208,-2827028963,-7.6,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","Customs Duties","Customs Duties",2015,37705908895,237.945,252.439,1.06091323625208,40002697831,107.6,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","","",2015,146294446260,237.945,252.439,1.06091323625208,155205714427,4.5,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Miscellaneous Receipts Refunds","Miscellaneous Receipts Refunds",2015,-33518203,237.945,252.439,1.06091323625208,-35559905,-0.02,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Deposit of Earnings, Federal Reserve System","Federal Reserve Deposit of Earnings",2015,96467554321,237.945,252.439,1.06091323625208,102343705248,65.94,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Universal Service Fund","Universal Service Fund",2015,9556277793,237.945,252.439,1.06091323625208,10138381600,6.53,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Other Miscellaneous Receipts","Other Miscellaneous Revenue",2015,40304132348,237.945,252.439,1.06091323625208,42759187484,27.55,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","","",2016,1546074928107,241.428,252.439,1.04560780025515,1616588004608,47.33,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Individual Income Taxes Refunds","Individual Income Taxes Refunds",2016,-251285655184,241.428,252.439,1.04560780025515,-262746241153,-16.25,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Individual Income Taxes Withheld","Individual Income Taxes Withheld",2016,1245698622741,241.428,252.439,1.04560780025515,1302512196705,80.57,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Presidential Election Campaign Fund","Presidential Election Campaign Fund",2016,28616487,241.428,252.439,1.04560780025515,29921622,0,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Other Individual Income Taxes","Other Individual Income Taxes",2016,551633344063,241.428,252.439,1.04560780025515,576792127433,35.68,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Corporation Income Taxes","Corporate Income Taxes","","",2016,299570939628,241.428,252.439,1.04560780025515,313233711205,9.17,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Corporation Income Taxes","Corporate Income Taxes","Corporation Income Taxes Refunds","Corporate Income Taxes Refunds",2016,-46410816531,241.428,252.439,1.04560780025515,-48527511781,-15.49,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Corporation Income Taxes","Corporate Income Taxes","Corporation Income Taxes","Corporate Income Taxes",2016,345981756160,241.428,252.439,1.04560780025515,361761222987,115.49,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","","",2016,1056991999998,241.428,252.439,1.04560780025515,1105199080005,32.36,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Old-Age and Survivors Insurance Trust Fund","Social Security - Old-Age and Survivors Insurance Trust Fund Taxes",2016,668372384349,241.428,252.439,1.04560780025515,698855378551,62.92,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Old-Age and Survivors Insurance Trust Fund Refunds","Social Security - Old-Age and Survivors Insurance Trust Fund Taxes Refunds",2016,-2700297000,241.428,252.439,1.04560780025515,-2823451606,-0.25,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Disability Insurance Trust Fund","Social Security - Disability Insurance Trust Fund Taxes",2016,144966307476,241.428,252.439,1.04560780025515,151577901871,13.65,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Disability Insurance Trust Fund Refunds","Social Security - Disability Insurance Trust Fund Taxes Refunds",2016,-458541000,241.428,252.439,1.04560780025515,-479454046,-0.04,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Hospital Insurance Trust Fund","Medicare Part A Taxes",2016,246812146171,241.428,252.439,1.04560780025515,258068705235,23.23,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Other Retirement","Railroad Retirement","Railroad Retirement",2016,5316647511,241.428,252.439,1.04560780025515,5559128109,0.5,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Other Retirement","Railroad Retirement Refunds","Railroad Retirement Refunds",2016,-3636345,241.428,252.439,1.04560780025515,-3802191,0,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","","",2016,48852716273,241.428,252.439,1.04560780025515,51080781199,1.5,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Deposits by States","Deposits by States",2016,40485353918,241.428,252.439,1.04560780025515,42331801853,82.87,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Federal Unemployment Taxes","Federal Unemployment Taxes",2016,8440229175,241.428,252.439,1.04560780025515,8825169462,17.28,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Federal Unemployment Taxes Refunds","Federal Unemployment Taxes Refunds",2016,-190082879,241.428,252.439,1.04560780025515,-198752141,-0.39,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Railroad Unemployment Taxes","Railroad Unemployment Taxes",2016,117216058,241.428,252.439,1.04560780025515,122562025,0.24,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","","",2016,9218102886,241.428,252.439,1.04560780025515,9638520282,0.28,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","Federal Employees' Retirement - Employee Share","Federal Government Pension: FERS",2016,3875641382,241.428,252.439,1.04560780025515,4052400860,99.25,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","Non-Federal Federal Employees' Retirement","Non-Federal Federal Employees' Retirement",2016,29450337,241.428,252.439,1.04560780025515,30793502,0.75,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","","",2016,95045415455,241.428,252.439,1.04560780025515,99380227778,2.91,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Miscellaneous Excise Taxes","Miscellaneous Excise Taxes",2016,45280950461,241.428,252.439,1.04560780025515,47346115005,47.64,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Miscellaneous Excise Taxes Refunds","Miscellaneous Excise Taxes Refunds",2016,-6437725746,241.428,252.439,1.04560780025515,-6731336256,-6.77,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Airport and Airway Trust Fund","Airport and Airway Trust Fund",2016,14378886981,241.428,252.439,1.04560780025515,15034676386,15.13,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Airport and Airway Trust Fund Refunds","Airport and Airway Trust Fund Refunds",2016,-13441632,241.428,252.439,1.04560780025515,-14054676,-0.01,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Highway Trust Fund","Highway Trust Fund",2016,41433764018,241.428,252.439,1.04560780025515,43323466852,43.59,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Highway Trust Fund Refunds","Highway Trust Fund Refunds",2016,-62671000,241.428,252.439,1.04560780025515,-65529286,-0.07,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Black Lung Disability Trust Fund","Black Lung Disability Trust Fund",2016,465652373,241.428,252.439,1.04560780025515,486889753,0.49,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","","",2016,21354002316,241.428,252.439,1.04560780025515,22327911388,0.65,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes Refunds","Estate and Gift Taxes Refunds",2016,-983135328,241.428,252.439,1.04560780025515,-1027973967,-4.6,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes","Estate and Gift Taxes",2016,22337137644,241.428,252.439,1.04560780025515,23355885356,104.6,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","","",2016,34837269316,241.428,252.439,1.04560780025515,36426120536,1.07,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","Customs Duties Refunds","Customs Duties Refunds",2016,-1630372057,241.428,252.439,1.04560780025515,-1704729740,-4.68,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Customs Duties","Customs Duties","Customs Duties","Customs Duties",2016,36467641373,241.428,252.439,1.04560780025515,38130850277,104.68,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","","",2016,154742996990,241.428,252.439,1.04560780025515,161800484688,4.74,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Miscellaneous Receipts Refunds","Miscellaneous Receipts Refunds",2016,-56674956,241.428,252.439,1.04560780025515,-59259776,-0.04,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Deposit of Earnings, Federal Reserve System","Federal Reserve Deposit of Earnings",2016,115672067217,241.428,252.439,1.04560780025515,120947615754,74.75,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Universal Service Fund","Universal Service Fund",2016,9921503558,241.428,252.439,1.04560780025515,10374001511,6.41,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Miscellaneous Receipts","Miscellaneous Revenue","Other Miscellaneous Receipts","Other Miscellaneous Revenue",2016,29206101171,241.428,252.439,1.04560780025515,30538127199,18.87,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","","",2017,1587119168060,246.819,252.439,1.02276972194199,1623257430205,47.88,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Individual Income Taxes Refunds","Individual Income Taxes Refunds",2017,-261676703882,246.819,252.439,1.02276972194199,-267635009668,-16.49,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Individual Income Taxes Withheld","Individual Income Taxes Withheld",2017,1309265617886,246.819,252.439,1.02276972194199,1339077231954,82.49,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Presidential Election Campaign Fund","Presidential Election Campaign Fund",2017,26811542,246.819,252.439,1.02276972194199,27422033,0,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Individual Income Taxes","Individual Income Taxes","Other Individual Income Taxes","Other Individual Income Taxes",2017,539503442513,246.819,252.439,1.02276972194199,551787785886,33.99,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Corporation Income Taxes","Corporate Income Taxes","","",2017,297047881064,246.819,252.439,1.02276972194199,303811578719,8.96,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Corporation Income Taxes","Corporate Income Taxes","Corporation Income Taxes Refunds","Corporate Income Taxes Refunds",2017,-41930059841,246.819,252.439,1.02276972194199,-42884795644,-14.12,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Corporation Income Taxes","Corporate Income Taxes","Corporation Income Taxes","Corporate Income Taxes",2017,338977940905,246.819,252.439,1.02276972194199,346696374364,114.12,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","","",2017,1106547941589,246.819,252.439,1.02276972194199,1131743730535,33.38,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Old-Age and Survivors Insurance Trust Fund","Social Security - Old-Age and Survivors Insurance Trust Fund Taxes",2017,690708670171,246.819,252.439,1.02276972194199,706435914534,62.12,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Old-Age and Survivors Insurance Trust Fund Refunds","Social Security - Old-Age and Survivors Insurance Trust Fund Taxes Refunds",2017,-2661310050,246.819,252.439,1.02276972194199,-2721907339,-0.24,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Disability Insurance Trust Fund","Social Security - Disability Insurance Trust Fund Taxes",2017,163199164039,246.819,252.439,1.02276972194199,166915163625,14.68,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Disability Insurance Trust Fund Refunds","Social Security - Disability Insurance Trust Fund Taxes Refunds",2017,-628843950,246.819,252.439,1.02276972194199,-643162551,-0.06,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Social Security and Medicare Taxes","Federal Hospital Insurance Trust Fund","Medicare Part A Taxes",2017,255930261379,246.819,252.439,1.02276972194199,261757722267,23.02,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Other Retirement","Railroad Retirement","Railroad Retirement",2017,5350770602,246.819,252.439,1.02276972194199,5472606161,0.48,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Employment and General Retirement","Other Retirement","Railroad Retirement Refunds","Railroad Retirement Refunds",2017,-2158617,246.819,252.439,1.02276972194199,-2207768,0,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","","",2017,45808340166,246.819,252.439,1.02276972194199,46851383334,1.38,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Deposits by States","Deposits by States",2017,37551306647,246.819,252.439,1.02276972194199,38406339458,81.97,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Federal Unemployment Taxes","Federal Unemployment Taxes",2017,8284270435,246.819,252.439,1.02276972194199,8472900970,18.08,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Federal Unemployment Taxes Refunds","Federal Unemployment Taxes Refunds",2017,-153634278,246.819,252.439,1.02276972194199,-157132488,-0.34,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Unemployment Insurance","Unemployment Insurance","Railroad Unemployment Taxes","Railroad Unemployment Taxes",2017,126397361,246.819,252.439,1.02276972194199,129275394,0.28,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","","",2017,9539244280,246.819,252.439,1.02276972194199,9756450220,0.29,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","Federal Employees' Retirement - Employee Share","Federal Government Pension: FERS",2017,4156642896,246.819,252.439,1.02276972194199,4251288499,99.19,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Other Retirement","Other Retirement","Non-Federal Federal Employees' Retirement","Non-Federal Federal Employees' Retirement",2017,33989399,246.819,252.439,1.02276972194199,34763328,0.81,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","","",2017,83822381040,246.819,252.439,1.02276972194199,85730993349,2.53,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
"Excise Taxes","Excise Taxes","Miscellaneous Excise Taxes","Miscellaneous Excise Taxes",2017,32493541758,246.819,252.439,1.02276972194199,33233410668,38.76,"Monthly Treasury Statement","https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Bureau of Labor Statistics","https://data.bls.gov/cgi-bin/surveymost?bls"
