activity,activity_plain,sub_activity,sub_activity_plain,fiscal_year,income,cpi_auc_start,cpi_auc_end,inflation_rate,income_adjusted,percent_total,income_url,cpi_url
Employment and General Retirement,"Social Security, Medicare, and General Retirement",,,2015,1010450000000.00,237.945,246.819,1.037294333,1.05E+12,31.1,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Old-Age and Survivors Insurance Trust Fund,Social Security: OASI,2015,660956000000.00,237.945,246.819,1.037294333,6.86E+11,65.41,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Old-Age and Survivors Insurance Trust Fund Refunds,Social Security OASI Refunds,2015,-2394000000.00,237.945,246.819,1.037294333,-2480000000,-0.24,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Disability Insurance Trust Fund,Social Security: DI,2015,112239000000.00,237.945,246.819,1.037294333,1.16E+11,11.11,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Disability Insurance Trust Fund Refunds,Social Security DI Refunds,2015,-407000000.00,237.945,246.819,1.037294333,-422000000,-0.04,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Hospital Insurance Trust Fund,Medicare Part A,2015,234189000000.00,237.945,246.819,1.037294333,2.43E+11,23.18,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Railroad Retirement,Railroad Retirement,2015,5868000000.00,237.945,246.819,1.037294333,6090000000,0.58,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Railroad Retirement Refunds,Railroad Retirement Refunds,2015,-2000000.00,237.945,246.819,1.037294333,-2000000,0,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,,,2015,51177000000.00,237.945,246.819,1.037294333,53100000000,1.58,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Deposits by States,Deposits by States,2015,42177000000.00,237.945,246.819,1.037294333,43800000000,82.41,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Federal Unemployment Taxes,Federal Unemployment Taxes,2015,9108000000.00,237.945,246.819,1.037294333,9450000000,17.8,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Federal Unemployment Taxes Refunds,Federal Unemployment Taxes Refunds,2015,-182000000.00,237.945,246.819,1.037294333,-189000000,-0.36,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Railroad Unemployment Taxes,Railroad Unemployment Taxes,2015,75000000.00,237.945,246.819,1.037294333,78000000,0.15,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,,,2015,3651000000.00,237.945,246.819,1.037294333,3790000000,0.11,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,Federal Employees' Retirement - Employee Share,Government Pension: FERS,2015,3628000000.00,237.945,246.819,1.037294333,3760000000,99.37,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,Non-Federal Employees' Retirement,Civil Service Retirement Fund,2015,23000000.00,237.945,246.819,1.037294333,24000000,0.63,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,,,2015,98279000000.00,237.945,246.819,1.037294333,1.02E+11,3.03,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Miscellaneous Excise Taxes,Other Excise Taxes,2015,50801000000.00,237.945,246.819,1.037294333,52700000000,51.69,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Miscellaneous Excise Taxes Refunds,Other Excise Taxes Refunds,2015,-4585000000.00,237.945,246.819,1.037294333,-4760000000,-4.67,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Airport and Airway Trust Fund,Airport and Airway Trust Fund,2015,13403000000.00,237.945,246.819,1.037294333,13900000000,13.64,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Airport and Airway Trust Fund Refunds,Airport and Airway Trust Fund Refunds,2015,-19000000.00,237.945,246.819,1.037294333,-20000000,-0.02,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Highway Trust Fund,Highway Trust Fund,2015,38132000000.00,237.945,246.819,1.037294333,39600000000,38.8,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Highway Trust Fund Refunds,Highway Trust Fund Refunds,2015,0.00,237.945,246.819,1.037294333,0,0,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Black Lung Disability Trust Fund,Black Lung Disability Trust Fund,2015,546000000.00,237.945,246.819,1.037294333,566000000,0.56,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,,,2015,19232000000.00,237.945,246.819,1.037294333,19900000000,0.59,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes,2015,20042000000.00,237.945,246.819,1.037294333,20800000000,104.21,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes Refunds,Estate and Gift Taxes Refunds,2015,-810000000.00,237.945,246.819,1.037294333,-840000000,-4.21,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,,,2015,35041000000.00,237.945,246.819,1.037294333,36300000000,1.08,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,Customs Duties,Customs Duties,2015,37706000000.00,237.945,246.819,1.037294333,39100000000,107.61,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,Customs Duties Refunds,Customs Duties Refunds,2015,-2665000000.00,237.945,246.819,1.037294333,-2760000000,-7.61,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,,,2015,146294000000.00,237.945,246.819,1.037294333,1.52E+11,4.5,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,"Deposit of Earnings, Federal Reserve System",Federal Reserve Deposit of Earnings,2015,96468000000.00,237.945,246.819,1.037294333,1E+11,65.94,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Universal Service Fund,Universal Service Fund,2015,9556000000.00,237.945,246.819,1.037294333,9910000000,6.53,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Other Miscellaneous Receipts,Other Income from Non-Tax Sources,2015,40304000000.00,237.945,246.819,1.037294333,41800000000,27.55,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Miscellaneous Receipts Refunds,Refunds on Income from Non-Tax Sources,2015,-34000000.00,237.945,246.819,1.037294333,-35000000,-0.02,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0915.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,,,2016,1546080000000.00,241.428,246.819,1.022329639,1.5806E+12,47.33,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Individual Income Taxes Withheld,Individual Income Taxes,2016,1245700000000.00,241.428,246.819,1.022329639,1.27352E+12,80.57,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Presidential Election Campaign Fund,Presidential Election Campaign Fund,2016,29000000.00,241.428,246.819,1.022329639,30000000,0,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Other Individual Income Taxes,Other Individual Income Taxes,2016,551633000000.00,241.428,246.819,1.022329639,5.64E+11,35.68,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Individual Income Taxes Refunds,Individual Income Taxes Refunds,2016,-251286000000.00,241.428,246.819,1.022329639,-2.57E+11,-16.25,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,,,2016,299571000000.00,241.428,246.819,1.022329639,3.06E+11,9.17,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,Corporation Income Taxes,Corporate Income Taxes,2016,345982000000.00,241.428,246.819,1.022329639,3.54E+11,115.49,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,Corporation Income Taxes Refunds,Corporate Income Taxes Refunds,2016,-46411000000.00,241.428,246.819,1.022329639,-47400000000,-15.49,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",,,2016,1062310000000.00,241.428,246.819,1.022329639,1.09E+12,32.52,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Old-Age and Survivors Insurance Trust Fund,Social Security: OASI,2016,668372000000.00,241.428,246.819,1.022329639,6.83E+11,62.92,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Old-Age and Survivors Insurance Trust Fund Refunds,Social Security OASI Refunds,2016,-2700000000.00,241.428,246.819,1.022329639,-2760000000,-0.25,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Disability Insurance Trust Fund,Social Security: DI,2016,144966000000.00,241.428,246.819,1.022329639,1.48E+11,13.65,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Disability Insurance Trust Fund Refunds,Social Security DI Refunds,2016,-459000000.00,241.428,246.819,1.022329639,-469000000,-0.04,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Hospital Insurance Trust Fund,Medicare Part A,2016,246812000000.00,241.428,246.819,1.022329639,2.52E+11,23.23,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Railroad Retirement,Railroad Retirement,2016,5317000000.00,241.428,246.819,1.022329639,5440000000,0.5,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Railroad Retirement Refunds,Railroad Retirement Refunds,2016,-4000000.00,241.428,246.819,1.022329639,-4000000,0,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,,,2016,48853000000.00,241.428,246.819,1.022329639,49900000000,1.5,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Deposits by States,Deposits by States,2016,40485000000.00,241.428,246.819,1.022329639,41400000000,82.87,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Federal Unemployment Taxes,Federal Unemployment Taxes,2016,8440000000.00,241.428,246.819,1.022329639,8630000000,17.28,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Federal Unemployment Taxes Refunds,Federal Unemployment Taxes Refunds,2016,-190000000.00,241.428,246.819,1.022329639,-194000000,-0.39,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Railroad Unemployment Taxes,Railroad Unemployment Taxes,2016,117000000.00,241.428,246.819,1.022329639,120000000,0.24,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,,,2016,3905000000.00,241.428,246.819,1.022329639,3990000000,0.12,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,Federal Employees' Retirement - Employee Share,Government Pension: FERS,2016,3876000000.00,241.428,246.819,1.022329639,3960000000,99.26,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,Non-Federal Employees' Retirement,Civil Service Retirement Fund,2016,29000000.00,241.428,246.819,1.022329639,30000000,0.74,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,,,2016,95045000000.00,241.428,246.819,1.022329639,97200000000,2.91,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Miscellaneous Excise Taxes,Other Excise Taxes,2016,45281000000.00,241.428,246.819,1.022329639,46300000000,47.64,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Miscellaneous Excise Taxes Refunds,Other Excise Taxes Refunds,2016,-6438000000.00,241.428,246.819,1.022329639,-6580000000,-6.77,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Airport and Airway Trust Fund,Airport and Airway Trust Fund,2016,14379000000.00,241.428,246.819,1.022329639,14700000000,15.13,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Airport and Airway Trust Fund Refunds,Airport and Airway Trust Fund Refunds,2016,-13000000.00,241.428,246.819,1.022329639,-13000000,-0.01,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Highway Trust Fund,Highway Trust Fund,2016,41434000000.00,241.428,246.819,1.022329639,42400000000,43.59,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Highway Trust Fund Refunds,Highway Trust Fund Refunds,2016,-63000000.00,241.428,246.819,1.022329639,-64000000,-0.07,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Black Lung Disability Trust Fund,Black Lung Disability Trust Fund,2016,466000000.00,241.428,246.819,1.022329639,476000000,0.49,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,,,2016,21354000000.00,241.428,246.819,1.022329639,21800000000,0.65,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes,2016,22337000000.00,241.428,246.819,1.022329639,22800000000,104.6,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes Refunds,Estate and Gift Taxes Refunds,2016,-983000000.00,241.428,246.819,1.022329639,-1010000000,-4.6,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,,,2016,34837000000.00,241.428,246.819,1.022329639,35600000000,1.07,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,Customs Duties,Customs Duties,2016,36468000000.00,241.428,246.819,1.022329639,37300000000,104.68,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,Customs Duties Refunds,Customs Duties Refunds,2016,-1630000000.00,241.428,246.819,1.022329639,-1670000000,-4.68,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,,,2016,154743000000.00,241.428,246.819,1.022329639,1.58E+11,4.74,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,"Deposit of Earnings, Federal Reserve System",Federal Reserve Deposit of Earnings,2016,115672000000.00,241.428,246.819,1.022329639,1.18E+11,74.75,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Universal Service Fund,Universal Service Fund,2016,9922000000.00,241.428,246.819,1.022329639,10100000000,6.41,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Other Miscellaneous Receipts,Other Income from Non-Tax Sources,2016,29206000000.00,241.428,246.819,1.022329639,29900000000,18.87,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Miscellaneous Receipts Refunds,Refunds on Income from Non-Tax Sources,2016,-57000000.00,241.428,246.819,1.022329639,-58000000,-0.04,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0916.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,,,2017,1587120000000.00,246.819,246.819,1,1.59E+12,47.88,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Individual Income Taxes Withheld,Individual Income Taxes,2017,1309270000000.00,246.819,246.819,1,1.31E+12,82.49,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Presidential Election Campaign Fund,Presidential Election Campaign Fund,2017,27000000.00,246.819,246.819,1,27000000,0,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Other Individual Income Taxes,Other Individual Income Taxes,2017,539503000000.00,246.819,246.819,1,5.4E+11,33.99,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Individual Income Taxes Refunds,Individual Income Taxes Refunds,2017,-261677000000.00,246.819,246.819,1,-2.62E+11,-16.49,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,,,2017,297048000000.00,246.819,246.819,1,2.97E+11,8.96,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,Corporation Income Taxes,Corporate Income Taxes,2017,338978000000.00,246.819,246.819,1,3.39E+11,114.12,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Corporation Income Taxes,Corporate Income Taxes,Corporation Income Taxes Refunds,Corporate Income Taxes Refunds,2017,-41930000000.00,246.819,246.819,1,-41900000000,-14.12,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",,,2017,1111900000000.00,246.819,246.819,1,1.11E+12,33.54,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Old-Age and Survivors Insurance Trust Fund,Social Security: OASI,2017,690709000000.00,246.819,246.819,1,6.91E+11,62.12,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Old-Age and Survivors Insurance Trust Fund Refunds,Social Security OASI Refunds,2017,-2661000000.00,246.819,246.819,1,-2661000000,-0.24,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Disability Insurance Trust Fund,Social Security: DI,2017,163199000000.00,246.819,246.819,1,1.63E+11,14.68,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Disability Insurance Trust Fund Refunds,Social Security DI Refunds,2017,-629000000.00,246.819,246.819,1,-629000000,-0.06,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Federal Hospital Insurance Trust Fund,Medicare Part A,2017,255930000000.00,246.819,246.819,1,2.56E+11,23.02,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Railroad Retirement,Railroad Retirement,2017,5351000000.00,246.819,246.819,1,5350000000,0.48,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Employment and General Retirement,"Social Security, Medicare, and General Retirement",Railroad Retirement Refunds,Railroad Retirement Refunds,2017,-2000000.00,246.819,246.819,1,-2000000,0,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,,,2017,45808000000.00,246.819,246.819,1,45800000000,1.38,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Unemployment Insurance,Unemployment Insurance,Deposits by States,Deposits by States,2017,37551000000.00,246.819,246.819,1,37600000000,81.98,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0917.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
