activity,activity_plain,sub_activity,sub_activity_plain,fiscal_year,income,cpi_auc_start,cpi_auc_end,inflation_rate,income_adjusted,percent_total,income_url,cpi_url
Other Retirement,Other Retirement,,,2013,3564000000.00,234.149,246.819,1.054110844,3760000000,0.13,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,Federal Employees' Retirement - Employee Share,Government Pension: FERS,2013,3538000000.00,234.149,246.819,1.054110844,3730000000,99.27,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Other Retirement,Other Retirement,Non-Federal Employees' Retirement,Civil Service Retirement Fund,2013,26000000.00,234.149,246.819,1.054110844,27000000,0.73,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,,,2013,84008000000.00,234.149,246.819,1.054110844,88600000000,3.03,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Miscellaneous Excise Taxes,Other Excise Taxes,2013,38425000000.00,234.149,246.819,1.054110844,40500000000,45.74,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Miscellaneous Excise Taxes Refunds,Other Excise Taxes Refunds,2013,-4015000000.00,234.149,246.819,1.054110844,-4230000000,-4.78,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Airport and Airway Trust Fund,Airport and Airway Trust Fund,2013,12677000000.00,234.149,246.819,1.054110844,13400000000,15.09,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Airport and Airway Trust Fund Refunds,Airport and Airway Trust Fund Refunds,2013,-18000000.00,234.149,246.819,1.054110844,-19000000,-0.02,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Highway Trust Fund,Highway Trust Fund,2013,36410000000.00,234.149,246.819,1.054110844,38400000000,43.34,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Highway Trust Fund Refunds,Highway Trust Fund Refunds,2013,0.00,234.149,246.819,1.054110844,0,0,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Excise Taxes,Excise Taxes,Black Lung Disability Trust Fund,Black Lung Disability Trust Fund,2013,529000000.00,234.149,246.819,1.054110844,558000000,0.63,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,,,2013,18912000000.00,234.149,246.819,1.054110844,19900000000,0.68,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes,2013,19830000000.00,234.149,246.819,1.054110844,20900000000,104.85,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Estate and Gift Taxes,Estate and Gift Taxes,Estate and Gift Taxes Refunds,Estate and Gift Taxes Refunds,2013,-918000000.00,234.149,246.819,1.054110844,-968000000,-4.85,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,,,2013,31814000000.00,234.149,246.819,1.054110844,33500000000,1.15,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,Customs Duties,Customs Duties,2013,33119000000.00,234.149,246.819,1.054110844,34900000000,104.1,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Customs Duties,Customs Duties,Customs Duties Refunds,Customs Duties Refunds,2013,-1305000000.00,234.149,246.819,1.054110844,-1380000000,-4.1,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,,,2013,101513000000.00,234.149,246.819,1.054110844,1.07E+11,3.66,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,"Deposit of Earnings, Federal Reserve System",Federal Reserve Deposit of Earnings,2013,75767000000.00,234.149,246.819,1.054110844,79900000000,74.64,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Universal Service Fund,Universal Service Fund,2013,9809000000.00,234.149,246.819,1.054110844,10300000000,9.66,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Other Miscellaneous Receipts,Other Income from Non-Tax Sources,2013,15972000000.00,234.149,246.819,1.054110844,16800000000,15.73,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Miscellaneous Receipts,Income from Non-Tax Sources,Miscellaneous Receipts Refunds,Refunds on Income from Non-Tax Sources,2013,-33000000.00,234.149,246.819,1.054110844,-35000000,-0.03,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0913.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,,,2014,1394570000000.00,238.031,246.819,1.036919561,1.44605E+12,46.16,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
Individual Income Taxes,Individual Income Taxes,Individual Income Taxes Withheld,Individual Income Taxes,2014,1149710000000.00,238.031,246.819,1.036919561,1.19216E+12,82.44,https://www.fiscal.treasury.gov/fsreports/rpt/mthTreasStmt/mts0914.pdf,https://data.bls.gov/cgi-bin/surveymost?bls
