"year","category","amount","source_url","source_url_name"
2019,"federal deficit",-984388026331,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0919.pdf","Monthly Treasury Statement"
2019,"federal revenue",3462195610149,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0919.pdf","Monthly Treasury Statement"
2019,"federal spending",4446583636480,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0919.pdf","Monthly Treasury Statement"
2019,"federal debt",22719402000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2019/opds092019.pdf","Monthly Statement of the Public Debt"
2019,"prior year federal debt",21516058000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2018/opds092018.pdf","Monthly Statement of the Public Debt"
2019,"increase in federal debt",1203344000000,NA,NA
