"year","federal_spending","source_url","source_url_name"
2015,3687622000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Monthly Treasury Statement"
2016,3854100000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Monthly Treasury Statement"
2017,3980605000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Monthly Treasury Statement"
2018,4107741000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Monthly Treasury Statement"
2019,4446583636480,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0919.pdf","Monthly Treasury Statement"
