"year","federal_debt","source_url","source_url_name"
2015,18150618000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2015/opds092015.pdf","Monthly Statement of the Public Debt"
2016,19573445000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2016/opds092016.pdf","Monthly Statement of the Public Debt"
2017,20244900000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2017/opds092017.pdf","Monthly Statement of the Public Debt"
2018,21516058000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2018/opds092018.pdf","Monthly Statement of the Public Debt"
2019,22719402000000,"https://treasurydirect.gov/govt/reports/pd/mspd/2019/opds092019.pdf","Monthly Statement of the Public Debt"
