"year","federal_revenue","source_url","source_url_name"
2015,3248723000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0915.pdf","Monthly Treasury Statement"
2016,3266688000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0916.pdf","Monthly Treasury Statement"
2017,3314894000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0917.pdf","Monthly Treasury Statement"
2018,3328745000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0918.pdf","Monthly Treasury Statement"
2019,3462195610149,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0919.pdf","Monthly Treasury Statement"
