"opeid","school","subsidized13","unsubsidized13","parent13","grad_plus13","grants13","perkins13","FSEOG13","FWS13","subsidized14","unsubsidized14","parent14","grad_plus14","grants14","perkins14","FSEOG14","FWS14","subsidized15","unsubsidized15","parent15","grad_plus15","grants15","perkins15","FSEOG15","FWS15","subsidized16","unsubsidized16","parent16","grad_plus16","grants16","perkins16","FSEOG16","FWS16","subsidized17","unsubsidized17","parent17","grad_plus17","grants17","perkins17","FSEOG17","FWS17"
"00100900","AUBURN UNIVERSITY",24459633,67432217,28735744,5878166,13871011,763935,1533045,531534,24579379,68252476,32045114,6701530,14095519,723311,2004583,615328,24952042,69522755,34405570,8045407,14536276,666686,2414235,643670,24378974,69118966,36721007,8431975,14627489,598534,2429374,702728,25473413,69406126,41100623,9287485,15806318,2035806,828865,559484
"00101200","BIRMINGHAM-SOUTHERN COLLEGE",1890905,2141071,1992579,0,1133060,223695,236750,154569,1724887,1997175,1742057,0,1009561,210096,299975,133200,1719480,2118555,2222749,0,1093422.47,218124,355911,144968,1813801,2119208,2701853,0,1062014.7,227025,454135,135333,1799192,1926155,2891047,0,1163359.91,166169,141048,202467
"00101300","CALHOUN COMMUNITY COLLEGE",10250769,9388755,60885,0,18379567,204276,NA,377914,10484107,9489715,47503,0,17981607,227719,NA,364166,8438858,8090957,43961,0,15502351,217035,NA,226161,6979676,7308293,41965,0,13171820.56,185966,NA,251292,5957781,6493809,73086,0,12509472.04,NA,212686,212722
"00101500","ENTERPRISE STATE COMMUNITY COLLEGE",1837008,1445015,15342,0,5401785,99752,NA,60000,1424728,1222244,14771,0,4779275,78026,NA,73200,1151252,1066145,3478,0,4167846.24,111758,NA,44102,811390,883252,5997,0,3419743.83,90536,NA,59200,647875,855981,25923,0,3297243.42,NA,39200,109156
"00101600","UNIVERSITY OF NORTH ALABAMA",10164260,15751496,1399227,0,9713189,302995,NA,182787,9862637,15142985,1729604,6532,9476104,288835,NA,170575,10351686,15393806,2609070,58479,9781867,314664,NA,192693,11022624,16670962,4127751,107874,10574709,315316,NA,210800,11064980,17182860,4838257,77902,10735338,NA,150807,258704
"00101900","HUNTINGDON COLLEGE",2807230,3643856,1366815,0,1976733,99994,55123,92714,2907577,3675447,1660261,0,2121486,112011,80750,92714,3095885,3827896,2075603,0,2360676,91104,195292,101985,2920126,3439458,2134832,0,2289267,94302,85029,93214,2858826,3234325,2534622,0,2242846,80200,108929,89733
"00102000","JACKSONVILLE STATE UNIVERSITY",17097375,29834627,1978320,98895,14808663,401196,NA,235325,16568515,28349278,2380189,145969,14279052,405337,NA,207323,14586081,24899369,2849201,130354,13152104,422524,NA,218716,13938230,22806245,3271004,224375,12553059,381087,NA,234375,13233277,22276515,3570251,219686,12951880,NA,294184,379781
"00102200","JEFFERSON STATE COMMUNITY COLLEGE",6411138,2766360,0,0,12232069,351069,NA,437100,5977900,2656338,0,0,12193421,386771,NA,426267,5243732,2449945,0,0,10635070,364091,NA,319595,5191869,2559961,0,0,10152123,402426,NA,311000,5144580,2667880,0,0,9936865,NA,329500,389721
"00102300","JUDSON COLLEGE",1018959,1137943,450109,0,743255,64204,37912,14476,832897,849826,376924,0,699452,64204,24800,14585,637090,697918,415066,0,811665.47,64204,31455,21650,654937,696115,487423,0,710176.63,76187,6102,25850,1045525,1204171,500306,0,880754.89,27349,27963,71140
"00102400","UNIVERSITY OF WEST ALABAMA",5022639,43731790,1363054,0,4911166,395221,3500,150060,4950031,35230939,1969521,0,4733862,370771,27500,93985,4739797,33356902,2950634,0,4613066.34,443199,126352,145678,4811788,32207217,4224222,0,4911090.61,456355,31630,99270,5193586,36704870,4824791,0,5210733.3,NA,106828,373426
"00102600","MARION MILITARY INSTITUTE",734233,1127687,155324,0,775101,17623,NA,16200,497448,827099,131858,0,766653,19992,NA,14414,582207,883351,189593,0,818902.5,20008,NA,14370,423851,670566,246162,0,737511.69,20000,NA,20000,329207,504868,191723,0,830344.82,NA,20000,20000
"00102800","MILES COLLEGE",5814550,7302577,1022025,0,8066484,278390,NA,342911,3571384,4497856,1070991,0,3774539,263807,NA,358896,8334191,8275766,2416675,0,11705598.82,214652,NA,380908,6981983,7413521,4235475,0,8028894.98,206402,NA,380785,6165378,5790638,3599165,0,7917193.96,NA,380910,169924
"00102900","UNIVERSITY OF MOBILE",4122005,7815849,945472,25563,2821766,135146,36850,115917,3919909,7274864,1414650,11500,2871322,130090,31000,107839,3814275,6608756,1710341,31351,2960268,138937,42000,109511,3841933,6079991,2363404,83143,2924418,123690,27147,70933,3513633,5911276,2246284,48746,2654420,40850,65272,84959
"00103100","NORTHEAST ALABAMA COMMUNITY COLLEGE",1315830,393335,0,0,8068752,98699,NA,63149,870871,435579,0,0,7146975,80361,NA,64086,738004,500344,0,0,6178209.66,116431,NA,98525,736721,487567,0,0,5888450.39,82632,NA,56771,724735,456637,0,0,5833877.74,NA,85000,91662
"00103300","OAKWOOD UNIVERSITY",8315390,9957277,3129532,0,4430616,186396,NA,247792,5162584,6015511,2595230,0,4510719,194727,NA,293785,5653117,6623463,3170185,0,3834068,205769,NA,293235,4821442,5301507,4208328,0,3956980,175647,NA,295747,5116707,5233091,4998890,0,4305255.66,NA,278941,180573
"00103600","SAMFORD UNIVERSITY",3336756,30188715,7441377,14924209,1725241,379979,911285,279566,3225451,30181990,6607685,15177379,1736529,342186,542991,212144,3157353,30803368,6440633,16406143,1631966,381753,782300,268100,3253451,35273717,6578121,18306070,1535965,450222,389457,157893,3262056,35854600,7158245,18711413,1775259,768826,209493,439571
"00103800","SNEAD STATE COMMUNITY COLLEGE",1844407,582837,18445,0,6055656,70133,NA,40402,1917672,658080,33494,0,6099801,63742,NA,33732,1902676,577749,34350,0,6097902,78097,NA,38992,1846353,614269,37284,0,5567589,88129,NA,39500,1490663,991908,27604,0,4906573.08,NA,35500,72922
