"Recipient","INST_TYPE_1","INST_TYPE_2","total_awards","grants","contracts","student_aid","Total_Federal_Investment"
"Rosalind Franklin University of Medicine and Science","Private not-for-profit"," 4-year or above",7933083.61,7688703,244380.61,62010466,69943549.61
"Rose State College","Public"," 2-year",686384,686384,0,13866345,14552729
"Rose-Hulman Institute of Technology","Private not-for-profit"," 4-year or above",49657,49657,0,14312183,14361840
"Rosedale Bible College","Private not-for-profit"," 2-year",0,0,0,157698,157698
"Rosedale Technical College","Private not-for-profit"," 2-year",0,0,0,4660574,4660574
"Rosemont College","Private not-for-profit"," 4-year or above",0,0,0,11107355,11107355
"Rowan College at Burlington County","Public"," 2-year",98882,98882,0,20753605.27,20852487.3
"Rowan College at Gloucester County","Public"," 2-year",57673,57673,0,20998702.71,21056375.7
"Rowan University","Public"," 4-year or above",14793512.46,11213331,3580181.46,169793497,184587009.5
"Rowan-Cabarrus Community College","Public"," 2-year",1237938.64,1237938.64,0,9433216.16,10671154.84
"Roxbury Community College","Public"," 2-year",0,0,0,3217652.82,3217652.8
"Rush University","Private not-for-profit"," 4-year or above",58545069.02,54373109,4171960.02,51810229.95,110355299
"Rust College","Private not-for-profit"," 4-year or above",2677932,2677932,0,7534146.97,10212079
"Rutgers University-New Brunswick","Public"," 4-year or above",292230036.65,278147584.92,14082451.73,495969447.51,788199484.2
"SABER College","Private not-for-profit"," 2-year",0,0,0,1664929.85,1664929.8
"Sacramento City College","Public"," 2-year",1170440,1170440,0,26590113.13,27760553.1
"Sacred Heart Seminary and School of Theology","Private not-for-profit"," 4-year or above",0,0,0,24088,24088
"Sacred Heart University","Private not-for-profit"," 4-year or above",1001175,1001175,0,78702391,79703566
"Saddleback College","Public"," 2-year",-60892.57,-60892.57,0,11993874,11932981.43
"Saginaw Chippewa Tribal College","Public"," 2-year",1622300,1622300,0,243066,1865366
"Saginaw Valley State University","Public"," 4-year or above",2260020,2260020,0,58540161,60800181
"Saint Ambrose University","Private not-for-profit"," 4-year or above",22553,22553,0,32823757.49,32846310.5
"Saint Anselm College","Private not-for-profit"," 4-year or above",1647360,1647360,0,15397103,17044463
"Saint Anthony College of Nursing","Private not-for-profit"," 4-year or above",0,0,0,3250890,3250890
"Saint Augustine College","Private not-for-profit"," 4-year or above",0,0,0,4767834,4767834
"Saint Augustine's University","Private not-for-profit"," 4-year or above",3899799.76,3899799.76,0,13274348,17174147.76
"Saint Charles Borromeo Seminary-Overbrook","Private not-for-profit"," 4-year or above",0,0,0,226882,226882
"Saint Cloud State University","Public"," 4-year or above",998446,992641,5805,61312792,62311238
"Saint Edward's University","Private not-for-profit"," 4-year or above",2547392,2547392,0,36448841.8,38996233.8
"Saint Elizabeth College of Nursing","Private not-for-profit"," 2-year",0,0,0,1959213.38,1959213.4
"Saint Elizabeth School of Nursing","Private not-for-profit"," 2-year",0,0,0,1500326.3,1500326.3
"Saint Francis Medical Center College of Nursing","Private not-for-profit"," 4-year or above",0,0,0,4712047.5,4712047.5
"Saint Francis Medical Center School of Nursing","Private not-for-profit"," 2-year",0,0,0,96890,96890
"Saint Francis University","Private not-for-profit"," 4-year or above",780883,713639,67244,24869176,25650059
"Saint John Fisher College","Private not-for-profit"," 4-year or above",2699720,2699720,0,47775768.5,50475488.5
"Saint John Vianney College Seminary","Private not-for-profit"," 4-year or above",0,0,0,86665,86665
"Saint Johns River State College","Public"," 4-year or above",-126250.73,-126250.73,0,13405722.38,13279471.67
"Saint Johns University","Private not-for-profit"," 4-year or above",10000,10000,0,10268542,10278542
"Saint Joseph Seminary College","Private not-for-profit"," 4-year or above",0,0,0,254669,254669
"Saint Joseph's College of Maine","Private not-for-profit"," 4-year or above",760072,760072,0,15027344,15787416
"Saint Joseph's University","Private not-for-profit"," 4-year or above",2757719,2757719,0,59476433.19,62234152.2
"Saint Leo University","Private not-for-profit"," 4-year or above",73695,73695,0,124501679,124575374
"Saint Louis Christian College","Private not-for-profit"," 4-year or above",0,0,0,526179.86,526179.9
"Saint Louis Community College","Public"," 2-year",1338140.62,1338140.62,0,28894388.62,30232529.22
"Saint Louis University","Private not-for-profit"," 4-year or above",30562853.37,25957556.58,4605296.79,111882389.65,142445243.1
"Saint Luke's College of Health Sciences","Private not-for-profit"," 4-year or above",0,0,0,6162456.95,6162456.9
"Saint Martin's University","Private not-for-profit"," 4-year or above",121345,121345,0,12480284,12601629
"Saint Mary-of-the-Woods College","Private not-for-profit"," 4-year or above",0,0,0,8111498.35,8111498.4
"Saint Mary's College","Private not-for-profit"," 4-year or above",217138,217138,0,12867965.56,13085103.6
"Saint Mary's College of California","Private not-for-profit"," 4-year or above",836882,826882,10000,39142295.42,39979177.4
"Saint Mary's University of Minnesota","Private not-for-profit"," 4-year or above",2777863.44,701131.09,2076732.35,43666849,46444712.44
"Saint Meinrad School of Theology","Private not-for-profit"," 4-year or above",0,0,0,74500,74500
"Saint Michael's College","Private not-for-profit"," 4-year or above",1164739,1164739,0,12009546,13174285
"Saint Norbert College","Private not-for-profit"," 4-year or above",0,0,0,15447079,15447079
