"Recipient","INST_TYPE_1","INST_TYPE_2","total_awards","grants","contracts","student_aid","Total_Federal_Investment"
"Cumberland County College","Public"," 2-year",1913585,1913585,0,10275287.51,12188872.5
"Cumberland University","Private not-for-profit"," 4-year or above",143657,143657,0,11142568.93,11286225.9
"CUNY Advanced Science Research Center",NA,NA,6745973,6745973,0,0,6745973
"CUNY Bernard M Baruch College","Public"," 4-year or above",762223.83,762223.83,0,62099420.92,62861644.73
"CUNY Borough of Manhattan Community College","Public"," 2-year",3777302,3777302,0,67795212.28,71572514.3
"CUNY Bronx Community College","Public"," 2-year",7071154.15,7071154.15,0,29660714.17,36731868.35
"CUNY Brooklyn College","Public"," 4-year or above",4408217.68,4408217.68,0,69819935.12,74228152.78
"CUNY City College","Public"," 4-year or above",38415044.44,38365425.96,49618.48,65206052.6,103621097
"CUNY Graduate School and University Center","Public"," 4-year or above",2425227.42,2425227.42,0,20188819.96,22614047.42
"CUNY Hunter College","Public"," 4-year or above",20754047,20754047,0,82277623.02,103031670
"CUNY John Jay College of Criminal Justice","Public"," 4-year or above",5353943.06,5353943.06,0,62382720.96,67736664.06
"CUNY Kingsborough Community College","Public"," 2-year",283474.01,283474.01,0,36740386.14,37023860.11
"CUNY LaGuardia Community College","Public"," 2-year",2718331.31,2718331.31,0,42517443.12,45235774.41
"CUNY Lehman College","Public"," 4-year or above",9474480.53,9474480.53,0,66099825.99,75574306.53
"CUNY Medgar Evers College","Public"," 4-year or above",2139936,2139936,0,26695226.82,28835162.8
"CUNY New York City College of Technology","Public"," 4-year or above",4568043.72,4568043.72,0,52718557.01,57286600.72
"CUNY Queens College","Public"," 4-year or above",5831012.28,5831012.28,0,57385285.69,63216297.98
"CUNY Queensborough Community College","Public"," 2-year",456746,456746,0,36875476.12,37332222.1
"CUNY School of Law","Public"," 4-year or above",0,0,0,9501397,9501397
"CUNY York College","Public"," 4-year or above",14155808.28,14155808.28,0,25949862.94,40105671.18
"Curry College","Private not-for-profit"," 4-year or above",0,0,0,22929162,22929162
"Curtis Institute of Music","Private not-for-profit"," 4-year or above",0,0,0,290344.76,290344.8
"Cuyahoga Community College District","Public"," 2-year",2781250.68,2775927.86,5322.82,47966258.64,50747509.28
"Cuyahoga Valley Career Center","Public"," less-than 2-year",0,0,0,552631.69,552631.7
"CVPH Medical Center School of Radiologic Technology","Private not-for-profit"," 2-year",0,0,0,172657.5,172657.5
"Cypress College","Public"," 2-year",0,0,0,20915159.86,20915159.9
"D A Dorsey Technical College","Public"," 2-year",0,0,0,201201.03,201201
"D'Youville College","Private not-for-profit"," 4-year or above",268871,268871,0,36423931.39,36692802.4
"Dabney S Lancaster Community College","Public"," 2-year",691798.21,691798.21,0,2303499.58,2995297.81
"Daemen College","Private not-for-profit"," 4-year or above",0,0,0,13051891.85,13051891.9
"Dakota College at Bottineau","Public"," 2-year",235844.9,242136,-6291.1,3260333,3496177.9
"Dakota County Technical College","Public"," 2-year",902801,902801,0,9183064,10085865
"Dakota State University","Public"," 4-year or above",1335833,1335833,0,15391638.26,16727471.3
"Dakota Wesleyan University","Private not-for-profit"," 4-year or above",570325,570325,0,7091788,7662113
"Dallas Baptist University","Private not-for-profit"," 4-year or above",0,0,0,29568362.27,29568362.3
"Dallas Christian College","Private not-for-profit"," 4-year or above",0,0,0,2522418,2522418
"Dallas Institute of Funeral Service","Private not-for-profit"," 2-year",0,0,0,1194627,1194627
"Dallas Nursing Institute","Private not-for-profit"," 4-year or above",0,0,0,3201115.32,3201115.3
"Dallas Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,2477734,2477734
"Dalton State College","Public"," 4-year or above",0,0,0,17457012.38,17457012.4
"Danville Area Community College","Public"," 2-year",309835,309835,0,4271798.79,4581633.8
"Danville Community College","Public"," 2-year",252181,252181,0,5771911.27,6024092.3
"Dartmouth College","Private not-for-profit"," 4-year or above",117606759.26,116559250.65,1047508.61,36682013.18,154288772.5
"Davenport University","Private not-for-profit"," 4-year or above",572436,572436,0,66200149,66772585
"Davidson College","Private not-for-profit"," 4-year or above",1191480.51,1191480.51,0,7493407.91,8684888.41
"Davidson County Community College","Public"," 2-year",800990,800990,0,9830836.24,10631826.2
"Davis & Elkins College","Private not-for-profit"," 4-year or above",1111399.2,1111399.2,0,6687445.74,7798844.9
"Davis Applied Technology College","Public"," 2-year",0,0,0,1113898.73,1113898.7
"Davis College","Private not-for-profit"," 4-year or above",0,0,0,1264885.5,1264885.5
"Dawson Community College","Public"," 2-year",0,0,0,1050649.1,1050649.1
"Daytona State College","Public"," 4-year or above",857847.53,857847.53,0,40524161.01,41382008.53
"De Anza College","Public"," 2-year",0,0,0,16417875,16417875
"Dean College","Private not-for-profit"," 4-year or above",0,0,0,13918496.12,13918496.1
"Defiance College","Private not-for-profit"," 4-year or above",0,0,0,6081205,6081205
"Del Mar College","Public"," 2-year",1215608.62,1215608.62,0,18589825.14,19805433.72
"Delaware College of Art and Design","Private not-for-profit"," 2-year",0,0,0,2408787,2408787
"Delaware County Community College","Public"," 2-year",45454,45454,0,33991578.5,34037032.5
"Delaware State University","Public"," 4-year or above",15033612.52,15033945.84,-333.32,48174205.29,63207817.82
"Delaware Technical Community College-Terry","Public"," 4-year or above",4916876.7,4916876.7,0,33806801.85,38723678.6
"Delaware Valley University","Private not-for-profit"," 4-year or above",0,0,0,22323929.26,22323929.3
"Delgado Community College","Public"," 2-year",805399.99,780899.99,24500,92743299.87,93548699.89
"Dell'Arte International School of Physical Theatre","Private not-for-profit"," 4-year or above",0,0,0,422364,422364
"Delta College","Public"," 2-year",252181,252181,0,20360689,20612870
"Delta Montrose Technical College","Public"," 2-year",0,0,0,744893,744893
"Delta State University","Public"," 4-year or above",1229021,1222521,6500,23034307.06,24263328.1
"Denison University","Private not-for-profit"," 4-year or above",326725,326725,0,11770351.72,12097076.7
"Denmark Technical College","Public"," 2-year",2173596.63,2173596.63,0,3309511.39,5483108.03
"Denver Seminary","Private not-for-profit"," 4-year or above",0,0,0,4307094,4307094
"DePaul University","Private not-for-profit"," 4-year or above",1020305.12,1020305.12,0,250295169.32,251315474.4
"DePauw University","Private not-for-profit"," 4-year or above",44638,44638,0,12826786,12871424
"Des Moines Area Community College","Public"," 2-year",927456,927456,0,43813978.47,44741434.5
"Des Moines University-Osteopathic Medical Center","Private not-for-profit"," 4-year or above",1088796.35,452529,636267.35,64731211,65820007.35
"DeSales University","Private not-for-profit"," 4-year or above",0,0,0,26940223.3,26940223.3
"Dewey University",NA,NA,2116877,2116877,0,0,2116877
"Dickinson College","Private not-for-profit"," 4-year or above",148715.74,148715.74,0,10170460.59,10319176.34
"Dickinson State University","Public"," 4-year or above",79130.05,79130.05,0,5365943.02,5445073.05
"Dillard University","Private not-for-profit"," 4-year or above",3555942,3555942,0,18477340,22033282
"Diman Regional Technical Institute","Public"," less-than 2-year",0,0,0,682425,682425
"Dine College","Public"," 4-year or above",20639663.11,20632035.61,7627.5,4456029,25095692.11
"Divine Mercy University","Private not-for-profit"," 4-year or above",0,0,0,4050229,4050229
"Divine Word College","Private not-for-profit"," 4-year or above",0,0,0,112328,112328
"Dixie Applied Technology College","Public"," less-than 2-year",7300,0,7300,566921,574221
"Dixie State University","Public"," 4-year or above",2261657.27,2261657.27,0,32283369,34545026.27
"Doane University","Private not-for-profit"," 4-year or above",1725583.6,1725583.6,0,18080332.52,19805916.1
"Dodge City Community College","Public"," 2-year",806695,806695,0,3658918,4465613
"Dominican College of Blauvelt","Private not-for-profit"," 4-year or above",0,0,0,18531345,18531345
"Dominican School of Philosophy & Theology","Private not-for-profit"," 4-year or above",0,0,0,254386,254386
"Dominican University","Private not-for-profit"," 4-year or above",2398587,2398587,0,27626991,30025578
"Dominican University of California","Private not-for-profit"," 4-year or above",13332,13332,0,21910596,21923928
"Dongguk University-Los Angeles","Private not-for-profit"," 4-year or above",0,0,0,659591,659591
"Donnelly College","Private not-for-profit"," 4-year or above",499148,499148,0,1489667.69,1988815.7
"Downey Adult School","Public"," 2-year",0,0,0,2094569.53,2094569.5
"Dragon Rises College of Oriental Medicine","Private not-for-profit"," 4-year or above",0,0,0,1537576,1537576
"Drake University","Private not-for-profit"," 4-year or above",9582651,9582651,0,44196690,53779341
"Drew University","Private not-for-profit"," 4-year or above",99994,99994,0,12929145,13029139
"Drexel University","Private not-for-profit"," 4-year or above",74262283.86,71831342.18,2430941.68,257622134,331884417.9
"Drury University","Private not-for-profit"," 4-year or above",390226,390226,0,21399013,21789239
"Duke University","Private not-for-profit"," 4-year or above",636312132.03,591844115.29,44468016.74,139968809.54,776280941.5
"Dunwoody College of Technology","Private not-for-profit"," 4-year or above",0,0,0,10470364,10470364
"Duquesne University","Private not-for-profit"," 4-year or above",4382921,4382921,0,105487854.37,109870775.4
"Durham Technical Community College","Public"," 2-year",51067,51067,0,11326120.96,11377188
"Dutchess BOCES-Practical Nursing Program","Public"," less-than 2-year",0,0,0,665121,665121
"Dyersburg State Community College","Public"," 2-year",1301686,1301686,0,5947114.39,7248800.4
"Earlham College","Private not-for-profit"," 4-year or above",439413,439413,0,5942409.95,6381822.9
"East Arkansas Community College","Public"," 2-year",421526,334070,87456,2206813,2628339
"East Carolina University","Public"," 4-year or above",16653804.65,16531403.42,122401.23,199111114.89,215764919.6
"East Central College","Public"," 2-year",80000,80000,0,6365253.51,6445253.5
"East Central Community College","Public"," 2-year",0,0,0,8508870,8508870
"East Central University","Public"," 4-year or above",4983996.16,4983996.16,0,18519095.73,23503091.86
"East Georgia State College","Public"," 4-year or above",0,0,0,15696154.85,15696154.8
"East Los Angeles College","Public"," 2-year",3989638.99,3989638.99,0,32786763.79,36776402.79
"East Mississippi Community College","Public"," 2-year",-7157.34,-7157.34,0,15343445,15336287.66
"East San Gabriel Valley Regional Occupational Program","Public"," 2-year",0,0,0,918755.54,918755.5
"East Stroudsburg University of Pennsylvania","Public"," 4-year or above",519599.72,519599.72,0,57515032.29,58034632.02
"East Tennessee State University","Public"," 4-year or above",14320674.93,14073210.8,247464.13,110617491.2,124938166.1
"East Texas Baptist University","Private not-for-profit"," 4-year or above",0,0,0,12329305,12329305
"East Valley Institute of Technology","Public"," less-than 2-year",0,0,0,404230,404230
"East-West University","Private not-for-profit"," 4-year or above",0,0,0,3945026.15,3945026.1
"Eastern Arizona College","Public"," 2-year",2977365.37,2817118.34,160247.03,4919805,7897170.37
"Eastern Center for Arts and Technology","Public"," less-than 2-year",0,0,0,898078,898078
"Eastern Connecticut State University","Public"," 4-year or above",193076,193076,0,34197924.3,34391000.3
"Eastern Florida State College","Public"," 4-year or above",148892,148892,0,47522615.38,47671507.4
"Eastern Gateway Community College","Public"," 2-year",766121.16,766121.16,0,22636876.23,23402997.36
"Eastern Idaho Technical College","Public"," 2-year",0,0,0,5433702.66,5433702.7
"Eastern Illinois University","Public"," 4-year or above",61008,61008,0,43675505.03,43736513
"Eastern Iowa Community College District","Public"," 2-year",1514875,1510225,4650,17351956.26,18866831.3
"Eastern Kentucky University","Public"," 4-year or above",5607352.95,5578881.95,28471,109843819.77,115451172.8
"Eastern Maine Community College","Public"," 2-year",110849.71,110849.71,0,8486411,8597260.71
"Eastern Mennonite University","Private not-for-profit"," 4-year or above",1224209,1191197,33012,9999517,11223726
"Eastern Michigan University","Public"," 4-year or above",4583058.11,4360996.39,222061.72,145621554.22,150204612.3
"Eastern Nazarene College","Private not-for-profit"," 4-year or above",0,0,0,7561616.51,7561616.5
"Eastern New Mexico University-Main Campus","Public"," 4-year or above",1793109.55,1781391.55,11718,26627684.33,28420793.85
"Eastern Oklahoma County Technology Center","Public"," less-than 2-year",0,0,0,114506.47,114506.5
"Eastern Oklahoma State College","Public"," 2-year",3098887,3098887,0,5557972.58,8656859.6
"Eastern Oregon University","Public"," 4-year or above",1842576.26,1825221,17355.26,17652535,19495111.26
"Eastern Suffolk BOCES","Public"," less-than 2-year",0,0,0,1591932,1591932
"Eastern University","Private not-for-profit"," 4-year or above",599798,599798,0,25094012.23,25693810.2
"Eastern Virginia Medical School","Public"," 4-year or above",21496954.98,19748906,1748048.98,46068048,67565002.98
"Eastern Washington University","Public"," 4-year or above",3603618.72,3596622.72,6996,72797082.73,76400701.42
"Eastern West Virginia Community and Technical College","Public"," 2-year",50000,50000,0,1062974,1112974
"Eastern Wyoming College","Public"," 2-year",0,0,0,1305132,1305132
"Eastfield College","Public"," 2-year",2325534.91,2325534.91,0,18491544.62,20817079.51
"Eastland-Fairfield Career and Technical Schools","Public"," less-than 2-year",0,0,0,823963,823963
"Ecclesia College","Private not-for-profit"," 4-year or above",0,0,0,1319094,1319094
"Eckerd College","Private not-for-profit"," 4-year or above",309914.13,309914.13,0,15404435.11,15714349.23
"Ecumenical Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,557790,557790
"Eden Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,798027,798027
"Edgecombe Community College","Public"," 2-year",460259,460259,0,10415128.09,10875387.1
"Edgewood College","Private not-for-profit"," 4-year or above",-34673.45,-34673.45,0,15646467,15611793.55
"Edinboro University of Pennsylvania","Public"," 4-year or above",0,0,0,48983646.51,48983646.5
"Edison State Community College","Public"," 2-year",0,0,0,6721544.71,6721544.7
"Edmonds Community College","Public"," 2-year",9191178,9191178,0,8220922.09,17412100.1
"EDP School of Computer Programming","Private not-for-profit"," less-than 2-year",0,0,0,715707.13,715707.1
"Edward Via College of Osteopathic Medicine","Private not-for-profit"," 4-year or above",2719549,680348,2039201,106552522,109272071
"Edward Waters College","Private not-for-profit"," 4-year or above",2578537,2578537,0,10400465.17,12979002.2
"EHOVE Career Center","Public"," 2-year",0,0,0,1334945.77,1334945.8
"El Camino Community College District","Public"," 2-year",160915.33,0,160915.33,37418122.5,37579037.83
"El Centro College","Public"," 2-year",1163146.94,1163146.94,0,18272855.66,19436002.64
"El Paso Community College","Public"," 2-year",1973751.13,1868883.13,104868,56297309.89,58271061.03
"Elgin Community College","Public"," 2-year",1982329,1982329,0,10952531.79,12934860.8
"Elim Bible Institute and College","Private not-for-profit"," 2-year",0,0,0,713490,713490
"Elizabeth City State University","Public"," 4-year or above",6265389.7,6265389.7,0,12032953.11,18298342.8
"Elizabethtown College","Private not-for-profit"," 4-year or above",206308,186204,20104,17855050,18061358
"Elizabethtown Community and Technical College","Public"," 2-year",653412,653412,0,14416174,15069586
"Elmhurst College","Private not-for-profit"," 4-year or above",191849,191849,0,26060103.5,26251952.5
"Elmira College","Private not-for-profit"," 4-year or above",251763,251763,0,9614474,9866237
"Elon University","Private not-for-profit"," 4-year or above",362118.05,362118.05,0,50187697.22,50549815.25
"Embry-Riddle Aeronautical University","Private not-for-profit"," 4-year or above",11036177.65,7373848.23,3662329.42,123488711.54,134524889.2
"Emerald Coast Technical College","Public"," 2-year",233988.22,233988.22,0,718156,952144.22
"Emerson College","Private not-for-profit"," 4-year or above",177227,177227,0,40532218.93,40709445.9
"Emily Griffith Technical College","Public"," less-than 2-year",-25224.34,-25224.34,0,1484686,1459461.66
"Emmanuel College","Private not-for-profit"," 4-year or above",0,0,0,8017833,8017833
"Emmanuel College","Private not-for-profit"," 4-year or above",0,0,0,18500383.68,18500383.7
"Emmaus Bible College","Private not-for-profit"," 4-year or above",0,0,0,1256077,1256077
"Emory & Henry College","Private not-for-profit"," 4-year or above",49500,49500,0,17520685.24,17570185.2
"Emory University","Private not-for-profit"," 4-year or above",412671494.46,384220946.33,28450548.13,132557983.5,545229478
"Employment Solutions-College for Technical Education","Private not-for-profit"," 2-year",0,0,0,1487791.8,1487791.8
"Emporia State University","Public"," 4-year or above",1291761.39,1291761.39,0,31816961.37,33108722.79
"Endicott College","Private not-for-profit"," 4-year or above",68583,68583,0,27720932.77,27789515.8
"Enterprise State Community College","Public"," 2-year",532675,532675,0,5018027.36,5550702.4
"Epic Bible College","Private not-for-profit"," 4-year or above",0,0,0,1241957,1241957
"Episcopal Theological Seminary of the Southwest","Private not-for-profit"," 4-year or above",0,0,0,832738,832738
"Erie 1 BOCES","Public"," less-than 2-year",0,0,0,1948987,1948987
"Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program","Public"," less-than 2-year",0,0,0,756206.5,756206.5
"Erie Community College","Public"," 2-year",151999,151999,0,35936472.95,36088471.9
"Erikson Institute","Private not-for-profit"," 4-year or above",358309,358309,0,3079307,3437616
"Essex County College","Public"," 2-year",-1101056,-1105656,4600,22329844.51,21228788.5
"Estrella Mountain Community College","Public"," 2-year",507334,507334,0,20171880.4,20679214.4
"Eureka College","Private not-for-profit"," 4-year or above",0,0,0,4746889.5,4746889.5
"Evangel University","Private not-for-profit"," 4-year or above",0,0,0,15646778,15646778
"Evangelical Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,623486,623486
"Everest College-Colorado Springs","Private not-for-profit"," 2-year",0,0,0,1070222,1070222
"Everest College-Everett","Private not-for-profit"," 2-year",0,0,0,1895039,1895039
"Everest College-Henderson","Private not-for-profit"," 2-year",0,0,0,3216217.65,3216217.7
"Everest College-Newport News","Private not-for-profit"," 2-year",0,0,0,530807,530807
"Everest College-Thornton","Private not-for-profit"," 2-year",0,0,0,680019,680019
"Everest College-Woodbridge","Private not-for-profit"," less-than 2-year",0,0,0,1433257,1433257
"Everest Institute-San Antonio","Private not-for-profit"," less-than 2-year",0,0,0,1513247,1513247
"Everest Institute-Southfield","Private not-for-profit"," less-than 2-year",0,0,0,7705175.64,7705175.6
"Everett Community College","Public"," 2-year",946134,946134,0,10763735.7,11709869.7
"Everglades University","Private not-for-profit"," 4-year or above",0,0,0,20804329,20804329
"Evergreen Valley College","Public"," 2-year",1113109,1113109,0,12271795.6,13384904.6
"Excelsior College","Private not-for-profit"," 4-year or above",245000,245000,0,35487952.57,35732952.6
"Expertise Cosmetology Institute","Private not-for-profit"," 2-year",0,0,0,1033243.04,1033243
"Fairfield University","Private not-for-profit"," 4-year or above",2933813.7,2933813.7,0,29280029,32213842.7
"Fairleigh Dickinson University-Metropolitan Campus","Private not-for-profit"," 4-year or above",675692,675692,0,79901248.71,80576940.7
"Fairmont State University","Public"," 4-year or above",1265822,1265822,0,24563749.81,25829571.8
"Faith Baptist Bible College and Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,1329350.05,1329350.1
"Faith Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,455011,455011
"Family of Faith Christian University","Private not-for-profit"," 4-year or above",0,0,0,252889,252889
"Farmingdale State College","Public"," 4-year or above",537494,537494,0,33483822.95,34021316.9
"Fashion Institute of Technology","Public"," 4-year or above",0,0,0,45229235.25,45229235.2
"Faulkner University","Private not-for-profit"," 4-year or above",-36313.14,-36313.14,0,36132004.15,36095691.06
"Fayette County Career & Technical Institute Practical Nursing Program","Public"," less-than 2-year",0,0,0,1169982.71,1169982.7
"Fayette Institute of Technology","Public"," less-than 2-year",0,0,0,202886.11,202886.1
"Fayetteville State University","Public"," 4-year or above",12437275.23,12495122.81,-57847.58,46080897.93,58518173.13
"Fayetteville Technical Community College","Public"," 2-year",172350,0,172350,42894218.13,43066568.1
"Feather River Community College District","Public"," 4-year or above",868135,868135,0,3084571,3952706
"Felician University","Private not-for-profit"," 4-year or above",0,0,0,19353863.5,19353863.5
"Ferris State University","Public"," 4-year or above",1772433,1772433,0,97567514,99339947
"Ferrum College","Private not-for-profit"," 4-year or above",0,0,0,15758467.4,15758467.4
"Fielding Graduate University","Private not-for-profit"," 4-year or above",1336981,1336981,0,17467971,18804952
"Finger Lakes Community College","Public"," 2-year",359555,359555,0,18132970.15,18492525.2
"Finlandia University","Private not-for-profit"," 4-year or above",1107316,1107316,0,3825991,4933307
"Firelands Regional Medical Center School of Nursing","Private not-for-profit"," 2-year",275000,275000,0,346510,621510
"Fisher College","Private not-for-profit"," 4-year or above",0,0,0,12842328,12842328
"Fisk University","Private not-for-profit"," 4-year or above",5247346,5100546,146800,9398177.5,14645523.5
"Fitchburg State University","Public"," 4-year or above",945884,945884,0,34763607.4,35709491.4
"Flagler College","Private not-for-profit"," 4-year or above",49395.73,49395.73,0,21240078,21289473.73
"Flagler Technical Institute","Public"," less-than 2-year",0,0,0,109505.4,109505.4
"Flathead Valley Community College","Public"," 2-year",-139636.83,-139636.83,0,4943377,4803740.17
"Fletcher Technical Community College","Public"," 2-year",0,0,0,9002380.68,9002380.7
"Flint Hills Technical College","Public"," 2-year",0,0,0,2253177,2253177
"Florence-Darlington Technical College","Public"," 2-year",4217742.67,4217742.67,0,16823335.49,21041078.17
"Florida Agricultural and Mechanical University","Public"," 4-year or above",35622879.42,35617999.42,4880,110996761.75,146619641.2
"Florida Atlantic University","Public"," 4-year or above",21326071.98,20932147.48,393924.5,164080589.22,185406661.2
"Florida College","Private not-for-profit"," 4-year or above",0,0,0,3767407.02,3767407
"Florida Gateway College","Public"," 4-year or above",242136,242136,0,7593822.44,7835958.4
"Florida Gulf Coast University","Public"," 4-year or above",2801613.36,2720748.34,80865.02,68171784.68,70973398.06
"Florida Institute of Technology","Private not-for-profit"," 4-year or above",5168785,3085178,2083607,63556514.89,68725299.9
"Florida International University","Public"," 4-year or above",80987617.79,74496898.04,6490719.75,366374164.1,447361781.9
"Florida Keys Community College","Public"," 2-year",262830.6,262830.6,0,3470898.94,3733729.5
"Florida Memorial University","Private not-for-profit"," 4-year or above",3842895.94,3842895.94,0,14035672.75,17878568.74
"Florida Panhandle Technical College","Public"," 2-year",726495,726495,0,919078.65,1645573.7
"Florida School of Traditional Midwifery","Private not-for-profit"," 2-year",0,0,0,521339.2,521339.2
"Florida Southern College","Private not-for-profit"," 4-year or above",0,0,0,26592205.5,26592205.5
"Florida SouthWestern State College","Public"," 4-year or above",-761307.02,-761307.02,0,36487367,35726059.98
"Florida State College at Jacksonville","Public"," 4-year or above",2395541.96,2269699.76,125842.2,64669629.64,67065171.56
"Florida State University","Public"," 4-year or above",159970167.92,149302940.42,10667227.5,213618445.04,373588612.9
"Folsom Lake College","Public"," 2-year",0,0,0,7572591,7572591
"Fond du Lac Tribal and Community College","Public"," 2-year",2470368.04,2470368.04,0,4682793.1,7153161.14
"Fontbonne University","Private not-for-profit"," 4-year or above",674866.3,674866.3,0,7984658,8659524.3
"Foothill College","Public"," 4-year or above",-3612.52,-3612.52,0,7588975,7585362.48
"Fordham University","Private not-for-profit"," 4-year or above",3339931.1,3330931.1,9000,158039474,161379405.1
"Forsyth Technical Community College","Public"," 2-year",1352796,1352796,0,21284854.67,22637650.7
"Fort Hays State University","Public"," 4-year or above",2914343.74,2914343.74,0,67878788,70793131.74
"Fort Lewis College","Public"," 4-year or above",5158349.91,5158349.91,0,18298755,23457104.91
"Fort Myers Technical College","Public"," 2-year",11446239.81,11446239.81,0,1461941.38,12908181.21
"Fort Peck Community College","Public"," 2-year",7094518,7094518,0,356311,7450829
"Fort Scott Community College","Public"," 2-year",1134711,1134711,0,5279560,6414271
"Fort Valley State University","Public"," 4-year or above",16395306.32,16395306.32,0,38486414.42,54881720.72
"Four County Career Center","Public"," less-than 2-year",0,0,0,19546,19546
"Four Rivers Career Center","Public"," less-than 2-year",0,0,0,521972,521972
"Framingham State University","Public"," 4-year or above",325910.63,325910.63,0,28176555,28502465.63
"Francis Marion University","Public"," 4-year or above",1755802,1755802,0,34081719.36,35837521.4
"Francis Tuttle Technology Center","Public"," less-than 2-year",0,0,0,1385691,1385691
"Franciscan School of Theology","Private not-for-profit"," 4-year or above",0,0,0,132468,132468
"Franciscan University of Steubenville","Private not-for-profit"," 4-year or above",0,0,0,18451470,18451470
"Frank Phillips College","Public"," 2-year",10370,10370,0,2342299.04,2352669
"Franklin Academy","Private not-for-profit"," less-than 2-year",0,0,0,658705,658705
"Franklin and Marshall College","Private not-for-profit"," 4-year or above",1700734,1700734,0,11479609,13180343
"Franklin Career Institute","Private not-for-profit"," less-than 2-year",0,0,0,804770,804770
"Franklin College","Private not-for-profit"," 4-year or above",0,0,0,9409704,9409704
"Franklin County Career and Technology Center","Public"," less-than 2-year",0,0,0,547147,547147
"Franklin Pierce University","Private not-for-profit"," 4-year or above",649931,649931,0,34605337.66,35255268.7
"Franklin Technology-MSSU","Public"," less-than 2-year",0,0,0,819486.03,819486
"Franklin University","Private not-for-profit"," 4-year or above",749015,749015,0,34648879,35397894
"Franklin W Olin College of Engineering","Private not-for-profit"," 4-year or above",15040,15040,0,851758,866798
"Fred W Eberle Technical Center","Public"," 2-year",0,0,0,391943,391943
"Frederick Community College","Public"," 2-year",46590,46590,0,6385525,6432115
"Freed-Hardeman University","Private not-for-profit"," 4-year or above",0,0,0,15120002,15120002
"Fresno City College","Public"," 2-year",1843220.25,1843220.25,0,37597764.82,39440985.05
"Fresno Pacific University","Private not-for-profit"," 4-year or above",448995,448995,0,42260476.9,42709471.9
"Friends University","Private not-for-profit"," 4-year or above",0,0,0,14090068.64,14090068.6
"Front Range Community College","Public"," 2-year",1270254.44,1270254.44,0,47043990.41,48314244.84
"Frontier Community College","Public"," 2-year",0,0,0,1227636,1227636
"Frontier Nursing University","Private not-for-profit"," 4-year or above",1564107,1564107,0,40628564,42192671
"Frostburg State University","Public"," 4-year or above",1486517.29,1486517.29,0,33573799.14,35060316.39
"Fuller Theological Seminary in California","Private not-for-profit"," 4-year or above",2436.15,0,2436.15,9251715,9254151.15
"Fullerton College","Public"," 2-year",0,0,0,29848290.74,29848290.7
"Fulton-Montgomery Community College","Public"," 2-year",496492,496492,0,8491942,8988434
"Furman University","Private not-for-profit"," 4-year or above",530356,530356,0,13403225.73,13933581.7
"Future Generations Graduate School","Private not-for-profit"," 4-year or above",0,0,0,11748,11748
"Gadsden State Community College","Public"," 2-year",3026804.41,3026804.41,0,11297359.48,14324163.91
"Gallaudet University","Private not-for-profit"," 4-year or above",3300611.76,3293885.05,6726.71,12318040,15618651.76
"Galveston College","Public"," 2-year",862462.28,862462.28,0,4204070.91,5066533.18
"Gannon University","Private not-for-profit"," 4-year or above",860318,779634,80684,42137508.42,42997826.4
"Garden City Community College","Public"," 2-year",287656.18,287656.18,0,4968563.49,5256219.68
"Gardner-Webb University","Private not-for-profit"," 4-year or above",0,0,0,34509528.86,34509528.9
"Garnet Career Center","Public"," less-than 2-year",0,0,0,479262,479262
"Garrett College","Public"," 2-year",0,0,0,2993063,2993063
"Garrett-Evangelical Theological Seminary","Private not-for-profit"," 4-year or above",0,0,0,1481004,1481004
"Gaston College","Public"," 2-year",2762204,2762204,0,8183479.78,10945683.8
"Gateway Community and Technical College","Public"," 2-year",1013282.83,1013282.83,0,12060595,13073877.83
"Gateway Community College","Public"," 2-year",0,0,0,6509656.82,6509656.8
"GateWay Community College","Public"," 2-year",1316700,1254630,62070,10847797.86,12164497.9
"Gateway Technical College","Public"," 2-year",218399,218399,0,22778187.02,22996586
"Gavilan College","Public"," 2-year",1886222.94,1886222.94,0,5737118.72,7623341.64
"Geisinger-Lewistown Hospital School of Nursing","Private not-for-profit"," 2-year",0,0,0,339884,339884
"Gemological Institute of America","Private not-for-profit"," less-than 2-year",0,0,0,519589,519589
"Genesee Community College","Public"," 2-year",1228310,1228310,0,15048293.35,16276603.3
"Genesee Valley BOCES-Practical Nursing Program","Public"," less-than 2-year",0,0,0,1091879,1091879
"George C Wallace Community College-Dothan","Public"," 2-year",1327185.81,1327185.81,0,10639213.73,11966399.51
"George C Wallace State Community College-Hanceville","Public"," 2-year",1348162.42,1348162.42,0,20558813.05,21906975.52
"George C Wallace State Community College-Selma","Public"," 2-year",881434.44,881434.44,0,5300370.33,6181804.74
"George Fox University","Private not-for-profit"," 4-year or above",120000,100000,20000,41804646,41924646
"George Mason University","Public"," 4-year or above",99383672.68,55738800.74,43644871.94,207403858.59,306787531.3
"George Stone Technical Center","Public"," 2-year",440660.33,440660.33,0,840191.35,1280851.63
