"institution","state","type","undergrad_students","grad_students","non-research_grants","research_grants","contracts","subsidized_student_loans","unsubsidized_student_loan","parent_plus","grad_plus","pell_teach_service_grants","perkins_loans_AY17","fseog_AY17","federal_work_study_AY17"
"A T Still University of Health Sciences","MO","Private not-for-profit, 4-year or above","NULL","3357",1886781,382343,1467225.94,0,79009229,0,76413645,NA,NA,NA,NA
"Aaniiih Nakoda College","MT","Public, 2-year","291","NULL",4052195.08,2913653,0,NA,NA,NA,NA,432579.36,NA,NA,NA
"Abilene Christian University","TX","Private not-for-profit, 4-year or above","3650","784",580437.2,297481,0,6650597,23215164,5653936,2853318,2111750,NA,NA,NA
"Abraham Baldwin Agricultural College","GA","Public, 4-year or above","3458","NULL",2122924.25,0,0,5101418,5934549,1025031,0,9037422.8,NA,103500,253948
"Academy for Five Element Acupuncture","FL","Private not-for-profit, 4-year or above","NULL","57",0,0,0,0,1031537,0,145913,NA,NA,NA,NA
"Academy for Jewish Religion-California","CA","Private not-for-profit, 4-year or above","NULL","64",0,0,0,0,235150,0,0,NA,NA,NA,NA
"Academy for Nursing and Health Occupations","FL","Private not-for-profit, 2-year","819","NULL",0,0,0,1104155,1365763,95384,0,1456869.65,NA,NA,NA
"Academy of Chinese Culture and Health Sciences","CA","Private not-for-profit, 4-year or above","NULL","136",0,0,0,0,665059,0,381122,NA,NA,NA,NA
"Academy of Interactive Entertainment","LA","Private not-for-profit, less-than 2-year","40","NULL",0,0,0,180841,176514,262664,0,213266.98,NA,NA,NA
"Academy of Interactive Entertainment","WA","Private not-for-profit, less-than 2-year","76","NULL",0,0,0,273915,300603,357579,0,239340.1,NA,NA,NA
"Acupuncture and Integrative Medicine College-Berkeley","CA","Private not-for-profit, 4-year or above","NULL","105",0,0,0,0,1186149,0,206632,NA,NA,NA,NA
"Adams State University","CO","Public, 4-year or above","2156","1294",3272026,6055,0,3262580,14254932,2108123,539177,4393221.98,NA,NA,NA
"Adelphi University","NY","Private not-for-profit, 4-year or above","5071","2404",1518903,81248,0,11595524,40042141,18379391,13660199,7081199,NA,NA,NA
"Adirondack Community College","NY","Public, 2-year","4247","NULL",644067,0,0,3281764,3726984,664055,0,5831830.96,NA,NA,NA
"Adler Graduate School","MN","Private not-for-profit, 4-year or above","NULL","311",0,0,0,0,4036743,0,251339,NA,NA,NA,NA
"Adler University","IL","Private not-for-profit, 4-year or above","NULL","988",283692,0,5655,0,19261900,0,16507002,NA,NA,NA,NA
"Adrian College","MI","Private not-for-profit, 4-year or above","1619","28",313406,0,0,4613772,4641648,6411112,6008,2640548,488930,178792,404318
"Adult and Community Education-Hudson","OH","Public, less-than 2-year","236","NULL",0,0,0,361827,554241,11334,0,616785,NA,NA,NA
"Adult and Continuing Education-BCTS","NJ","Public, less-than 2-year","121","NULL",0,0,0,77778,91827,32509,0,158810,NA,NA,NA
"Adventist University of Health Sciences","FL","Private not-for-profit, 4-year or above","1950","178",61732,0,0,3864042,12030034,940353,7418716,2586837.77,NA,NA,NA
"Agnes Scott College","GA","Private not-for-profit, 4-year or above","873","NULL",0,-12231,0,1043182,885999,1980482,0,1845445,NA,NA,NA
"Aiken Technical College","SC","Public, 2-year","2353","NULL",0,0,0,1026657,1442890,0,0,4657402.14,NA,124357,65993
"Aims Community College","CO","Public, 2-year","5001","NULL",379244.95,0,0,1396782,1196420,190932,0,5922579,NA,123846,129320
"Akron School of Practical Nursing","OH","Public, less-than 2-year","59","NULL",0,0,0,27705,69831,11970,0,89559,NA,NA,NA
"Alabama A & M University","AL","Public, 4-year or above","4210","1123",8904301,7666672.99,-24056.27,13381333,27516703,14715060,2043283,18074455.24,NA,NA,NA
"Alabama College of Osteopathic Medicine","AL","Private not-for-profit, 4-year or above","NULL","460",0,277277,516012,0,23492551,0,14673645,NA,NA,NA,NA
"Alabama State University","AL","Public, 4-year or above","4805","619",8439722.94,1300886,0,9754957,16682864,9991479,1630320,12799825.76,NA,NA,NA
"Alamance Community College","NC","Public, 2-year","4666","NULL",0,0,0,NA,NA,NA,NA,6174440.08,NA,NA,NA
"Alamo Community College District Central Office","TX",NA,NA,NA,5982162.81,568831,0,NA,NA,NA,NA,0,NA,NA,NA
"Alaska Bible College","AK","Private not-for-profit, 4-year or above","49","NULL",0,0,0,22373,15000,5000,0,96422.68,NA,NA,NA
"Alaska Christian College","AK","Private not-for-profit, 2-year","68","NULL",0,0,0,120955,114314,0,0,467099,NA,NA,NA
"Alaska Pacific University","AK","Private not-for-profit, 4-year or above","326","234",-11452.4,209978,0,564020,1499298,195049,61515,568989,NA,NA,NA
"Albany BOCES-Adult Practical Nursing Program","NY","Public, less-than 2-year","160","NULL",0,0,0,341440,703064,109475,0,638994.05,NA,NA,NA
"Albany College of Pharmacy and Health Sciences","NY","Private not-for-profit, 4-year or above","1084","478",0,1971796,0,2611195,10263626,2372909,1222278,1108550,NA,NA,NA
"Albany Law School","NY","Private not-for-profit, 4-year or above","NULL","414",0,0,0,0,6340944,0,4140622,NA,NA,NA,NA
"Albany Medical College","NY","Private not-for-profit, 4-year or above","NULL","822",2449137,9103397,334225.19,0,18933184,0,10797271,NA,NA,NA,335414
"Albany State University","GA","Public, 4-year or above","3316","501",8288507,618479,0,15346154,20121792,5561192,172908,18596251,NA,NA,NA
"Albany Technical College","GA","Public, 2-year","3640","NULL",1624390,219204,0,4245294,2316632,0,0,11280116.81,NA,NA,NA
"Albertus Magnus College","CT","Private not-for-profit, 4-year or above","1256","318",649280,0,0,4402789,10501998,830530,207900,3133794,NA,NA,NA
"Albion College","MI","Private not-for-profit, 4-year or above","1268","NULL",11000,89791,0,3857248,2939391,3477843,0,2896426,437650,176446,196723
"Albright College","PA","Private not-for-profit, 4-year or above","2360","28",449638,0,0,6171296,5537048,5395635,0,4181534,NA,NA,NA
"Alcorn State University","MS","Public, 4-year or above","3006","607",6699769.73,1842808.09,-8718.77,9290412,16307512,4159421,2561733,12863535.55,NA,NA,NA
"Alderson Broaddus University","WV","Private not-for-profit, 4-year or above","1038","69",0,0,0,2246202,3358265,2047185,2145384,1899308.55,347500,109113,233172
"Alexandria Technical & Community College","MN","Public, 2-year","2604","NULL",0,0,0,1968217,2706223,141814,0,2358156,NA,NA,NA
"Alfred University","NY","Private not-for-profit, 4-year or above","1920","480",0,990821.55,6000,4658888,8848724,3169388,692668,3082066.5,NA,NA,NA
"Alice Lloyd College","KY","Private not-for-profit, 4-year or above","657","NULL",0,0,0,990317,683388,58738,0,1414523,NA,NA,NA
"Allan Hancock College","CA","Public, 2-year","11047","NULL",839118.15,1800104,45823.12,452887,460158,0,0,8805696,NA,NA,NA
"Allegany College of Maryland","MD","Public, 2-year","3227","NULL",242136,0,0,2700052,3242952,443672,0,4588105.89,NA,NA,NA
"Allegheny College","PA","Private not-for-profit, 4-year or above","2023","NULL",1490378.08,-64368,0,4582812,3494092,4150136,0,2723133,NA,NA,NA
"Allegheny Wesleyan College","OH","Private not-for-profit, 4-year or above","62","NULL",0,0,0,11000,0,0,0,241499.5,NA,NA,NA
"Allen College","IA","Private not-for-profit, 4-year or above","379","241",0,0,0,1079801,4789815,492274,460405,475446.97,NA,NA,NA
"Allen County Community College","KS","Public, 2-year","2628","NULL",0,0,0,678753,614359,3000,0,1953281.02,NA,NA,NA
"Allen University","SC","Private not-for-profit, 4-year or above","660","NULL",2728998,0,0,2371928,2355041,892018,0,3049109.69,NA,NA,NA
"Alma College","MI","Private not-for-profit, 4-year or above","1396","NULL",0,0,0,3869837,3005121,4581081,0,1923057.43,NA,NA,NA
"Alpena Community College","MI","Public, 4-year or above","1636","NULL",485863.82,0,0,826146,874785,55650,0,2322167.41,NA,NA,NA
"Alvernia University","PA","Private not-for-profit, 4-year or above","2442","498",848360,0,0,6308670,13170032,6284240,916380,3933918.95,NA,NA,NA
"Alverno College","WI","Private not-for-profit, 4-year or above","1723","651",33906,974698,0,4079173,10977854,1786669,5000,3240105.57,NA,NA,NA
"Alvin Community College","TX","Public, 2-year","4837","NULL",1169008,0,0,626767,345014,12006,0,3863178.97,NA,NA,NA
"Amarillo College","TX","Public, 2-year","10336","NULL",1438869.89,0,0,4831323,7157212,79533,0,16379033.02,NA,NA,NA
"Amberton University","TX","Private not-for-profit, 4-year or above",NA,NA,0,0,0,NA,NA,NA,NA,75691.4,NA,NA,NA
"American Academy McAllister Institute of Funeral Service","NY","Private not-for-profit, 2-year","424","NULL",0,0,0,1097685,930821,17500,0,738403.43,NA,NA,NA
"American Academy of Art","IL","Private not-for-profit, 4-year or above","365","NULL",0,0,0,501099,382812,1030464,0,874052,NA,NA,NA
"American Academy of Dramatic Arts-New York","NY","Private not-for-profit, 2-year","253","NULL",0,0,0,991729,929869,3952806,0,801472,NA,NA,NA
"American Baptist College","TN","Private not-for-profit, 4-year or above","157","NULL",2352562,0,0,241987,373279,31282,0,347806.5,NA,NA,NA
"American Film Institute Conservatory","CA","Private not-for-profit, 4-year or above","NULL","328",20000,0,0,0,2313166,0,4463665,NA,NA,NA,NA
"American Indian OIC Inc","MN","Private not-for-profit, less-than 2-year","252","NULL",250182,0,0,NA,NA,NA,NA,91169,NA,NA,NA
"American International College","MA","Private not-for-profit, 4-year or above","1473","2051",254258,0,0,4213320,19774634,3596184,4666071,3659241,NA,NA,NA
"American Jewish University","CA","Private not-for-profit, 4-year or above","103","101",0,0,0,133832,1012324,74052,575933,192457.75,NA,NA,NA
"American River College","CA","Public, 2-year","29133","NULL",3034723,0,0,3492442,4545860,0,0,26358515,NA,NA,NA
"American Samoa Community College","AS","Public, 4-year or above","1276","NULL",2325449.11,515686,0,NA,NA,NA,NA,4211718.75,NA,NA,NA
"American University","DC","Private not-for-profit, 4-year or above","7706","5289",6984616.28,6978413.22,3896660.02,13778683,73021734,26056372,47534501,5958418.38,NA,NA,NA
"American University of Puerto Rico","PR","Private not-for-profit, 4-year or above","749","60",1866241.49,0,0,677369,340618,31850,0,5727622.53,NA,NA,NA
"Amherst College","MA","Private not-for-profit, 4-year or above","1792","NULL",776702,1756672,0,930109,687797,2610147,0,2094055,12748,359607,435075
"Amridge University","AL","Private not-for-profit, 4-year or above","279","319",0,0,0,1303175,7524255,65738,1821746,1109329.06,NA,NA,NA
"Ancilla College","IN","Private not-for-profit, 2-year","400","NULL",0,0,0,969747,1118789,797365,0,1179750.38,NA,NA,NA
"Anderson University","IN","Private not-for-profit, 4-year or above","1976","418",0,0,0,4036932,5282806,3928657,10248,2421233,NA,NA,NA
"Anderson University","SC","Private not-for-profit, 4-year or above","2775","386",0,0,0,5477482,11904898,4555803,0,3503197,NA,NA,NA
"Andover Newton Theological School","MA","Private not-for-profit, 4-year or above","NULL","234",0,0,0,0,272525,0,17500,NA,NA,NA,NA
"Andrew College","GA","Private not-for-profit, 2-year","303","NULL",528024,0,0,565895,591909,516672,0,724213.44,NA,NA,NA
"Andrews University","MI","Private not-for-profit, 4-year or above","1926","1633",0,261218,0,2567632,15059959,4059653,4091899,1980394.5,NA,NA,NA
"Angelina College","TX","Public, 2-year","5148","NULL",114935,0,0,NA,NA,NA,NA,4577547,NA,97734,91053
"Angelo State University","TX","Public, 4-year or above","5425","1306",1224047.3,0,0,9436629,20752755,5329643,87955,13248766.81,NA,NA,NA
"Anna Maria College","MA","Private not-for-profit, 4-year or above","1107","323",0,0,0,3128198,4354684,3135462,42927,1970301.76,NA,NA,NA
"Anne Arundel Community College","MD","Public, 2-year","15274","NULL",398706,250000,0,3044124,3244380,8500,0,9666618.23,NA,205358,245060
"Annenberg School of Nursing","CA","Private not-for-profit, less-than 2-year","41","NULL",0,0,0,48490,54106,0,0,65083.19,NA,NA,NA
"Anoka Technical College","MN","Public, 2-year","2221","NULL",0,0,0,1987585,3476081,43851,0,2542576,NA,53500,65530
"Anoka-Ramsey Community College","MN","Public, 2-year","7877","NULL",1785782,0,0,5869812,8002729,70090,0,8120678,NA,NA,NA
"Antelope Valley College","CA","Public, 4-year or above","14578","NULL",1521044.63,0,0,5601707,2723900,5686,0,25158859.14,NA,NA,NA
"Antioch College","OH","Private not-for-profit, 4-year or above","238","NULL",0,0,0,257073,189575,135065,0,469594,NA,NA,NA
"Antioch University","OH","Private not-for-profit, 4-year or above","81","129",0,0,0,1584200,42489880,43622,12765535,1059193.68,NA,NA,NA
"Apex School of Theology","NC","Private not-for-profit, 4-year or above","596","180",0,0,0,1655709,3943494,0,0,1899098.66,NA,NA,NA
"Apollo Career Center","OH","Public, less-than 2-year","1267","NULL",0,0,0,297439,446082,0,0,607708.5,NA,NA,NA
"Appalachian Bible College","WV","Private not-for-profit, 4-year or above","295","NULL",0,0,0,196603,81141,34988,0,510112,NA,8816,16588
"Appalachian College of Pharmacy","VA","Private not-for-profit, 4-year or above","NULL","202",0,0,0,0,8062483,0,1680836,NA,NA,NA,NA
"Appalachian School of Law","VA","Private not-for-profit, 4-year or above","NULL","109",0,0,0,0,2615949,0,3021498,NA,NA,NA,13686
"Appalachian State University","NC","Public, 4-year or above","16255","1642",7721985.28,1922506.78,37000,27424167,36503779,29339654,402862,23247431,389989,466509,405037
"Applied Technology Services","MO","Public, less-than 2-year","231","NULL",0,0,0,394183,683780,65600,0,853096.81,NA,NA,NA
"Aquinas College","MI","Private not-for-profit, 4-year or above","1789","109",812403,0,0,2983532,2803051,1590614,0,2025744.45,NA,NA,NA
"Arapahoe Community College","CO","Public, 2-year","10401","NULL",-959.19,0,0,4352544,6456263,43676,0,5564264,NA,NA,NA
"Arcadia University","PA","Private not-for-profit, 4-year or above","2594","1344",300000,352500,0,5669814,12869679,5283006,5108530,2982808.5,NA,NA,NA
"Aria Health School of Nursing","PA","Private not-for-profit, 2-year","217","NULL",0,0,0,450541,658706,145733,0,256306,NA,NA,NA
"Arizona Christian University","AZ","Private not-for-profit, 4-year or above","737","NULL",0,0,0,1504857,1611930,1187691,0,1348283,NA,NA,NA
"Arizona State University-Tempe","AZ","Public, 4-year or above","39961","10156",52512215.36,156755162.42,18973375.17,148758152,306779314,119727414,81473143,147544695.36,NA,NA,NA
"Arizona Western College","AZ","Public, 2-year","7702","NULL",2476597.79,0,0,384501,232176,163288,0,13226522.63,NA,NA,NA
"Arkansas Baptist College","AR","Private not-for-profit, 4-year or above","899","NULL",2309826,0,0,774374,1045436,192594,0,1467971.65,NA,59950,55032
"Arkansas Colleges of Health Education","AR","Private not-for-profit, 4-year or above",NA,NA,0,323628,0,NA,NA,NA,NA,0,NA,NA,NA
"Arkansas Northeastern College","AR","Public, 2-year","1425","NULL",1219270,0,0,NA,NA,NA,NA,2161528.25,NA,NA,NA
"Arkansas State University Mid-South","AR","Public, 2-year","1895","NULL",1146765.59,0,0,NA,NA,NA,NA,2509185.75,NA,NA,NA
"Arkansas State University-Beebe","AR","Public, 2-year","4140","NULL",1241246,0,0,1500923,1439379,22450,0,5647893.44,NA,NA,NA
"Arkansas State University-Main Campus","AR","Public, 4-year or above","9857","3818",2113457,714635.19,36461,15983138,67338438,4327682,3033449,20082420,NA,NA,NA
"Arkansas State University-Mountain Home","AR","Public, 2-year",NA,NA,0,0,0,886400,1157326,0,0,3249881,NA,NA,NA
"Arkansas State University-Newport","AR","Public, 2-year","2477","NULL",0,0,0,953284,1364783,26084,0,4408016.27,NA,NA,NA
"Arkansas Tech University","AR","Public, 4-year or above","11099","863",1387504.55,0,0,13561232,21427586,2966632,158874,19070572.5,NA,NA,NA
"Arlington Baptist College","TX","Private not-for-profit, 4-year or above","233","18",0,0,0,435105,690132,254458,0,403081.29,NA,NA,NA
"Arnot Ogden Medical Center","NY","Private not-for-profit, 2-year","71","NULL",0,0,0,158715,239666,2000,0,144034.5,NA,NA,NA
"Art Academy of Cincinnati","OH","Private not-for-profit, 4-year or above","206","7",0,0,0,778411,768165,1566577,0,594702,NA,NA,NA
"Art Center College of Design","CA","Private not-for-profit, 4-year or above","1824","218",30000,0,0,4439988,5037863,6748563,1328587,3782243.4,NA,NA,NA
"Asbury Theological Seminary","KY","Private not-for-profit, 4-year or above","NULL","1540",0,0,0,0,6044421,0,186451,NA,NA,NA,NA
"Asbury University","KY","Private not-for-profit, 4-year or above","1646","241",0,0,0,3424219,4713762,1781085,39212,2190768,NA,NA,NA
"Asheville-Buncombe Technical Community College","NC","Public, 2-year","7507","NULL",0,331650,0,2253765,3269256,51264,0,8030213.27,NA,NA,NA
"Ashland Community and Technical College","KY","Public, 2-year","3345","NULL",1355207,0,0,2748716,2322979,4250,0,6567207,NA,NA,NA
"Ashland University","OH","Private not-for-profit, 4-year or above","3746","1961",279313,581369.17,0,7231368,18994945,4678689,488118,12689797.71,NA,NA,NA
"Ashtabula County Technical and Career Campus","OH","Public, less-than 2-year","166","NULL",49544,0,0,217803,326277,5418,0,369026.96,NA,NA,NA
"Asnuntuck Community College","CT","Public, 2-year","1603","NULL",749510,0,0,781436,1198605,0,0,3281658.34,NA,NA,NA
"Assabet Valley Regional Technical School","MA","Public, less-than 2-year","46","NULL",0,0,0,94500,199192,15653,0,125082,NA,NA,NA
"Associated Beth Rivkah Schools","NY","Private not-for-profit, 2-year","147","NULL",0,0,0,NA,NA,NA,NA,523710,NA,NA,NA
"Assumption College","MA","Private not-for-profit, 4-year or above","2225","446",200000,0,0,4323530,7367307,4095370,47517,907649.67,NA,NA,NA
"Athens State University","AL","Public, 4-year or above","3128","NULL",0,0,0,5970658,8535906,272816,0,5733950.48,NA,NA,NA
"Athens Technical College","GA","Public, 2-year","4336","NULL",0,0,0,NA,NA,NA,NA,7453428.03,NA,NA,NA
"Atlanta Metropolitan State College","GA","Public, 4-year or above","3033","NULL",2096020.37,0,0,1847567,1368666,87317,0,6406273.45,NA,NA,NA
"Atlanta Technical College","GA","Public, 2-year","4282","NULL",-115174.97,0,0,4914168,4893675,0,0,11750370.85,NA,NA,NA
"Atlantic Cape Community College","NJ","Public, 2-year","6845","NULL",259536.89,224761,0,2437770,1898571,252612,0,11833324.66,NA,NA,NA
"Atlantic Institute of Oriental Medicine","FL","Private not-for-profit, 4-year or above","23","123",0,0,0,22000,1950581,0,919276,NA,NA,NA,NA
"Atlantic Technical College","FL","Public, 2-year","3561","NULL",0,0,0,NA,NA,NA,NA,1590032,NA,NA,NA
"Auburn Career Center","OH","Public, less-than 2-year","224","NULL",40468,0,0,169047,268965,8550,0,300489.08,NA,NA,NA
"Auburn University","AL","Public, 4-year or above","20629","5501",10915560.05,30787400.74,4700819.64,26198680,69782022,44494994,10077101,17511580.1,2035806,828865,559484
"Auburn University at Montgomery","AL","Public, 4-year or above","4377","662",0,219877,36900,9290533,13830638,2386524,219126,10170489,NA,NA,NA
"Augsburg College","MN","Private not-for-profit, 4-year or above","2619","984",272494,991211,0,6035809,14805223,3402200,2027021,5127006.47,NA,NA,NA
"Augusta Technical College","GA","Public, 2-year","4269","NULL",591493,0,0,NA,NA,NA,NA,11805724.73,NA,NA,NA
"Augusta University","GA","Public, 4-year or above","5224","3357",11189440,40938407,4539315.45,9723456,65623844,3639335,18094874,10277146.49,NA,NA,NA
"Augustana College","IL","Private not-for-profit, 4-year or above","2497","NULL",0,241819,0,6218227,5515338,6067062,0,2646372,NA,NA,NA
"Augustana University","SD","Private not-for-profit, 4-year or above","1671","224",296065,110948,0,3421646,4803483,1091208,110111,1594601,472667,607885,593067
"Aultman College of Nursing and Health Sciences","OH","Private not-for-profit, 4-year or above","358","NULL",0,0,0,592831,877503,361027,0,550343,NA,NA,NA
"Aurora University","IL","Private not-for-profit, 4-year or above","3383","1843",-52693.72,0,0,10207175,31944696,4180224,799440,8092894.74,NA,NA,NA
"Austin College","TX","Private not-for-profit, 4-year or above","1278","17",1302048,6900,60246,2205400,2304825,2825835,7250,1929313,NA,NA,NA
"Austin Graduate School of Theology","TX","Private not-for-profit, 4-year or above","17","22",0,0,0,41637,85264,0,0,26880,NA,NA,NA
"Austin Peay State University","TN","Public, 4-year or above","9246","915",1320378.11,0,3000,17699966,24443332,5448421,282183,22369165.65,NA,NA,NA
"Austin Presbyterian Theological Seminary","TX","Private not-for-profit, 4-year or above","NULL","159",0,0,0,0,319658,0,0,NA,NA,NA,NA
"Autry Technology Center","OK","Public, 2-year","633","NULL",0,0,0,NA,NA,NA,NA,353420.4,NA,NA,NA
"Ave Maria School of Law","FL","Private not-for-profit, 4-year or above","NULL","269",0,0,0,0,3828766,0,5781977,NA,NA,NA,NA
"Ave Maria University","FL","Private not-for-profit, 4-year or above","1028","40",0,0,0,1511121,1842834,1237147,6132,1133427,NA,NA,NA
"Avera McKennan Hospital School of Radiologic Technology","SD","Private not-for-profit, 2-year","20","NULL",0,0,0,0,2750,7500,0,NA,NA,NA,NA
"Averett University","VA","Private not-for-profit, 4-year or above","852","4",0,0,0,3265820,6263871,4406262,6000,2431331.66,NA,NA,NA
"Avila University","MO","Private not-for-profit, 4-year or above","1407","462",1567194,0,0,3466849,7071641,1353441,0,2508127,NA,NA,NA
"AVTEC-Alaska's Institute of Technology","AK","Public, less-than 2-year","1667","NULL",0,0,0,60442,115093,16862,0,340106,NA,NA,NA
"Azusa Pacific University","CA","Private not-for-profit, 4-year or above","5918","4092",2758341,46000,0,21003053,82300006,16992693,27049384,15193539.25,NA,NA,NA
"B M Spurr School of Practical Nursing","WV","Private not-for-profit, less-than 2-year","32","NULL",0,0,0,NA,NA,NA,NA,71443,NA,NA,NA
"Bacone College","OK","Private not-for-profit, 4-year or above","968","NULL",309836,0,0,2173159,2259634,2826436,0,2414381.11,NA,NA,NA
"Bais HaMedrash and Mesivta of Baltimore","MD","Private not-for-profit, 4-year or above","59","NULL",0,0,0,NA,NA,NA,NA,227570,NA,NA,NA
"Bais Medrash Elyon","NY","Private not-for-profit, 4-year or above","68","34",0,0,0,NA,NA,NA,NA,132578,NA,NA,NA
"Bais Medrash Toras Chesed","NJ","Private not-for-profit, 4-year or above","111","NULL",0,0,0,NA,NA,NA,NA,225792.95,NA,6667,NA
"Baker College","MI","Private not-for-profit, 4-year or above","27101","578",-148784.47,0,0,23333820,33230555,2714574,405056,21303391,NA,NA,NA
"Baker University","KS","Private not-for-profit, 4-year or above","1848","970",0,0,0,3202244,11077639,1557198,80350,2149030,NA,NA,NA
"Bakersfield College","CA","Public, 4-year or above","18698","NULL",1218049.15,0,0,1304056,1388815,13370,0,33210278.83,NA,713028,620327
"Bakke Graduate University","TX","Private not-for-profit, 4-year or above","NULL","174",0,0,0,0,182737,0,6366,NA,NA,NA,NA
"Baldwin Wallace University","OH","Private not-for-profit, 4-year or above","3362","627",515103,-58094,0,8557427,11718070,9254869,1795113,5175477,630000,591859,1277094
"Ball State University","IN","Public, 4-year or above","16415","4594",1864127.35,1175276.49,0,30824315,77155089,21762252,2937866,24407364.42,NA,NA,NA
"Baltimore City Community College","MD","Public, 2-year","5269","NULL",833457.5,0,0,NA,NA,NA,NA,7563316.12,NA,NA,NA
"Bank Street College of Education","NY","Private not-for-profit, 4-year or above","NULL","650",950194,0,0,0,2050119,0,186440,5596,NA,NA,NA
"Baptist Bible College","MO","Private not-for-profit, 4-year or above","317","53",0,0,0,706623,675413,304023,0,709097.24,NA,NA,NA
"Baptist Memorial College of Health Sciences","TN","Private not-for-profit, 4-year or above","1170","NULL",0,0,0,3622398,4730169,1166612,0,2571151.47,NA,NA,NA
"Baptist Missionary Association Theological Seminary","TX","Private not-for-profit, 4-year or above","58","68",0,0,0,20250,150920,0,0,51584.5,NA,NA,NA
"Baptist Theological Seminary at Richmond","VA","Private not-for-profit, 4-year or above","NULL","70",0,0,0,0,180530,0,1369,NA,NA,NA,NA
"Baptist University of the Americas","TX","Private not-for-profit, 4-year or above","174","NULL",0,0,0,45065,26080,0,0,272071.5,NA,NA,NA
"Barclay College","KS","Private not-for-profit, 4-year or above","227","37",0,0,0,479165,508143,56620,0,545875.23,NA,NA,NA
"Bard College","NY","Private not-for-profit, 4-year or above","2112","290",802679,435610,0,3541751,5865654,3228025,1381726,2469551.43,NA,NA,NA
"Bard College at Simon's Rock","MA","Private not-for-profit, 4-year or above","323","NULL",0,24000,0,738103,593412,1099529,0,544891.92,65000,80150,44373
"Barnard College","NY","Private not-for-profit, 4-year or above","2573","NULL",648615,6216105,0,3216649,682517,5447133,0,2053594,28197,261683,296710
"Barnes-Jewish College Goldfarb School of Nursing","MO","Private not-for-profit, 4-year or above","592","89",0,0,0,2704311,4028635,1072529,284758,984288,NA,NA,NA
"Barry University","FL","Private not-for-profit, 4-year or above","3996","4195",2544760,-147,0,8022064,74096380,2862971,34799236,7950115.69,NA,NA,NA
"Barstow Community College","CA","Public, 2-year","3477","NULL",0,0,0,NA,NA,NA,NA,8858694.36,NA,115548,110098
"Barton College","NC","Private not-for-profit, 4-year or above","1010","62",0,0,0,2791483,3373053,2971348,34697,2020437,38500,199000,121397
"Barton County Community College","KS","Public, 2-year","5339","NULL",1268357,0,-76309.2,1236467,1470968,26114,0,2799112,NA,NA,NA
"Bastyr University","WA","Private not-for-profit, 4-year or above","279","1017",0,0,0,555986,28343265,145919,18900262,334520,NA,NA,NA
"Bates College","ME","Private not-for-profit, 4-year or above","1773","NULL",39248.08,1526194,0,981270,1015756,2826837,0,901030,NA,NA,NA
"Bates Technical College","WA","Public, 2-year","2907","NULL",0,0,0,490099,754976,26890,0,3546078.47,NA,NA,NA
"Baton Rouge Community College","LA","Public, 2-year","7741","NULL",35540861.88,0,0,8464694,10130946,274100,0,17639679.78,NA,NA,NA
"Baton Rouge General Medical Center-School of Nursing","LA","Private not-for-profit, 2-year","69","NULL",0,0,0,185048,382488,6812,0,202639,NA,NA,NA
"Bay de Noc Community College","MI","Public, 2-year","2019","NULL",103852.77,0,0,1508071,1594490,13211,0,2688693,NA,NA,NA
"Bay Mills Community College","MI","Public, 2-year","555","NULL",3600415,324884,0,NA,NA,NA,NA,1033379.28,NA,NA,NA
"Bay Path University","MA","Private not-for-profit, 4-year or above","1584","1251",0,0,0,7285551,25069919,2859470,6682641,4602484.59,NA,NA,NA
"Baylor College of Medicine","TX","Private not-for-profit, 4-year or above","NULL","1572",62153475,230263056.23,8388550.12,0,12771382,0,3511110,NA,NA,NA,NA
"Baylor University","TX","Private not-for-profit, 4-year or above","13859","2598",3574471,9936019,817121.2,22095447,38556402,40156769,14955316,12281130.16,NA,NA,NA
"BCI","MA","Private not-for-profit, less-than 2-year",NA,NA,0,0,0,55463,40300,0,0,263693,NA,NA,NA
"Be'er Yaakov Talmudic Seminary","NY","Private not-for-profit, 4-year or above","382","NULL",0,0,0,NA,NA,NA,NA,3965302.36,NA,NA,NA
"Beacon College","FL","Private not-for-profit, 4-year or above","223","NULL",0,0,0,565676,604807,2345793,0,543130.5,NA,NA,NA
"Beaufort County Community College","NC","Public, 2-year","2035","NULL",373140,0,0,NA,NA,NA,NA,1771601.91,NA,NA,NA
"Beaumont Adult School","CA","Public, less-than 2-year","143","NULL",0,0,0,200603,199525,6200,0,401014,NA,NA,NA
"Becker College","MA","Private not-for-profit, 4-year or above","2021","5",87218.75,0,0,5159223,5055559,9285182,13500,2874449.48,NA,NA,NA
"Beis Medrash Heichal Dovid","NY","Private not-for-profit, 4-year or above","93","20",0,0,0,NA,NA,NA,NA,126059,NA,NA,NA
"Belanger School of Nursing","NY","Private not-for-profit, 2-year","131","NULL",0,0,0,183756,290208,0,0,132896.56,NA,NA,NA
"Belhaven University","MS","Private not-for-profit, 4-year or above","2566","1700",0,0,0,6736712,34232337,2459696,394582,5569937.08,NA,NA,NA
"Bellarmine University","KY","Private not-for-profit, 4-year or above","2585","1195",0,0,0,5881451,13402691,4053971,3787001,3005749.54,NA,NA,NA
"Bellevue College","WA","Public, 4-year or above","13469","NULL",572496,49509,0,1758192,2730895,21718,0,6756840.48,NA,NA,NA
"Bellevue University","NE","Private not-for-profit, 4-year or above","6291","3587",0,0,0,11139814,39182181,939251,4985520,9015750,NA,NA,NA
