"institution","state","type","undergrad_students","grad_students","non-research_grants","research_grants","contracts","subsidized_student_loans","unsubsidized_student_loan","parent_plus","grad_plus","pell_teach_service_grants","perkins_loans_AY17","fseog_AY17","federal_work_study_AY17"
"Frostburg State University","MD","Public, 4-year or above","4915","795",1486517.29,0,0,8243682,11618840,5776692,91335,7843250.14,301862,209930,170618
"Fuller Theological Seminary in California","CA","Private not-for-profit, 4-year or above","NULL","2532",0,0,2436.15,0,7998663,0,1253052,NA,NA,NA,NA
"Fullerton College","CA","Public, 2-year","25055","NULL",0,0,0,2845819,2665155,0,0,24337316.74,NA,NA,NA
"Fulton-Montgomery Community College","NY","Public, 2-year","2589","NULL",496492,0,0,1773739,1898082,448508,0,4371613,NA,NA,NA
"Furman University","SC","Private not-for-profit, 4-year or above","2810","153",0,530356,0,2788065,3607349,5272225,46880,1688706.73,456931,372892,259713
"Future Generations Graduate School","WV","Private not-for-profit, 4-year or above","NULL","16",0,0,0,0,11748,0,0,NA,NA,NA,NA
"Gadsden State Community College","AL","Public, 2-year","5289","NULL",3027450,-645.59,0,NA,NA,NA,NA,11297359.48,NA,NA,NA
"Gallaudet University","DC","Private not-for-profit, 4-year or above","1031","466",1909939.05,1383946,6726.71,1946071,5185529,673736,1245847,3266857,NA,NA,NA
"Galveston College","TX","Public, 2-year","2048","NULL",862462.28,0,0,458240,693192,11944,0,3040694.91,NA,NA,NA
"Gannon University","PA","Private not-for-profit, 4-year or above","3205","1301",537498,242136,80684,6402049,19341290,6288935,6328995,3776239.42,NA,NA,NA
"Garden City Community College","KS","Public, 2-year","2072","NULL",287656.18,0,0,941614,727024,58465,0,3241460.49,NA,NA,NA
"Gardner-Webb University","NC","Private not-for-profit, 4-year or above","2710","1693",0,0,0,4657293,19743861,4609277,1620262,3878835.86,NA,NA,NA
"Garnet Career Center","WV","Public, less-than 2-year","173","NULL",0,0,0,NA,NA,NA,NA,479262,NA,NA,NA
"Garrett College","MD","Public, 2-year","713","NULL",0,0,0,637416,692576,345300,0,1317771,NA,NA,NA
"Garrett-Evangelical Theological Seminary","IL","Private not-for-profit, 4-year or above","NULL","337",0,0,0,0,1303573,0,177431,NA,NA,NA,NA
"Gaston College","NC","Public, 2-year","5777","NULL",557288,2204916,0,NA,NA,NA,NA,8183479.78,NA,NA,NA
"Gateway Community and Technical College","KY","Public, 2-year","4594","NULL",1013282.83,0,0,3006318,2824027,33217,0,6197033,NA,NA,NA
"Gateway Community College","CT","Public, 2-year","8200","NULL",0,0,0,219216,659675,0,0,5630765.82,NA,NA,NA
"GateWay Community College","AZ","Public, 2-year","5950","NULL",1254630,0,62070,2636199,1164722,0,0,7046876.86,NA,NA,NA
"Gateway Technical College","WI","Public, 2-year","7410","NULL",218399,0,0,5727733,6926624,27456,0,10096374.02,NA,343623,286881
"Gavilan College","CA","Public, 2-year","5531","NULL",1886222.94,0,0,69928,28000,0,0,5639190.72,NA,NA,NA
"Geisinger-Lewistown Hospital School of Nursing","PA","Private not-for-profit, 2-year","39","NULL",0,0,0,79389,143739,46765,0,69991,NA,NA,NA
"Gemological Institute of America","CA","Private not-for-profit, less-than 2-year","471","NULL",0,0,0,81892,204778,97679,0,135240,NA,NA,NA
"Genesee Community College","NY","Public, 2-year","6883","NULL",1228310,0,0,3690228,4351817,224079,0,6782169.35,NA,NA,NA
"Genesee Valley BOCES-Practical Nursing Program","NY","Public, less-than 2-year","153","NULL",0,0,0,239993,457164,4100,0,390622,NA,NA,NA
"George C Wallace Community College-Dothan","AL","Public, 2-year","4854","NULL",1327185.81,0,0,NA,NA,NA,NA,10639213.73,NA,NA,NA
"George C Wallace State Community College-Hanceville","AL","Public, 2-year","5343","NULL",1348162.42,0,0,4329276,5344053,62863,0,10822621.05,NA,NA,NA
"George C Wallace State Community College-Selma","AL","Public, 2-year","1668","NULL",881434.44,0,0,NA,NA,NA,NA,5300370.33,NA,NA,NA
"George Fox University","OR","Private not-for-profit, 4-year or above","2509","1338",100000,0,20000,6520067,20904992,7216780,3499567,3663240,NA,NA,NA
