"agency","subagency","obligation"
"Department of Labor","President's Committee on Employment of the Handicapped",4835314
"Department of Labor","Veterans Employment and Training Services",77003.68
"Department of State","Department of State",146722129.34
"Department of State","International Boundary and Water Commission: U.S.-Mexico",9560
"Department of the Interior","Bureau of Indian Affairs and Bureau of Indian Education",84302804.61
"Department of the Interior","Bureau of Land Management",15935295.92
"Department of the Interior","Bureau of Ocean Energy Management",6684419.7
"Department of the Interior","Bureau of Reclamation",21835734.96
"Department of the Interior","Bureau of Safety and Environmental Enforcement",99116.75
"Department of the Interior","Department of the Interior",1983334
"Department of the Interior","Departmental Offices",71404589.68
"Department of the Interior","Insular Affairs",2081589.83
"Department of the Interior","National Park Service",52149118.4
"Department of the Interior","Office of Surface Mining, Reclamation and Enforcement",144101.02
"Department of the Interior","U.S. Fish and Wildlife Service",22074359.4
"Department of the Interior","U.S. Geological Survey",97223347.54
"Department of the Treasury","Bureau of Engraving and Printing",28995
"Department of the Treasury","Bureau of the Fiscal Service",411106.5
"Department of the Treasury","Departmental Offices",227239.87
"Department of the Treasury","Internal Revenue Service",5063438.98
"Department of the Treasury","Office of the Comptroller of the Currency",142127.96
"Department of Transportation","Federal Aviation Administration",36744752.94
"Department of Transportation","Federal Highway Administration",29268292.31
"Department of Transportation","Federal Motor Carrier Safety Administration",2335464.6
"Department of Transportation","Federal Railroad Administration",3278563.56
"Department of Transportation","Federal Transit Administration",28255213.24
"Department of Transportation","Immediate Office of the Secretary of Transportation",63188363.72
"Department of Transportation","Maritime Administration",1712836.57
"Department of Transportation","National Highway Traffic Safety Administration",16072033.1
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration",10498966.32
"Department of Veterans Affairs","Department of Veterans Affairs",198858600.67
"Department of Veterans Affairs","Under Secretary for Benefits/Veterans Benefits Administration",39977
"Department of Veterans Affairs","Under Secretary for Health/Veterans Health Administration",2173460.11
"Environmental Protection Agency","Environmental Protection Agency",73961880.94
"Equal Employment Opportunity Commission","Equal Employment Opportunity Commission",1314664.22
"Executive Office of the President","Executive Office of the President",1296157
"Executive Office of the President","Office of the National Drug Control Policy",30304837.64
"Federal Communications Commission","Federal Communications Commission",8638
"Federal Trade Commission","Federal Trade Commission",52824
"General Services Administration","General Services Administration",95000
"General Services Administration","Office of Government-wide Policy",200000
"General Services Administration","Office of the Chief Information Officer",35000
"General Services Administration","Public Buildings Service",614523.02
"Government Accountability Office","GAO, Except Comptroller General",-280
"Institute of Museum and Library Services","Institute of Museum and Library Services",29750893.62
"International Trade Commission","International Trade Commission",90278.78
"Millennium Challenge Corporation","Millennium Challenge Corporation",-464005.65
"National Aeronautics and Space Administration","National Aeronautics and Space Administration",4398005950.25
"National Archives and Records Administration","National Archives and Records Administration",5500361.71
"National Archives and Records Administration","National Historical Publications and Records Commission",4704042.62
"National Endowment for the Arts","National Endowment for the Arts",5479051.52
"National Endowment for the Humanities","National Endowment for the Humanities",30569362.35
"National Science Foundation","National Science Foundation",11266967009.16
"National Transportation Safety Board","National Transportation Safety Board",38999.08
"Nuclear Regulatory Commission","Nuclear Regulatory Commission",18877723.81
"Office of Personnel Management","Office of Personnel Management",99881.11
"Peace Corps","Peace Corps",1233419.72
"Pension Benefit Guaranty Corporation","Pension Benefit Guaranty Corporation",28152
"Securities and Exchange Commission","Securities and Exchange Commission",1418671
"Small Business Administration","Small Business Administration",115873352.59
"Smithsonian Institution","Smithsonian Institution",2508035.31
"Social Security Administration","Social Security Administration",18280520.9
"The Council of the Inspectors General on Integrity and Efficiency","The Council of the Inspectors General on Integrity and Efficiency",509000
"United States Chemical Safety Board","United States Chemical Safety Board",10300
