"cfda_number","family","program_title","agency","subagency","Recipient","obligation"
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Auburn University",309334
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Colorado State University-Fort Collins",1602894.94
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Iowa State University",927922.28
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Kansas State University",2329595
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Michigan State University",2652110.32
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Mississippi State University",1238707
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","North Dakota State University-Main Campus",364400
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Oklahoma State University",186545.12
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Pennsylvania State University",1443927.91
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Rutgers University-New Brunswick",3819956
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of California-Davis",3151975.27
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of California-Riverside",9900
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Florida",2150913
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Georgia",-57.14
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Hawaii at Manoa",929280
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Idaho",196400
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Illinois at Urbana-Champaign",-10034.06
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Maine",432119.38
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Maryland-College Park",929279.99
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Washington",929280
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Wisconsin-Madison",1272357
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Virginia Polytechnic Institute and State University",904056
"10.2","Agriculture and Farming R&D","Grants for Agricultural Research, Special Research Grants","Department of Agriculture","National Institute of Food and Agriculture","Washington State University",884570
"10.202","Environment","Cooperative Forestry Research","Department of Agriculture","National Institute of Food and Agriculture","Alcorn State University",-116798.04
"10.202","Environment","Cooperative Forestry Research","Department of Agriculture","National Institute of Food and Agriculture","Florida Agricultural and Mechanical University",-23460.16
"10.202","Environment","Cooperative Forestry Research","Department of Agriculture","National Institute of Food and Agriculture","Fort Valley State University",-20894.66
"10.202","Environment","Cooperative Forestry Research","Department of Agriculture","National Institute of Food and Agriculture","Lincoln University",-68273.4
"10.202","Environment","Cooperative Forestry Research","Department of Agriculture","National Institute of Food and Agriculture","Rutgers University-New Brunswick",-42605.96
"10.202","Environment","Cooperative Forestry Research","Department of Agriculture","National Institute of Food and Agriculture","SUNY College of Environmental Science and Forestry",-0.79
"10.202","Environment","Cooperative Forestry Research","Department of Agriculture","National Institute of Food and Agriculture","University of Delaware",-105.26
"10.202","Environment","Cooperative Forestry Research","Department of Agriculture","National Institute of Food and Agriculture","University of Florida",-13166.64
"10.202","Environment","Cooperative Forestry Research","Department of Agriculture","National Institute of Food and Agriculture","University of Guam",-5797.05
"10.202","Environment","Cooperative Forestry Research","Department of Agriculture","National Institute of Food and Agriculture","University of Puerto Rico-Rio Piedras",-29602.31
"10.202","Environment","Cooperative Forestry Research","Department of Agriculture","National Institute of Food and Agriculture","University of Washington",-1379.05
"10.203","Agriculture and Farming R&D","Payments to Agricultural Experiment Stations Under the Hatch Act","Department of Agriculture","National Institute of Food and Agriculture","American Samoa Community College",-29314
"10.203","Agriculture and Farming R&D","Payments to Agricultural Experiment Stations Under the Hatch Act","Department of Agriculture","National Institute of Food and Agriculture","North Carolina State University at Raleigh",-103021
"10.203","Agriculture and Farming R&D","Payments to Agricultural Experiment Stations Under the Hatch Act","Department of Agriculture","National Institute of Food and Agriculture","Rutgers University-New Brunswick",-0.73
"10.203","Agriculture and Farming R&D","Payments to Agricultural Experiment Stations Under the Hatch Act","Department of Agriculture","National Institute of Food and Agriculture","University of Connecticut",-181.26
"10.203","Agriculture and Farming R&D","Payments to Agricultural Experiment Stations Under the Hatch Act","Department of Agriculture","National Institute of Food and Agriculture","University of Delaware",-41.22
"10.203","Agriculture and Farming R&D","Payments to Agricultural Experiment Stations Under the Hatch Act","Department of Agriculture","National Institute of Food and Agriculture","University of Florida",-252783.33
"10.203","Agriculture and Farming R&D","Payments to Agricultural Experiment Stations Under the Hatch Act","Department of Agriculture","National Institute of Food and Agriculture","University of Guam",-20326
"10.203","Agriculture and Farming R&D","Payments to Agricultural Experiment Stations Under the Hatch Act","Department of Agriculture","National Institute of Food and Agriculture","University of Puerto Rico-Rio Piedras",-505679.73
"10.203","Agriculture and Farming R&D","Payments to Agricultural Experiment Stations Under the Hatch Act","Department of Agriculture","National Institute of Food and Agriculture","University of the District of Columbia",-77161.21
"10.205","Agriculture and Farming R&D","Payments to 1890 Land-Grant Colleges and Tuskegee University","Department of Agriculture","National Institute of Food and Agriculture","Florida Agricultural and Mechanical University",-5554.4
"10.205","Agriculture and Farming R&D","Payments to 1890 Land-Grant Colleges and Tuskegee University","Department of Agriculture","National Institute of Food and Agriculture","Fort Valley State University",-215941.02
"10.205","Agriculture and Farming R&D","Payments to 1890 Land-Grant Colleges and Tuskegee University","Department of Agriculture","National Institute of Food and Agriculture","Kentucky State University",-297610.94
"10.205","Agriculture and Farming R&D","Payments to 1890 Land-Grant Colleges and Tuskegee University","Department of Agriculture","National Institute of Food and Agriculture","Langston University",-70633.23
"10.205","Agriculture and Farming R&D","Payments to 1890 Land-Grant Colleges and Tuskegee University","Department of Agriculture","National Institute of Food and Agriculture","Tennessee State University",-285702.32
"10.205","Agriculture and Farming R&D","Payments to 1890 Land-Grant Colleges and Tuskegee University","Department of Agriculture","National Institute of Food and Agriculture","Virginia State University",-57769.39
"10.207","Agriculture and Farming R&D","Animal Health and Disease Research","Department of Agriculture","National Institute of Food and Agriculture","Louisiana State University",-2129.64
"10.207","Agriculture and Farming R&D","Animal Health and Disease Research","Department of Agriculture","National Institute of Food and Agriculture","Ohio State University",-1250.55
"10.207","Agriculture and Farming R&D","Animal Health and Disease Research","Department of Agriculture","National Institute of Food and Agriculture","Oregon State University",-66.72
"10.207","Agriculture and Farming R&D","Animal Health and Disease Research","Department of Agriculture","National Institute of Food and Agriculture","The University of Tennessee-Knoxville",-755.19
"10.207","Agriculture and Farming R&D","Animal Health and Disease Research","Department of Agriculture","National Institute of Food and Agriculture","Tuskegee University",-352.29
"10.207","Agriculture and Farming R&D","Animal Health and Disease Research","Department of Agriculture","National Institute of Food and Agriculture","University of Connecticut",-99.47
"10.207","Agriculture and Farming R&D","Animal Health and Disease Research","Department of Agriculture","National Institute of Food and Agriculture","University of Florida",-880.03
"10.207","Agriculture and Farming R&D","Animal Health and Disease Research","Department of Agriculture","National Institute of Food and Agriculture","University of Hawaii at Manoa",-2.6
"10.207","Agriculture and Farming R&D","Animal Health and Disease Research","Department of Agriculture","National Institute of Food and Agriculture","University of Pennsylvania",-14371.08
"10.207","Agriculture and Farming R&D","Animal Health and Disease Research","Department of Agriculture","National Institute of Food and Agriculture","University of Puerto Rico-Rio Piedras",-5278.99
"10.21","Education","Higher Education Graduate Fellowships Grant Program","Department of Agriculture","National Institute of Food and Agriculture","Cornell University",-6582.28
"10.21","Education","Higher Education Graduate Fellowships Grant Program","Department of Agriculture","National Institute of Food and Agriculture","North Carolina State University at Raleigh",-15536.06
"10.21","Education","Higher Education Graduate Fellowships Grant Program","Department of Agriculture","National Institute of Food and Agriculture","Oklahoma State University",-3724.51
"10.21","Education","Higher Education Graduate Fellowships Grant Program","Department of Agriculture","National Institute of Food and Agriculture","Purdue University-Main Campus",-10755.34
"10.21","Education","Higher Education Graduate Fellowships Grant Program","Department of Agriculture","National Institute of Food and Agriculture","University of California-Davis",262500
"10.21","Education","Higher Education Graduate Fellowships Grant Program","Department of Agriculture","National Institute of Food and Agriculture","University of Chicago",-14273.35
"10.21","Education","Higher Education Graduate Fellowships Grant Program","Department of Agriculture","National Institute of Food and Agriculture","University of Georgia",-40469.24
"10.21","Education","Higher Education Graduate Fellowships Grant Program","Department of Agriculture","National Institute of Food and Agriculture","University of Minnesota-Twin Cities",-35740.02
"10.215","Agriculture and Farming R&D","Sustainable Agriculture Research and Education","Department of Agriculture","National Institute of Food and Agriculture","Montana State University",7895037
"10.215","Agriculture and Farming R&D","Sustainable Agriculture Research and Education","Department of Agriculture","National Institute of Food and Agriculture","University of Georgia",7816907
"10.215","Agriculture and Farming R&D","Sustainable Agriculture Research and Education","Department of Agriculture","National Institute of Food and Agriculture","University of Maryland-College Park",1424329.13
"10.215","Agriculture and Farming R&D","Sustainable Agriculture Research and Education","Department of Agriculture","National Institute of Food and Agriculture","University of Minnesota-Twin Cities",7816907
"10.215","Agriculture and Farming R&D","Sustainable Agriculture Research and Education","Department of Agriculture","National Institute of Food and Agriculture","University of Vermont",7816735.76
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","Alabama A & M University",1602707.05
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","Alcorn State University",1075986.93
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","Central State University",594858
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","Delaware State University",944669.14
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","Florida Agricultural and Mechanical University",997346.41
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","Fort Valley State University",399994
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","Kentucky State University",294189.47
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","Langston University",-119168.82
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","Lincoln University",785769.85
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","North Carolina A & T State University",-7614.87
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","Prairie View A & M University",1191483.56
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","South Carolina State University",1110465.99
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","Southern University and A & M College",466532.07
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","Tennessee State University",1892510.58
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","Tuskegee University",1022842.26
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Arkansas at Pine Bluff",794705.74
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Maryland Eastern Shore",1176709
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","Virginia State University",1834763.45
"10.216","Education","1890 Institution Capacity Building Grants","Department of Agriculture","National Institute of Food and Agriculture","West Virginia State University",1805746.25
"10.219","Research Support Programs","Biotechnology Risk Assessment Research","Department of Agriculture","National Institute of Food and Agriculture","Auburn University",394586
"10.219","Research Support Programs","Biotechnology Risk Assessment Research","Department of Agriculture","National Institute of Food and Agriculture","Iowa State University",500000
"10.219","Research Support Programs","Biotechnology Risk Assessment Research","Department of Agriculture","National Institute of Food and Agriculture","Michigan State University",1000000
"10.219","Research Support Programs","Biotechnology Risk Assessment Research","Department of Agriculture","National Institute of Food and Agriculture","North Carolina State University at Raleigh",1498466
"10.219","Research Support Programs","Biotechnology Risk Assessment Research","Department of Agriculture","National Institute of Food and Agriculture","South Dakota State University",500000
"10.219","Research Support Programs","Biotechnology Risk Assessment Research","Department of Agriculture","National Institute of Food and Agriculture","SUNY College of Environmental Science and Forestry",500000
"10.219","Research Support Programs","Biotechnology Risk Assessment Research","Department of Agriculture","National Institute of Food and Agriculture","University of California-Davis",462968
"10.219","Research Support Programs","Biotechnology Risk Assessment Research","Department of Agriculture","National Institute of Food and Agriculture","University of Maryland-College Park",1499214
"10.219","Research Support Programs","Biotechnology Risk Assessment Research","Department of Agriculture","National Institute of Food and Agriculture","University of Minnesota-Twin Cities",997156
"10.219","Research Support Programs","Biotechnology Risk Assessment Research","Department of Agriculture","National Institute of Food and Agriculture","University of Notre Dame",-9239.25
"10.219","Research Support Programs","Biotechnology Risk Assessment Research","Department of Agriculture","National Institute of Food and Agriculture","University of Wyoming",-7061.85
"10.227","Agriculture and Farming R&D","1994 Institutions Research Program","Department of Agriculture","National Institute of Food and Agriculture","College of Menominee Nation",199268
"10.227","Agriculture and Farming R&D","1994 Institutions Research Program","Department of Agriculture","National Institute of Food and Agriculture","College of the Muscogee Nation",99309.35
"10.227","Agriculture and Farming R&D","1994 Institutions Research Program","Department of Agriculture","National Institute of Food and Agriculture","Dine College",220000
"10.227","Agriculture and Farming R&D","1994 Institutions Research Program","Department of Agriculture","National Institute of Food and Agriculture","Fond du Lac Tribal and Community College",219973
"10.227","Agriculture and Farming R&D","1994 Institutions Research Program","Department of Agriculture","National Institute of Food and Agriculture","Fort Peck Community College",95000
"10.227","Agriculture and Farming R&D","1994 Institutions Research Program","Department of Agriculture","National Institute of Food and Agriculture","Institute of American Indian and Alaska Native Culture and Arts Development",60000
"10.227","Agriculture and Farming R&D","1994 Institutions Research Program","Department of Agriculture","National Institute of Food and Agriculture","Keweenaw Bay Ojibwa Community College",630000
"10.227","Agriculture and Farming R&D","1994 Institutions Research Program","Department of Agriculture","National Institute of Food and Agriculture","Lac Courte Oreilles Ojibwa Community College",220000
"10.227","Agriculture and Farming R&D","1994 Institutions Research Program","Department of Agriculture","National Institute of Food and Agriculture","Navajo Technical University",157464.26
"10.227","Agriculture and Farming R&D","1994 Institutions Research Program","Department of Agriculture","National Institute of Food and Agriculture","Northwest Indian College",280000
"10.227","Agriculture and Farming R&D","1994 Institutions Research Program","Department of Agriculture","National Institute of Food and Agriculture","Nueta Hidatsa Sahnish College",95000
"10.227","Agriculture and Farming R&D","1994 Institutions Research Program","Department of Agriculture","National Institute of Food and Agriculture","Salish Kootenai College",219464
"10.227","Agriculture and Farming R&D","1994 Institutions Research Program","Department of Agriculture","National Institute of Food and Agriculture","Southwestern Indian Polytechnic Institute",-1154.84
"10.228","Education","Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Alaska Fairbanks",2014475.33
"10.228","Education","Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Hawaii at Manoa",2028671.15
"10.228","Education","Alaska Native Serving and Native Hawaiian Serving Institutions Education Grants","Department of Agriculture","National Institute of Food and Agriculture","University of Hawaii Maui College",979532
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","Cornell University",887907.04
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","Kansas State University",-3.22
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","Michigan State University",1971988.33
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","Mississippi State University",949760
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","North Carolina State University at Raleigh",808173
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","Oklahoma State University",-7171.55
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","Pennsylvania State University",474880
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","The University of Texas Rio Grande Valley",-8474.56
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","University of California-Davis",497490.08
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","University of Connecticut",-2122.51
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","University of Florida",-788.04
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","University of Georgia",375695
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","University of Maryland-College Park",268079
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","University of Massachusetts-Amherst",-3411.26
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","University of Minnesota-Twin Cities",1252246.25
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","Utah State University",474535.85
"10.303","Agriculture and Farming","Integrated Programs","Department of Agriculture","National Institute of Food and Agriculture","West Virginia University",499817
"10.306","Energy Programs","Biodiesel","Department of Agriculture","National Institute of Food and Agriculture","University of Idaho",180874
"10.307","Agriculture and Farming R&D","Organic Agriculture Research and Extension Initiative","Department of Agriculture","National Institute of Food and Agriculture","Clemson University",1998502
"10.307","Agriculture and Farming R&D","Organic Agriculture Research and Extension Initiative","Department of Agriculture","National Institute of Food and Agriculture","Mississippi State University",-28333.91
"10.307","Agriculture and Farming R&D","Organic Agriculture Research and Extension Initiative","Department of Agriculture","National Institute of Food and Agriculture","Oregon State University",1999999
"10.307","Agriculture and Farming R&D","Organic Agriculture Research and Extension Initiative","Department of Agriculture","National Institute of Food and Agriculture","Pennsylvania State University",585253
"10.307","Agriculture and Farming R&D","Organic Agriculture Research and Extension Initiative","Department of Agriculture","National Institute of Food and Agriculture","Purdue University-Main Campus",-42719.07
"10.307","Agriculture and Farming R&D","Organic Agriculture Research and Extension Initiative","Department of Agriculture","National Institute of Food and Agriculture","University of Maine",3911038
"10.307","Agriculture and Farming R&D","Organic Agriculture Research and Extension Initiative","Department of Agriculture","National Institute of Food and Agriculture","University of New Hampshire-Main Campus",-178.78
"10.307","Agriculture and Farming R&D","Organic Agriculture Research and Extension Initiative","Department of Agriculture","National Institute of Food and Agriculture","University of Vermont",2532193
"10.308","Education","Resident Instruction Grants for Insular Area Activities","Department of Agriculture","National Institute of Food and Agriculture","American Samoa Community College",245000
"10.308","Education","Resident Instruction Grants for Insular Area Activities","Department of Agriculture","National Institute of Food and Agriculture","University of Guam",-251.87
"10.308","Education","Resident Instruction Grants for Insular Area Activities","Department of Agriculture","National Institute of Food and Agriculture","University of Puerto Rico-Rio Piedras",421744
"10.308","Education","Resident Instruction Grants for Insular Area Activities","Department of Agriculture","National Institute of Food and Agriculture","University of Puerto Rico-Utuado",122500
"10.308","Education","Resident Instruction Grants for Insular Area Activities","Department of Agriculture","National Institute of Food and Agriculture","University of the Virgin Islands",-142963.93
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","Clemson University",49949
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","Cornell University",2958000
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","Michigan State University",1757155
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","Montana State University",3266237
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","North Carolina State University at Raleigh",8541889
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","Ohio State University",-15971.46
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","Rutgers University-New Brunswick",5833082.74
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","Tennessee State University",49885
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","Texas A & M University-College Station",4380457
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","University of Arizona",3846151
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","University of California-Davis",2821670
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","University of California-Riverside",2026694
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","University of Florida",11561827.21
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","University of Georgia",2600617
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","University of Minnesota-Twin Cities",1871286
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","Virginia Polytechnic Institute and State University",3746265
"10.309","Agriculture and Farming R&D","Specialty Crop Research Initiative","Department of Agriculture","National Institute of Food and Agriculture","Washington State University",5694710
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Alabama A & M University",500000
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","American Samoa Community College",300000
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Arizona State University-Tempe",2219130
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Arkansas State University-Main Campus",248649.19
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Auburn University",3209542.54
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Baylor College of Medicine",1164934.96
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Boise State University",448578
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Brigham Young University-Provo",-5857.18
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","California Polytechnic State University-San Luis Obispo",270766.13
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","California State Polytechnic University-Pomona",-3636.27
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","California State University-East Bay",-127585.58
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","California State University-Fresno",-54184.25
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","California State University-San Marcos",278679
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Clemson University",875460.77
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Colorado State University-Fort Collins",9387527.95
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Cornell University",7235377.01
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Delaware State University",150000
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Duke University",474534.56
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Emory University",145000
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Fairfield University",149419
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Florida Agricultural and Mechanical University",1680000
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Florida International University",149959.51
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Florida State University",499946.78
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Fort Lewis College",103202
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Georgia Institute of Technology-Main Campus",5338263
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Harvard University",-54747.31
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Hood College",100000
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Hope College",150000
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Husson University",500000
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Idaho State University",149993
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Illinois State University",1000000
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Indiana University-Bloomington",33980.23
"10.31","Agriculture and Farming R&D","Agriculture and Food Research Initiative (AFRI) ","Department of Agriculture","National Institute of Food and Agriculture","Iowa State University",12344045.15
