"agency","subagency","institution","contracts","grants"
"Access Board","Access Board","Massachusetts Institute of Technology",-176.83,NA
"Access Board","Access Board","University of Illinois at Chicago",44863.92,NA
"Agency for International Development","Agency for International Development","Duke University",2493686.18,999458
"Agency for International Development","Agency for International Development","Eastern Mennonite University",33012,-5475
"Agency for International Development","Agency for International Development","Florida International University",-15901.63,467455
"Agency for International Development","Agency for International Development","Georgetown University",9211.15,5495810
"Agency for International Development","Agency for International Development","SIT Graduate Institute",1443867.54,23407555
"Agency for International Development","Agency for International Development","Stanford University",25200,NA
"Agency for International Development","Agency for International Development","SUNY at Albany",10200791,281900
"Agency for International Development","Agency for International Development","Tufts University",5889103.8,5607747
"Agency for International Development","Agency for International Development","University of Chicago",17162515.25,672999
"Agency for International Development","Agency for International Development","University of Maryland-College Park",-3240.8,NA
"Consumer Financial Protection Bureau","Consumer Financial Protection Bureau","Gettysburg College",44882.2,NA
"Consumer Financial Protection Bureau","Consumer Financial Protection Bureau","Pardee RAND Graduate School",270415,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","Baylor College of Medicine",35020,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","Finger Lakes Health College of Nursing",15781,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","Massachusetts General Hospital Dietetic Internship",43837.76,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","Mercy Hospital School of Nursing",82099.48,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","Regional West Medical Center School of Radiologic Technology",9664.78,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Alabama at Birmingham",81048,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Arizona",135225,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Arkansas for Medical Sciences",248432,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Cincinnati",767885.6,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Michigan-Ann Arbor",1034616,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of New Mexico-Main Campus",1260,NA
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Pennsylvania",11120,NA
"Corporation for National and Community Service","Corporation for National and Community Service","University of Chicago",465558.56,NA
"Department of Agriculture","Agricultural Marketing Service","Georgetown University",23900,NA
"Department of Agriculture","Agricultural Research Service","Arizona State University-Tempe",5000,NA
"Department of Agriculture","Agricultural Research Service","Arkansas State University-Main Campus",15872,45000
"Department of Agriculture","Agricultural Research Service","Auburn University",177.53,534357.2
"Department of Agriculture","Agricultural Research Service","Brigham Young University-Provo",9000,103154
"Department of Agriculture","Agricultural Research Service","Case Western Reserve University",7500,NA
"Department of Agriculture","Agricultural Research Service","Clemson University",9093.04,316709.41
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins",161969.32,1413771.96
"Department of Agriculture","Agricultural Research Service","Cornell University",99850.01,7994127.5
"Department of Agriculture","Agricultural Research Service","Emory University",4950,NA
"Department of Agriculture","Agricultural Research Service","Hartwick College",11700,NA
"Department of Agriculture","Agricultural Research Service","Harvard University",9000,NA
"Department of Agriculture","Agricultural Research Service","Idaho State University",22148,46753.25
"Department of Agriculture","Agricultural Research Service","Iowa State University",39128.7,3950238.91
"Department of Agriculture","Agricultural Research Service","Kansas State University",77540,2412032.01
"Department of Agriculture","Agricultural Research Service","Louisiana State University",7390,97000
"Department of Agriculture","Agricultural Research Service","Michigan State University",49844.6,1268025.52
"Department of Agriculture","Agricultural Research Service","Mississippi State University",17376,10083759
"Department of Agriculture","Agricultural Research Service","North Carolina State University at Raleigh",90715.3,1217756.81
"Department of Agriculture","Agricultural Research Service","Ohio State University",6256.15,1292113.45
"Department of Agriculture","Agricultural Research Service","Oklahoma State University",7185.25,791813
"Department of Agriculture","Agricultural Research Service","Texas A & M University-College Station",35821.64,4627264.6
"Department of Agriculture","Agricultural Research Service","Texas Tech University",8508.6,644021.7
"Department of Agriculture","Agricultural Research Service","The University of Montana",15275.67,NA
"Department of Agriculture","Agricultural Research Service","The University of Tennessee-Knoxville",9657.46,433528
"Department of Agriculture","Agricultural Research Service","University of Arkansas",4167,2737532.16
"Department of Agriculture","Agricultural Research Service","University of Arkansas for Medical Sciences",14760,NA
"Department of Agriculture","Agricultural Research Service","University of California-Berkeley",1339,1002853.2
"Department of Agriculture","Agricultural Research Service","University of California-Davis",16047,6286997.22
"Department of Agriculture","Agricultural Research Service","University of Chicago",89950,5000
"Department of Agriculture","Agricultural Research Service","University of Delaware",84569,653346
"Department of Agriculture","Agricultural Research Service","University of Florida",24760.73,1652265.11
"Department of Agriculture","Agricultural Research Service","University of Georgia",33516.9,760305.26
"Department of Agriculture","Agricultural Research Service","University of Idaho",44369,2430925.44
"Department of Agriculture","Agricultural Research Service","University of Illinois at Urbana-Champaign",211755.29,948440.83
"Department of Agriculture","Agricultural Research Service","University of Massachusetts-Amherst",5000,241910
"Department of Agriculture","Agricultural Research Service","University of Michigan-Ann Arbor",35536.19,NA
"Department of Agriculture","Agricultural Research Service","University of Minnesota-Twin Cities",26052.62,2606591.28
"Department of Agriculture","Agricultural Research Service","University of Mississippi",-1302.81,4616950
"Department of Agriculture","Agricultural Research Service","University of Missouri-Columbia",52442.41,2685484.39
"Department of Agriculture","Agricultural Research Service","University of Nebraska-Lincoln",244180.44,5207775.4
"Department of Agriculture","Agricultural Research Service","University of North Carolina at Chapel Hill",42174,NA
"Department of Agriculture","Agricultural Research Service","University of Utah",3195,35324.08
"Department of Agriculture","Agricultural Research Service","University of Washington",8872.92,NA
"Department of Agriculture","Agricultural Research Service","University of Wisconsin-Madison",153055.28,3567875.34
"Department of Agriculture","Agricultural Research Service","University of Wisconsin-Stevens Point",5160,NA
"Department of Agriculture","Agricultural Research Service","Utah State University",76412.22,319948.96
"Department of Agriculture","Agricultural Research Service","Virginia Polytechnic Institute and State University",4760,1669781
"Department of Agriculture","Agricultural Research Service","Washington State University",10250,6390580.02
"Department of Agriculture","Agricultural Research Service","West Texas A & M University",9177.99,152013
"Department of Agriculture","Animal and Plant Health Inspection Service","Auburn University",14700,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","Colorado State University-Fort Collins",625256.23,563471.88
"Department of Agriculture","Animal and Plant Health Inspection Service","Cornell University",105705,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","Iowa State University",14069.25,3699653
"Department of Agriculture","Animal and Plant Health Inspection Service","Kansas State University",38800,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","Michigan State University",238763,2457
"Department of Agriculture","Animal and Plant Health Inspection Service","Mississippi State University",17865,1063954.96
"Department of Agriculture","Animal and Plant Health Inspection Service","Murray State University",-43400,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","North Carolina State University at Raleigh",39000,4531953
"Department of Agriculture","Animal and Plant Health Inspection Service","Oregon State University",49595,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","Purdue University-Main Campus",-35524,5198
"Department of Agriculture","Animal and Plant Health Inspection Service","South Dakota State University",-90986,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","Texas A & M University-College Station",168461.04,230000
"Department of Agriculture","Animal and Plant Health Inspection Service","The University of Texas Medical Branch",-27730,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","University of California-Davis",1437036.94,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","University of Georgia",106792.72,2694904.2
"Department of Agriculture","Animal and Plant Health Inspection Service","University of Hawaii at Hilo",8000,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","University of Hawaii at Manoa",9000,27600
"Department of Agriculture","Animal and Plant Health Inspection Service","University of Illinois at Urbana-Champaign",-517,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","University of Kentucky",7735,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","University of Maryland-College Park",1055.03,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","University of Maryland-University College",13044,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","University of Minnesota-Twin Cities",66060,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","University of Missouri-Columbia",10390,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","University of Nebraska-Lincoln",22670,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","University of Wisconsin-Madison",284466.36,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","Utah State University",105625,NA
"Department of Agriculture","Animal and Plant Health Inspection Service","Washington State University",371012.5,205527
"Department of Agriculture","Department of Agriculture","Iowa State University",3195.54,NA
"Department of Agriculture","Economic Research Service","Colorado State University-Fort Collins",15000,150000
"Department of Agriculture","Economic Research Service","Purdue University-Main Campus",20435,130000
"Department of Agriculture","Economic Research Service","University of Chicago",621334,NA
"Department of Agriculture","Economic Research Service","University of Maryland-College Park",32000,30000
"Department of Agriculture","Farm Service Agency","Iowa State University",239982,NA
"Department of Agriculture","Farm Service Agency","Kansas State University",5000,NA
"Department of Agriculture","Farm Service Agency","Purdue University-Main Campus",163390,NA
"Department of Agriculture","Farm Service Agency","Virginia Polytechnic Institute and State University",110000,NA
"Department of Agriculture","Food and Nutrition Service","Northern Virginia Community College",33585,NA
"Department of Agriculture","Food and Nutrition Service","University of Kentucky",1499959,NA
"Department of Agriculture","Food Safety and Inspection Service","Texas A & M University-College Station",-7144.55,83000
"Department of Agriculture","Food Safety and Inspection Service","University of Chicago",4350,NA
"Department of Agriculture","Foreign Agricultural Service","Colorado State University-Fort Collins",8000,NA
"Department of Agriculture","Foreign Agricultural Service","University of Missouri-Columbia",10000,200138.18
"Department of Agriculture","Forest Service","Arizona State University-Tempe",-9.23,40507
"Department of Agriculture","Forest Service","Auburn University",428380.75,551913.94
"Department of Agriculture","Forest Service","Boise State University",-36318.35,512137.03
"Department of Agriculture","Forest Service","Bucks County Community College",4368,NA
"Department of Agriculture","Forest Service","California Institute of Technology",615824,NA
"Department of Agriculture","Forest Service","California State University-Sacramento",-15706.59,NA
"Department of Agriculture","Forest Service","College of Western Idaho",28780,NA
"Department of Agriculture","Forest Service","Colorado Mountain College",26569,100000
"Department of Agriculture","Forest Service","Colorado State University-Fort Collins",4000,16480818.38
"Department of Agriculture","Forest Service","Dixie Applied Technology College",7300,NA
"Department of Agriculture","Forest Service","Eastern Oregon University",17355.26,3658
"Department of Agriculture","Forest Service","Humboldt State University",6000.01,274764.93
"Department of Agriculture","Forest Service","Michigan State University",5780,1426494.86
"Department of Agriculture","Forest Service","Michigan Technological University",-5335.41,1420353.27
"Department of Agriculture","Forest Service","Mississippi State University",180989.03,683068.5
"Department of Agriculture","Forest Service","Montana State University",6000,325853.7
"Department of Agriculture","Forest Service","Nicolet Area Technical College",22340.4,NA
"Department of Agriculture","Forest Service","North Carolina State University at Raleigh",22475,1512019.24
"Department of Agriculture","Forest Service","North Dakota State University-Main Campus",6365.5,1986865.39
"Department of Agriculture","Forest Service","Northern Arizona University",3140,2948160.06
"Department of Agriculture","Forest Service","Oregon State University",68870,5522054.96
"Department of Agriculture","Forest Service","Portland State University",62000,649378
"Department of Agriculture","Forest Service","Purdue University-Main Campus",15000,457706.27
"Department of Agriculture","Forest Service","Rutgers University-New Brunswick",19973,32500
"Department of Agriculture","Forest Service","Saint Mary's College of California",10000,NA
"Department of Agriculture","Forest Service","Sonoma State University",5000,NA
"Department of Agriculture","Forest Service","Southern Utah University",3000,1409803.4
"Department of Agriculture","Forest Service","Stanford University",10333,NA
"Department of Agriculture","Forest Service","Texas A & M University-College Station",5000,6998243.57
"Department of Agriculture","Forest Service","The University of Montana",214420.17,4064840.69
"Department of Agriculture","Forest Service","The University of Tennessee-Knoxville",111960,776610.05
"Department of Agriculture","Forest Service","The University of Texas at Austin",24750,NA
"Department of Agriculture","Forest Service","Uintah Basin Applied Technology College",-1800,NA
"Department of Agriculture","Forest Service","University of California-Davis",-317.72,2064062.31
"Department of Agriculture","Forest Service","University of California-Riverside",-9.5,387097.85
"Department of Agriculture","Forest Service","University of Florida",84650,742997.96
"Department of Agriculture","Forest Service","University of Georgia",58290.1,1210879.92
"Department of Agriculture","Forest Service","University of Idaho",45224.01,1630158.54
"Department of Agriculture","Forest Service","University of Illinois at Urbana-Champaign",4706.51,2700
"Department of Agriculture","Forest Service","University of Kansas",-1848,5000
"Department of Agriculture","Forest Service","University of Maine",12375,801824.54
"Department of Agriculture","Forest Service","University of Minnesota-Twin Cities",6121.84,1455621.16
"Department of Agriculture","Forest Service","University of Nevada-Reno",44523,265395
"Department of Agriculture","Forest Service","University of North Carolina at Asheville",16537,76800
"Department of Agriculture","Forest Service","University of North Carolina at Charlotte",25696,10000
"Department of Agriculture","Forest Service","University of Oregon",33809,140584.12
"Department of Agriculture","Forest Service","University of Toledo",-1880.22,NA
"Department of Agriculture","Forest Service","University of Utah",1000,183769.55
"Department of Agriculture","Forest Service","University of Vermont",103725.96,511298.76
"Department of Agriculture","Forest Service","University of Wisconsin-Madison",557570.11,2106516.1
"Department of Agriculture","Forest Service","University of Wyoming",153237.04,426640.56
"Department of Agriculture","Forest Service","Utah State University",11000,1307967.53
"Department of Agriculture","Forest Service","Virginia Polytechnic Institute and State University",13374,1959171.56
"Department of Agriculture","Forest Service","Washington State University",7400.25,188693.24
"Department of Agriculture","Forest Service","West Virginia University",3276,1609306.89
"Department of Agriculture","Forest Service","Western New Mexico University",5000,NA
"Department of Agriculture","Forest Service","Yale University",9828.45,-16849.36
"Department of Agriculture","National Agricultural Statistics Service","University of Chicago",77313.8,NA
"Department of Agriculture","National Institute of Food and Agriculture","Michigan State University",12230,26199921.92
"Department of Agriculture","Natural Resources Conservation Service","California State University-Chico",-3686.99,NA
"Department of Agriculture","Natural Resources Conservation Service","California State University-Sacramento",-973.95,NA
"Department of Agriculture","Natural Resources Conservation Service","California State University-Stanislaus",5000,NA
"Department of Agriculture","Natural Resources Conservation Service","Dakota College at Bottineau",-6291.1,NA
"Department of Agriculture","Natural Resources Conservation Service","Elizabethtown College",20104,NA
"Department of Agriculture","Natural Resources Conservation Service","Oklahoma State University",5000.04,NA
"Department of Agriculture","Natural Resources Conservation Service","Portland State University",6000,NA
"Department of Agriculture","Natural Resources Conservation Service","Purdue University-Main Campus",9386.2,NA
"Department of Agriculture","Natural Resources Conservation Service","The University of Montana",25000,NA
"Department of Agriculture","Natural Resources Conservation Service","University of Alaska Fairbanks",25000,NA
"Department of Agriculture","Natural Resources Conservation Service","University of Iowa",2500,NA
"Department of Agriculture","Natural Resources Conservation Service","University of Nebraska-Lincoln",34080,NA
"Department of Agriculture","Office of the Chief Economist","Colorado State University-Fort Collins",8200,NA
"Department of Agriculture","Office of the Chief Economist","University of Florida",35000,NA
"Department of Agriculture","Office of the Chief Economist","University of Maryland Eastern Shore",6500,NA
"Department of Agriculture","Risk Management Agency","University of Minnesota-Twin Cities",81250,NA
"Department of Agriculture","Rural Housing Service","Ohio State University",34500,NA
"Department of Agriculture","Rural Housing Service","University of Chicago",219662,NA
"Department of Commerce","Bureau of Industry and Security","University of Virginia",-68.82,NA
"Department of Commerce","International Trade Administration","Gallaudet University",-803.29,NA
"Department of Commerce","International Trade Administration","Purdue University-Main Campus",117930.83,NA
"Department of Commerce","National Institute of Standards and Technology","California Institute of Technology",48460.02,50000
"Department of Commerce","National Institute of Standards and Technology","Georgia Institute of Technology-Main Campus",24986,5605607.51
"Department of Commerce","National Institute of Standards and Technology","Massachusetts Institute of Technology",7900,197228.14
"Department of Commerce","National Institute of Standards and Technology","Oregon Health & Science University",59797,NA
"Department of Commerce","National Institute of Standards and Technology","Pennsylvania State University",20000,1014545.92
"Department of Commerce","National Institute of Standards and Technology","The University of Tennessee-Knoxville",20248,2155899
"Department of Commerce","National Institute of Standards and Technology","The University of Texas at Austin",39600,79164
"Department of Commerce","National Institute of Standards and Technology","University of Chicago",14900,294117.97
"Department of Commerce","National Institute of Standards and Technology","University of Colorado Boulder",4667.89,21632997
"Department of Commerce","National Institute of Standards and Technology","University of Maryland-College Park",119500,18205711.46
"Department of Commerce","National Institute of Standards and Technology","University of Pennsylvania",270490.93,-330.25
"Department of Commerce","National Institute of Standards and Technology","Virginia Commonwealth University",2159,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","Antioch University-New England",10000,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","California Institute of Technology",130402,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","Clatsop Community College",22700,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","Cornell University",775169.93,-1
"Department of Commerce","National Oceanic and Atmospheric Administration","Delaware State University",-333.32,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","Duke University",14678.1,189899
"Department of Commerce","National Oceanic and Atmospheric Administration","Florida Institute of Technology",3600,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","Florida International University",325798.1,1202484
"Department of Commerce","National Oceanic and Atmospheric Administration","Florida State University",7721.01,580112
"Department of Commerce","National Oceanic and Atmospheric Administration","George Mason University",99994.01,1977886.46
"Department of Commerce","National Oceanic and Atmospheric Administration","Humboldt State University",70398.33,97066.25
"Department of Commerce","National Oceanic and Atmospheric Administration","Idaho State University",-0.58,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","Indiana University-Bloomington",1875354.54,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","Iowa State University",59478.75,155962.63
"Department of Commerce","National Oceanic and Atmospheric Administration","Johns Hopkins University",-5459.87,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","Louisiana State University",729040.93,3464196.31
"Department of Commerce","National Oceanic and Atmospheric Administration","Mississippi State University",12000,21324953.93
"Department of Commerce","National Oceanic and Atmospheric Administration","New Jersey Institute of Technology",-4793.98,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","North Carolina State University at Raleigh",1770,2526848
"Department of Commerce","National Oceanic and Atmospheric Administration","Oregon State University",493969.5,8944021.45
"Department of Commerce","National Oceanic and Atmospheric Administration","Pennsylvania State University",67000,2620980.67
"Department of Commerce","National Oceanic and Atmospheric Administration","Rockefeller University",49445,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","San Jose State University",30808,-58.54
"Department of Commerce","National Oceanic and Atmospheric Administration","Texas A & M University-College Station",167176,5245234.04
"Department of Commerce","National Oceanic and Atmospheric Administration","Texas Tech University",101383,575659.45
"Department of Commerce","National Oceanic and Atmospheric Administration","The College of New Jersey",29970,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","The University of Alabama",310212.53,286793
"Department of Commerce","National Oceanic and Atmospheric Administration","The University of West Florida",40708,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","Truckee Meadows Community College",1526363.72,218232
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Akron",99990,43476
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Alaska Fairbanks",70703.6,5147486
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Arizona",133096,2062474
"Department of Commerce","National Oceanic and Atmospheric Administration","University of California-Berkeley",30630,305886
"Department of Commerce","National Oceanic and Atmospheric Administration","University of California-Davis",199185.77,201666
"Department of Commerce","National Oceanic and Atmospheric Administration","University of California-San Diego",163071.19,29622158
"Department of Commerce","National Oceanic and Atmospheric Administration","University of California-Santa Barbara",15065.4,631851
"Department of Commerce","National Oceanic and Atmospheric Administration","University of California-Santa Cruz",153208.02,2049424
"Department of Commerce","National Oceanic and Atmospheric Administration","University of California-System Administration Central Office",15000,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Colorado Boulder",5318055.09,55270013.6
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Connecticut",50016,1620194.83
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Delaware",559878.2,2478547.08
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Florida",53457.96,6754310.38
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Georgia",458360,1647889.56
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Hawaii at Manoa",240097.72,25771826.08
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Illinois at Urbana-Champaign",595189,824024
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Iowa",15000,165432
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Louisiana at Monroe",45679,-1696
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Maryland Center for Environmental Science",60000,4875761.33
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Maryland-Baltimore County",44200,618400
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Maryland-College Park",1300274.36,26122464.11
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Massachusetts-Boston",-81550,0.3
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Miami",46898,23737630.77
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Michigan-Ann Arbor",195000,13914531.35
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Missouri-Columbia",-8800,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Nebraska-Lincoln",774051.52,91817
"Department of Commerce","National Oceanic and Atmospheric Administration","University of New Hampshire-Main Campus",58862.49,11622754
"Department of Commerce","National Oceanic and Atmospheric Administration","University of North Carolina at Chapel Hill",530611.5,495906
"Department of Commerce","National Oceanic and Atmospheric Administration","University of North Carolina Wilmington",54980,368432
"Department of Commerce","National Oceanic and Atmospheric Administration","University of North Florida",12000,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Oklahoma-Norman Campus",63282.31,34310875.84
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Oregon",86576,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Pennsylvania",176781.66,NA
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Puerto Rico-Mayaguez",125983.61,3724523.78
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Rhode Island",95649,4069262.45
"Department of Commerce","National Oceanic and Atmospheric Administration","University of South Alabama",30816,158826
"Department of Commerce","National Oceanic and Atmospheric Administration","University of South Carolina-Beaufort",76631,2744664
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Southern California",40660.65,1330197.71
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Southern Mississippi",15199.67,12013073.03
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Utah",20475,499076
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Virginia",24958,103686
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Washington",234310.48,33839154.16
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Wisconsin-Madison",212022.5,17636916.73
"Department of Commerce","National Oceanic and Atmospheric Administration","University of Wisconsin-Milwaukee",16294.4,287765
"Department of Commerce","National Oceanic and Atmospheric Administration","Virginia Polytechnic Institute and State University",-51342.16,32780.22
"Department of Commerce","Office of the Secretary","University of Maryland-College Park",1400,NA
"Department of Commerce","U.S. Census Bureau","Cornell University",7461,NA
"Department of Commerce","U.S. Census Bureau","Pennsylvania State University",7400.88,NA
"Department of Commerce","U.S. Census Bureau","University of Cincinnati",119357,NA
"Department of Commerce","U.S. Census Bureau","University of Guam",188500,NA
"Department of Commerce","U.S. Census Bureau","University of Maryland-College Park",-12735.75,NA
"Department of Defense","Defense Advanced Research Projects Agency","Arizona State University-Tempe",1559944,-7018
"Department of Defense","Defense Advanced Research Projects Agency","California Institute of Technology",5586427.68,3647713
"Department of Defense","Defense Advanced Research Projects Agency","Carnegie Mellon University",3617188,1645865
"Department of Defense","Defense Advanced Research Projects Agency","Case Western Reserve University",2129423,NA
"Department of Defense","Defense Advanced Research Projects Agency","Cleveland Clinic Health System-School of Diagnostic Imaging",336727,NA
"Department of Defense","Defense Advanced Research Projects Agency","Columbia University in the City of New York",6787310,3205546
"Department of Defense","Defense Advanced Research Projects Agency","Cornell University",1243125,2494191
"Department of Defense","Defense Advanced Research Projects Agency","Drexel University",120428,NA
"Department of Defense","Defense Advanced Research Projects Agency","Duke University",983113.75,5658647
"Department of Defense","Defense Advanced Research Projects Agency","Emory University",848989.91,149276
"Department of Defense","Defense Advanced Research Projects Agency","George Mason University",1853754,968686
"Department of Defense","Defense Advanced Research Projects Agency","George Washington University",429644,NA
"Department of Defense","Defense Advanced Research Projects Agency","Georgia Institute of Technology-Main Campus",15239415.81,969148
"Department of Defense","Defense Advanced Research Projects Agency","Harvard University",692529,4363339
"Department of Defense","Defense Advanced Research Projects Agency","Haverford College",2158035,NA
"Department of Defense","Defense Advanced Research Projects Agency","Johns Hopkins University",30160673.87,1242149
"Department of Defense","Defense Advanced Research Projects Agency","Massachusetts Institute of Technology",16390300.23,14102039
"Department of Defense","Defense Advanced Research Projects Agency","Michigan Technological University",889144.22,NA
"Department of Defense","Defense Advanced Research Projects Agency","New Jersey Institute of Technology",1220945,NA
"Department of Defense","Defense Advanced Research Projects Agency","Northeastern University",1153471,802852
"Department of Defense","Defense Advanced Research Projects Agency","Pennsylvania State University",526491,4075159
"Department of Defense","Defense Advanced Research Projects Agency","Purdue University-Main Campus",740376,503856
"Department of Defense","Defense Advanced Research Projects Agency","Rutgers University-New Brunswick",515300,450000
"Department of Defense","Defense Advanced Research Projects Agency","San Diego State University",78883.2,NA
"Department of Defense","Defense Advanced Research Projects Agency","Southern Methodist University",950000,-12499
"Department of Defense","Defense Advanced Research Projects Agency","Stanford University",4059705.45,385000
"Department of Defense","Defense Advanced Research Projects Agency","The University of Tennessee-Knoxville",-1543.94,NA
"Department of Defense","Defense Advanced Research Projects Agency","The University of Texas at Austin",1164648.22,1936444
"Department of Defense","Defense Advanced Research Projects Agency","University of Arizona",339222,NA
"Department of Defense","Defense Advanced Research Projects Agency","University of California-Berkeley",8487740,1423240
"Department of Defense","Defense Advanced Research Projects Agency","University of California-Davis",1000399.28,6904
"Department of Defense","Defense Advanced Research Projects Agency","University of California-Los Angeles",2403102,NA
"Department of Defense","Defense Advanced Research Projects Agency","University of California-San Diego",1138703,3309756
"Department of Defense","Defense Advanced Research Projects Agency","University of California-Santa Barbara",2778352.67,200511
"Department of Defense","Defense Advanced Research Projects Agency","University of Central Florida",3714350.94,837369
"Department of Defense","Defense Advanced Research Projects Agency","University of Colorado Boulder",400000,2981760
"Department of Defense","Defense Advanced Research Projects Agency","University of Dayton",125555.99,NA
"Department of Defense","Defense Advanced Research Projects Agency","University of Florida",-290168.94,1531790
"Department of Defense","Defense Advanced Research Projects Agency","University of Houston",-742.09,NA
"Department of Defense","Defense Advanced Research Projects Agency","University of Illinois at Urbana-Champaign",5631027,2555675
"Department of Defense","Defense Advanced Research Projects Agency","University of Maryland-Baltimore County",394500,NA
"Department of Defense","Defense Advanced Research Projects Agency","University of Maryland-College Park",186288,1019608
"Department of Defense","Defense Advanced Research Projects Agency","University of Massachusetts-Amherst",624000,611883
"Department of Defense","Defense Advanced Research Projects Agency","University of Massachusetts-Lowell",416459,NA
"Department of Defense","Defense Advanced Research Projects Agency","University of Michigan-Ann Arbor",1936853,800421
"Department of Defense","Defense Advanced Research Projects Agency","University of Minnesota-Twin Cities",848575,903879
"Department of Defense","Defense Advanced Research Projects Agency","University of New Mexico-Main Campus",76305,NA
"Department of Defense","Defense Advanced Research Projects Agency","University of Notre Dame",100000,252546
"Department of Defense","Defense Advanced Research Projects Agency","University of Pennsylvania",6346631,1902505
"Department of Defense","Defense Advanced Research Projects Agency","University of Pittsburgh-Pittsburgh Campus",395.26,NA
"Department of Defense","Defense Advanced Research Projects Agency","University of South Florida",545490,NA
"Department of Defense","Defense Advanced Research Projects Agency","University of Southern California",25543259,1645192
"Department of Defense","Defense Advanced Research Projects Agency","University of Utah",1130733,1766663
"Department of Defense","Defense Advanced Research Projects Agency","University of Virginia",3870335,-11
"Department of Defense","Defense Advanced Research Projects Agency","University of Washington",5039323.77,2159133
"Department of Defense","Defense Advanced Research Projects Agency","University of Wisconsin-Madison",1387331,747137
