"family","program_title","agency","subagency","Recipient","obligation"
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Pennsylvania State University",32457
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Princeton University",64942
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","The University of Texas at Austin",95709
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Tulane University of Louisiana",80531
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Arizona",46855
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of California-Berkeley",190106.63
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of California-Irvine",143901
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of California-Los Angeles",93813
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of California-Santa Cruz",44539
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Chicago",83286
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Florida",99904
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Illinois at Urbana-Champaign",79932
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Kansas",23736
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Kentucky",73506
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Maryland-Baltimore County",27285
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Massachusetts-Boston",27973
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Michigan-Ann Arbor",51080.56
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of North Carolina at Chapel Hill",103578
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Notre Dame",47284
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Pennsylvania",91069
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Southern Mississippi",24579
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Virginia",24417
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Washington",248974
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Wisconsin-Madison",246186
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","University of Wisconsin-Milwaukee",22230
"Academic Exchange Programs","Overseas Programs - Doctoral Dissertation Research Abroad","Department of Education","Department of Education","Yale University",48372
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Appalachian State University",79835
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Arizona State University-Tempe",-442.24
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Ashland University",-6627.83
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Cabrini University",85746
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Chippewa Valley Technical College",87615
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Goucher College",88190
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Hamilton College",-126431.28
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Harvard University",250000
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Hillsborough Community College",97448
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Hobart William Smith Colleges",72640.71
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Howard University",169888
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Illinois State University",84942
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Johnson C Smith University",-40098.4
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Michigan State University",-691.44
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Morgan State University",87891.68
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Northern Illinois University",-112
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Ohio University",-7176
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Rowan University",87232
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Salisbury University",-850.2
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Savannah State University",-13214.42
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","Sistema Universitario Ana G Mendez",-1053.71
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","University of Arizona",93054
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","University of California-Berkeley",-850.7
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","University of Florida",-3864.41
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","University of Georgia",89760
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","University of Hawaii at Manoa",104370
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","University of North Carolina at Greensboro",-4707.38
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","University of North Carolina Wilmington",-12323.55
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","University of North Texas",-13410.37
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","University of Pennsylvania",246197.3
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","University of Pittsburgh-Pittsburgh Campus",-3772.36
"Academic Exchange Programs","Overseas Programs - Group Projects Abroad","Department of Education","Department of Education","University of Virginia",-171145.29
