"source","target","value"
"Corporation for National and Community Service","University of Hawaii at Manoa",3116587
"Corporation for National and Community Service","Western Washington University",2440578
"Corporation for National and Community Service","Allegheny College",1448667
"Defense Advanced Research Projects Agency","Johns Hopkins University",31402822.87
"Defense Advanced Research Projects Agency","Massachusetts Institute of Technology",30492339.23
"Defense Advanced Research Projects Agency","University of Southern California",27188451
"Defense Advanced Research Projects Agency","Georgia Institute of Technology-Main Campus",16208563.81
"Defense Advanced Research Projects Agency","Vanderbilt University",11858423
"Defense Contract Audit Agency","Harvard University",251440
"Defense Contract Audit Agency","University of Pennsylvania",162500
"Defense Contract Audit Agency","Northwestern University",156500
"Defense Contract Audit Agency","Pennsylvania State University",150500
"Defense Contract Audit Agency","University of Virginia",140744.39
"Defense Health Agency","University of Pittsburgh-Pittsburgh Campus",8811342.88
"Defense Health Agency","University of Central Florida",7657866
"Defense Health Agency","Charles R Drew University of Medicine and Science",1532691
"Defense Health Agency","University of New Mexico-Main Campus",782611
"Defense Health Agency","University of Pennsylvania",733396
"Defense Information Systems Agency","Texas A & M University-College Station",14752.52
"Defense Intelligence Agency","Rutgers University-New Brunswick",2000000
"Defense Intelligence Agency","The University of Texas at San Antonio",2000000
"Defense Intelligence Agency","University of Alabama in Huntsville",2000000
"Defense Intelligence Agency","University of New Mexico-Main Campus",2000000
"Defense Intelligence Agency","Florida International University",1996720
"Defense Logistics Agency","University of Dayton",1500000
"Defense Logistics Agency","Wichita State University",873065
"Defense Logistics Agency","University of Northern Iowa",808000
"Defense Logistics Agency","The University of Tennessee-Knoxville",764880
"Defense Logistics Agency","Georgia Institute of Technology-Main Campus",750000
"Defense Media Activity","University of Southern California",3978783
"Defense Media Activity","Syracuse University",985421
"Defense Microelectronics Activity","University of Michigan-Ann Arbor",545328
"Defense Security Service","Georgia Institute of Technology-Main Campus",459354
"Defense Threat Reduction Agency","University of Alaska Fairbanks",4370868
"Defense Threat Reduction Agency","University of Washington",4103979.98
"Defense Threat Reduction Agency","University of Pittsburgh-Pittsburgh Campus",4070253
"Defense Threat Reduction Agency","Northwestern University",3979241
"Defense Threat Reduction Agency","University of California-Irvine",3942534.84
"Department of Agriculture","Iowa State University",3195.54
"Department of Defense","Georgia Institute of Technology-Main Campus",132543962
"Department of Defense","Johns Hopkins University",75650584.32
"Department of Defense","Pardee RAND Graduate School",61795381.29
"Department of Defense","Massachusetts Institute of Technology",39809126.65
"Department of Defense","Stevens Institute of Technology",8451508.59
"Department of Defense Education Activity","The University of Texas at Austin",2918674.31
"Department of Defense Education Activity","University of Wisconsin-Madison",306000
"Department of Defense Education Activity","Orange Ulster BOCES-Practical Nursing Program",32997
"Department of Defense Education Activity","Temple University",24960
"Department of Defense Education Activity","Washington State University",1425.61
"Department of Education","University of Massachusetts-Boston",45870012.62
"Department of Education","Berea College",43035709
"Department of Education","Baton Rouge Community College",34427861.88
"Department of Education","Madison Area Technical College",29672843.16
"Department of Education","The University of Texas at Austin",25333591.19
"Department of Energy","University of California-Berkeley",1021148682.46
"Department of Energy","Stanford University",581413792.52
"Department of Energy","University of California-System Administration Central Office",144998505
"Department of Energy","Princeton University",138217488.87
"Department of Energy","Michigan State University",122401867.37
"Department of Homeland Security","Texas A & M University-College Station",3850604
"Department of Homeland Security","University of Illinois at Urbana-Champaign",3500000
"Department of Homeland Security","Stevens Institute of Technology",2723000
"Department of Homeland Security","University of Mississippi Medical Center",1999998
"Department of Homeland Security","Arizona State University-Tempe",775151
"Department of Housing and Urban Development","University of Chicago",71523
"Department of State","SIT Graduate Institute",45979190
"Department of State","Georgetown University",23031097
"Department of State","Northern Virginia Community College",5375000
"Department of State","University of South Carolina-Beaufort",5192523
"Department of State","University of Georgia",4324588
"Department of the Air Force","Massachusetts Institute of Technology",956096435.71
"Department of the Air Force","California Institute of Technology",296016973.52
"Department of the Air Force","Carnegie Mellon University",144448862.15
"Department of the Air Force","University of Dayton",121977156.58
"Department of the Air Force","Georgia Institute of Technology-Main Campus",119284187.45
"Department of the Army","Johns Hopkins University",75866275.88
"Department of the Army","Georgia Institute of Technology-Main Campus",72587595.1
"Department of the Army","Colorado State University-Fort Collins",48555048.56
"Department of the Army","University of Southern California",43199346.97
"Department of the Army","University of Michigan-Ann Arbor",38952524.69
"Department of the Interior","University of Southern Mississippi",991667
"Department of the Navy","Johns Hopkins University",596754817.36
"Department of the Navy","Pennsylvania State University",216712337
"Department of the Navy","The University of Texas at Austin",95793942.17
"Department of the Navy","Georgia Institute of Technology-Main Campus",62480484.16
"Department of the Navy","University of Washington",47641615.6
"Department of Veterans Affairs","University of Texas Southwestern Medical Center",14817754.43
"Department of Veterans Affairs","Vanderbilt University",12459849.31
"Department of Veterans Affairs","Loma Linda University",9201633.73
"Department of Veterans Affairs","Oregon Health & Science University",9036410.08
"Department of Veterans Affairs","University of Louisville",8384174.53
"Departmental Offices","University of California-Berkeley",4042328.96
"Departmental Offices","Montana State University",2719770
"Departmental Offices","University of California-Davis",2395649
"Departmental Offices","University of Pennsylvania",2015089.5
"Departmental Offices","Ohio State University",1969923
"Domestic Nuclear Detection Office","Johns Hopkins University",7004859
"Domestic Nuclear Detection Office","Pardee RAND Graduate School",89000
"Drug Enforcement Administration","University of North Texas Health Science Center",168793.86
"Drug Enforcement Administration","Virginia Commonwealth University",150378
"Drug Enforcement Administration","Temple University",106837
"Drug Enforcement Administration","Indian River State College",26306.76
"Drug Enforcement Administration","Ohio State University",19224
"Economic Development Administration","Peralta Community College System Office",3000000
"Economic Development Administration","Oregon Institute of Technology",2984514
"Economic Development Administration","Shawnee State University",2793392
"Economic Development Administration","Kentucky Community and Technical College System",2561376
"Economic Development Administration","Universidad del Sagrado Corazon",2315000
"Economic Research Service","University of Chicago",621334
"Economic Research Service","Tufts University",615000
"Economic Research Service","George Mason University",479995.76
"Economic Research Service","Virginia Polytechnic Institute and State University",460000
"Economic Research Service","New York University",350000
"Employment and Training Administration","John Tyler Community College",39918752.78
"Employment and Training Administration","Oklahoma State University",24208685.56
"Employment and Training Administration","South Louisiana Community College",1223892
"Employment and Training Administration","American Indian OIC Inc",250182
"Employment and Training Administration","Little Big Horn College",240587
"Environmental Protection Agency","University of North Carolina at Chapel Hill",9110446.4
"Environmental Protection Agency","University of California-Davis",4856322.84
"Environmental Protection Agency","Yale University",3955000
"Environmental Protection Agency","Northern Arizona University",3537604
"Environmental Protection Agency","Harvard University",3050000
"Equal Employment Opportunity Commission","University of Chicago",1299984.22
"Equal Employment Opportunity Commission","New York Law School",14680
"Executive Office of the President","Johns Hopkins University",1237087
"Executive Office of the President","Purdue University-Main Campus",42270
"Executive Office of the President","Georgetown University",16800
"Farm Service Agency","Iowa State University",239982
"Farm Service Agency","Purdue University-Main Campus",163390
"Farm Service Agency","Virginia Polytechnic Institute and State University",110000
"Farm Service Agency","Kansas State University",5000
"Federal Aviation Administration","Wichita State University",2403469
"Federal Aviation Administration","Ohio University",1541371.61
"Federal Aviation Administration","Ohio State University",1514053
"Federal Aviation Administration","Georgia Institute of Technology-Main Campus",1152499
"Federal Aviation Administration","Massachusetts Institute of Technology",1150000
"Federal Bureau of Investigation","University of Arizona",507596.65
"Federal Bureau of Investigation","Iowa State University",145592.52
"Federal Bureau of Investigation","Middlebury College",134375
"Federal Bureau of Investigation","Massachusetts Institute of Technology",98968
"Federal Bureau of Investigation","Carnegie Mellon University",68468.31
"Federal Communications Commission","University of Chicago",8638
"Federal Emergency Management Agency","Pardee RAND Graduate School",56778614.69
"Federal Emergency Management Agency","Texas A & M University-College Station",29711091.49
"Federal Emergency Management Agency","Louisiana State University",22342305
"Federal Emergency Management Agency","New Mexico Institute of Mining and Technology",22000000
"Federal Emergency Management Agency","University of Hawaii at Manoa",5000000
"Federal Energy Regulatory Commission","George Mason University",97649
"Federal Energy Regulatory Commission","The University of Tennessee-Knoxville",5000
"Federal Highway Administration","Texas A & M University-College Station",5620453.7
"Federal Highway Administration","University of Virginia",4660000
"Federal Highway Administration","Iowa State University",2538904
"Federal Highway Administration","George Mason University",2305011.98
"Federal Highway Administration","University of North Carolina at Chapel Hill",2177862.63
"Federal Motor Carrier Safety Administration","Texas A & M University-College Station",620066
"Federal Motor Carrier Safety Administration","The University of Tennessee-Knoxville",300000
"Federal Motor Carrier Safety Administration","University of Massachusetts-Amherst",299862
"Federal Motor Carrier Safety Administration","Virginia Polytechnic Institute and State University",204949.6
"Federal Motor Carrier Safety Administration","Northampton County Area Community College",138397
"Federal Prison System / Bureau of Prisons","University of Massachusetts Medical School Worcester",42754253.32
"Federal Prison System / Bureau of Prisons","University of North Texas Health Science Center",33133902.46
"Federal Prison System / Bureau of Prisons","Mayo Clinic School of Medicine",11459977.46
"Federal Prison System / Bureau of Prisons","West Virginia University",8789207.32
"Federal Prison System / Bureau of Prisons","University of Florida",826470.27
"Federal Railroad Administration","Massachusetts Institute of Technology",499999.1
"Federal Railroad Administration","University of California-San Diego",424908.61
"Federal Railroad Administration","Rutgers University-New Brunswick",413923.8
"Federal Railroad Administration","Kansas State University",400012
"Federal Railroad Administration","University of Illinois at Urbana-Champaign",330619
"Federal Trade Commission","Mayo Clinic School of Medicine",23600
"Federal Trade Commission","Georgetown University",16450
"Federal Trade Commission","George Mason University",8034
"Federal Trade Commission","American University",4740
"Federal Transit Administration","Pennsylvania State University",7278842
"Federal Transit Administration","Rutgers University-New Brunswick",5009000
"Federal Transit Administration","University of South Florida",4174922.84
"Federal Transit Administration","Sitting Bull College",1431394
"Federal Transit Administration","University of Iowa",1185941
"Food and Drug Administration","Duke University",6120251
"Food and Drug Administration","Illinois Institute of Technology",5355563
"Food and Drug Administration","University of California-San Francisco",4683380
"Food and Drug Administration","University of Mississippi",4312560
"Food and Drug Administration","University of North Carolina at Chapel Hill",3937850
"Food and Nutrition Service","University of Mississippi",8008976.86
"Food and Nutrition Service","University of Kentucky",1499959
"Food and Nutrition Service","Kansas State University",646366
"Food and Nutrition Service","Suncoast Technical College",100000
"Food and Nutrition Service","Eastern Washington University",99965
"Food Safety and Inspection Service","University of Iowa",255200
"Food Safety and Inspection Service","University of Minnesota-Twin Cities",240000
"Food Safety and Inspection Service","Clemson University",217541.71
"Food Safety and Inspection Service","Mississippi State University",89500
"Food Safety and Inspection Service","Louisiana State University",83000
"Foreign Agricultural Service","University of Rhode Island",1967054.35
"Foreign Agricultural Service","University of California-Davis",1860718.5
"Foreign Agricultural Service","University of Minnesota-Twin Cities",344163.8
"Foreign Agricultural Service","Oklahoma State University",343905.2
"Foreign Agricultural Service","Texas Tech University",285999.47
"Forest Service","Colorado State University-Fort Collins",16484818.38
"Forest Service","Texas A & M University-College Station",7003243.57
"Forest Service","Oregon State University",5590924.96
"Forest Service","The University of Montana",4279260.86
"Forest Service","University of Washington",3313327.76
"General Services Administration","Rensselaer Polytechnic Institute",95000
"Health Resources and Services Administration","University of Washington",41249454
"Health Resources and Services Administration","University of California-San Francisco",22330561
"Health Resources and Services Administration","University of Illinois at Chicago",17041322.61
