"source","target","value"
"Office of the Chief Procurement Officer","University of Pennsylvania",490427.82
"Office of the Chief Procurement Officer","California Institute of Technology",237258.03
"Office of the Comptroller of the Currency","University of Chicago",92593
"Office of the Comptroller of the Currency","University of Pennsylvania",49535
"Office of the Inspector General","University of Minnesota-Twin Cities",25000
"Office of the Inspector General","Johns Hopkins University",24647.09
"Office of the Inspector General","University of Central Oklahoma",6086
"Office of the National Drug Control Policy","Mercyhurst University",8067680.12
"Office of the National Drug Control Policy","University of Baltimore",7896802.2
"Office of the National Drug Control Policy","George Mason University",7022349.67
"Office of the National Drug Control Policy","University of Wisconsin-Milwaukee",1576302.63
"Office of the National Drug Control Policy","American University of Puerto Rico",1343569.49
"Office of the Secretary","University of Maryland-College Park",1400
"Office of the Under Secretary for Management","Pardee RAND Graduate School",2366215.68
"Office of the Under Secretary for Management","Texas A & M University-College Station",449649
"Office of the Under Secretary for Science and Technology","Pardee RAND Graduate School",8828822.68
"Office of the Under Secretary for Science and Technology","University of Southern California",3496405.72
"Office of the Under Secretary for Science and Technology","Duke University",2665117
"Office of the Under Secretary for Science and Technology","Stevens Institute of Technology",1862858
"Office of the Under Secretary for Science and Technology","University of California-San Diego",1640000
"Offices, Boards and Divisions","Texas State University",8707899
"Offices, Boards and Divisions","Southwestern College",750000
"Offices, Boards and Divisions","Asnuntuck Community College",749510
"Offices, Boards and Divisions","East Central University",600000
"Offices, Boards and Divisions","Edmonds Community College",550000
"Peace Corps","Rutgers University-New Brunswick",37765.08
"Peace Corps","The University of Texas at El Paso",36612
"Peace Corps","University of Arizona",34640
"Peace Corps","University of Washington",34589.67
"Peace Corps","California State University-Long Beach",31730
"Pension Benefit Guaranty Corporation","University of Chicago",28152
"Pipeline and Hazardous Materials Safety Administration","Colorado School of Mines",1608871.45
"Pipeline and Hazardous Materials Safety Administration","Texas A & M University-College Station",942120
"Pipeline and Hazardous Materials Safety Administration","North Dakota State University-Main Campus",907221
"Pipeline and Hazardous Materials Safety Administration","Arizona State University-Tempe",400000
"Pipeline and Hazardous Materials Safety Administration","Missouri University of Science and Technology",302214
"President's Committee on Employment of the Handicapped","West Virginia University",2828861
"President's Committee on Employment of the Handicapped","Pellissippi State Community College",1028000
"President's Committee on Employment of the Handicapped","Onondaga Community College",978453
"Public Buildings Service","Pennsylvania State University",482700.52
"Public Buildings Service","The University of Texas at Austin",40595
"Public Buildings Service","University of Washington",27000
"Public Buildings Service","Sonoma State University",24840
"Public Buildings Service","University of Florida",22387.5
"Risk Management Agency","University of Minnesota-Twin Cities",81250
"Rural Business Cooperative Service","New York Institute of Technology",828748
"Rural Business Cooperative Service","Ashland Community and Technical College",586113
"Rural Business Cooperative Service","Dyersburg State Community College",476280
"Rural Business Cooperative Service","The University of Texas Rio Grande Valley",374470
"Rural Business Cooperative Service","Nebraska Indian Community College",300680
"Rural Housing Service","Ohio College of Massotherapy Inc",606325
"Rural Housing Service","University of Kentucky",229178
"Rural Housing Service","University of Chicago",219662
"Rural Housing Service","United Tribes Technical College",185900
"Rural Housing Service","Aaniiih Nakoda College",129000
"Rural Utilities Service","Northeastern Technical College",999866
"Rural Utilities Service","Southwest Texas Junior College",973177
"Rural Utilities Service","United Tribes Technical College",846000
"Rural Utilities Service","North Carolina Central University",788521
"Rural Utilities Service","Abraham Baldwin Agricultural College",500000
"Securities and Exchange Commission","Pardee RAND Graduate School",976685
"Securities and Exchange Commission","Georgetown University",181275
"Securities and Exchange Commission","University of Chicago",100000
"Securities and Exchange Commission","University of Pennsylvania",71635
"Securities and Exchange Commission","University of New Mexico-Main Campus",42538
"Small Business Administration","SUNY at Albany",7554759.36
"Small Business Administration","The University of West Florida",7329105.84
"Small Business Administration","Humboldt State University",5232797.05
"Small Business Administration","Long Beach City College",4312921
"Small Business Administration","Grand Valley State University",3952831.6
"Smithsonian Institution","University of Arizona",1238835
"Smithsonian Institution","George Washington University",405250
"Smithsonian Institution","Harvard University",284547.31
"Smithsonian Institution","University of Hawaii at Manoa",241675
"Smithsonian Institution","University of California-Los Angeles",225000
"Social Security Administration","Virginia Commonwealth University",4327583
"Social Security Administration","Boston College",2424301
"Social Security Administration","University of Michigan-Ann Arbor",2151524
"Social Security Administration","University of Wisconsin-Madison",2106922
"Social Security Administration","The University of Alabama",543440
"Substance Abuse and Mental Health Services Administration","University of Maryland, Baltimore",9253114
"Substance Abuse and Mental Health Services Administration","University of California-Los Angeles",8822034
"Substance Abuse and Mental Health Services Administration","University of California-San Francisco",4756403
"Substance Abuse and Mental Health Services Administration","University of Wisconsin-Madison",4628879
"Substance Abuse and Mental Health Services Administration","Rutgers University-New Brunswick",4362674
"The Council of the Inspectors General on Integrity and Efficiency","American University",480000
"The Council of the Inspectors General on Integrity and Efficiency","Georgetown University",29000
"Transportation Security Administration","American University",2641310
"Transportation Security Administration","Stanford University",2394651.79
"Transportation Security Administration","Pardee RAND Graduate School",1408839.16
"Transportation Security Administration","Duke University",1305152
"Transportation Security Administration","Rutgers University-New Brunswick",536225.09
"U.S. Army Corps of Engineers - Civil Program Financing Only","University of Colorado Boulder",488559
"U.S. Army Corps of Engineers - Civil Program Financing Only","University of Puerto Rico-Mayaguez",426965.48
"U.S. Army Corps of Engineers - Civil Program Financing Only","Truckee Meadows Community College",365839
"U.S. Army Corps of Engineers - Civil Program Financing Only","University of California-San Diego",337075.69
"U.S. Army Corps of Engineers - Civil Program Financing Only","University of Illinois at Urbana-Champaign",273466.54
"U.S. Census Bureau","Georgetown University",398120
"U.S. Census Bureau","University of Guam",188500
"U.S. Census Bureau","University of Cincinnati",119357
"U.S. Census Bureau","Purdue University-Main Campus",101754
"U.S. Census Bureau","Cornell University",7461
"U.S. Citizenship and Immigration Services","George Washington University",141471
"U.S. Citizenship and Immigration Services","George Mason University",9624
"U.S. Coast Guard","Pardee RAND Graduate School",2419433.02
"U.S. Coast Guard","Texas A & M University-College Station",121500
"U.S. Coast Guard","Hazelden Betty Ford Graduate School of Addiction Studies",74700
"U.S. Coast Guard","Massachusetts Institute of Technology",50400
"U.S. Coast Guard","Vanderbilt University",28495.41
"U.S. Customs and Border Protection","Johns Hopkins University",13124000
"U.S. Customs and Border Protection","Utah State University",4100114
"U.S. Customs and Border Protection","Pardee RAND Graduate School",2465703.97
"U.S. Customs and Border Protection","Rio Hondo College",705440
"U.S. Customs and Border Protection","University of Southern California",700000
"U.S. Fish and Wildlife Service","University of Delaware",2447109.02
"U.S. Fish and Wildlife Service","Virginia Polytechnic Institute and State University",1914273.16
"U.S. Fish and Wildlife Service","University of California-Davis",1406778.11
"U.S. Fish and Wildlife Service","Texas A & M University-College Station",929619.56
"U.S. Fish and Wildlife Service","Saint Mary's University of Minnesota",860228
"U.S. Geological Survey","University of Alaska Fairbanks",7136370.66
"U.S. Geological Survey","University of Arizona",3918439.85
"U.S. Geological Survey","California State University-Sacramento",3709708.92
"U.S. Geological Survey","California Institute of Technology",3660662.77
"U.S. Geological Survey","University of California-Berkeley",3385212.56
"U.S. Immigration and Customs Enforcement","Johns Hopkins University",566017.52
"U.S. Immigration and Customs Enforcement","University of Maryland-College Park",75000
"U.S. Immigration and Customs Enforcement","Virginia Polytechnic Institute and State University",50748
"U.S. Immigration and Customs Enforcement","Vermont Technical College",36470
"U.S. Immigration and Customs Enforcement","Milwaukee School of Engineering",7334
"U.S. Marshals Service","Johns Hopkins University",152083
"U.S. Marshals Service","Houston Community College",5600
"U.S. Secret Service","Pardee RAND Graduate School",2094631.54
"U.S. Secret Service","Johns Hopkins University",265440
"U.S. Secret Service","University of Tulsa",250000
"U.S. Secret Service","George Washington University",140016.8
"U.S. Secret Service","American University",9379.08
"U.S. Special Operations Command","Johns Hopkins University",17322675.75
"U.S. Special Operations Command","The University of Tennessee-Knoxville",145973
"U.S. Special Operations Command","University of Alabama at Birmingham",125226
"U.S. Special Operations Command","Delgado Community College",5200
"U.S. Special Operations Command","East Carolina University",5000
"Under Secretary for Benefits/Veterans Benefits Administration","Saint Ambrose University",22553
"Under Secretary for Benefits/Veterans Benefits Administration","Auburn University",17424
"Under Secretary for Health/Veterans Health Administration","University of Vermont",1592758
"Under Secretary for Health/Veterans Health Administration","Clemson University",127652
"Under Secretary for Health/Veterans Health Administration","University of Utah",126000
"Under Secretary for Health/Veterans Health Administration","The University of Tennessee-Chattanooga",100000
"Under Secretary for Health/Veterans Health Administration","University of New Hampshire-Main Campus",80000
"Uniformed Services University of the Health Sciences","Boston University",3335996
"Uniformed Services University of the Health Sciences","George Mason University",1990006
"Uniformed Services University of the Health Sciences","University of Washington",572858
"Uniformed Services University of the Health Sciences","Washington State University",443007
"Uniformed Services University of the Health Sciences","University of Maryland-College Park",312621.2
"United States Chemical Safety Board","Harvard University",10300
"Veterans Employment and Training Services","Orleans Technical College",70299
"Veterans Employment and Training Services","University of Northern Colorado",6704.68
"Washington Headquarters Services","Texas A & M University-College Station",17273300
"Washington Headquarters Services","University of Hawaii at Manoa",11070760
"Washington Headquarters Services","Georgia Institute of Technology-Main Campus",992870.32
"Washington Headquarters Services","Johns Hopkins University",451434
"Washington Headquarters Services","Virginia Polytechnic Institute and State University",296864
