"agency","subagency","Recipient","family","type","obligation"
"Access Board","Access Board","Massachusetts Institute of Technology","OTHER R&D","contract",-176.83
"Access Board","Access Board","University of Illinois at Chicago","EDUCATION & TRAINING SERVICES","contract",44863.92
"Agency for International Development","Agency for International Development","Arizona State University-Tempe","Humanitarian Assistance","grant",10061825
"Agency for International Development","Agency for International Development","Baylor College of Medicine","Humanitarian Assistance","grant",900000
"Agency for International Development","Agency for International Development","Baylor University","Academic Exchange Programs","grant",900000
"Agency for International Development","Agency for International Development","Boston University","Academic Exchange Programs","grant",500000
"Agency for International Development","Agency for International Development","Boston University","Humanitarian Assistance","grant",616991
"Agency for International Development","Agency for International Development","College of William and Mary","Humanitarian Assistance","grant",3340570
"Agency for International Development","Agency for International Development","Columbia University in the City of New York","Humanitarian Assistance","grant",3807625
"Agency for International Development","Agency for International Development","Cornell University","Humanitarian Assistance","grant",2234010
"Agency for International Development","Agency for International Development","Duke University","Humanitarian Assistance","grant",999458
"Agency for International Development","Agency for International Development","Duke University","PROFESSIONAL SERVICES","contract",2493686.18
"Agency for International Development","Agency for International Development","Eastern Mennonite University","EDUCATION & TRAINING SERVICES","contract",33012
"Agency for International Development","Agency for International Development","Eastern Mennonite University","Humanitarian Assistance","grant",-5475
"Agency for International Development","Agency for International Development","Eastern Virginia Medical School","Humanitarian Assistance","grant",13686000
"Agency for International Development","Agency for International Development","Emory University","Humanitarian Assistance","grant",1000000
"Agency for International Development","Agency for International Development","Florida International University","Humanitarian Assistance","grant",467455
"Agency for International Development","Agency for International Development","Florida International University","PREFAB STRUCTURES & SCAFFOLDING","contract",-15901.63
"Agency for International Development","Agency for International Development","Georgetown University","EDUCATION & TRAINING SERVICES","contract",4660
"Agency for International Development","Agency for International Development","Georgetown University","Humanitarian Assistance","grant",5495810
"Agency for International Development","Agency for International Development","Georgetown University","TECHNICAL REPRESENTATIVE SERVICES","contract",4551.15
"Agency for International Development","Agency for International Development","Harvard University","Humanitarian Assistance","grant",1037429
"Agency for International Development","Agency for International Development","Johns Hopkins University","Academic Exchange Programs","grant",500000
"Agency for International Development","Agency for International Development","Johns Hopkins University","Humanitarian Assistance","grant",95643077
"Agency for International Development","Agency for International Development","Kansas State University","Humanitarian Assistance","grant",15342771
"Agency for International Development","Agency for International Development","Lakeland University","Humanitarian Assistance","grant",-202676
"Agency for International Development","Agency for International Development","Marquette University","Humanitarian Assistance","grant",-1710
"Agency for International Development","Agency for International Development","Massachusetts General Hospital Dietetic Internship","Humanitarian Assistance","grant",400000
"Agency for International Development","Agency for International Development","Massachusetts Institute of Technology","Humanitarian Assistance","grant",2184925
"Agency for International Development","Agency for International Development","Medical College of Wisconsin","Humanitarian Assistance","grant",-6270
"Agency for International Development","Agency for International Development","Michigan State University","Humanitarian Assistance","grant",25012898
"Agency for International Development","Agency for International Development","Northeastern University","Humanitarian Assistance","grant",250000
"Agency for International Development","Agency for International Development","Pennsylvania State University","Humanitarian Assistance","grant",-3
"Agency for International Development","Agency for International Development","Purdue University-Main Campus","Humanitarian Assistance","grant",8025570
"Agency for International Development","Agency for International Development","Rice University","Humanitarian Assistance","grant",1290144
"Agency for International Development","Agency for International Development","Santa Clara University","Humanitarian Assistance","grant",165148
"Agency for International Development","Agency for International Development","SIT Graduate Institute","Humanitarian Assistance","grant",23407555
"Agency for International Development","Agency for International Development","SIT Graduate Institute","PROFESSIONAL SERVICES","contract",1443867.54
"Agency for International Development","Agency for International Development","Stanford University","OFFICE SUPPLIES & DEVICES","contract",12600
"Agency for International Development","Agency for International Development","Stanford University","TRAINING AIDS & DEVICES","contract",12600
"Agency for International Development","Agency for International Development","SUNY at Albany","Humanitarian Assistance","grant",281900
"Agency for International Development","Agency for International Development","SUNY at Albany","PROFESSIONAL SERVICES","contract",10200791
"Agency for International Development","Agency for International Development","Texas A & M University-College Station","Humanitarian Assistance","grant",4181348
"Agency for International Development","Agency for International Development","The University of Texas at El Paso","Humanitarian Assistance","grant",797869
"Agency for International Development","Agency for International Development","Towson University","Humanitarian Assistance","grant",32424
"Agency for International Development","Agency for International Development","Tufts University","Humanitarian Assistance","grant",5607747
"Agency for International Development","Agency for International Development","Tufts University","PROFESSIONAL SERVICES","contract",5889103.8
"Agency for International Development","Agency for International Development","Tulane University of Louisiana","Humanitarian Assistance","grant",605000
"Agency for International Development","Agency for International Development","University of California-Berkeley","Humanitarian Assistance","grant",4559591
"Agency for International Development","Agency for International Development","University of California-Davis","Humanitarian Assistance","grant",29819065
"Agency for International Development","Agency for International Development","University of California-Riverside","Humanitarian Assistance","grant",967813
"Agency for International Development","Agency for International Development","University of Chicago","GEN. SCIENCE & TECHNOLOGY R&D","contract",4379697.25
"Agency for International Development","Agency for International Development","University of Chicago","Humanitarian Assistance","grant",672999
"Agency for International Development","Agency for International Development","University of Chicago","MANAGEMENT SUPPORT SERVICES","contract",6533437
"Agency for International Development","Agency for International Development","University of Chicago","PROFESSIONAL SERVICES","contract",6249381
"Agency for International Development","Agency for International Development","University of Colorado Boulder","Humanitarian Assistance","grant",3845545
"Agency for International Development","Agency for International Development","University of Florida","Humanitarian Assistance","grant",5920058
"Agency for International Development","Agency for International Development","University of Georgia","Humanitarian Assistance","grant",3499852
"Agency for International Development","Agency for International Development","University of Hawaii at Manoa","Humanitarian Assistance","grant",800000
"Agency for International Development","Agency for International Development","University of Illinois at Urbana-Champaign","Humanitarian Assistance","grant",4805572
"Agency for International Development","Agency for International Development","University of Iowa","Humanitarian Assistance","grant",-3116
"Agency for International Development","Agency for International Development","University of Maryland-College Park","LEASE & RENTAL OF BUILDINGS","contract",-3240.8
"Agency for International Development","Agency for International Development","University of Minnesota-Twin Cities","Humanitarian Assistance","grant",11963401
"Agency for International Development","Agency for International Development","University of Nevada-Reno","Humanitarian Assistance","grant",813078
"Agency for International Development","Agency for International Development","University of North Carolina at Chapel Hill","Humanitarian Assistance","grant",60036608
"Agency for International Development","Agency for International Development","University of Notre Dame","Humanitarian Assistance","grant",1208113
"Agency for International Development","Agency for International Development","University of Pittsburgh-Pittsburgh Campus","Humanitarian Assistance","grant",1113005
"Agency for International Development","Agency for International Development","University of Rhode Island","Humanitarian Assistance","grant",8961634
"Agency for International Development","Agency for International Development","University of Utah","Academic Exchange Programs","grant",750000
"Agency for International Development","Agency for International Development","University of Utah","Humanitarian Assistance","grant",2000565
"Agency for International Development","Agency for International Development","University of Washington","Humanitarian Assistance","grant",2042395
"Agency for International Development","Agency for International Development","Vanderbilt University","Humanitarian Assistance","grant",805515
"Agency for International Development","Agency for International Development","Virginia Polytechnic Institute and State University","Humanitarian Assistance","grant",6653698
"Agency for International Development","Agency for International Development","Wake Forest University","Humanitarian Assistance","grant",999343
"Agency for International Development","Agency for International Development","Washington State University","Humanitarian Assistance","grant",400000
"Agency for International Development","Agency for International Development","Washington University in St Louis","Academic Exchange Programs","grant",1100000
"Agency for International Development","Agency for International Development","Worcester Polytechnic Institute","Academic Exchange Programs","grant",650100
"Consumer Financial Protection Bureau","Consumer Financial Protection Bureau","Gettysburg College","SPECIAL STUDIES - NOT R&D","contract",44882.2
"Consumer Financial Protection Bureau","Consumer Financial Protection Bureau","Pardee RAND Graduate School","SPECIAL STUDIES - NOT R&D","contract",270415
"Consumer Product Safety Commission","Consumer Product Safety Commission","Baylor College of Medicine","MANAGEMENT SUPPORT SERVICES","contract",35020
"Consumer Product Safety Commission","Consumer Product Safety Commission","Finger Lakes Health College of Nursing","MANAGEMENT SUPPORT SERVICES","contract",15781
"Consumer Product Safety Commission","Consumer Product Safety Commission","Massachusetts General Hospital Dietetic Internship","MANAGEMENT SUPPORT SERVICES","contract",43837.76
"Consumer Product Safety Commission","Consumer Product Safety Commission","Mercy Hospital School of Nursing","MANAGEMENT SUPPORT SERVICES","contract",82099.48
"Consumer Product Safety Commission","Consumer Product Safety Commission","Regional West Medical Center School of Radiologic Technology","MANAGEMENT SUPPORT SERVICES","contract",9664.78
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Alabama at Birmingham","MANAGEMENT SUPPORT SERVICES","contract",81048
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Arizona","MANAGEMENT SUPPORT SERVICES","contract",135225
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Arkansas for Medical Sciences","PROFESSIONAL SERVICES","contract",248432
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Cincinnati","SPECIAL STUDIES - NOT R&D","contract",767885.6
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Michigan-Ann Arbor","PROFESSIONAL SERVICES","contract",1034616
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of New Mexico-Main Campus","MANAGEMENT SUPPORT SERVICES","contract",1260
"Consumer Product Safety Commission","Consumer Product Safety Commission","University of Pennsylvania","MANAGEMENT SUPPORT SERVICES","contract",11120
"Corporation for National and Community Service","Corporation for National and Community Service","Albion College","Social Wellness and Development","grant",11000
"Corporation for National and Community Service","Corporation for National and Community Service","Allegheny College","Social Wellness and Development","grant",1448667
"Corporation for National and Community Service","Corporation for National and Community Service","Alvernia University","Social Wellness and Development","grant",298360
"Corporation for National and Community Service","Corporation for National and Community Service","Angelo State University","Social Wellness and Development","grant",50000
"Corporation for National and Community Service","Corporation for National and Community Service","Appalachian State University","Social Wellness and Development","grant",616821
"Corporation for National and Community Service","Corporation for National and Community Service","Arizona State University-Tempe","Employment Programs","grant",6308988
"Corporation for National and Community Service","Corporation for National and Community Service","Arizona State University-Tempe","Social Wellness and Development","grant",64954
"Corporation for National and Community Service","Corporation for National and Community Service","Arizona State University-Tempe","Social Wellness and Development","research grant",64954
"Corporation for National and Community Service","Corporation for National and Community Service","Barton County Community College","Social Wellness and Development","grant",48722
"Corporation for National and Community Service","Corporation for National and Community Service","Black Hills State University","Social Wellness and Development","grant",59490
"Corporation for National and Community Service","Corporation for National and Community Service","Brighton Center's Center for Employment Training","Social Wellness and Development","grant",161856
"Corporation for National and Community Service","Corporation for National and Community Service","Brown University","Social Wellness and Development","grant",25000
"Corporation for National and Community Service","Corporation for National and Community Service","California State University-Chico","Social Wellness and Development","grant",369546
"Corporation for National and Community Service","Corporation for National and Community Service","California State University-Long Beach","Social Wellness and Development","grant",20000
"Corporation for National and Community Service","Corporation for National and Community Service","California State University-San Marcos","Social Wellness and Development","grant",150000
"Corporation for National and Community Service","Corporation for National and Community Service","California State University-San Marcos","Social Wellness and Development","research grant",150000
"Corporation for National and Community Service","Corporation for National and Community Service","Carleton College","Social Wellness and Development","grant",99962
"Corporation for National and Community Service","Corporation for National and Community Service","Carleton College","Social Wellness and Development","research grant",99962
"Corporation for National and Community Service","Corporation for National and Community Service","Central Washington University","Social Wellness and Development","grant",59772
"Corporation for National and Community Service","Corporation for National and Community Service","Clemson University","Social Wellness and Development","grant",24449
"Corporation for National and Community Service","Corporation for National and Community Service","Clemson University","Social Wellness and Development","research grant",24449
"Corporation for National and Community Service","Corporation for National and Community Service","Colby Community College","Social Wellness and Development","grant",42334
"Corporation for National and Community Service","Corporation for National and Community Service","Colorado Mountain College","Social Wellness and Development","grant",47705
"Corporation for National and Community Service","Corporation for National and Community Service","DePaul University","Social Wellness and Development","grant",30000
"Corporation for National and Community Service","Corporation for National and Community Service","Dodge City Community College","Social Wellness and Development","grant",40000
"Corporation for National and Community Service","Corporation for National and Community Service","Drew University","Social Wellness and Development","grant",99994
"Corporation for National and Community Service","Corporation for National and Community Service","Drew University","Social Wellness and Development","research grant",99994
"Corporation for National and Community Service","Corporation for National and Community Service","Drexel University","Social Wellness and Development","grant",159983
"Corporation for National and Community Service","Corporation for National and Community Service","Drexel University","Social Wellness and Development","research grant",159983
"Corporation for National and Community Service","Corporation for National and Community Service","Durham Technical Community College","Social Wellness and Development","grant",51067
"Corporation for National and Community Service","Corporation for National and Community Service","Education and Technology Institute","Social Wellness and Development","grant",-340680.72
"Corporation for National and Community Service","Corporation for National and Community Service","Elon University","Social Wellness and Development","grant",370342
"Corporation for National and Community Service","Corporation for National and Community Service","Fielding Graduate University","Social Wellness and Development","grant",99948
"Corporation for National and Community Service","Corporation for National and Community Service","Fielding Graduate University","Social Wellness and Development","research grant",99948
"Corporation for National and Community Service","Corporation for National and Community Service","Florida State University","Social Wellness and Development","grant",16500
"Corporation for National and Community Service","Corporation for National and Community Service","Fort Hays State University","Social Wellness and Development","grant",624287.74
"Corporation for National and Community Service","Corporation for National and Community Service","George Washington University","Social Wellness and Development","grant",25000
"Corporation for National and Community Service","Corporation for National and Community Service","Georgia Southern University","Social Wellness and Development","grant",150210.27
"Corporation for National and Community Service","Corporation for National and Community Service","Graceland University-Lamoni","Social Wellness and Development","grant",119029
"Corporation for National and Community Service","Corporation for National and Community Service","Hawkeye Community College","Social Wellness and Development","grant",320271.9
"Corporation for National and Community Service","Corporation for National and Community Service","High Point University","Social Wellness and Development","grant",9000
"Corporation for National and Community Service","Corporation for National and Community Service","Highland Community College","Social Wellness and Development","grant",46956
"Corporation for National and Community Service","Corporation for National and Community Service","Hutchinson Community College","Social Wellness and Development","grant",69672
"Corporation for National and Community Service","Corporation for National and Community Service","Indiana University-Bloomington","Social Wellness and Development","grant",293373.53
"Corporation for National and Community Service","Corporation for National and Community Service","Indiana University-Bloomington","Social Wellness and Development","research grant",293381
"Corporation for National and Community Service","Corporation for National and Community Service","Iowa Lakes Community College","Social Wellness and Development","grant",61200.04
"Corporation for National and Community Service","Corporation for National and Community Service","Iowa Western Community College","Social Wellness and Development","grant",320700
"Corporation for National and Community Service","Corporation for National and Community Service","Jefferson State Community College","Social Wellness and Development","grant",4000
"Corporation for National and Community Service","Corporation for National and Community Service","John Wood Community College","Social Wellness and Development","grant",145190
"Corporation for National and Community Service","Corporation for National and Community Service","Lane Community College","Social Wellness and Development","grant",236837.53
"Corporation for National and Community Service","Corporation for National and Community Service","Marshall University","Social Wellness and Development","grant",8100
"Corporation for National and Community Service","Corporation for National and Community Service","McLennan Community College","Social Wellness and Development","grant",131379
"Corporation for National and Community Service","Corporation for National and Community Service","Mississippi State University","Social Wellness and Development","grant",66907
"Corporation for National and Community Service","Corporation for National and Community Service","Mississippi State University","Social Wellness and Development","research grant",66907
"Corporation for National and Community Service","Corporation for National and Community Service","Morehead State University","Social Wellness and Development","grant",206924
"Corporation for National and Community Service","Corporation for National and Community Service","Neosho County Community College","Social Wellness and Development","grant",51488
"Corporation for National and Community Service","Corporation for National and Community Service","North Iowa Area Community College","Social Wellness and Development","grant",129147
"Corporation for National and Community Service","Corporation for National and Community Service","Northern Arizona University","Social Wellness and Development","grant",1418478.37
"Corporation for National and Community Service","Corporation for National and Community Service","Northern Kentucky University","Social Wellness and Development","grant",29000
"Corporation for National and Community Service","Corporation for National and Community Service","Orleans Technical College","Employment Programs","grant",539984
"Corporation for National and Community Service","Corporation for National and Community Service","Ouachita Baptist University","Social Wellness and Development","grant",266094.54
"Corporation for National and Community Service","Corporation for National and Community Service","Paris Junior College","Social Wellness and Development","grant",68679.47
"Corporation for National and Community Service","Corporation for National and Community Service","Pepperdine University","Social Wellness and Development","grant",483721
"Corporation for National and Community Service","Corporation for National and Community Service","Prescott College","Social Wellness and Development","grant",876000
"Corporation for National and Community Service","Corporation for National and Community Service","Providence College","Social Wellness and Development","grant",-119849.86
"Corporation for National and Community Service","Corporation for National and Community Service","Relay Graduate School of Education","Employment Programs","grant",-6086.72
"Corporation for National and Community Service","Corporation for National and Community Service","Rockland Community College","Social Wellness and Development","grant",77834
"Corporation for National and Community Service","Corporation for National and Community Service","Rowan College at Burlington County","Social Wellness and Development","grant",98882
"Corporation for National and Community Service","Corporation for National and Community Service","Rowan College at Gloucester County","Social Wellness and Development","grant",57673
"Corporation for National and Community Service","Corporation for National and Community Service","Saint Mary's College of California","Social Wellness and Development","grant",24000
"Corporation for National and Community Service","Corporation for National and Community Service","Sewanee-The University of the South","Social Wellness and Development","grant",390500
"Corporation for National and Community Service","Corporation for National and Community Service","Sistema Universitario Ana G Mendez","Social Wellness and Development","grant",15000
"Corporation for National and Community Service","Corporation for National and Community Service","Sitting Bull College","Employment Programs","grant",114027
"Corporation for National and Community Service","Corporation for National and Community Service","Smith College","Social Wellness and Development","grant",99357
"Corporation for National and Community Service","Corporation for National and Community Service","Smith College","Social Wellness and Development","research grant",99357
"Corporation for National and Community Service","Corporation for National and Community Service","South Dakota State University","Social Wellness and Development","grant",20000
"Corporation for National and Community Service","Corporation for National and Community Service","South Florida State College","Social Wellness and Development","grant",44534
"Corporation for National and Community Service","Corporation for National and Community Service","Southeastern Community College","Social Wellness and Development","grant",95028
"Corporation for National and Community Service","Corporation for National and Community Service","Southwestern Illinois College","Social Wellness and Development","grant",779025
"Corporation for National and Community Service","Corporation for National and Community Service","SUNY College at Oswego","Social Wellness and Development","grant",119187
"Corporation for National and Community Service","Corporation for National and Community Service","SUNY College at Plattsburgh","Social Wellness and Development","grant",10000
"Corporation for National and Community Service","Corporation for National and Community Service","SUNY College of Environmental Science and Forestry","Social Wellness and Development","grant",99092
"Corporation for National and Community Service","Corporation for National and Community Service","SUNY College of Environmental Science and Forestry","Social Wellness and Development","research grant",99092
"Corporation for National and Community Service","Corporation for National and Community Service","Texas Lutheran University","Social Wellness and Development","grant",110523
"Corporation for National and Community Service","Corporation for National and Community Service","Texas Tech University Health Sciences Center","Social Wellness and Development","grant",80222
"Corporation for National and Community Service","Corporation for National and Community Service","The University of Montana","Social Wellness and Development","grant",426776
"Corporation for National and Community Service","Corporation for National and Community Service","The University of Texas at Austin","Social Wellness and Development","grant",98847
"Corporation for National and Community Service","Corporation for National and Community Service","The University of Texas at Austin","Social Wellness and Development","research grant",98847
"Corporation for National and Community Service","Corporation for National and Community Service","The University of Texas Medical Branch","Social Wellness and Development","grant",58839
"Corporation for National and Community Service","Corporation for National and Community Service","Triton College","Social Wellness and Development","grant",49416
"Corporation for National and Community Service","Corporation for National and Community Service","Troy University","Social Wellness and Development","grant",60127
"Corporation for National and Community Service","Corporation for National and Community Service","Tufts University","Social Wellness and Development","grant",131206
"Corporation for National and Community Service","Corporation for National and Community Service","Tufts University","Social Wellness and Development","research grant",131206
"Corporation for National and Community Service","Corporation for National and Community Service","Tulane University of Louisiana","Social Wellness and Development","grant",346778
"Corporation for National and Community Service","Corporation for National and Community Service","Universidad del Sagrado Corazon","Social Wellness and Development","grant",10000
"Corporation for National and Community Service","Corporation for National and Community Service","University of Alabama at Birmingham","Social Wellness and Development","grant",8100
"Corporation for National and Community Service","Corporation for National and Community Service","University of California-Los Angeles","Social Wellness and Development","grant",237667
"Corporation for National and Community Service","Corporation for National and Community Service","University of California-Los Angeles","Social Wellness and Development","research grant",137668
"Corporation for National and Community Service","Corporation for National and Community Service","University of Central Florida","Social Wellness and Development","grant",-2588.01
"Corporation for National and Community Service","Corporation for National and Community Service","University of Chicago","PROFESSIONAL SERVICES","contract",465558.56
"Corporation for National and Community Service","Corporation for National and Community Service","University of Cincinnati","Social Wellness and Development","grant",99890
"Corporation for National and Community Service","Corporation for National and Community Service","University of Cincinnati","Social Wellness and Development","research grant",99890
"Corporation for National and Community Service","Corporation for National and Community Service","University of Connecticut","Social Wellness and Development","grant",32000
"Corporation for National and Community Service","Corporation for National and Community Service","University of Denver","Social Wellness and Development","grant",141599
"Corporation for National and Community Service","Corporation for National and Community Service","University of Denver","Social Wellness and Development","research grant",141599
"Corporation for National and Community Service","Corporation for National and Community Service","University of Georgia","Social Wellness and Development","grant",74810
"Corporation for National and Community Service","Corporation for National and Community Service","University of Georgia","Social Wellness and Development","research grant",74810
"Corporation for National and Community Service","Corporation for National and Community Service","University of Hawaii at Manoa","Employment Programs","grant",3116587
"Corporation for National and Community Service","Corporation for National and Community Service","University of Houston","Social Wellness and Development","grant",99651
"Corporation for National and Community Service","Corporation for National and Community Service","University of Houston","Social Wellness and Development","research grant",99651
"Corporation for National and Community Service","Corporation for National and Community Service","University of Louisiana at Monroe","Social Wellness and Development","grant",671135
"Corporation for National and Community Service","Corporation for National and Community Service","University of Maine","Social Wellness and Development","grant",758150
"Corporation for National and Community Service","Corporation for National and Community Service","University of Maine","Social Wellness and Development","research grant",41227
"Corporation for National and Community Service","Corporation for National and Community Service","University of Maryland-College Park","Employment Programs","grant",5347108
"Corporation for National and Community Service","Corporation for National and Community Service","University of Minnesota-Twin Cities","Social Wellness and Development","grant",57653
"Corporation for National and Community Service","Corporation for National and Community Service","University of Mississippi","Social Wellness and Development","grant",22340
"Corporation for National and Community Service","Corporation for National and Community Service","University of Nevada-Reno","Social Wellness and Development","grant",208167
"Corporation for National and Community Service","Corporation for National and Community Service","University of Nevada-Reno","Social Wellness and Development","research grant",89416
"Corporation for National and Community Service","Corporation for National and Community Service","University of Northern Colorado","Social Wellness and Development","grant",66059
"Corporation for National and Community Service","Corporation for National and Community Service","University of Notre Dame","Employment Programs","grant",392679.34
"Corporation for National and Community Service","Corporation for National and Community Service","University of Pennsylvania","Social Wellness and Development","grant",499902
"Corporation for National and Community Service","Corporation for National and Community Service","University of Pittsburgh-Pittsburgh Campus","Social Wellness and Development","grant",159999
"Corporation for National and Community Service","Corporation for National and Community Service","University of Pittsburgh-Pittsburgh Campus","Social Wellness and Development","research grant",159999
"Corporation for National and Community Service","Corporation for National and Community Service","University of Puerto Rico-Humacao","Social Wellness and Development","grant",100000
"Corporation for National and Community Service","Corporation for National and Community Service","University of Puerto Rico-Humacao","Social Wellness and Development","research grant",100000
"Corporation for National and Community Service","Corporation for National and Community Service","University of Rochester","Social Wellness and Development","grant",36420.01
"Corporation for National and Community Service","Corporation for National and Community Service","University of the District of Columbia","Social Wellness and Development","grant",301048
"Corporation for National and Community Service","Corporation for National and Community Service","University of Wisconsin-Whitewater","Social Wellness and Development","grant",99469
"Corporation for National and Community Service","Corporation for National and Community Service","University of Wisconsin-Whitewater","Social Wellness and Development","research grant",99469
"Corporation for National and Community Service","Corporation for National and Community Service","Utah State University","Social Wellness and Development","grant",160000
"Corporation for National and Community Service","Corporation for National and Community Service","Vincennes University","Social Wellness and Development","grant",75000
"Corporation for National and Community Service","Corporation for National and Community Service","Virginia Commonwealth University","Social Wellness and Development","grant",116456
"Corporation for National and Community Service","Corporation for National and Community Service","Virginia Commonwealth University","Social Wellness and Development","research grant",95396
"Corporation for National and Community Service","Corporation for National and Community Service","Virginia Polytechnic Institute and State University","Social Wellness and Development","grant",159649.91
"Corporation for National and Community Service","Corporation for National and Community Service","Virginia Polytechnic Institute and State University","Social Wellness and Development","research grant",159705
"Corporation for National and Community Service","Corporation for National and Community Service","Western Illinois University","Social Wellness and Development","grant",85000
"Corporation for National and Community Service","Corporation for National and Community Service","Western Washington University","Employment Programs","grant",2430578
"Corporation for National and Community Service","Corporation for National and Community Service","Western Washington University","Social Wellness and Development","grant",10000
"Corporation for National and Community Service","Corporation for National and Community Service","Westmoreland County Community College","Social Wellness and Development","grant",63497
"Corporation for National and Community Service","Corporation for National and Community Service","Wheeling Jesuit University","Social Wellness and Development","grant",-3405.79
"Corporation for National and Community Service","Corporation for National and Community Service","Wichita State University","Social Wellness and Development","grant",394684
"Corporation for National and Community Service","Corporation for National and Community Service","Yakima Valley College","Social Wellness and Development","grant",50734
"Department of Agriculture","Agricultural Marketing Service","Cornell University","Food and Nutrition","grant",98479
"Department of Agriculture","Agricultural Marketing Service","Georgetown University","EDUCATION & TRAINING SERVICES","contract",23900
"Department of Agriculture","Agricultural Marketing Service","University of Delaware","Marketing Programs","grant",87261
"Department of Agriculture","Agricultural Research Service","Alabama A & M University","Agriculture and Farming","grant",32946
"Department of Agriculture","Agricultural Research Service","Arizona State University-Tempe","OTHER R&D","contract",5000
"Department of Agriculture","Agricultural Research Service","Arkansas State University-Main Campus","Agriculture and Farming","grant",45000
"Department of Agriculture","Agricultural Research Service","Arkansas State University-Main Campus","LABORATORY TESTING SERVICES","contract",15872
"Department of Agriculture","Agricultural Research Service","Auburn University","Agriculture and Farming","grant",534357.2
"Department of Agriculture","Agricultural Research Service","Auburn University","FIRE, RESCUE, & SAFETY","contract",177.53
"Department of Agriculture","Agricultural Research Service","Baylor College of Medicine","Agriculture and Farming","grant",12960500
"Department of Agriculture","Agricultural Research Service","Brigham Young University-Provo","Agriculture and Farming","grant",103154
"Department of Agriculture","Agricultural Research Service","Brigham Young University-Provo","SPECIAL STUDIES - NOT R&D","contract",9000
"Department of Agriculture","Agricultural Research Service","Butler University","Agriculture and Farming","grant",41303.3
"Department of Agriculture","Agricultural Research Service","California State University-Fresno","Agriculture and Farming","grant",90348.53
"Department of Agriculture","Agricultural Research Service","Case Western Reserve University","INSTRUMENTS & LABORATORY EQUIPMENT","contract",7500
"Department of Agriculture","Agricultural Research Service","Central Lakes College-Brainerd","Agriculture and Farming","grant",14303
"Department of Agriculture","Agricultural Research Service","Clemson University","Agriculture and Farming","grant",316709.41
"Department of Agriculture","Agricultural Research Service","Clemson University","SPECIAL STUDIES - NOT R&D","contract",9093.04
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","Agriculture and Farming","grant",1413771.96
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","HOUSEKEEPING SERVICES","contract",23626.25
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","LEASE & RENTAL OF BUILDINGS","contract",-1941.98
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","MAINTENANCE & REPAIR OF EQUIPMENT","contract",13291.8
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","PROFESSIONAL SERVICES","contract",6806
"Department of Agriculture","Agricultural Research Service","Colorado State University-Fort Collins","SPECIAL STUDIES - NOT R&D","contract",120187.25
"Department of Agriculture","Agricultural Research Service","Cornell University","AGRICULTURAL MACHINERY & EQUIPMENT","contract",3500
"Department of Agriculture","Agricultural Research Service","Cornell University","Agriculture and Farming","grant",7994127.5
"Department of Agriculture","Agricultural Research Service","Cornell University","AGRICULTURE R&D","contract",2700
"Department of Agriculture","Agricultural Research Service","Cornell University","IT & TELECOMMUNICATIONS","contract",6700
"Department of Agriculture","Agricultural Research Service","Cornell University","LABORATORY TESTING SERVICES","contract",-8750
"Department of Agriculture","Agricultural Research Service","Cornell University","LEASE & RENTAL OF BUILDINGS","contract",20000
"Department of Agriculture","Agricultural Research Service","Cornell University","MAINTENANCE & REPAIR OF EQUIPMENT","contract",10722.01
"Department of Agriculture","Agricultural Research Service","Cornell University","SPECIAL STUDIES - NOT R&D","contract",64978
"Department of Agriculture","Agricultural Research Service","Delaware State University","Agriculture and Farming","grant",44000
"Department of Agriculture","Agricultural Research Service","Dominican University of California","Agriculture and Farming","grant",13332
"Department of Agriculture","Agricultural Research Service","Drake University","Agriculture and Farming","grant",5000
"Department of Agriculture","Agricultural Research Service","Emory University","SPECIAL STUDIES - NOT R&D","contract",4950
"Department of Agriculture","Agricultural Research Service","Florida Agricultural and Mechanical University","Agriculture and Farming","grant",79830
"Department of Agriculture","Agricultural Research Service","Fort Lewis College","Agriculture and Farming","grant",70000
"Department of Agriculture","Agricultural Research Service","Fort Valley State University","Agriculture and Farming","grant",27104
"Department of Agriculture","Agricultural Research Service","George Mason University","Agriculture and Farming","grant",5000
"Department of Agriculture","Agricultural Research Service","George Washington University","Agriculture and Farming","grant",140623.5
"Department of Agriculture","Agricultural Research Service","Hartwick College","GEN. SCIENCE & TECHNOLOGY R&D","contract",11700
"Department of Agriculture","Agricultural Research Service","Harvard University","SPECIAL STUDIES - NOT R&D","contract",9000
"Department of Agriculture","Agricultural Research Service","Heidelberg University","Agriculture and Farming","grant",322303
"Department of Agriculture","Agricultural Research Service","Heritage University","Agriculture and Farming","grant",5000
"Department of Agriculture","Agricultural Research Service","Idaho State University","Agriculture and Farming","grant",46753.25
