cluster_final,coc_number,coc_name,Total_Year_Round_Beds,density,weighted_income,weighted_estimate_median_gross_rent,rent_pct_income,land_area,estimated_pop_2018,total_homeless,homeless_individuals,homeless_people_in_families
5,KS-502,Wichita/Sedgwick County CoC,581,509.4896292,13455,788,0.702787068,997.51,513607,573,421,152
5,IL-500,McHenry County CoC,130,509.1151748,20850,1100,0.633093525,603.17,307083,179,124,55
5,MI-509,Ann Arbor/Washtenaw County CoC,227,507.2198535,12067,1116,1.109803597,705.97,370963,282,210,72
5,OK-504,Norman/Cleveland County CoC,72,504.5158416,15208,895,0.706207259,538.77,281669,364,331,33
6,NC-511,Fayetteville/Cumberland County CoC,185,499.5186338,10934,926,1.016279495,652.31,332330,372,142,230
6,CA-507,Marin County CoC,349,498.4682209,25405,2167,1.023578036,520.31,259666,1095,920,175
6,NJ-500,Atlantic City & County CoC,351,493.1185892,13934,1063,0.91545859,555.7,265429,437,401,36
6,MI-519,Holland/Ottawa County CoC,359,490.8566561,20878,871,0.500622665,563.47,290494,226,133,93
6,PA-512,York City & County CoC,400,487.2967772,16442,930,0.678749544,904.18,448273,324,167,157
6,PA-506,Reading/Berks County CoC,488,483.4701288,15835,909,0.688853805,856.51,420152,562,406,156
6,TN-510,Murfreesboro/Rutherford County CoC,269,468.6918755,19061,1064,0.669849431,619.36,324890,283,229,54
6,PA-508,Scranton/Lackawanna County CoC,171,463.9844907,12487,797,0.765916553,459.08,210793,159,100,59
6,NY-602,Newburgh/Middletown/Orange County CoC,279,463.5291799,16039,1243,0.929983166,811.69,381951,480,229,251
6,MI-507,Portage/Kalamazoo City & County CoC,601,460.4297974,13743,818,0.71425453,561.66,264870,567,343,224
6,MA-503,Cape Cod/Islands CoC,301,447.5292468,18016,1232,0.820603908,541.94,213413,358,174,184
6,WI-503,Madison/Dane County CoC,569,431.6745181,18772,1097,0.701257192,1197.24,542364,614,409,205
6,IL-501,"Rockford/Winnebago, Boone Counties CoC",293,431.3822285,12684,797,0.754020814,794.08,284081,256,169,87
6,ID-500,Boise/Ada County CoC,771,404.5279219,15136,991,0.785676533,1052.58,469966,756,613,143
6,IL-508,East Saint Louis/Belleville/Saint Clair County CoC,175,403.7475675,11317,845,0.895997172,657.76,261059,250,124,126
6,PA-603,Beaver County CoC,134,389.2365025,13217,657,0.596504502,434.71,164742,117,67,50
6,NC-501,Asheville/Buncombe County CoC,494,380.8792849,14451,973,0.807971767,656.67,259103,554,515,39
6,MD-506,Carroll County CoC,112,374.3046091,20395,1062,0.624859034,447.59,168429,173,100,73
6,IL-504,Madison County CoC,173,372.7871098,13547,816,0.72281686,715.58,264461,146,88,58
6,NY-601,Poughkeepsie/Dutchess County CoC,408,371.9128238,15443,1229,0.954995791,795.63,293718,399,226,173
6,MD-509,Frederick City & County CoC,282,368.7634425,24851,1443,0.696792886,660.22,255648,316,207,109
6,VA-501,"Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties CoC",597,365.9439481,13704.42635,1147.666667,1.00493079,1718.05,577895,773,562,211
6,FL-512,Saint Johns County CoC,190,363.5367762,19109,1200,0.753571615,600.66,254261,342,219,123
6,PA-503,Wilkes-Barre/Hazleton/Luzerne County CoC,229,358.2008918,11478,789,0.824882384,890.33,317646,165,95,70
6,CA-510,Turlock/Modesto/Stanislaus County CoC,843,354.930661,14380,1158,0.966342142,1494.83,549815,1356,1080,276
6,NC-513,Chapel Hill/Orange County CoC,91,351.3091768,14498,1093,0.904676507,397.96,146027,152,120,32
6,PA-605,Erie City & County CoC,401,349.2873678,11817,761,0.772784971,799.15,272061,336,231,105
6,NH-502,Nashua/Hillsborough County CoC,303,349.262194,18867,1165,0.740976308,843.04,415247,281,164,117
6,NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",202,347.5604085,12486.33333,749.3333333,0.720147361,1118.22,404261,331,248,83
6,MD-508,"Charles, Calvert, St.Mary's Counties CoC",165,345.8475994,24984.33333,1496.333333,0.718690379,1028.08,366170,492,274,218
6,MI-516,Norton Shores/Muskegon City & County CoC,144,344.8132198,12913,751,0.69790134,499.25,173588,159,106,53
6,MI-518,Livingston County CoC,88,328.7766475,23313,1056,0.543559387,565.25,191224,90,46,44
6,KS-503,Topeka/Shawnee County CoC,339,328.2360943,12052,843,0.839362761,544.02,177499,408,282,126
6,MD-512,Hagerstown/Washington County CoC,281,326.7311809,15015,949,0.758441558,457.78,150926,199,149,50
6,CA-504,Santa Rosa/Petaluma/Sonoma County CoC,936,315.8777802,18668,1655,1.063852582,1575.85,499942,2996,2657,339
6,GA-505,Columbus-Muscogee/Russell County CoC,347,301.9591151,8563,859,1.203783721,857.53,194160,276,234,42
6,VT-501,Burlington/Chittenden County CoC,290,299.1352641,16021,1205,0.902565383,536.58,164572,359,255,104
6,MD-507,Cecil County CoC,132,295.0732088,18016,1107,0.737344583,346.27,102826,129,90,39
6,NJ-516,"Warren, Sussex, Hunterdon Counties CoC",271,289.5470757,22829.66667,1284.666667,0.675261721,1303.75,371292,338,243,95
6,MO-503,"St. Charles, Lincoln, Warren Counties CoC",255,289.3240901,23243,1018,0.525577593,1615.6,399182,532,278,254
6,AL-503,Huntsville/North Alabama CoC,487,288.4196263,13807.33333,753,0.654434842,1940.87,581782,424,336,88
6,FL-511,Pensacola/Escambia/Santa Rosa County CoC,774,283.8489023,16430.5,1045,0.763214753,1668.06,494883,632,467,165
6,WA-502,Spokane City & County CoC,1068,275.4630653,13723,921,0.805363259,1763.79,514631,1245,917,328
6,MI-515,Monroe City & County CoC,205,272.9299769,16281,848,0.625023033,549.39,150439,209,135,74
6,VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",163,253.2199849,27694,1547.5,0.670542356,1388.05,284198,200,128,72
6,FL-602,Punta Gorda/Charlotte County CoC,90,249.3708473,13734,1050,0.917431193,680.28,184998,164,130,34
6,NY-512,Troy/Rensselaer County CoC,139,245.1741949,17066,977,0.68697996,652.43,159442,178,100,78
6,MI-510,Saginaw City & County CoC,430,243.9677044,11593,747,0.773225222,800.11,190800,357,153,204
6,IL-513,Springfield/Sangamon County CoC,276,228.767707,12749,838,0.788767746,868.3,195348,271,195,76
6,MI-517,Jackson City & County CoC,196,227.2906067,12382,805,0.780164755,701.67,158823,81,65,16
6,MO-600,"Springfield/Greene, Christian, Webster Counties CoC",317,221.0187325,12268.5,769,0.752170192,1830.51,378906,479,314,165
6,NY-510,Ithaca/Tompkins County CoC,49,219.6734436,11567,1153,1.196161494,474.65,102793,91,75,16
6,FL-514,Ocala/Marion County CoC,356,214.7871635,11250,901,0.961066667,1584.55,359977,572,443,129
6,OR-507,Clackamas County CoC,85,211.1761624,20854,1351,0.777404814,1870.32,416075,383,317,66
6,IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,146,207.1928293,6972,815,1.402753873,996.27,209983,188,121,67
6,CA-521,Davis/Woodland/Yolo County CoC,236,206.6355242,12229,1320,1.295281707,1014.69,220408,448,316,132
6,NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",405,205.3959304,11852,1071.5,1.084880189,1908.29,369018,333,271,62
6,AR-500,Little Rock/Central Arkansas CoC,674,202.2694302,13780.66667,846.3333333,0.736974505,2902.05,587758,1081,950,131
6,CA-515,"Roseville/Rocklin/Placer, Nevada Counties CoC",486,198.4159203,16618,1421.5,1.026477314,2364.78,492845,950,766,184
6,NJ-512,Salem County CoC,33,194.3476951,13009,1144,1.055269429,331.9,62607,49,14,35
6,MI-514,Battle Creek/Calhoun County CoC,239,190.7183212,13059,781,0.717665977,706.23,134487,236,172,64
6,MI-523,Eaton County CoC,139,188.7163795,17446,863,0.593603118,575.17,109826,122,10,112
6,CA-517,Napa City & County CoC,169,188.175477,21081,1655,0.942080546,748.36,139417,322,276,46
6,IL-516,Decatur/Macon County CoC,139,186.6813618,11907,719,0.724615772,580.69,104712,161,98,63
6,AK-500,Anchorage CoC,1023,175.5877936,22313,1238,0.665800206,1704.68,291538,1094,814,280
6,WV-501,"Huntington/Cabell, Wayne Counties CoC",263,175.1715375,7663,760,1.190134412,787,93224,190,149,41
6,TN-509,Appalachian Regional CoC,550,174.9798077,10780.66667,680,0.756910519,2897.14,355362,360,291,69
6,FL-606,Naples/Collier County CoC,440,174.2643821,17776,1257,0.848559856,1998.32,378488,653,551,102
6,MD-500,Cumberland/Allegany County CoC,116,172.2463221,9838,662,0.807481195,424.16,70975,79,38,41
6,VA-502,Roanoke City & County/Salem CoC,490,170.779165,18333,894.5,0.585501555,1629.18,193993,317,228,89
6,LA-506,Slidell/Southeast Louisiana CoC,196,168.4225864,13819.33333,971.3333333,0.843456028,3362.91,531455,194,174,20
6,MA-507,"Pittsfield/Berkshire, Franklin, Hampshire County CoC",473,167.4161791,14178.33333,962,0.814200071,2153.4,358666,651,406,245
6,IL-509,Dekalb City & County CoC,94,165.4622927,10532,877,0.99924041,631.31,104458,100,45,55
6,NY-518,"Utica/Rome/Oneida, Madison Counties CoC",201,163.3116796,14149,759,0.643720404,1867.27,300372,178,100,78
6,CA-603,Santa Maria/Santa Barbara County CoC,824,160.6510206,17472,1653,1.135302198,2735.09,446527,1706,1335,371
6,NY-608,Kingston/Ulster County CoC,115,160.5573543,14673,1163,0.951134737,1124.24,178599,464,160,304
6,TN-500,Chattanooga/Southeast Tennessee CoC,320,156.9069714,13477,837.5,0.745714922,4332,471013,623,498,125
6,AR-501,Fayetteville/Northwest Arkansas CoC,371,156.3189988,15117.5,851.5,0.675905408,3253.68,509569,474,348,126
6,WV-500,Wheeling/Weirton Area CoC,108,154.1216848,10204.76337,596.3332782,0.701241085,941.12,145047,108,83,25
6,MS-500,"Jackson/Rankin, Madison Counties CoC",464,153.2507308,17038,951.3333333,0.670031694,3725.47,496617,446,362,84
6,AL-506,Tuscaloosa City & County CoC,176,153.1840363,9713,852,1.052609904,1321.75,208911,57,35,22
6,MD-513,Wicomico/Somerset/Worcester County CoC,218,151.3193755,12526,988,0.946511257,1430.98,103195,292,194,98
6,IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",535,149.3058608,13126.5,771,0.704833733,2661.57,312949,400,248,152
6,VA-513,"Harrisburg, Winchester/Western Virginia CoC",307,144.0070762,20168.5,984,0.585467437,2498.53,169599,304,217,87
6,TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",418,141.602792,13310,788.6666667,0.711044328,4641.9,305723,798,525,273
6,MO-602,"Joplin/Jasper, Newton Counties CoC",341,139.4157926,12440,768,0.740836013,1263.25,120636,275,227,48
6,MS-503,Gulf Port/Gulf Coast Regional CoC,94,137.4746829,8995.5,838.5,1.11855928,3505.54,349927,346,258,88
6,CA-524,Yuba City & County/Sutter County CoC,294,137.1707515,14109,938,0.797788646,1234.25,174848,765,457,308
6,CA-520,Merced City & County CoC,148,136.9535445,12864,1023,0.954291045,1934.97,274765,514,456,58
6,NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",335,136.911114,16319,805,0.591948036,1909.75,199928,182,182,0
6,CA-519,Chico/Paradise/Butte County CoC,463,136.8056659,11455,1066,1.116717591,1636.46,231256,1125,946,179
6,WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",347,133.475391,11379,765,0.806749275,2090.7,180454,317,276,41
6,MI-511,Lenawee County CoC,117,131.6429858,15576,783,0.603235747,749.55,98266,117,54,63
6,FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",134,130.7637191,15547,1001,0.772624944,1967.87,278644,495,348,147
6,AL-505,Gadsden/Northeast Alabama CoC,178,127.882184,10358.33333,699.3333333,0.810168946,2471.65,288163,146,119,27
6,NY-514,Jamestown/Dunkirk/Chautauqua County CoC,106,124.2636032,10630,646,0.72925682,1060.23,127939,145,94,51
