cluster_final,coc_number,coc_name,class,type,density,land_area,weighted_estimate_median_gross_rent,weighted_income,estimated_pop_2016,weighted_mental_illness,weighted_alcohol_dependence_or_abuse,weighted_drug_use,days_below_32,Property_crime_rate,Total_Year_Round_Beds,total_homeless,sheltered_homeless,unsheltered_homeless,chronically_homeless,homeless_individuals,homeless_people_in_families
2b,NY-520,Franklin County CoC,7,2,26.17465348,3423.35,720.2754087,11493.39997,89605,4.5,6.67,9.72,184.3316606,1718.2,5,28,27,1,1,21,7
2b,CA-509,Mendocino County CoC,7,2,24.92884318,3506.34,975,9845,87409,4.65,7.31,15.8,11.82254,2441.1,138,1238,160,1078,97,1179,59
2b,CA-527,Tehama County CoC,7,2,21.36311705,2949.71,781,11504,63015,4.65,7.31,15.8,90.65023474,2441.1,41,124,68,56,61,103,21
2b,CA-523,"Colusa, Glenn, Trinity Counties CoC",7,2,11.07685602,5643.93,799.8857271,11072.84209,62517,4.65,7.31,15.8,94.08074818,2441.1,88,176,43,133,34,118,58
2c,SC-501,Greenville/Anderson/Spartanburg Upstate CoC,9,3,200.7022483,7309.38,724.5758301,10521.81963,1467009,4.84,6.23,8.62,80.75958029,3460.3,1015,1317,932,385,230,898,419
2c,NC-503,North Carolina Balance of State CoC,9,3,130.6481313,38676.42,728.1273558,10863.38312,5053002,5.114562147,5.565825527,7.854613723,119.057938,2873.1,3278,3054,2102,952,382,1911,1143
2c,SC-503,Myrtle Beach/Sumter City & County CoC,9,3,110.8037284,8097.76,728.3732288,9341.518079,897262,4.396390062,5.6957305,8.701375875,65.27372263,3460.3,508,974,369,605,191,666,308
2c,AZ-501,Tucson/Pima County CoC,9,3,109.2123252,9187.04,831,10643,1003338,4.31,7.71,12.06,31.47125912,3197.5,1299,1574,1189,385,225,1249,325
2c,LA-509,Louisiana Balance of State CoC,10,3,99.10037391,11165.75,797.4421552,10221.98995,1106530,4.349021988,6.353417241,8.209909176,14.32025547,3458.8,694,590,465,125,67,501,89
2c,KY-500,Kentucky Balance of State CoC,10,3,86.05209641,38822.25,651.2204538,10464.21511,3340736,5.093130307,5.675689264,7.497557116,113.0634124,2246.9,1624,1940,1415,525,164,1326,614
2c,VA-521,Virginia Balance of State (BoS) CoC,10,3,71.0943839,23897.19,752.6896229,11278.74448,1698956,4.545013279,7.058708454,8.665256828,136.2089416,1930.3,765,722,563,159,39,423,299
2c,WV-508,West Virginia Balance of State CoC,10,3,63.50982425,20219.36,655.3263724,10172.78264,1284128,5.534577636,6.26539,7.067492742,156.357208,2034.7,939,667,567,100,109,535,132
2c,TN-507,Jackson/West Tennessee CoC,10,3,60.43186355,11090.54,647.0788992,9544.823464,670222,4.591041744,4.913248521,6.222493069,88.25273723,3060.6,143,1103,134,969,212,707,396
2c,IL-520,Southern Illinois CoC,10,3,53.98793427,10875.43,619.654053,11043.71145,587142,4.07,6.48,8.66,104.9041971,2075.9,368,435,298,137,85,247,188
2c,AR-503,Arkansas  Balance of State  CoC,10,3,52.41216431,16127.84,661.1090329,9750.959469,845295,5.187936093,5.407627314,9.051124649,78.59489051,3338,564,822,387,435,107,738,84
2c,MS-501,Mississippi Balance of State CoC,10,3,48.78382937,39692.21,664.2819931,8708.476749,1936338,4.980933499,5.951286516,7.858046038,77.42928832,2921.2,764,697,451,246,33,465,232
2c,AL-507,Alabama Balance of State CoC,10,3,47.01851256,31646.62,618.3919315,8200.717344,1487977,4.171776425,5.777177591,7.693857808,72.43385036,3177.6,461,764,416,348,6,591,173
2c,OK-500,North Central Oklahoma CoC,10,3,41.55539379,8160.12,702.8899843,10454.27484,339097,4.503708821,7.090936251,7.376729372,103.0725365,2990.7,213,192,147,45,6,82,110
2c,OK-506,Southwest Oklahoma Regional CoC,10,3,31.44024097,12991.09,686.4414716,11235.5633,408443,4.484539826,7.582218694,8.424089897,62.60948905,2990.7,304,231,169,62,0,150,81
2c,OK-507,Southeastern Oklahoma Regional CoC,10,3,30.2774451,17642.77,621.6283748,9641.936551,534178,5.135005073,6.864776647,6.657040612,93.14840499,2990.7,348,351,206,145,75,249,102
2c,AR-505,Southeast Arkansas,10,3,27.23267106,11300.03,627.335021,7989.807607,307730,5.186174374,5.150427518,8.481243688,77.26277372,3338,223,88,88,0,0,49,39
2c,TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",10,3,24.74558937,12965.26,742.3789923,11448.80552,320833,4.234989699,6.455740868,7.886845836,74.09899635,3019.4,402,234,213,21,65,170,64
2c,AZ-500,Arizona Balance of State CoC,10,3,17.19087407,95206.91,846.9949746,10209.53513,1636690,4.612422658,6.89884341,9.433169934,199.4844891,3197.5,1052,1768,1046,722,388,1434,334
2c,CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",10,3,13.60212397,23024.86,901.4383451,10696.70289,313187,4.65,7.31,15.8,192.6573905,2441.1,826,934,530,404,341,721,213
2c,NM-501,New Mexico Balance of State CoC,10,3,12.57853783,121110.42,780.0326285,9824.3699,1523392,4.250051293,6.836909614,10.38185796,223.4625912,3542.3,992,1164,752,412,435,761,403
3a,CA-500,San Jose/Santa Clara City & County CoC,2,1,1461.170452,1290.1,1813,20687,1885056,3.15,6.24,9.35,14.35677927,2434.1,1652,7394,1946,5448,2097,6319,1075
3a,AK-500,Anchorage CoC,3,1,175.5877936,1704.68,1231,21931,299321,4.35,7.56,14.04,189.3270985,3827,1023,1128,973,155,116,848,280
3a,VA-603,City of Alexandria CoC,4,2,10078.04391,15.03,1611,22915,151473,3.25,6.76,6.52,97.41104,1930.3,213,211,193,18,43,121,90
3a,VA-600,Arlington County CoC,4,2,8569.503039,27.97,1844.435519,25042.09975,239689,3.25,6.76,6.52,97.41104,1930.3,214,232,199,33,63,149,83
3a,VA-601,Fairfax County CoC,5,2,2911.575741,397.21,1778.407717,30187.70887,1156507,3.25,6.76,6.52,100.7413321,1930.3,760,964,856,108,150,492,472
3a,IL-514,DuPage County CoC,5,2,2860.831335,325.26,1178,20067,930514,3.28,5.8,7.87,127.7166971,2075.9,351,331,316,15,36,205,126
3a,NY-603,"Nassau, Suffolk Counties/Babylon/Islip/ Huntington CoC",5,2,2385.530219,1196.77,1595.653476,21642.4179,2854931,3,5.6,10.48,99.71757925,1718.2,3320,3937,3873,64,141,994,2943
3a,MD-601,Montgomery County CoC,5,2,2089.304835,491.25,1647,24313,1026371,3.1,6.43,8.91,92.74863,2507.5,510,894,763,131,163,616,278
