"agency","subagency","obligation"
"Department of Health and Human Services","Centers for Medicare and Medicaid Services",129552390.49
"Department of Health and Human Services","Food and Drug Administration",89407594.68
"Department of Health and Human Services","Health Resources and Services Administration",826805112.55
"Department of Health and Human Services","Indian Health Service",12914250.33
"Department of Health and Human Services","National Institutes of Health",22137498727.84
"Department of Health and Human Services","Office of Assistant Secretary for Health",27595990
"Department of Health and Human Services","Office of Assistant Secretary for Preparedness and Response",79829570.14
"Department of Health and Human Services","Office of the Assistant Secretary for Administration",40945655.23
"Department of Health and Human Services","Office of the Inspector General",6086
"Department of Health and Human Services","Office of the National Coordinator for Health Information Technology",-13027
"Department of Health and Human Services","Substance Abuse and Mental Health Services Administration",134302992
"Department of Homeland Security","Department of Homeland Security",17180668
"Department of Homeland Security","Domestic Nuclear Detection Office",7068448.47
"Department of Homeland Security","Federal Emergency Management Agency",154441094.7
"Department of Homeland Security","Federal Law Enforcement Training Center",-9561
"Department of Homeland Security","Immediate Office of the Under Secretary for Management",-1084044.13
"Department of Homeland Security","National Protection and Programs Directorate",3289876.85
"Department of Homeland Security","Office of Health Affairs",1399408.77
"Department of Homeland Security","Office of the Chief Information Officer",285626.77
"Department of Homeland Security","Office of the Chief Procurement Officer",727685.85
"Department of Homeland Security","Office of the Inspector General",49647.09
"Department of Homeland Security","Office of the Under Secretary for Management",2815864.68
"Department of Homeland Security","Office of the Under Secretary for Science and Technology",32600089.41
"Department of Homeland Security","Transportation Security Administration",9016603.09
"Department of Homeland Security","U.S. Citizenship and Immigration Services",151095
"Department of Homeland Security","U.S. Coast Guard",2832912.62
"Department of Homeland Security","U.S. Customs and Border Protection",21492974.36
"Department of Homeland Security","U.S. Immigration and Customs Enforcement",735569.52
"Department of Homeland Security","U.S. Secret Service",2759467.42
"Department of Housing and Urban Development","Assistant Secretary for Community Planning and Development",447368.58
"Department of Housing and Urban Development","Assistant Secretary for Fair Housing and Equal Opportunity",710817.64
"Department of Housing and Urban Development","Assistant Secretary for Housing--Federal Housing Commissioner",1002281.77
"Department of Housing and Urban Development","Assistant Secretary for Policy Development and Research",2842184.47
"Department of Housing and Urban Development","Assistant Secretary for Public and Indian Housing",1294000
"Department of Housing and Urban Development","Department of Housing and Urban Development",71523
"Department of Housing and Urban Development","Office of Lead Hazard Control and Healthy Homes",5210174.65
"Department of Justice","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",1407905.04
"Department of Justice","Drug Enforcement Administration",487596.98
"Department of Justice","Federal Bureau of Investigation",926386.08
"Department of Justice","Federal Prison System / Bureau of Prisons",101078459.61
"Department of Justice","Office of Justice Programs",106683500.39
"Department of Justice","Offices, Boards and Divisions",31156434.83
"Department of Justice","U.S. Marshals Service",157683
"Department of Labor","Bureau of Labor Statistics",12334103.49
"Department of Labor","Employee Benefits Security Administration",-3180000
"Department of Labor","Employment and Training Administration",22741131.18
"Department of Labor","Mine Safety and Health Administration",3415965.72
"Department of Labor","Occupational Safety and Health Administration",19051382.83
"Department of Labor","Office of the Assistant Secretary for Administration and Management",-2602.36
"Department of Labor","Office of Workers Compensation Program",-11532
"Department of Labor","President's Committee on Employment of the Handicapped",4835314
"Department of Labor","Veterans Employment and Training Services",77003.68
"Department of State","Department of State",138876021.34
"Department of State","International Boundary and Water Commission: U.S.-Mexico",9560
"Department of the Interior","Bureau of Indian Affairs and Bureau of Indian Education",84222818.61
"Department of the Interior","Bureau of Land Management",15985209.05
"Department of the Interior","Bureau of Ocean Energy Management",6684492.97
"Department of the Interior","Bureau of Reclamation",21835734.96
"Department of the Interior","Bureau of Safety and Environmental Enforcement",99116.75
"Department of the Interior","Department of the Interior",991667
"Department of the Interior","Departmental Offices",36390999.84
"Department of the Interior","Insular Affairs",2081589.83
"Department of the Interior","National Park Service",52673959.33
"Department of the Interior","Office of Surface Mining, Reclamation and Enforcement",144101.02
"Department of the Interior","U.S. Fish and Wildlife Service",22074359.4
"Department of the Interior","U.S. Geological Survey",94823032.12
"Department of the Treasury","Bureau of Engraving and Printing",28995
"Department of the Treasury","Bureau of the Fiscal Service",411106.5
"Department of the Treasury","Departmental Offices",227239.87
"Department of the Treasury","Internal Revenue Service",4841439.98
"Department of the Treasury","Office of the Comptroller of the Currency",142127.96
"Department of Transportation","Federal Aviation Administration",21280754.09
"Department of Transportation","Federal Highway Administration",29268292.31
"Department of Transportation","Federal Motor Carrier Safety Administration",2335464.6
"Department of Transportation","Federal Railroad Administration",3278563.56
"Department of Transportation","Federal Transit Administration",19304378.15
"Department of Transportation","Immediate Office of the Secretary of Transportation",63201563.72
"Department of Transportation","Maritime Administration",1712836.57
"Department of Transportation","National Highway Traffic Safety Administration",16072033.1
"Department of Transportation","Pipeline and Hazardous Materials Safety Administration",6644128.16
"Department of Veterans Affairs","Department of Veterans Affairs",203646751.3
"Department of Veterans Affairs","Under Secretary for Benefits/Veterans Benefits Administration",39977
"Department of Veterans Affairs","Under Secretary for Health/Veterans Health Administration",2173460.11
"Environmental Protection Agency","Environmental Protection Agency",74780674.94
"Equal Employment Opportunity Commission","Equal Employment Opportunity Commission",1314664.22
"Executive Office of the President","Executive Office of the President",1296157
"Executive Office of the President","Office of the National Drug Control Policy",26804837.64
"Federal Communications Commission","Federal Communications Commission",8638
"Federal Trade Commission","Federal Trade Commission",52824
"General Services Administration","General Services Administration",95000
"General Services Administration","Office of Government-wide Policy",200000
"General Services Administration","Office of the Chief Information Officer",35000
"General Services Administration","Public Buildings Service",614523.02
"Government Accountability Office","GAO, Except Comptroller General",-280
"Institute of Museum and Library Services","Institute of Museum and Library Services",29750893.62
"International Trade Commission","International Trade Commission",90278.78
"Millennium Challenge Corporation","Millennium Challenge Corporation",-464005.65
"National Aeronautics and Space Administration","National Aeronautics and Space Administration",3720539745.21
"National Archives and Records Administration","National Archives and Records Administration",5500361.71
"National Archives and Records Administration","National Historical Publications and Records Commission",4704042.62
"National Endowment for the Arts","National Endowment for the Arts",5631119.52
"National Endowment for the Humanities","National Endowment for the Humanities",31035141.35
"National Science Foundation","National Science Foundation",5861467626.16
"National Transportation Safety Board","National Transportation Safety Board",38999.08
"Nuclear Regulatory Commission","Nuclear Regulatory Commission",17941440.89
"Office of Personnel Management","Office of Personnel Management",99881.11
"Peace Corps","Peace Corps",1233419.72
"Pension Benefit Guaranty Corporation","Pension Benefit Guaranty Corporation",28152
"Securities and Exchange Commission","Securities and Exchange Commission",1376133
"Small Business Administration","Small Business Administration",118637363.59
"Smithsonian Institution","Smithsonian Institution",2508035.31
"Social Security Administration","Social Security Administration",11597773.9
"The Council of the Inspectors General on Integrity and Efficiency","The Council of the Inspectors General on Integrity and Efficiency",509000
"United States Chemical Safety Board","United States Chemical Safety Board",10300
