Recipient,State,INST_TYPE,LONGITUDE,LATITUDE,COUNTY,Football,Basketball,Fed_Funding_Amt
South Georgia Technical College,GA,"Public, 2-year",-84.188321,32.116663,Sumter County,NA,NA,3409592
Southeastern Community College,NC,"Public, 2-year",-78.785243,34.33155,Columbus County,NA,NA,3405533
Chipola College,FL,"Public, 4-year or above",-85.231946,30.790647,Jackson County,NA,NA,3405508
Arkansas Northeastern College,AR,"Public, 2-year",-89.921005,35.898597,Mississippi County,NA,NA,3404443
Selma University,AL,"Private not-for-profit, 4-year or above",-87.033826,32.420358,Dallas County,NA,NA,3402953
Nazarene Bible College,CO,"Private not-for-profit, 4-year or above",-104.751124,38.814124,El Paso County,NA,NA,3400300
Beacon College,FL,"Private not-for-profit, 4-year or above",-81.875619,28.810799,Lake County,NA,NA,3396728
Northern Maine Community College,ME,"Public, 2-year",-68.034796,46.694668,Aroostook County,NA,NA,3378811
Orleans Technical College,PA,"Private not-for-profit, 2-year",-75.011344,40.090545,Philadelphia County,NA,NA,3375875
Lake Region State College,ND,"Public, 2-year",-98.869034,48.127948,Ramsey County,NA,NA,3372814
Richmont Graduate University,TN,"Private not-for-profit, 4-year or above",-85.274642,35.036337,Hamilton County,NA,NA,3367614
Gordon-Conwell Theological Seminary,MA,"Private not-for-profit, 4-year or above",-70.846387,42.613475,Essex County,NA,NA,3365303
Oconee Fall Line Technical College,GA,"Public, 2-year",-82.839621,32.996687,Washington County,NA,NA,3357363
West Hills Community College District,CA,Administrative Unit,-120.356097,36.178802,Fresno County,NA,NA,3355555
Bay Mills Community College,MI,"Public, 2-year",-84.607089,46.454584,Chippewa County,NA,NA,3347256
Chief Dull Knife College,MT,"Public, 2-year",-106.664593,45.625568,Rosebud County,NA,NA,3340523
Ohio Valley University,WV,"Private not-for-profit, 4-year or above",-81.537808,39.312447,Wood County,NA,Great Midwest Athletic Conference,3336052
Eastern New Mexico University-Roswell Campus,NM,"Public, 2-year",-104.524336,33.3139,Chaves County,NA,NA,3330884
Helene Fuld College of Nursing,NY,"Private not-for-profit, 4-year or above",-73.943356,40.802495,New York County,NA,NA,3321133
Cheyney University of Pennsylvania,PA,"Public, 4-year or above",-75.529378,39.932293,Delaware County,Pennsylvania State Athletic Conference,Pennsylvania State Athletic Conference,3311152
Atlantic Institute of Oriental Medicine,FL,"Private not-for-profit, 4-year or above",-80.142235,26.121964,Broward County,NA,NA,3302199
Eastern Idaho Technical College,ID,"Public, 2-year",-111.985519,43.486041,Bonneville County,NA,NA,3298185
Alice Lloyd College,KY,"Private not-for-profit, 4-year or above",-82.875068,37.335087,Knott County,NA,Kentucky Intercollegiate Ath Conf,3288154
Pratt Community College,KS,"Public, 2-year",-98.713959,37.65394,Pratt County,NA,NA,3286960
Colorado Northwestern Community College,CO,"Public, 2-year",-108.790296,40.080745,Rio Blanco County,NA,NA,3282717
Nicolet Area Technical College,WI,"Public, 2-year",-89.425055,45.609542,Oneida County,NA,NA,3264650
Clinton College,SC,"Private not-for-profit, 4-year or above",-81.043469,34.913721,York County,NA,NA,3245381
Judson College,AL,"Private not-for-profit, 4-year or above",-87.316127,32.630526,Perry County,NA,NA,3241129
