Recipient,State,INST_TYPE,LONGITUDE,LATITUDE,COUNTY,Football,Basketball,Fed_Funding_Amt
Johns Hopkins University,MD,"Private not-for-profit, 4-year or above",-76.621595,39.328977,Baltimore City,Centennial Conference,Centennial Conference,2073309239
University of California-Berkeley,CA,"Public, 4-year or above",-122.260463,37.871918,Alameda County,Pacific-12 Conference,Pacific-12 Conference,1450474449
Massachusetts Institute of Technology,MA,"Private not-for-profit, 4-year or above",-71.092115,42.360095,Middlesex County,New England Football Conference,New England Women's & Men's Athletic Conference,1447238463
Stanford University,CA,"Private not-for-profit, 4-year or above",-122.164434,37.429532,Santa Clara County,Pacific-12 Conference,Pacific-12 Conference,1285330333
Harvard University,MA,"Private not-for-profit, 4-year or above",-71.118177,42.374429,Middlesex County,Ivy Group,Ivy Group,1165952587
University of Washington,WA,"Public, 4-year or above",-122.313115,47.656213,King County,Pacific-12 Conference,Pacific-12 Conference,1147159420
Pennsylvania State University,PA,"Public, 4-year or above",-77.861644,40.800732,Centre County,Big Ten Conference,Big Ten Conference,1144004377
Pennsylvania State University,PA,"Public, 4-year or above",-77.861644,40.800732,Centre County,Big Ten Conference,Big Ten Conference,1144004377
University of Southern California,CA,"Private not-for-profit, 4-year or above",-118.284169,34.021281,Los Angeles County,Pacific-12 Conference,Pacific-12 Conference,1085646031
University of Michigan-Ann Arbor,MI,"Public, 4-year or above",-83.742769,42.275921,Washtenaw County,Big Ten Conference,Big Ten Conference,1060506023
New York University,NY,"Private not-for-profit, 4-year or above",-73.997264,40.729452,New York County,NA,University Athletic Association,1029792738
Columbia University in the City of New York,NY,"Private not-for-profit, 4-year or above",-73.961885,40.808286,New York County,Ivy Group,Ivy Group,991838048
Arizona State University-Tempe,AZ,"Public, 4-year or above",-111.934629,33.422247,Maricopa County,Pacific-12 Conference,Pacific-12 Conference,960140252
University of Pittsburgh-Pittsburgh Campus,PA,"Public, 4-year or above",-79.954692,40.444502,Allegheny County,Atlantic Coast Conference,Atlantic Coast Conference,871182209
University of California-San Diego,CA,"Public, 4-year or above",-117.237793,32.876598,San Diego County,NA,NA,857285005
University of California-Los Angeles,CA,"Public, 4-year or above",-118.443901,34.068892,Los Angeles County,Pacific-12 Conference,Pacific-12 Conference,812746293
University of Pennsylvania,PA,"Private not-for-profit, 4-year or above",-75.193618,39.951002,Philadelphia County,Ivy Group,Ivy Group,808090209
University of North Carolina at Chapel Hill,NC,"Public, 4-year or above",-79.050969,35.911769,Orange County,Atlantic Coast Conference,Atlantic Coast Conference,795296569
University of Minnesota-Twin Cities,MN,"Public, 4-year or above",-93.235352,44.977886,Hennepin County,Big Ten Conference,Big Ten Conference,776701747
University of California-San Francisco,CA,"Public, 4-year or above",-122.458049,37.762736,San Francisco County,NA,NA,765094651
Michigan State University,MI,"Public, 4-year or above",-84.476111,42.73212,Ingham County,Big Ten Conference,Big Ten Conference,762560514
University of Wisconsin-Madison,WI,"Public, 4-year or above",-89.405356,43.073858,Dane County,Big Ten Conference,Big Ten Conference,750519698
Rutgers University-New Brunswick,NJ,"Public, 4-year or above",-74.446251,40.498769,Middlesex County,Big Ten Conference,Big Ten Conference,747069512
Southern New Hampshire University,NH,"Private not-for-profit, 4-year or above",-71.453938,43.039892,Hillsborough County,NA,Northeast 10 Conference,709436073
Liberty University,VA,"Private not-for-profit, 4-year or above",-79.179688,37.350345,Lynchburg City,Big South Conference,Big South Conference,708278812
Ohio State University,OH,"Public, 4-year or above",-83.009001,39.998389,Franklin County,Big Ten Conference,Big Ten Conference,705220713
Duke University,NC,"Private not-for-profit, 4-year or above",-78.937624,36.001135,Durham County,Atlantic Coast Conference,Atlantic Coast Conference,704550080
University of Florida,FL,"Public, 4-year or above",-82.339958,29.649428,Alachua County,Southeastern Conference,Southeastern Conference,670490490
University of Florida,FL,"Public, 4-year or above",-82.339958,29.649428,Alachua County,Southeastern Conference,Southeastern Conference,670490490
The University of Texas at Austin,TX,"Public, 4-year or above",-97.739291,30.28609,Travis County,Big Twelve Conference,Big Twelve Conference,661085545
Texas A & M University-College Station,TX,"Public, 4-year or above",-96.340322,30.613226,Brazos County,Southeastern Conference,Southeastern Conference,616442867
Northwestern University,IL,"Private not-for-profit, 4-year or above",-87.673653,42.058377,Cook County,Big Ten Conference,Big Ten Conference,602774544
Georgia Institute of Technology-Main Campus,GA,"Public, 4-year or above",-84.396019,33.773732,Fulton County,Atlantic Coast Conference,Atlantic Coast Conference,602265837
University of Illinois at Urbana-Champaign,IL,"Public, 4-year or above",-88.230309,40.108864,Champaign County,Big Ten Conference,Big Ten Conference,601345934
Boston University,MA,"Private not-for-profit, 4-year or above",-71.09984,42.349581,Suffolk County,NA,Patriot League,595706371
Yale University,CT,"Private not-for-profit, 4-year or above",-72.926688,41.311158,New Haven County,Ivy Group,Ivy Group,595356873
University of California-Davis,CA,"Public, 4-year or above",-121.751958,38.539895,Yolo County,Big Sky Conference,Big West Conference,592887761
Cornell University,NY,"Private not-for-profit, 4-year or above",-76.483489,42.447199,Tompkins County,IVY Group,IVY Group,589049578
Washington University in St Louis,MO,"Private not-for-profit, 4-year or above",-90.310604,38.647929,St. Louis County,University Athletic Association,University Athletic Association,576064354
University of Arizona,AZ,"Public, 4-year or above",-110.950815,32.232672,Pima County,Pacific-12 Conference,Pacific-12 Conference,571923880
Vanderbilt University,TN,"Private not-for-profit, 4-year or above",-86.803369,36.14659,Davidson County,Southeastern Conference,Southeastern Conference,570855232
Nova Southeastern University,FL,"Private not-for-profit, 4-year or above",-80.24248,26.079337,Broward County,NA,Sunshine State Conference,565936034
Temple University,PA,"Public, 4-year or above",-75.158267,39.980943,Philadelphia County,American Athletic Conference,American Athletic Conference,502779175
Indiana University-Bloomington,IN,"Public, 4-year or above",-86.526904,39.166383,Monroe County,Big Ten Conference,Big Ten Conference,488698507
University of Chicago,IL,"Private not-for-profit, 4-year or above",-87.601196,41.78917,Cook County,South Atlantic Conference,University Athletic Association,482294861
University of Alabama at Birmingham,AL,"Public, 4-year or above",-86.799345,33.505697,Jefferson County,Conference USA,Conference USA,480192635
University of Colorado Denver/Anschutz Medical Campus,CO,"Public, 4-year or above",-104.837722,39.745149,Adams County,NA,NA,477248428
University of Illinois at Chicago,IL,"Public, 4-year or above",-87.651145,41.872651,Cook County,NA,Horizon League,469473253
University of Colorado Boulder,CO,"Public, 4-year or above",-105.270823,40.008781,Boulder County,Pacific-12 Conference,Pacific-12 Conference,466058135
University of South Florida,FL,"Public, 4-year or above",-82.415876,28.056647,NA,NA,NA,463808207
University of Maryland-College Park,MD,"Public, 4-year or above",-76.939494,38.985379,Prince George'S County,Big Ten Conference,Big Ten Conference,461335334
University of Utah,UT,"Public, 4-year or above",-111.846044,40.762484,Salt Lake County,Pacific-12 Conference,Pacific-12 Conference,456782601
Florida International University,FL,"Public, 4-year or above",-80.377591,25.757111,Miami-Dade County,Conference USA,Conference USA,454817213
Case Western Reserve University,OH,"Private not-for-profit, 4-year or above",-81.605769,41.500812,Cuyahoga County,Presidents' Athletic Conference,University Athletic Association,450278960
Massachusetts General Hospital Dietetic Internship,MA,"Private not-for-profit, 4-year or above",-71.068939,42.362612,Suffolk County,NA,NA,444744519
Oregon State University,OR,"Public, 4-year or above",-123.274721,44.56274,Benton County,Pacific-12 Conference,Pacific-12 Conference,443036977
George Washington University,DC,"Private not-for-profit, 4-year or above",-77.047871,38.89865,District Of Columbia,NA,Atlantic 10 Conference,424352291
University of Central Florida,FL,"Public, 4-year or above",-81.198805,28.60106,Orange County,American Athletic Conference,American Athletic Conference,420631312
University of Iowa,IA,"Public, 4-year or above",-91.536425,41.661935,Johnson County,Big Ten Conference,Big Ten Conference,413456850
"University of Maryland, Baltimore",MD,"Public, 4-year or above",-76.624981,39.29173,Baltimore City,NA,NA,410029868
University of Cincinnati,OH,"Public, 4-year or above",-84.51428,39.131159,Hamilton County,American Athletic Conference,American Athletic Conference,401499620
University of California-Irvine,CA,"Public, 4-year or above",-117.841248,33.648434,Orange County,NA,Big West Conference,399863773
University of Kentucky,KY,"Public, 4-year or above",-84.504747,38.038911,Fayette County,Southeastern Conference,Southeastern Conference,395527842
Howard University,DC,"Private not-for-profit, 4-year or above",-77.019478,38.920739,District Of Columbia,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference,392632385
Emory University-Oxford College,GA,"Private not-for-profit, 2-year",-83.871141,33.6191,Newton County,NA,NA,384266349
Icahn School of Medicine at Mount Sinai,NY,"Private not-for-profit, 4-year or above",-73.953445,40.789801,New York County,NA,NA,379483100
Georgia State University,GA,"Public, 4-year or above",-84.38667,33.7527,Fulton County,Sun Belt Conference,Sun Belt Conference,377960584
Purdue University-Main Campus,IN,"Public, 4-year or above",-86.914435,40.428206,Tippecanoe County,Big Ten Conference,Big Ten Conference,374494460
Colorado State University-Fort Collins,CO,"Public, 4-year or above",-105.08083,40.574759,Larimer County,Mountain West Conference,Mountain West Conference,367174432
Chamberlain College of Nursing-Administrative Office,IL,Administrative Unit,-88.007384,41.833434,Dupage County,NA,NA,365279063
Virginia Commonwealth University,VA,"Public, 4-year or above",-77.453597,37.547631,Richmond City,NA,Atlantic 10 Conference,364081534
University of Georgia,GA,"Public, 4-year or above",-83.374049,33.956428,Clarke County,Southeastern Conference,Southeastern Conference,354668896
Iowa State University,IA,"Public, 4-year or above",-93.648504,42.026212,Story County,Big Twelve Conference,Big Twelve Conference,354387216
University of Virginia,VA,"Public, 4-year or above",-78.503428,38.035665,Albemarle County,Atlantic Coast Conference,Atlantic Coast Conference,352937848
Georgetown University,DC,"Private not-for-profit, 4-year or above",-77.073463,38.908809,District Of Columbia,Patriot League,Big East Conference,348407709
Florida State University,FL,"Public, 4-year or above",-84.291921,30.440756,Leon County,Atlantic Coast Conference,Atlantic Coast Conference,346656898
University of Kansas,KS,"Public, 4-year or above",-95.247567,38.958549,Douglas County,Big Twelve Conference,Big Twelve Conference,342703414
University of Miami,FL,"Private not-for-profit, 4-year or above",-80.278662,25.72126,Miami-Dade County,Atlantic Coast Conference,Atlantic Coast Conference,332974196
University of Rochester,NY,"Private not-for-profit, 4-year or above",-77.631202,43.126397,Monroe County,University Athletic Association,University Athletic Association,332613794
University of South Florida-Main Campus,FL,"Public, 4-year or above",-82.415876,28.056647,NA,NA,NA,331714262
Oregon Health & Science University,OR,"Public, 4-year or above",-122.686096,45.498772,Multnomah County,NA,NA,329273709
Washington State University,WA,"Public, 4-year or above",-117.158168,46.730448,Whitman County,Pacific-12 Conference,Pacific-12 Conference,327305706
West Virginia University,WV,"Public, 4-year or above",-79.953926,39.63468,Monongalia County,Big Twelve Conference,Big Twelve Conference,326666255
The University of Texas at Arlington,TX,"Public, 4-year or above",-97.115087,32.728437,Tarrant County,NA,Sun Belt Conference,323232268
Virginia Polytechnic Institute and State University,VA,"Public, 4-year or above",-80.423675,37.229012,Montgomery County,Atlantic Coast Conference,Atlantic Coast Conference,321971260
University of Missouri-Columbia,MO,"Public, 4-year or above",-92.326429,38.941015,Boone County,Southeastern Conference,Southeastern Conference,314991984
Drexel University,PA,"Private not-for-profit, 4-year or above",-75.188745,39.954855,Philadelphia County,NA,Colonial Athletic Association,314100197
University of New Mexico-Main Campus,NM,"Public, 4-year or above",-106.620155,35.083868,Bernalillo County,Mountain West Conference,Mountain West Conference,313537186
Wayne State University,MI,"Public, 4-year or above",-83.072864,42.35861,Wayne County,Great Lakes Intercollegiate Ath Conf,Great Lakes Intercollegiate Ath Conf,309616254
Texas A & M University-System Office,TX,Administrative Unit,-96.327705,30.636846,Brazos County,NA,NA,303505864
University of Hawaii at Manoa,HI,"Public, 4-year or above",-157.816607,21.292648,Honolulu County,Mountain West Conference,Big West Conference,303158882
University of Connecticut,CT,"Public, 4-year or above",-72.249948,41.809098,Tolland County,American Athletic Conference,Big East Conference,301224427
Kent State University at Kent,OH,"Public, 4-year or above",-81.342533,41.146653,Portage County,Mid-American Conference,Mid-American Conference,298673934
University of Houston,TX,"Public, 4-year or above",-95.343537,29.720393,Harris County,American Athletic Conference,American Athletic Conference,294967847
North Carolina State University at Raleigh,NC,"Public, 4-year or above",-78.674517,35.785111,Wake County,Atlantic Coast Conference,Atlantic Coast Conference,290706479
Baylor College of Medicine,TX,"Private not-for-profit, 4-year or above",-95.395743,29.7106,Washington County,NA,NA,290453246
Mayo Clinic School of Medicine,MN,"Private not-for-profit, 4-year or above",-92.466417,44.020808,Olmsted County,NA,NA,283688349
Texas State University,TX,"Public, 4-year or above",-97.936392,29.889202,Hays County,Sun Belt Conference,Sun Belt Conference,282961913
University of Oklahoma-Norman Campus,OK,"Public, 4-year or above",-97.445692,35.208152,Cleveland County,Big Twelve Conference,Big Twelve Conference,280829827
Tufts University,MA,"Private not-for-profit, 4-year or above",-71.121689,42.406994,Middlesex County,New England Small College Ath Conf,New England Small College Ath Conf,278241080
University of Delaware,DE,"Public, 4-year or above",-75.752822,39.679577,New Castle County,Colonial Athletic Association,Colonial Athletic Association,273656422
Stony Brook University,NY,"Public, 4-year or above",-73.123595,40.913138,Suffolk County,Colonial Athletic Association,America East,273307205
Pardee RAND Graduate School,CA,"Private not-for-profit, 4-year or above",-118.49047,34.009975,Los Angeles County,NA,NA,265428954
University of Connecticut Health Center,CT,"Public, 4-year or above",-72.249948,41.809098,Tolland County,NA,NA,264229145
University of North Texas,TX,"Public, 4-year or above",-97.151211,33.210958,Denton County,Conference USA,Conference USA,263837854
DePaul University,IL,"Private not-for-profit, 4-year or above",-87.62724,41.877618,Cook County,NA,Big East Conference,263733606
University of South Carolina-Columbia,SC,"Public, 4-year or above",-81.026971,33.998973,Richland County,Southeastern Conference,Southeastern Conference,262377333
Ultimate Medical Academy,FL,"Private not-for-profit, 2-year",-82.785431,27.96532,Pinellas County,NA,NA,262226487
Louisiana State University,LA,"Public, 4-year or above",-91.178921,30.414986,East Baton Rouge Parish,Southeastern Conference,Southeastern Conference,258439808
Ohio University,OH,"Public, 4-year or above",-82.100985,39.326798,Athens County,Mid-American Conference,Mid-American Conference,258113525
Princeton University,NJ,"Private not-for-profit, 4-year or above",-74.659365,40.348732,Mercer County,Ivy Group,Ivy Group,255521151
Indiana University-Purdue University-Indianapolis,IN,"Public, 4-year or above",-86.172217,39.772948,Marion County,NA,The Summit League,254922713
George Mason University,VA,"Public, 4-year or above",-77.30794,38.83088,Fairfax County,NA,Atlantic 10 Conference,252576463
University of Massachusetts-Amherst,MA,"Public, 4-year or above",-72.526728,42.385999,Hampshire County,Independent Northeast Region,Atlantic 10 Conference,252515284
Keiser University-Ft Lauderdale,FL,"Private not-for-profit, 4-year or above",-80.163959,26.185869,Broward County,NA,Other,252198170
The University of Alabama,AL,"Public, 4-year or above",-87.545766,33.2144,Tuscaloosa County,Southeastern Conference,Southeastern Conference,249940099
The University of Tennessee-Knoxville,TN,"Public, 4-year or above",-83.925852,35.952082,Knox County,Southeastern Conference,Southeastern Conference,249056490
Northeastern University,MA,"Private not-for-profit, 4-year or above",-71.088782,42.339992,Suffolk County,NA,Colonial Athletic Association,246607849
Northeastern University,MA,"Private not-for-profit, 4-year or above",-71.088782,42.339992,Suffolk County,NA,Colonial Athletic Association,246607849
University of Louisville,KY,"Public, 4-year or above",-85.758843,38.215752,Jefferson County,Atlantic Coast Conference,Atlantic Coast Conference,246357052
University of Massachusetts Medical School Worcester,MA,"Public, 4-year or above",-71.760689,42.277589,Worcester County,NA,NA,245899751
Northern Arizona University,AZ,"Public, 4-year or above",-111.657653,35.180095,NA,NA,NA,245402896
University of North Texas System,TX,Administrative Unit,-96.794931,32.781634,Dallas County,NA,NA,244809039
Yeshiva University,NY,"Private not-for-profit, 4-year or above",-73.928541,40.8508,New York County,NA,Skyline Conference,239671516
University of Oregon,OR,"Public, 4-year or above",-123.075792,44.045146,Lane County,Pacific-12 Conference,Pacific-12 Conference,238520353
University of California-Santa Barbara,CA,"Public, 4-year or above",-119.846426,34.416297,Santa Barbara County,NA,Big West Conference,235620617
University of Maryland-University College,MD,"Public, 4-year or above",-76.954104,38.986299,Prince George'S County,NA,NA,234958769
Medical University of South Carolina,SC,"Public, 4-year or above",-79.946853,32.786017,Charleston County,NA,NA,234696409
Kansas State University,KS,"Public, 4-year or above",-96.581077,39.188616,Riley County,Big Twelve Conference,Big Twelve Conference,225924174
University of Texas Southwestern Medical Center,TX,"Public, 4-year or above",-96.841156,32.812307,Dallas County,NA,NA,221826650
University of Nebraska-Lincoln,NE,"Public, 4-year or above",-96.702177,40.822272,NA,NA,NA,218940703
Kennesaw State University,GA,"Public, 4-year or above",-84.583052,34.038807,Cobb County,Big South Conference,Atlantic Sun Conference,218696809
Texas Tech University,TX,"Public, 4-year or above",-101.874783,33.583448,Lubbock County,Big Twelve Conference,Big Twelve Conference,218427894
Wake Forest University,NC,"Private not-for-profit, 4-year or above",-80.277446,36.133609,Forsyth County,Atlantic Coast Conference,Atlantic Coast Conference,215905270
The University of Texas at San Antonio,TX,"Public, 4-year or above",-98.621386,29.582418,Bexar County,Conference USA,Conference USA,214869249
Loyola University Chicago,IL,"Private not-for-profit, 4-year or above",-87.657399,41.999161,Cook County,NA,Missouri Valley Conference,214579920
Syracuse University,NY,"Private not-for-profit, 4-year or above",-76.136975,43.040176,Onondaga County,Atlantic Coast Conference,Atlantic Coast Conference,214306704
University of California-Riverside,CA,"Public, 4-year or above",-117.331098,33.97588,Riverside County,NA,Big West Conference,213899969
Oklahoma State University,OK,"Public, 4-year or above",-97.069743,36.123085,Payne County,Big Twelve Conference,Big Twelve Conference,213658819
Central Michigan University,MI,"Public, 4-year or above",-84.77525,43.591203,Isabella County,Mid-American Conference,Mid-American Conference,213084618
East Carolina University,NC,"Public, 4-year or above",-77.368291,35.607186,Pitt County,American Athletic Conference,American Athletic Conference,211691024
California State University-Northridge,CA,"Public, 4-year or above",-118.526817,34.23671,Los Angeles County,NA,Big West Conference,211616678
University of Nevada-Las Vegas,NV,"Public, 4-year or above",-115.141153,36.106994,Clark County,Mountain West Conference,Mountain West Conference,210573132
University at Buffalo,NY,"Public, 4-year or above",-78.789458,43.000942,Erie County,Mid-American Conference,Mid-American Conference,208978471
San Diego State University,CA,"Public, 4-year or above",-117.071228,32.77525,San Diego County,Mountain West Conference,Mountain West Conference,205821241
California State University-Long Beach,CA,"Public, 4-year or above",-118.1123,33.782752,Los Angeles County,NA,Big West Conference,204855779
Mississippi State University,MS,"Public, 4-year or above",-88.790139,33.454852,Oktibbeha County,Southeastern Conference,Southeastern Conference,202555547
Ivy Tech Community College,IN,"Public, 2-year",-86.158213,39.803753,Marion County,NA,NA,202064013
Ivy Tech Community College,IN,"Public, 2-year",-86.158213,39.803753,Marion County,NA,NA,202064013
SUNY at Albany,NY,"Public, 4-year or above",-73.825014,42.686917,Albany County,Colonial Athletic Association,America East,201548865
University of North Carolina at Charlotte,NC,"Public, 4-year or above",-80.730919,35.306022,Mecklenburg County,Conference USA,Conference USA,201484962
Auburn University,AL,"Public, 4-year or above",-85.482782,32.604685,Lee County,Southeastern Conference,Southeastern Conference,201474265
Grand Valley State University,MI,"Public, 4-year or above",-85.887519,42.965208,Ottawa County,Great Lakes Intercollegiate Ath Conf,Great Lakes Intercollegiate Ath Conf,200094037
California Institute of Technology,CA,"Private not-for-profit, 4-year or above",-118.12574,34.139275,Los Angeles County,NA,Southern California Intercoll Ath Conf,197902319
Carnegie Mellon University,PA,"Private not-for-profit, 4-year or above",-79.942914,40.444616,Allegheny County,University Athletic Association,University Athletic Association,196650640
Clemson University,SC,"Public, 4-year or above",-82.835114,34.679381,Pickens County,Atlantic Coast Conference,Atlantic Coast Conference,196267760
Portland State University,OR,"Public, 4-year or above",-122.683553,45.511229,Multnomah County,Big Sky Conference,Big Sky Conference,196228109
LIU Post,NY,"Private not-for-profit, 4-year or above",-73.593279,40.820043,Nassau County,Northeast 10 Conference,East Coast Conference,194281177
California State University-Fullerton,CA,"Public, 4-year or above",-117.885349,33.883627,Orange County,NA,Big West Conference,193581777
St John's University-New York,NY,"Private not-for-profit, 4-year or above",-73.796104,40.722523,Queens County,NA,Big East Conference,193112219
Old Dominion University,VA,"Public, 4-year or above",-76.309653,36.884919,Norfolk City,Conference USA,Conference USA,191563535
University of Wisconsin-Milwaukee,WI,"Public, 4-year or above",-87.880488,43.076848,Milwaukee County,NA,Horizon League,190718252
Tulane University of Louisiana,LA,"Private not-for-profit, 4-year or above",-90.120409,29.939696,Orleans Parish,American Athletic Conference,American Athletic Conference,190172801
University of California-System Administration Central Office,CA,Administrative Unit,-122.27134,37.802222,Alameda County,NA,NA,187936724
Western Michigan University,MI,"Public, 4-year or above",-85.61512,42.282589,Kalamazoo County,Mid-American Conference,Mid-American Conference,186020957
University of Mississippi,MS,"Public, 4-year or above",-89.537434,34.365529,Lafayette County,Southeastern Conference,Southeastern Conference,181295284
American University,DC,"Private not-for-profit, 4-year or above",-77.090106,38.937802,District Of Columbia,NA,Patriot League,180968874
Florida Atlantic University,FL,"Public, 4-year or above",-80.102293,26.372536,Palm Beach County,Conference USA,Conference USA,178834953
California State University-Sacramento,CA,"Public, 4-year or above",-121.42194,38.55745,Sacramento County,Big Sky Conference,Big Sky Conference,178573243
University of New Hampshire-Main Campus,NH,"Public, 4-year or above",-70.934512,43.134235,Strafford County,Colonial Athletic Association,America East,177679389
San Jose State University,CA,"Public, 4-year or above",-121.880621,37.336569,Santa Clara County,Mountain West Conference,Mountain West Conference,177275915
The University of Texas at El Paso,TX,"Public, 4-year or above",-106.50356,31.771697,El Paso County,Conference USA,Conference USA,177151508
Brown University,RI,"Private not-for-profit, 4-year or above",-71.40385,41.82617,Providence County,Ivy Group,Ivy Group,175552597
University of California-Santa Cruz,CA,"Public, 4-year or above",-122.058801,36.995584,Santa Cruz County,NA,NA,174994773
SUNY Buffalo State,NY,"Public, 4-year or above",-78.88067,42.934199,Erie County,Empire Eight,State University of New York Ath Conf,174926361
University of Toledo,OH,"Public, 4-year or above",-83.614714,41.660572,Lucas County,Mid-American Conference,Mid-American Conference,173546481
Western University of Health Sciences,CA,"Private not-for-profit, 4-year or above",-117.747732,34.058092,Los Angeles County,NA,NA,173462655
San Francisco State University,CA,"Public, 4-year or above",-122.477905,37.721345,San Francisco County,NA,California Collegiate Athletic Assoc,172447292
Rowan University,NJ,"Public, 4-year or above",-75.117974,39.709768,Gloucester County,New Jersey Athletic Conference,New Jersey Athletic Conference,171250347
University of Memphis,TN,"Public, 4-year or above",-89.938068,35.118878,Shelby County,American Athletic Conference,American Athletic Conference,170095100
University of Vermont,VT,"Public, 4-year or above",-73.198128,44.479262,Chittenden County,NA,America East,169432399
The University of Texas MD Anderson Cancer Center,TX,"Public, 4-year or above",-95.40079,29.705395,Harris County,NA,NA,167860374
University of Arkansas,AR,"Public, 4-year or above",-94.176981,36.070009,Washington County,Southeastern Conference,Southeastern Conference,166872943
California State University-Los Angeles,CA,"Public, 4-year or above",-118.168965,34.066927,Los Angeles County,NA,California Collegiate Athletic Assoc,166444163
The University of Texas Rio Grande Valley,TX,"Public, 4-year or above",-98.172112,26.306629,Hidalgo County,NA,Western Athletic Conference,166308625
University of Rhode Island,RI,"Public, 4-year or above",-71.527356,41.484691,NA,Colonial Athletic Association,Atlantic 10 Conference,165226518
University of South Alabama,AL,"Public, 4-year or above",-88.178711,30.696033,Mobile County,Sun Belt Conference,Sun Belt Conference,164087575
Touro College,NY,"Private not-for-profit, 4-year or above",-73.989404,40.753199,New York County,NA,American Mideast Conference,163747314
Miami Dade College,FL,"Public, 4-year or above",-80.190856,25.777717,Miami-Dade County,NA,NA,163141377
Houston Community College,TX,"Public, 2-year",-95.376524,29.737303,Harris County,NA,NA,162215162
National University,CA,"Private not-for-profit, 4-year or above",-117.244243,32.909469,San Diego County,NA,NA,162192970
University of Denver,CO,"Private not-for-profit, 4-year or above",-104.963259,39.678005,Denver County,NA,The Summit League,161534825
University of Nevada-Reno,NV,"Public, 4-year or above",-119.818424,39.545052,Washoe County,Mountain West Conference,Mountain West Conference,161479820
Eastern Michigan University,MI,"Public, 4-year or above",-83.624499,42.245751,Washtenaw County,Mid-American Conference,Mid-American Conference,160862740
Montclair State University,NJ,"Public, 4-year or above",-74.199455,40.859233,Essex County,New Jersey Athletic Conference,New Jersey Athletic Conference,160022900
University of Dayton,OH,"Private not-for-profit, 4-year or above",-84.176113,39.739547,Montgomery County,Pioneer Football League,Atlantic 10 Conference,159681133
University of Colorado System Office,CO,Administrative Unit,-104.983277,39.74521,Denver County,NA,NA,159593840
Augusta University,GA,"Public, 4-year or above",-81.988361,33.47145,Richmond County,NA,Peach Belt Conference,159574353
Azusa Pacific University,CA,"Private not-for-profit, 4-year or above",-117.88795,34.130865,Los Angeles County,Great Northeast Athletic Conference,Pacific West Conference,158207856
University of Massachusetts-Boston,MA,"Public, 4-year or above",-71.038653,42.314541,Suffolk County,NA,NA,156803726
The University of Texas Health Science Center at Houston,TX,"Public, 4-year or above",-95.403183,29.702873,Harris County,NA,NA,155815887
Fordham University,NY,"Private not-for-profit, 4-year or above",-73.882705,40.859354,Bronx County,Patriot League,Atlantic 10 Conference,154840585
University of Nebraska Medical Center,NE,"Public, 4-year or above",-95.973966,41.256312,Douglas County,NA,NA,154748226
Ball State University,IN,"Public, 4-year or above",-85.408863,40.198942,Delaware County,Mid-American Conference,Mid-American Conference,154140477
University of North Carolina at Greensboro,NC,"Public, 4-year or above",-79.809844,36.067503,Guilford County,NA,Southern Conference,154039230
University of the Pacific,CA,"Private not-for-profit, 4-year or above",-121.312301,37.981424,San Joaquin County,NA,West Coast Conference,151601877
Dartmouth College,NH,"Private not-for-profit, 4-year or above",-72.289949,43.704115,Grafton County,Ivy Group,Ivy Group,151343874
Northern Illinois University,IL,"Public, 4-year or above",-88.766428,41.933869,Dekalb County,Mid-American Conference,Mid-American Conference,151122391
Utah State University,UT,"Public, 4-year or above",-111.81391,41.740748,Cache County,Mountain West Conference,Mountain West Conference,149588675
Sam Houston State University,TX,"Public, 4-year or above",-95.546205,30.714738,Walker County,Southland Conference,Southland Conference,149248449
Florida Agricultural and Mechanical University,FL,"Public, 4-year or above",-84.285644,30.428554,NA,NA,NA,148020896
University of Notre Dame,IN,"Private not-for-profit, 4-year or above",-86.238959,41.703058,St. Joseph County,Division I-A Independents,Atlantic Coast Conference,147748174
North Carolina A & T State University,NC,"Public, 4-year or above",-79.770152,36.076737,Guilford County,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference,147660875
Southern Illinois University-Carbondale,IL,"Public, 4-year or above",-89.218724,37.713239,Jackson County,Missouri Valley Conference,Missouri Valley Conference,147261293
MCPHS University,MA,"Private not-for-profit, 4-year or above",-71.100964,42.337036,Suffolk County,NA,NA,147034620
Bowling Green State University-Main Campus,OH,"Public, 4-year or above",-83.637531,41.377036,Wood County,Mid-American Conference,Mid-American Conference,146791574
University of Missouri-Kansas City,MO,"Public, 4-year or above",-94.578039,39.035366,Jackson County,NA,Western Athletic Conference,146426097
Towson University,MD,"Public, 4-year or above",-76.611164,39.393622,Baltimore County,Colonial Athletic Association,Colonial Athletic Association,145355161
A T Still University of Health Sciences,MO,"Private not-for-profit, 4-year or above",-92.589183,40.193648,Adair County,NA,NA,145354178
Georgia Southern University,GA,"Public, 4-year or above",-81.782201,32.427756,Bulloch County,Sun Belt Conference,Sun Belt Conference,145048656
University of Akron,OH,"Public, 4-year or above",-81.511679,41.078551,Summit County,Mid-American Conference,Mid-American Conference,143844066
Saint Louis University,MO,"Private not-for-profit, 4-year or above",-90.23343,38.636516,St. Louis City,NA,Atlantic 10 Conference,142810590
University of New England,ME,"Private not-for-profit, 4-year or above",-70.385882,43.458172,York County,NA,Commonwealth Coast Conference,142360396
