"source","target","value"
"Gallaudet University","Employment Programs",150000
"Galveston College","Education",862462.28
"Gannon University","Education",498591
"Gannon University","Research Support Programs",242136
"Gannon University","EDUCATION & TRAINING SERVICES",80684
"Gannon University","Nursing and Health Professionals",38907
"Garden City Community College","Education",287656.18
"Gaston College","Education",2762204
"Gateway Community and Technical College","Education",964837
"Gateway Community and Technical College","Addiction and Recovery",102000
"GateWay Community College","Education",1182444
"GateWay Community College","Childcare and Welfare",72186
"GateWay Community College","EDUCATION & TRAINING SERVICES",62070
"Gateway Technical College","Education",242136
"Gavilan College","Education",1886222.94
"Genesee Community College","Education",1228310
"George C Wallace Community College-Dothan","Education",1327185.81
"George C Wallace State Community College-Hanceville","Regional Development",2000000
"George C Wallace State Community College-Hanceville","Education",759541.52
"George C Wallace State Community College-Selma","Education",916786
"George Fox University","Energy Programs",100000
"George Fox University","PROFESSIONAL SERVICES",20000
"George Mason University","DEFENSE (OTHER) R&D",37738167
"George Mason University","Science, Engineering, and Mathematics",21635670.24
"George Mason University","Drug Policy R&D",7022349.67
"George Mason University","Education",6906639.55
"George Mason University","Business",3671875.48
"George Stone Technical Center","Education",440660.33
"George Washington University","Medical R&D",73488370
"George Washington University","Science, Engineering, and Mathematics",21693825.19
"George Washington University","Early Childhood Programs",15882187
"George Washington University","Medical R&D (Infectious Diseases)",10813555
"George Washington University","EDUCATION & TRAINING SERVICES",5357019.55
"Georgetown University","Medical R&D",38982270
"Georgetown University","Academic Exchange Programs",15859158.63
"Georgetown University","Science, Engineering, and Mathematics",15051770.86
"Georgetown University","Foreign Policy",7219249
"Georgetown University","Medical R&D (Infectious Diseases)",6554570
"Georgia College and State University","Nursing and Health Professionals",1076047
"Georgia College and State University","Education",498076
"Georgia College and State University","Environment",5676
"Georgia Gwinnett College","Education",410575
"Georgia Gwinnett College","Science, Engineering, and Mathematics",39931
"Georgia Institute of Technology-Main Campus","OTHER R&D",152705546.52
"Georgia Institute of Technology-Main Campus","Science, Engineering, and Mathematics",99922314.82
"Georgia Institute of Technology-Main Campus","DEFENSE SYSTEMS R&D",78083914.41
"Georgia Institute of Technology-Main Campus","GEN. SCIENCE & TECHNOLOGY R&D",55281990.61
"Georgia Institute of Technology-Main Campus","ELECTRICAL COMPONENTS & EQUIPMENT",42640382
"Georgia Military College","Education",448574
"Georgia Military College","SOCIAL SERVICES",91072
"Georgia Northwestern Technical College","Education",493626
"Georgia Southern University","Nursing and Health Professionals",2489636
"Georgia Southern University","Science, Engineering, and Mathematics",1787152
"Georgia Southern University","Research Support Programs",242136
"Georgia Southern University","Social Wellness and Development",150210.27
"Georgia Southern University","Regional Development",118000
"Georgia State University","Medical R&D",22996717
"Georgia State University","Medical R&D (Infectious Diseases)",9148984
"Georgia State University","Education",7676458.82
"Georgia State University","Science, Engineering, and Mathematics",5631456.71
"Georgia State University","Early Childhood Programs",2702165
"Georgian Court University","Education",871387
"Gettysburg College","Science, Engineering, and Mathematics",193397
"Gettysburg College","Humanities and the Arts",165145
"Gettysburg College","Environmental R&D",146789
"Gettysburg College","Addiction and Recovery",99875
"Gettysburg College","SPECIAL STUDIES - NOT R&D",44882.2
"Glen Oaks Community College","Education",692136
"Glendale Community College","Education",1225725
"Glenville State College","Education",254329
"Glenville State College","Regional Development",13000
"Gogebic Community College","Education",272491
"Gonzaga University","Information Services and Records Preservation",98000
"Gonzaga University","Nursing and Health Professionals",33312
"Gonzaga University","EDUCATION & TRAINING SERVICES",1500
"Goodwin College","Education",471888
"Goodwin College","Childcare and Welfare",78854
"Gordon Cooper Technology Center","EDUCATION & TRAINING SERVICES",4496
"Goucher College","Academic Exchange Programs",88190
"Goucher College","Foreign Policy",30170
"Governors State University","Nursing and Health Professionals",1718173
"Governors State University","Childcare and Welfare",987804
"Governors State University","Education",493526
"Governors State University","Medical R&D",253769
"Graceland University-Lamoni","Education",719095
"Graceland University-Lamoni","Social Wellness and Development",119029
"Grambling State University","Education",7051782.84
"Grand Rapids Community College","Education",784105
"Grand Rapids Community College","Childcare and Welfare",212177
"Grand Rapids Community College","Addiction and Recovery",77152
"Grand Valley State University","Business",3952831.6
"Grand Valley State University","Education",2963130.52
"Grand Valley State University","Medical R&D",756903
"Grand Valley State University","Science, Engineering, and Mathematics",436358
"Grand Valley State University","Research Support Programs",278025
"Grand View University","Education",550000
"Grays Harbor College","Education",632171
"Grays Harbor College","Childcare and Welfare",39140
"Grayson College","Education",9872
"Great Oaks Career Campuses","EDUCATION & TRAINING SERVICES",42791.08
"Greater Altoona Career & Technology Center","EDUCATION & TRAINING SERVICES",97500
"Green River College","Education",917291
"Green River College","Regional Development",30524
"Greenfield Community College","Education",402727
"Greensboro College","Education",400430
"Greenville College","Regional Development",1143468
"Greenville Technical College","Education",719318
"Grinnell College","Science, Engineering, and Mathematics",47482
"Grossmont College","Education",524978
"Grossmont-Cuyamaca Community College District","Education",1717302
"Guilford Technical Community College","Education",598226
"Gulf Coast State College","Education",800685
"Gulf Coast State College","Veterans Programs",288378
"Gulf Coast State College","EDUCATION & TRAINING SERVICES",7568.55
"Gustavus Adolphus College","Science, Engineering, and Mathematics",554176.98
"H Councill Trenholm State Community College","Education",2121735
"Hacienda La Puente Adult Education","Childcare and Welfare",3811268
"Hagerstown Community College","Education",517288
"Hagerstown Community College","Childcare and Welfare",51950
"Halifax Community College","Regional Development",2000000
"Halifax Community College","Education",1125556
"Hamilton College","Science, Engineering, and Mathematics",63113
"Hamilton College","SPECIAL STUDIES - NOT R&D",25000
"Hamline University","Education",342320
"Hamline University","Research Support Programs",300403
"Hamline University","EDUCATION & TRAINING SERVICES",125
"Hampden-Sydney College","Education",45523
"Hampshire College","Science, Engineering, and Mathematics",236529
"Hampton University","Education",10946520
"Hampton University","Science, Engineering, and Mathematics",5020839
"Hampton University","SPACE R&D",3139600
"Hampton University","Medical R&D",877305
"Hampton University","Nursing and Health Professionals",850486
"Harcum College","Education",743159
"Harding University","Education",316847
"Harding University","Research Support Programs",254243
"Harding University","Nursing and Health Professionals",118511
"Harford Community College","Education",466488
"Harford Community College","Social Wellness and Development",292663
"Harris-Stowe State University","Education",4090148
"Harris-Stowe State University","Science, Engineering, and Mathematics",449262
"Harris-Stowe State University","Childcare and Welfare",195304
"Harrisburg Area Community College-Harrisburg","EDUCATION & TRAINING SERVICES",38174.66
"Hartnell College","Education",4202184.44
"Hartnell College","Refugee and Entrant Assistance",713992
"Hartwick College","GEN. SCIENCE & TECHNOLOGY R&D",11700
"Harvard University","Medical R&D",583758677
"Harvard University","Medical R&D (Infectious Diseases)",180919310
"Harvard University","Science, Engineering, and Mathematics",89728684.13
"Harvard University","SPACE R&D",60830450.16
"Harvard University","Early Childhood Programs",35730892
"Harvey Mudd College","Science, Engineering, and Mathematics",1469162
"Harvey Mudd College","Education",756261
"Haverford College","DEFENSE (OTHER) R&D",2158035
"Haverford College","Science, Engineering, and Mathematics",367471.58
"Hawaii Community College","Education",388280
"Hawaii Pacific University","Social Wellness and Development",351818
"Hawaii Pacific University","Research Support Programs",166979
"Hawaii Pacific University","Regional Development",166100
"Hawaii Pacific University","Education",70411
"Hawkeye Community College","Social Wellness and Development",320271.9
"Hawkeye Community College","Education",272496
"Hawkeye Community College","Childcare and Welfare",125889
"Hawkeye Community College","Transportation",108200
"Hazard Community and Technical College","Education",614377
"Hazelden Betty Ford Graduate School of Addiction Studies","PROFESSIONAL SERVICES",793331.76
"Hazelden Betty Ford Graduate School of Addiction Studies","Education",337327
"Hazelden Betty Ford Graduate School of Addiction Studies","EDUCATION & TRAINING SERVICES",111200.92
"Hazelden Betty Ford Graduate School of Addiction Studies","BOOKS, MAPS, & OTHER PUBLICATIONS",10986.83
"Hazelden Betty Ford Graduate School of Addiction Studies","MANAGEMENT SUPPORT SERVICES",8750
"Heartland Community College","Education",254355
"Heidelberg University","Agriculture and Farming",322303
"Heidelberg University","Nursing and Health Professionals",300000
"Helena College University of Montana","Education",242136
"Henderson State University","Education",1758435
"Henderson State University","Research Support Programs",242137
"Hendrix College","Education",649153
"Hendrix College","Science, Engineering, and Mathematics",549034
"Hennepin Technical College","Education",1405764
"Heritage University","Education",1328002
"Heritage University","Refugee and Entrant Assistance",900000
"Heritage University","Research Support Programs",242135
"Heritage University","PROFESSIONAL SERVICES",76885
"Heritage University","Agriculture and Farming",5000
"Hibbing Community College","Education",1841991
"High Point University","Education",1158522
"High Point University","Science, Engineering, and Mathematics",568839
"High Point University","Medical R&D",158261
"High Point University","Social Wellness and Development",9000
"Highland Community College","Education",875843
"Highland Community College","Social Wellness and Development",46956
"Highland Community College","EDUCATION & TRAINING SERVICES",17571.44
"Highlands College of Montana Tech","Education",1172131
"Highlands College of Montana Tech","Science, Engineering, and Mathematics",380383
"Highlands College of Montana Tech","Medical R&D",249307
"Highlands College of Montana Tech","Communications and GIS",202796.1
"Highlands College of Montana Tech","Historic Sites",174068.93
"Highline College","Education",930241
"Highline College","Individuals with Disabilities",357615
"Hillsborough Community College","Education",667643
"Hillsborough Community College","Academic Exchange Programs",97448
"Hinds Community College","Education",7846253.67
"Hinds Community College","Science, Engineering, and Mathematics",249969
"Hinds Community College","Infrastructure",87472
"Hiwassee College","Education",657464.97
"Hobart Institute of Welding Technology","TRAINING AIDS & DEVICES",9910
"Hobart William Smith Colleges","Science, Engineering, and Mathematics",652725
"Hobart William Smith Colleges","Academic Exchange Programs",72640.71
"Hobart William Smith Colleges","Environment",39999.49
"Hocking College","Education",563460.69
"Hofstra University","Education",1380951
"Hofstra University","Nursing and Health Professionals",1305679
"Hofstra University","Individuals with Disabilities",498079
"Hofstra University","Employment Programs",349991
"Hofstra University","EDUCATION & TRAINING SERVICES",130495.22
"Holmes Community College","Education",311848
"Holy Cross College","EDUCATION & TRAINING SERVICES",1305145
"Holy Names University","Education",1624842
"Holyoke Community College","Nursing and Health Professionals",510571
"Holyoke Community College","Education",376223
"Honolulu Community College","Education",1046102
"Hood College","Education",816035
"Hood College","Agriculture and Farming R&D",100000
"Hood College","Environmental R&D",74732
"Hood College","EDUCATION & TRAINING SERVICES",35578.88
"Hood College","Science, Engineering, and Mathematics",5500
"Hope College","Science, Engineering, and Mathematics",1258695
"Hope College","Education",444046
"Hope College","Agriculture and Farming R&D",150000
"Hope College","Energy Programs",142902
"Hope College","Defense R&D",15000
"Hopkinsville Community College","Education",669740
"Horry-Georgetown Technical College","Education",924881.08
"Horry-Georgetown Technical College","Environment",20000
"Houston Baptist University","Education",1064140
"Houston Community College","Education",1271149
"Houston Community College","Business",821775
"Houston Community College","Transportation",102008
"Houston Community College","PURCHASE BUILDINGS",5600
"Howard College","Education",476258.86
"Howard Community College","Education",626602
"Howard Community College","LEASE & RENTAL OF BUILDINGS",450
"Howard University","Education",12106813
"Howard University","Science, Engineering, and Mathematics",7384157.9
"Howard University","Medical R&D",5922969
"Howard University","Nursing and Health Professionals",2636109
"Howard University","HIV Programs",1130044
"Hudson Valley Community College","Regional Development",1500000
"Hudson Valley Community College","EDUCATION & TRAINING SERVICES",138161.49
"Humboldt State University","Business",5643615.05
"Humboldt State University","Education",2997651
"Humboldt State University","Childcare and Welfare",438265
"Humboldt State University","Science, Engineering, and Mathematics",321933.4
"Humboldt State University","Resource Management",316724
"Husson University","Agriculture and Farming R&D",500000
"Huston-Tillotson University","Education",2368574
"Hutchinson Community College","Occupational Safety",122352
"Hutchinson Community College","Social Wellness and Development",69672
"Hutchinson Community College","Information Services and Records Preservation",24111
"Icahn School of Medicine at Mount Sinai","Medical R&D",246803594
"Icahn School of Medicine at Mount Sinai","Medical R&D (Infectious Diseases)",46386352
"Icahn School of Medicine at Mount Sinai","GENERAL HEALTH CARE SERVICES",27502000.46
"Icahn School of Medicine at Mount Sinai","Social Wellness and Development",19043485
"Icahn School of Medicine at Mount Sinai","MEDICAL R&D",14492862.14
"Idaho State University","Science, Engineering, and Mathematics",2944941.32
"Idaho State University","Education",2697303.97
"Idaho State University","HIV Programs",358033
"Idaho State University","Nursing and Health Professionals",302588
"Idaho State University","Medical R&D",222232
"Ilisagvik College","Education",2369572
"Ilisagvik College","Tribal Programs",317850
"Ilisagvik College","Regional Development",129000
"Ilisagvik College","Agriculture and Farming R&D",125000
"Ilisagvik College","Wildlife Conservation",64900
"Illinois Central College","Education",1493932
"Illinois College","Education",975349
"Illinois Institute of Technology","Medical R&D",12195797
"Illinois Institute of Technology","Science, Engineering, and Mathematics",8981091
"Illinois Institute of Technology","Energy Programs",1131576.53
"Illinois Institute of Technology","Defense R&D",461860
"Illinois Institute of Technology","Medical R&D (Infectious Diseases)",437112
"Illinois State University","Education",9718225.74
"Illinois State University","Science, Engineering, and Mathematics",2613059
"Illinois State University","Nursing and Health Professionals",1351724
"Illinois State University","Social Wellness and Development",1228496
"Illinois State University","Agriculture and Farming R&D",1000000
"Illinois Valley Community College","Education",308892
"Illinois Wesleyan University","Education",4649261
"Illinois Wesleyan University","Science, Engineering, and Mathematics",10000
"Imperial Valley College","Education",2320180
"Independence Community College","Education",628441
"Indian Hills Community College","Education",1735766
"Indian Hills Community College","Social Wellness and Development",599885
"Indian River State College","Education",1922652
"Indian River State College","LEASE & RENTAL OF BUILDINGS",39731.88
"Indiana State University","Education",880957
"Indiana State University","Science, Engineering, and Mathematics",410085
"Indiana State University","Energy Programs",360000
"Indiana State University","Medical R&D",305308
"Indiana State University","Individuals with Disabilities",209276
"Indiana University of Pennsylvania-Main Campus","Occupational Safety",1844939.07
"Indiana University of Pennsylvania-Main Campus","Science, Engineering, and Mathematics",1394192
"Indiana University of Pennsylvania-Main Campus","Education",1309814
"Indiana University of Pennsylvania-Main Campus","Business",350433
"Indiana University of Pennsylvania-Main Campus","Childcare and Welfare",328721
"Indiana University-Bloomington","Medical R&D",173836559
"Indiana University-Bloomington","Science, Engineering, and Mathematics",40710018.27
"Indiana University-Bloomington","Medical R&D (Infectious Diseases)",15337563
"Indiana University-Bloomington","Education",14199240.82
"Indiana University-Bloomington","Healthcare Exchange Programs",12040307
"Indiana University-Purdue University-Indianapolis","EDUCATION & TRAINING SERVICES",849636.69
"Indiana Wesleyan University-Marion","Education",605048
"Indiana Wesleyan University-Marion","Nursing and Health Professionals",533334
"Indiana Wesleyan University-Marion","Environment",150000
"Indiana Wesleyan University-Marion","Science, Engineering, and Mathematics",150000
"Institute of American Indian and Alaska Native Culture and Arts Development","Education",1771170
"Institute of American Indian and Alaska Native Culture and Arts Development","Agriculture and Farming R&D",185000
"Institute of American Indian and Alaska Native Culture and Arts Development","Regional Development",129000
"Institute of American Indian and Alaska Native Culture and Arts Development","Humanities and the Arts",3877
"Inter American University of Puerto Rico-Aguadilla","Education",1139999
"Inter American University of Puerto Rico-Arecibo","Education",1353540
"Inter American University of Puerto Rico-Arecibo","Nursing and Health Professionals",94044
"Inter American University of Puerto Rico-Barranquitas","Education",1078927.98
"Inter American University of Puerto Rico-Bayamon","Education",1723514
"Inter American University of Puerto Rico-Fajardo","Education",513708
"Inter American University of Puerto Rico-Metro","Humanities and the Arts",30000
"Inter American University of Puerto Rico-Metro","EDUCATION & TRAINING SERVICES",5570.8
"Inter American University of Puerto Rico-Ponce","Education",872732
"Inter American University of Puerto Rico-San German","Education",1262742.45
"Inter American University of Puerto Rico-San German","Refugee and Entrant Assistance",403787.02
"Inter American University of Puerto Rico-San German","Research Support Programs",277356
"Inter American University of Puerto Rico-San German","Childcare and Welfare",163227
"Inter American University of Puerto Rico-San German","Humanities and the Arts",26000
"Inver Hills Community College","Education",869495
"Iona College","Science, Engineering, and Mathematics",9938
"Iowa Central Community College","Education",272494
"Iowa Central Community College","Regional Development",50000
"Iowa Lakes Community College","Education",1965823.42
"Iowa Lakes Community College","Social Wellness and Development",61200.04
"Iowa State University","OPERATE GOVERNMENT OWNED BUILDINGS",61478833.69
"Iowa State University","Science, Engineering, and Mathematics",42046370.99
"Iowa State University","Agriculture and Farming R&D",13852497.54
"Iowa State University","Medical R&D",13259712
"Iowa State University","Energy Programs",9074655.25
"Iowa Western Community College","Social Wellness and Development",320700
"Iowa Western Community College","Education",312632
"Irell & Manella Graduate School of Biological Sciences at City of Hope","Medical R&D",60430812
"Irell & Manella Graduate School of Biological Sciences at City of Hope","Medical R&D (Infectious Diseases)",3526096
"Irell & Manella Graduate School of Biological Sciences at City of Hope","Addiction and Recovery",314182
"Irell & Manella Graduate School of Biological Sciences at City of Hope","Early Childhood Programs",86500
"Irell & Manella Graduate School of Biological Sciences at City of Hope","LABORATORY TESTING SERVICES",12250
"Irvine Valley College","Education",850556
"Itasca Community College","Education",368669.01
"Itasca Community College","Environment",37350
"Ithaca College","Medical R&D",364388
"Ithaca College","Science, Engineering, and Mathematics",236081
"Ithaca College","Education",90053
"Ithaca College","Foreign Policy",9065
"Ivy Tech Community College","Education",1531171.8
"Ivy Tech Community College","EDUCATION & TRAINING SERVICES",53639.93
"J F Drake State Community and Technical College","Education",1980444
"J F Ingram State Technical College","Education",387408
"Jackson College","Education",242136
"Jackson State University","Education",11697018
"Jackson State University","Science, Engineering, and Mathematics",4669713.96
"Jackson State University","Medical R&D",1375320
"Jackson State University","MEDICAL R&D",870792.48
"Jackson State University","Individuals with Disabilities",452914
"Jacksonville State University","Education",444038
"Jacksonville State University","Individuals with Disabilities",98062
"Jacksonville State University","Science, Engineering, and Mathematics",9892
"Jacksonville University","EDUCATION & TRAINING SERVICES",1560483.06
"Jacksonville University","Nursing and Health Professionals",168841
"Jacksonville University","PROFESSIONAL SERVICES",19030.63
"James H Faulkner State Community College","Education",904079
"James Madison University","Science, Engineering, and Mathematics",1805869
"James Madison University","Healthcare Services",1393750
"James Madison University","Education",1244860
"James Madison University","Criminal Justice and Public Safety",733517
"James Madison University","Addiction and Recovery",640363
"James Sprunt Community College","Regional Development",2031480
"James Sprunt Community College","Education",972551.44
"Jarvis Christian College","Education",2670634
"Jefferson College","Social Wellness and Development",295342
"Jefferson College","Education",282954
"Jefferson College of Health Sciences","Nursing and Health Professionals",346362
"Jefferson Community and Technical College","Education",447960
"Jefferson Community College","Education",353991
"Jefferson Davis Community College","Education",272496
"Jefferson State Community College","Social Wellness and Development",4000
"John A Logan College","Education",301141
"John Brown University","Education",248924.95
"John Brown University","Humanities and the Arts",10000
"John C Calhoun State Community College","Regional Development",1535000
"John Carroll University","Education",637069
"John Carroll University","Nursing and Health Professionals",308179
"John Carroll University","Science, Engineering, and Mathematics",196341
"John Carroll University","Agriculture and Farming",6000
"John F. Kennedy University","Education",523023
"John Tyler Community College","Employment Programs",39918752.78
"John Wood Community College","Education",1005453
"John Wood Community College","Social Wellness and Development",145190
"Johns Hopkins University","Medical R&D",504849765
"Johns Hopkins University","DEFENSE (OTHER) R&D",423714076.13
"Johns Hopkins University","SPACE R&D",274417960.1
"Johns Hopkins University","OTHER R&D",225812261.4
"Johns Hopkins University","DEFENSE SYSTEMS R&D",134813177.75
"Johnson C Smith University","Education",4086049
"Johnson C Smith University","Science, Engineering, and Mathematics",557036
"Johnson C Smith University","Research Support Programs",241495
"Johnson C Smith University","Addiction and Recovery",124623
"Johnson County Community College","Education",295951
"Johnson County Community College","Childcare and Welfare",115653
"Johnson County Community College","Foreign Policy",8000
"Johnston Community College","Education",254356
"Joliet Junior College","Education",1767968
"Joliet Junior College","Childcare and Welfare",138693
"Joliet Junior College","SPECIAL STUDIES - NOT R&D",25000
"Juniata College","Social Wellness and Development",299713
"Juniata College","Science, Engineering, and Mathematics",141992
"Kalamazoo College","Science, Engineering, and Mathematics",844097
"Kalamazoo College","Social Wellness and Development",298698
"Kankakee Community College","Education",1040414
"Kansas City Kansas Community College","Education",242136
"Kansas City University of Medicine and Biosciences","EDUCATION & TRAINING SERVICES",685854.54
"Kansas State University","Humanitarian Assistance",15342771
"Kansas State University","Science, Engineering, and Mathematics",13058671.05
"Kansas State University","Agriculture and Farming R&D",12981482.44
"Kansas State University","Medical R&D",10561480
"Kansas State University","Education",6046949.79
"Kapiolani Community College","Education",2922156
"Kaskaskia College","Education",242136
"Kaskaskia College","Childcare and Welfare",32662
"Kauai Community College","Education",677868
"Kean University","Education",444585
"Kean University","Research Support Programs",242126
"Kean University","Science, Engineering, and Mathematics",8941
"Keck Graduate Institute","Medical R&D (Infectious Diseases)",222112
"Keck Graduate Institute","Medical R&D",186852
"Keene State College","Education",1156775
"Keene State College","Occupational Safety",446387.89
"Keene State College","Medical R&D",416179
"Keene State College","Clean Water Programs",72604
"Keene State College","Public Health",25000
"Kellogg Community College","Education",773938
"Kellogg Community College","OTHER MEDICAL SERVICES",9682.38
"Kennebec Valley Community College","Education",313406
"Kennesaw State University","Education",945465
"Kennesaw State University","Medical R&D",739931
"Kennesaw State University","Science, Engineering, and Mathematics",152843
"Kennesaw State University","Environmental R&D",84160
"Kent State University at Kent","Medical R&D",4673035
"Kent State University at Kent","Science, Engineering, and Mathematics",3913053.49
"Kent State University at Kent","Education",1778784.97
"Kent State University at Kent","Energy Programs",1768000
"Kent State University at Kent","Early Childhood Programs",524738
"Kentucky Community and Technical College System","Regional Development",2561376
"Kentucky Community and Technical College System","Education",275606
"Kentucky Community and Technical College System","Childcare and Welfare",230000
"Kentucky Community and Technical College System","Fire Suppression Assistance Programs",217392
"Kentucky Community and Technical College System","SPECIAL STUDIES - NOT R&D",11334.53
"Kentucky State University","Education",4468850.47
"Kentucky State University","Agriculture and Farming R&D",1415453.61
"Kentucky State University","Social Wellness and Development",302613
"Kentucky Wesleyan College","Education",438177
"Kenyon College","Medical R&D",360340
"Kenyon College","Science, Engineering, and Mathematics",150884
"Kenyon College","Environment",135900
"Kettering University","Science, Engineering, and Mathematics",259411
"Keweenaw Bay Ojibwa Community College","Education",1657395
"Keweenaw Bay Ojibwa Community College","Agriculture and Farming R&D",755000
"Keweenaw Bay Ojibwa Community College","Regional Development",129000
"Kilgore College","Education",917973
"Kirkwood Community College","Education",313406
"Kishwaukee College","Education",556291
"Klamath Community College","Education",517291
"Knox College","Education",483243
"Knox College","Research Support Programs",277405
"Knox College","Science, Engineering, and Mathematics",140026
"Knox College","Humanities and the Arts",10000
"Kutztown University of Pennsylvania","Business",2089974
"Kutztown University of Pennsylvania","Education",596915
"Kutztown University of Pennsylvania","Historic Sites",75000
"Kutztown University of Pennsylvania","Science, Engineering, and Mathematics",65945
"La Salle University","Nursing and Health Professionals",108808
"La Salle University","Addiction and Recovery",101998
"La Sierra University","Education",524813
"Labette Community College","Education",564168.06
"Lac Courte Oreilles Ojibwa Community College","Education",3079630
"Lac Courte Oreilles Ojibwa Community College","Agriculture and Farming R&D",542277.05
"Lac Courte Oreilles Ojibwa Community College","Regional Development",129000
"Lafayette College","Science, Engineering, and Mathematics",145973.12
"Lafayette College","Defense R&D",94297
"Lafayette College","Medical R&D",27980
"Lafayette College","Humanities and the Arts",10000
"Lake Erie College of Osteopathic Medicine","EDUCATION & TRAINING SERVICES",1476902.02
"Lake Erie College of Osteopathic Medicine","Nursing and Health Professionals",778373
"Lake Erie College of Osteopathic Medicine","Addiction and Recovery",146326
"Lake Land College","Education",557999
"Lake Michigan College","Education",1714550.13
"Lake Region State College","Education",272488
"Lake Superior College","Education",672874
"Lake Superior College","EDUCATION & TRAINING SERVICES",80060
"Lake Superior State University","Water Resources",67509
"Lake Superior State University","Environmental R&D",36918
"Lake Tahoe Community College","Education",515663
"Lake Washington Institute of Technology","Education",496252
"Lake-Sumter State College","Education",642653
"Lakeshore Technical College","Education",242136
"Lamar Community College","Education",449748
"Lamar State College-Port Arthur","Regional Development",1600000
"Lamar University","Nursing and Health Professionals",467228
"Lamar University","Regional Development",350000
"Lamar University","Science, Engineering, and Mathematics",325220
"Lamar University","Research Support Programs",239999
"Lamar University","Individuals with Disabilities",223451
"Lander University","Education",246948
"Lane College","Education",3440731
"Lane Community College","Business",1593426
"Lane Community College","Education",1032032
"Lane Community College","Childcare and Welfare",305125
"Lane Community College","Social Wellness and Development",236837.53
"Lane Community College","HIV Programs",105979
"Laney College","Education",289201
"Langston University","Education",5074175.47
"Langston University","Individuals with Disabilities",1175000
"Langston University","Agriculture and Farming R&D",672669.92
"Langston University","Medical R&D",210731
"Lansing Community College","Education",309834
"Laramie County Community College","Education",243763
"Laredo Community College","Education",1814259
"Laredo Community College","UTILITIES",3000
"Las Positas College","Education",1964657.69
"Lawson State Community College-Birmingham Campus","Education",5279150
"Le Moyne College","Education",554809
"Le Moyne College","Nursing and Health Professionals",312500
"Le Moyne College","Early Childhood Programs",18624
"Le Moyne-Owen College","Education",2128953
"Lebanon Valley College","Science, Engineering, and Mathematics",8619
"Lee College","Education",1297883.68
"Lee University","Education",840914
"Lee University","Research Support Programs",242136
"Lee University","Environment",2700
"Leech Lake Tribal College","Education",2237454
"Leech Lake Tribal College","Regional Development",129000
"Leech Lake Tribal College","Agriculture and Farming R&D",125000
"Leech Lake Tribal College","Environment",4200
"Leeward Community College","Education",2563775
"Lehigh Carbon Community College","Education",1457409
"Lehigh Carbon Community College","Transportation",85000
"Lehigh Carbon Community College","Childcare and Welfare",83824
"Lehigh University","Science, Engineering, and Mathematics",11536982.49
"Lehigh University","Medical R&D",4419233
"Lehigh University","Energy Programs",1973892.39
"Lehigh University","Wetland Preservation",1105224
"Lehigh University","Research Support Programs",1042188
"Lesley University","Education",546482
"Lester E Cox Medical Center-School of Medical Technology","Education",235472
"Lester E Cox Medical Center-School of Medical Technology","Healthcare Services",213238
"Lester E Cox Medical Center-School of Medical Technology","MEDICAL, DENTAL, VETERINARY EQUIPMENT",65822.49
"Lester E Cox Medical Center-School of Medical Technology","TRAVEL, LODGING, & RECRUITMENT SERVICES",2091.74
"Lewis & Clark College","Science, Engineering, and Mathematics",553201
"Lewis & Clark College","Social Wellness and Development",297889
"Lewis & Clark College","Energy Programs",128719
"Lewis & Clark College","Information Services and Records Preservation",100000
"Lewis & Clark College","Humanities and the Arts",24983
"Lewis and Clark Community College","Education",601219.34
"Lewis and Clark Community College","Science, Engineering, and Mathematics",377343
"Lewis University","Education",961151
"Lewis-Clark State College","Regional Development",1549008
"Lewis-Clark State College","Education",1020486
"Lewis-Clark State College","Refugee and Entrant Assistance",406775
"Liberty University","EDUCATION & TRAINING SERVICES",486165
"Lincoln College","Education",438543
"Lincoln Land Community College","Education",242136
"Lincoln Land Community College","Childcare and Welfare",141539
"Lincoln Land Community College","PREFAB STRUCTURES & SCAFFOLDING",59200
"Lincoln Memorial University","EDUCATION & TRAINING SERVICES",558850.4
"Lincoln Memorial University","Education",334827
"Lincoln Memorial University","Nursing and Health Professionals",58435
"Lincoln University","Education",10208485.85
"Lincoln University","Agriculture and Farming R&D",1177572.32
"Lincoln University","EDUCATION & TRAINING SERVICES",230224.95
"Lincoln University","Food and Nutrition",136868
"Lincoln University","Humanities and the Arts",74699
"Linfield College","Nursing and Health Professionals",405528
"Linfield College","Science, Engineering, and Mathematics",180677
"Lipscomb University","Nursing and Health Professionals",850845
"Lipscomb University","Individuals with Disabilities",329642
"Lipscomb University","Medical R&D",131828
"Lipscomb University","Science, Engineering, and Mathematics",110000
"Little Big Horn College","Education",3655315
"Little Big Horn College","Tribal Programs",534541
"Little Big Horn College","Regional Development",129000
"Little Big Horn College","Agriculture and Farming R&D",125000
"Little Priest Tribal College","Education",2008203
"Little Priest Tribal College","Regional Development",129000
"Little Priest Tribal College","Agriculture and Farming R&D",125000
"LIU Brooklyn","Medical R&D",1369534
"LIU Post","Education",1175200
"LIU Post","Science, Engineering, and Mathematics",342308
"LIU Post","Childcare and Welfare",254847
"LIU Post","Medical R&D",175294
"Lively Technical Center","Food and Nutrition",50000
"Livingstone College","Education",3493944
"Livingstone College","Historic Sites",500000
"Lock Haven University","Education",313405
"Lock Haven University","Criminal Justice and Public Safety",16500
"Lock Haven University","Environment",7300
