"source","target","value"
"Appalachian State University","Social Wellness and Development",616821
"Appalachian State University","Nursing and Health Professionals",433381
"Aquinas College","Education",812403
"Arcadia University","Science, Engineering, and Mathematics",352500
"Arcadia University","Social Wellness and Development",300000
"Arizona State University-Tempe","Science, Engineering, and Mathematics",72381810.91
"Arizona State University-Tempe","Medical R&D",43195989
"Arizona State University-Tempe","Education",27537580.67
"Arizona State University-Tempe","SPACE R&D",15113750.28
"Arizona State University-Tempe","Humanitarian Assistance",10061825
"Arizona Western College","Education",2051597.79
"Arizona Western College","Refugee and Entrant Assistance",425000
"Arkansas Baptist College","Education",2309826
"Arkansas Colleges of Health Education","Medical R&D",323628
"Arkansas Northeastern College","Education",1219270
"Arkansas State University Mid-South","Education",1162799.61
"Arkansas State University-Beebe","Education",1241246
"Arkansas State University-Main Campus","Education",1897299
"Arkansas State University-Main Campus","Agriculture and Farming R&D",248649.19
"Arkansas State University-Main Campus","Environment",198700
"Arkansas State University-Main Campus","Science, Engineering, and Mathematics",166049
"Arkansas State University-Main Campus","Regional Development",112850
"Arkansas Tech University","Education",1147601
"Arkansas Tech University","Childcare and Welfare",179445
"Arkansas Tech University","Wildlife",53098.14
"Arkansas Tech University","Environment",13437.47
"Armstrong State University","OTHER MEDICAL SERVICES",37722
"Armstrong State University","Education",9872
"Art Center College of Design","Humanities and the Arts",30000
"Asheville-Buncombe Technical Community College","Education",331650
"Ashland Community and Technical College","Education",769094
"Ashland Community and Technical College","Healthcare Services",444533
"Ashland Community and Technical College","Regional Development",141580
"Ashland University","Education",587997
"Ashland University","Nursing and Health Professionals",279313
"Ashtabula County Technical and Career Campus","Education",49544
"Asnuntuck Community College","Social Wellness and Development",749510
"Assumption College","Employment Programs",200000
"Atlanta Metropolitan State College","Education",1935573.37
"Atlanta Metropolitan State College","Information Services and Records Preservation",160447
"Atlantic Cape Community College","Education",546516
"Auburn Career Center","Education",40468
"Auburn University","Science, Engineering, and Mathematics",9537458.64
"Auburn University","Agriculture and Farming R&D",6370369.72
"Auburn University","Medical R&D",4990717
"Auburn University","Energy Programs",4784652
"Auburn University","Research Support Programs",3765105
"Auburn University at Montgomery","Science, Engineering, and Mathematics",219877
"Auburn University at Montgomery","EDUCATION & TRAINING SERVICES",36900
"Augsburg College","Science, Engineering, and Mathematics",749078
"Augsburg College","Education",272494
"Augsburg College","Research Support Programs",242133
"Augusta Technical College","Education",591493
"Augusta University","Medical R&D",42349878
"Augusta University","Addiction and Recovery",4008174
"Augusta University","GENERAL HEALTH CARE SERVICES",3508032
"Augusta University","Nursing and Health Professionals",3002218
"Augusta University","HIV Programs",1120091
"Augustana College","Science, Engineering, and Mathematics",241819
"Augustana University","Social Wellness and Development",296065
"Augustana University","Science, Engineering, and Mathematics",110948
"Austin College","Education",944147
"Austin College","Childcare and Welfare",307901
"Austin College","EDUCATION & TRAINING SERVICES",60246
"Austin College","Humanities and the Arts",50000
"Austin College","Science, Engineering, and Mathematics",6900
"Austin Peay State University","Education",1257736.11
"Austin Peay State University","Science, Engineering, and Mathematics",62642
