"cluster_final","coc_number","coc_name","Total_Year_Round_Beds","density","weighted_income","weighted_estimate_median_gross_rent","rent_pct_income","land_area","estimated_pop_2018","total_homeless","homeless_individuals","homeless_people_in_families","CoC_program_funding","Other_program_funding"
"3","LA-509","Louisiana Balance of State CoC",694,99.10037391,12385.66667,873.3333333,0.846139354370337,11165.75,768740,575,526,49,16862632.68,333426.41
"3","CA-513","Visalia, Kings, Tulare Counties CoC",459,97.53236031,12086.5,994,0.98688619534191,6213.63,617227,967,823,144,3947020.46,0
"3","KY-500","Kentucky Balance of State CoC",1624,86.05209641,14971.09091,825.7272727,0.661857397832073,38822.25,1110384,2077,1452,625,7271847.94,2889944.24
"3","MI-500","Michigan Balance of State CoC",1451,58.36619777,14165.9,749.1,0.634566105930439,40991.62,999499,1343,719,624,701499.12,0
"3","AL-507","Alabama Balance of State CoC",461,47.01851256,9063.833333,682.5,0.903591195811323,31646.62,591753,730,523,207,NA,NA
"3","MO-606","Missouri Balance of State CoC",1545,46.94834248,16729.88889,818.8888889,0.587371902551829,61595.87,1184567,1345,872,473,14024980.33,2363172.17
"3","IA-501","Iowa Balance of State CoC",2295,45.8767875,13832.71429,847.1428571,0.73490379921669,53443.28,967999,1721,927,794,4429716.56,-9866.56
"3","ME-500","Maine Balance of State CoC",2457,40.94898957,12871,814,0.758915391189496,30842.91,947755,2516,1450,1066,6823239.94,2097912
"3","OR-505","Oregon Balance of State CoC",2575,18.74663846,12720,937.2222222,0.884171907735849,77847.45,1101385,6392,4419,1973,2448631.61,2020821.4
"3","CO-500","Colorado Balance of State CoC",1748,17.35209116,14282.25,1012,0.850286194402142,97032.57,985559,3989,2546,1443,790758,449513
"3","AZ-500","Arizona Balance of State CoC",1052,17.19087407,10673.375,852.125,0.958038108845609,95206.91,1552696,2187,1638,549,0,96887
"3","UT-503","Utah Balance of State CoC",886,16.03668137,18805.6,935.8,0.597141277066406,76376.65,976747,899,605,294,1560774.33,0
"3","ID-501","Idaho Balance of State",920,14.82628628,14129.4,829,0.704063866830863,81590.56,675077,1256,684,572,NA,NA
"3","NM-501","New Mexico Balance of State CoC",992,12.57853783,11101.625,892.375,0.96458851744677,121110.42,1376516,1211,834,377,4314862.88,881063.45
"3","TX-607","Texas Balance of State (BoS) CoC",4643,48.64244006,13932.975,963.05,0.829442383984755,226055.58,8484825,7638,5767,1871,5313719.25,3933128.6
"4","VA-603","City of Alexandria CoC",213,10078.04391,22915,1736,0.909098843552258,15.03,160530,226,142,84,393262.72,0
"4","VA-600","Arlington County CoC",214,8569.503039,29066,1924,0.794330145186816,27.97,237521,221,144,77,1897304.54,-101552
"4","NJ-515","Elizabeth/Union County CoC",344,5351.832766,18891,1306,0.829601397490869,102.85,558067,478,209,269,3487925.19,530705.83
"4","MO-501","St.Louis City CoC",1338,5104.668067,6504,830,1.53136531365314,61.91,302838,949,619,330,4952938.28,1506509.9
"4","MN-501","Saint Paul/Ramsey County CoC",1487,3492.070166,14410,981,0.816932685634976,152.21,550210,1424,886,538,9465125.95,2735814.51
"4","PA-502","Upper Darby/Chester/Haverford/Delaware County CoC",436,3058.724978,17070,1026,0.721265377855888,183.84,564751,414,234,180,3327605.4,306369
"4","VA-507","Portsmouth CoC",84,2855.007429,10723,1057,1.18287792595356,33.65,94632,135,84,51,921761.4,0
"4","NJ-511","Paterson/Passaic County CoC",526,2747.732813,14745,1281,1.04252288911495,184.59,503310,434,284,150,2298600.96,-87838.82
"4","NY-606","Rockland County CoC",88,1859.072313,17267,1469,1.0209069322986,173.55,325695,180,145,35,4182451.1,187005.03
"4","VA-503","Virginia Beach CoC",248,1806.011565,19530,1344,0.825806451612903,249.02,450189,243,198,45,956077.56,318214
"4","NJ-514","Trenton/Mercer County CoC",402,1652.569469,14828,1264,1.02292959266253,224.56,369811,479,337,142,7197265.94,6386119.25
"4","VA-604","Prince William County CoC",356,1435.182478,30709,1658,0.647888241232212,348.81,468011,374,192,182,396062,212529
"4","MD-503","Annapolis/Anne Arundel County CoC",173,1349.088937,25336,1595,0.755446795074203,414.9,576031,366,266,100,1576005.97,2352351.28
"4","OH-506","Akron/Barberton/Summit County CoC",477,1311.622047,13790,795,0.691805656272661,412.75,541918,587,462,125,3705151.54,515116
"4","OH-501","Toledo/Lucas County CoC",823,1275.597019,8893,743,1.00258630383448,340.86,429899,662,403,259,3502913.81,629581.82
"4","IA-502","Des Moines/Polk County CoC",670,1251.296679,18009,883,0.588372480426453,590.74,487204,764,612,152,6917384.73,3238950
