source,target,value,type
Family and Community Violence Prevention Program,Kentucky State University,302613,grant
Family and Community Violence Prevention Program,University of Kansas,275000,grant
Family Planning Personnel Training,University of Missouri-Kansas City,892000,grant
Family Planning Services,University of Puerto Rico-Medical Sciences,2488000,grant
Family Smoking Prevention and Tobacco Control Act Regulatory Research,Wake Forest University,8867028,research
Family Smoking Prevention and Tobacco Control Act Regulatory Research,Yale University,4513811,research
Family Smoking Prevention and Tobacco Control Act Regulatory Research,Virginia Commonwealth University,4042188,research
Family Smoking Prevention and Tobacco Control Act Regulatory Research,University of Vermont,3900499,research
Family Smoking Prevention and Tobacco Control Act Regulatory Research,University of Michigan-Ann Arbor,3603351,research
Family to Family Health Information Centers,University of Minnesota-Twin Cities,281250,grant
Family to Family Health Information Centers,University of California-Los Angeles,281227,grant
Family to Family Health Information Centers,The University of Tennessee-Knoxville,247672,grant
Family to Family Health Information Centers,Baylor College of Medicine,225000,grant
Family to Family Health Information Centers,Tulane University of Louisiana,224996,grant
Family Violence Prevention and Services/Discretionary,Boston University,466041,grant
Farm Business Management and Benchmarking Competitive Grants Program,Colorado State University-Fort Collins,452330,research
Farm Business Management and Benchmarking Competitive Grants Program,University of Nebraska-Lincoln,428272,research
Farm Business Management and Benchmarking Competitive Grants Program,Clemson University,399106,research
Farm Business Management and Benchmarking Competitive Grants Program,University of Minnesota-Twin Cities,388693,research
Farm Business Management and Benchmarking Competitive Grants Program,University of New Hampshire-Main Campus,250474,research
Farm to School Grant Program,Suncoast Technical College,100000,grant
Farm to School Grant Program,Lively Technical Center,50000,grant
Federal and State Technology Partnership Program,Louisiana State University,125000,grant
Federal and State Technology Partnership Program,Montana State University,125000,grant
Federal and State Technology Partnership Program,University of Nebraska at Omaha,125000,grant
Federal and State Technology Partnership Program,University of Oklahoma-Norman Campus,125000,grant
Federal and State Technology Partnership Program,University of South Carolina-Beaufort,125000,grant
Federal Lands Access Program,Virginia Military Institute,1000000,grant
Federal Lands Access Program,University of Oregon,186481,grant
Federal Lands Access Program,Eastern Washington University,166594.74,grant
Federal Lands Access Program,Montana State University,110204.28,grant
Federal Lands Access Program,Oregon Health & Science University,32010,grant
Federal Oil and Gas Royalty Management State and Tribal Coordination,University of California-Berkeley,1377410,grant
Federal Transit Capital Investment Grants,Pennsylvania State University,3000000,grant
Federal Transit Formula Grants,University of Iowa,1185941,grant
Federal Transit Formula Grants,University of New Hampshire-Main Campus,575046,grant
Federal-State Marketing Improvement Program,University of Delaware,87261,grant
FINANCIAL SERVICES,University of Chicago,71523,contract
Fish and Wildlife Coordination Act,University of New Mexico-Main Campus,473541,grant
Fish and Wildlife Coordination Act,Kansas State University,396462.03,grant
Fish and Wildlife Coordination Act,Wayne State University,389940.42,grant
Fish and Wildlife Coordination Act,University of California-Merced,234981.09,grant
Fish and Wildlife Coordination Act,University of Washington,170565,grant
Fish and Wildlife Coordination and Assistance ,Oregon State University,86500,grant
Fish and Wildlife Coordination and Assistance ,Arkansas Tech University,53098.14,grant
Fish and Wildlife Coordination and Assistance ,Montana State University,48283,grant
Fish and Wildlife Coordination and Assistance ,Virginia Polytechnic Institute and State University,35000,grant
Fish and Wildlife Management Assistance,Central Michigan University,247934,grant
Fish and Wildlife Management Assistance,University of Alaska Anchorage,206809,grant
Fish and Wildlife Management Assistance,Colorado State University-Fort Collins,173577.4,grant
Fish and Wildlife Management Assistance,University of Wisconsin-Stevens Point,115477.11,grant
Fish and Wildlife Management Assistance,Iowa State University,99992.13,grant
"Fish, Wildlife and Plant Conservation Resource Management",Utah State University,911555.75,grant
"Fish, Wildlife and Plant Conservation Resource Management",University of Idaho,469000,grant
"Fish, Wildlife and Plant Conservation Resource Management",University of Nevada-Reno,284085.14,grant
"Fish, Wildlife and Plant Conservation Resource Management",University of Wyoming,233721.75,grant
"Fish, Wildlife and Plant Conservation Resource Management",Oregon State University,167000,grant
Fisheries and Aquatic Resources Management,Utah State University,45000,grant
Fisheries and Aquatic Resources Management,Portland State University,21129.7,grant
Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program,College of William and Mary,543960,grant
Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program,University of Maine,488154,grant
Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program,University of Alaska Fairbanks,401138,grant
Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program,University of Rhode Island,300000,grant
Fisheries Development and Utilization Research and Development Grants and Cooperative Agreements Program,University of Illinois at Chicago,299990,grant
Flood Mitigation Assistance,Louisiana State University,20000,grant
Flood Mitigation Assistance,Madison Area Technical College,20000,grant
Flood Mitigation Assistance,Montana State University,20000,grant
Flood Mitigation Assistance,Oklahoma State University,20000,grant
Flood Mitigation Assistance,Southern Arkansas University Tech,20000,grant
FNS Food Safety Grants,Kansas State University,646366,research
Food and Agriculture Service Learning Program ,Universidad Metropolitana,427662,grant
Food and Agriculture Service Learning Program ,University of Minnesota-Twin Cities,225000,grant
Food and Drug Administration Research,Illinois Institute of Technology,5355563,research
Food and Drug Administration Research,Duke University,5270574,research
Food and Drug Administration Research,University of Maryland-College Park,3774664,research
Food and Drug Administration Research,"University of Maryland, Baltimore",3651191,research
Food and Drug Administration Research,University of California-San Francisco,3605434,research
Food Distribution Program on Indian Reservations,Eastern Washington University,99965,grant
Food Insecurity Nutrition Incentive Grants Program ,South Dakota State University,82223,grant
Food Safety and Security Monitoring Project,University of California-Davis,336000,grant
Food Safety and Security Monitoring Project,University of Iowa,336000,grant
Food Safety and Security Monitoring Project,University of Wisconsin-Madison,240000,grant
Food Safety and Security Monitoring Project,New Mexico State University-Main Campus,213996,grant
Food Safety Cooperative Agreements,University of Iowa,255200,grant
Food Safety Cooperative Agreements,University of Minnesota-Twin Cities,240000,grant
Food Safety Cooperative Agreements,Mississippi State University,89500,grant
Food Safety Cooperative Agreements,Louisiana State University,83000,grant
Food Safety Cooperative Agreements,South Dakota State University,83000,grant
Foreign Assistance to American Schools and Hospitals Abroad (ASHA),Washington University in St Louis,1100000,grant
Foreign Assistance to American Schools and Hospitals Abroad (ASHA),Baylor University,900000,grant
Foreign Assistance to American Schools and Hospitals Abroad (ASHA),University of Utah,750000,grant
Foreign Assistance to American Schools and Hospitals Abroad (ASHA),Worcester Polytechnic Institute,650100,grant
Foreign Assistance to American Schools and Hospitals Abroad (ASHA),Boston University,500000,grant
Forest Health Protection,Virginia Polytechnic Institute and State University,947489.9,grant
Forest Health Protection,Texas A & M University-College Station,432750.99,grant
Forest Health Protection,Michigan State University,394260,grant
Forest Health Protection,Northern Arizona University,360000,grant
Forest Health Protection,University of Georgia,209234,grant
Forest Legacy Program,Texas A & M University-College Station,27000,grant
Forest Legacy Program,University of Nebraska-Lincoln,25000,grant
Forest Legacy Program,Colorado State University-Fort Collins,20000,grant
Forest Stewardship Program,Pennsylvania State University,131918,grant
Forest Stewardship Program,The University of Tennessee-Knoxville,105000,grant
Forest Stewardship Program,University of Nebraska-Lincoln,68671.29,grant
Forest Stewardship Program,University of Georgia,50000,grant
Forest Stewardship Program,University of Puerto Rico-Rio Piedras,49995,grant
FOREST TREE PLANTING SERVICES,Texas A & M University-College Station,5000,contract
Forestry Research,University of California-Berkeley,339426,grant
Forestry Research,Alabama A & M University,200000,grant
Forestry Research,Florida Agricultural and Mechanical University,138284.86,grant
Forestry Research,University of Florida,118519.52,grant
Forestry Research,Louisiana State University,106423.96,grant
Forests and Woodlands Resource Management,Colorado State University-Fort Collins,20000,grant
Forests and Woodlands Resource Management,Oregon State University,11992.63,grant
Formula Grants for Rural Areas,Sitting Bull College,1431394,grant
Fossil Energy Research and Development,The University of Texas at Austin,21044467.11,grant
Fossil Energy Research and Development,University of North Dakota,14843444.53,grant
Fossil Energy Research and Development,University of Kentucky,11141177,grant
Fossil Energy Research and Development,University of Wyoming,9762949.14,grant
Fossil Energy Research and Development,Virginia Polytechnic Institute and State University,9565571.96,grant
Foster Care Title IV-E,University of Denver,4250000,grant
Foster Grandparent Program,Northern Arizona University,742599.13,grant
Foster Grandparent Program,University of Louisiana at Monroe,557752,grant
Foster Grandparent Program,Pepperdine University,483721,grant
Foster Grandparent Program,Appalachian State University,375396,grant
Foster Grandparent Program,Southwestern Illinois College,313527,grant
Fund for the Improvement of Education,Berea College,15704627,grant
Fund for the Improvement of Education,Drexel University,8703805,grant
Fund for the Improvement of Education,California State University-East Bay,6421112,grant
Fund for the Improvement of Education,"University of Maryland, Baltimore",5906684,grant
Fund for the Improvement of Education,Florida Panhandle Technical College,726495,grant
Fund for the Improvement of Postsecondary Education,University of California-Davis,4949843,grant
Fund for the Improvement of Postsecondary Education,Rose State College,187793,grant
Fund for the Improvement of Postsecondary Education,Whatcom Community College,100000,grant
Fund for the Improvement of Postsecondary Education,Suffolk County Community College,99990,grant
Fund for the Improvement of Postsecondary Education,Forsyth Technical Community College,99830,grant
Gaining Early Awareness and Readiness for Undergraduate Programs,Berea College,25674254,grant
Gaining Early Awareness and Readiness for Undergraduate Programs,University of Washington,10007054,grant
Gaining Early Awareness and Readiness for Undergraduate Programs,University of Oklahoma-Norman Campus,9775200,grant
Gaining Early Awareness and Readiness for Undergraduate Programs,Utah State University,8932651,grant
Gaining Early Awareness and Readiness for Undergraduate Programs,The University of Texas at Austin,8524654,grant
Gap Analysis ,Boise State University,626907.74,grant
Gap Analysis ,Michigan State University,150000,grant
GASES: COMPRESSED AND LIQUEFIED,University of Arizona,4500,contract
General Department of State Assistance,Ohio College of Massotherapy Inc,3266968,grant
GENERAL HEALTH CARE SERVICES,University of Massachusetts Medical School Worcester,40011291.73,contract
GENERAL HEALTH CARE SERVICES,Icahn School of Medicine at Mount Sinai,27502000.46,contract
GENERAL HEALTH CARE SERVICES,University of North Texas Health Science Center,18476372.24,contract
GENERAL HEALTH CARE SERVICES,Stony Brook University,15268763.49,contract
GENERAL HEALTH CARE SERVICES,Mayo Clinic School of Medicine,11480878.2,contract
General Research and Technology Activity,Johns Hopkins University,1694734.99,grant
General Research and Technology Activity,Temple University,308660,grant
General Research and Technology Activity,University of North Carolina at Chapel Hill,259623,grant
General Research and Technology Activity,West Virginia University,112500,grant
General Research and Technology Activity,University of New Hampshire-Main Campus,73039,grant
Geodetic Surveys and Services (Geodesy and Applications of the National Geodetic Reference System),University of New Hampshire-Main Campus,7223435,grant
Geodetic Surveys and Services (Geodesy and Applications of the National Geodetic Reference System),University of Southern Mississippi,3857692,grant
Geosciences,Oregon State University,103048735,research
Geosciences,Texas A & M University-College Station,71294788,research
Geosciences,Columbia University in the City of New York,39749097,research
Geosciences,University of California-San Diego,36045171,research
Geosciences,University of Colorado Boulder,25702377,research
Global AIDS,Columbia University in the City of New York,165116411,grant
Global AIDS,"University of Maryland, Baltimore",82779273,grant
Global AIDS,University of Washington,30708365,grant
Global AIDS,University of California-San Francisco,9265722,grant
Global AIDS,Johns Hopkins University,8172149,grant
Global Development Alliance,Washington State University,400000,grant
Good Neighbor Authority ,Colorado State University-Fort Collins,379145.12,grant
Good Neighbor Authority ,University of Nebraska-Lincoln,132630,grant
Graduate Assistance in Areas of National Need,University of California-Riverside,1791000,grant
Graduate Assistance in Areas of National Need,University of Colorado Boulder,1641750,grant
Graduate Assistance in Areas of National Need,University of Missouri-Columbia,1441497.02,grant
Graduate Assistance in Areas of National Need,University of California-Irvine,1325690,grant
Graduate Assistance in Areas of National Need,University of Connecticut,1231555.61,grant
Graduate Psychology Education,William James College,350000,grant
Graduate Psychology Education,University of Oklahoma-Health Sciences Center,349999,grant
Graduate Psychology Education,Georgia State University,349966,grant
Graduate Psychology Education,Florida Institute of Technology,349035,grant
Graduate Psychology Education,University of Nebraska Medical Center,347506,grant
"Grants for Agricultural Research, Special Research Grants",Rutgers University-New Brunswick,3819956,research
"Grants for Agricultural Research, Special Research Grants",University of California-Davis,3151975.27,research
"Grants for Agricultural Research, Special Research Grants",Michigan State University,2652110.32,research
"Grants for Agricultural Research, Special Research Grants",Kansas State University,2329595,research
"Grants for Agricultural Research, Special Research Grants",University of Florida,2150913,research
"Grants for Education, Prevention, and Early Detection of Radiogenic Cancers and Diseases",University of New Mexico-Main Campus,242524,grant
"Grants for Education, Prevention, and Early Detection of Radiogenic Cancers and Diseases",University of Nevada-Las Vegas,195866,grant
Grants for New and Expanded Services under the Health Center Program,University of Illinois at Chicago,3946460,grant
Grants for New and Expanded Services under the Health Center Program,Rutgers University-New Brunswick,3479531,grant
Grants for New and Expanded Services under the Health Center Program,Eastern Kentucky University,3400321,grant
Grants for New and Expanded Services under the Health Center Program,Southern Illinois University-Carbondale,3307115,grant
Grants for New and Expanded Services under the Health Center Program,Texas Tech University Health Sciences Center,3250979,grant
Grants for Primary Care Training and Enhancement,Boston University,2202146,grant
Grants for Primary Care Training and Enhancement,Meharry Medical College,1672234,grant
Grants for Primary Care Training and Enhancement,Columbia University in the City of New York,1418561,grant
Grants for Primary Care Training and Enhancement,University of California-Davis,1396774,grant
Grants for Primary Care Training and Enhancement,Harvard University,1375427,grant
Grants to Increase Organ Donations,University of Arizona,2744196,grant
Grants to Increase Organ Donations,University of California-Los Angeles,847595,grant
Grants to Increase Organ Donations,Temple University,451135,grant
Grants to Increase Organ Donations,Claremont Graduate University,384049,grant
Grants to Increase Organ Donations,University of Pittsburgh-Pittsburgh Campus,343001,grant
Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,Rutgers University-New Brunswick,1711414,grant
Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,University of Alabama at Birmingham,1507775,grant
Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,SUNY Downstate Medical Center,1277936,grant
Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,Augusta University,1074903,grant
Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,Albany Medical College,1005043,grant
"Grants to Reduce Domestic Violence, Dating Violence, Sexual Assault, and Stalking on Campus",Southwestern College,750000,grant
"Grants to Reduce Domestic Violence, Dating Violence, Sexual Assault, and Stalking on Campus",Asnuntuck Community College,749510,grant
"Grants to Reduce Domestic Violence, Dating Violence, Sexual Assault, and Stalking on Campus",Indian Hills Community College,599885,grant
"Grants to Reduce Domestic Violence, Dating Violence, Sexual Assault, and Stalking on Campus",St John's University-New York,599878,grant
"Grants to Reduce Domestic Violence, Dating Violence, Sexual Assault, and Stalking on Campus",Edmonds Community College,550000,grant
Grants to States,University of Georgia,4638552,grant
Grants to States,Thomas Edison State University,4098162,grant
Grants to States for Operation of State Offices of Rural Health,Montana State University,179270,grant
Grants to States for Operation of State Offices of Rural Health,Northwestern Connecticut Community College,179270,grant
Grants to States for Operation of State Offices of Rural Health,Oklahoma State University,179270,grant
Grants to States for Operation of State Offices of Rural Health,Pennsylvania State University,179270,grant
Grants to States for Operation of State Offices of Rural Health,University of Arizona,179270,grant
Grants to States to Support Oral Health Workforce Activities,Vermont Technical College,400000,grant
Grants to States to Support Oral Health Workforce Activities,Texas A & M University-College Station,399944,grant
Grants to States to Support Oral Health Workforce Activities,Indiana University-Bloomington,397150,grant
Grants to States to Support Oral Health Workforce Activities,Medical University of South Carolina,384234,grant
Grants to States to Support Oral Health Workforce Activities,Augusta University,273029,grant
Great Apes Conservation Fund,Ball State University,92215,grant
Great Apes Conservation Fund,Drexel University,90203.4,grant
Great Apes Conservation Fund,Bucknell University,59900,grant
Great Lakes Program,Central Michigan University,2044703,grant
Great Lakes Program,Clarkson University,2000000,grant
Great Lakes Program,Cornell University,2000000,grant
Great Lakes Program,University of Minnesota-Twin Cities,650000,grant
Great Lakes Restoration,Pennsylvania State University,789525,grant
Great Lakes Restoration,Michigan State University,458250.89,grant
Great Lakes Restoration,Calvin College,210000,grant
Great Lakes Restoration,SUNY College of Environmental Science and Forestry,206580.34,grant
Great Lakes Restoration,Saint Cloud State University,153586,grant
"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring, and Technology ",University of Southern Mississippi,1652661,grant
"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring, and Technology ",University of Florida,599929,grant
"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring, and Technology ",Lehigh University,307098,grant
"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring, and Technology ",Troy University,271117,grant
"Gulf Coast Ecosystem Restoration Science, Observation, Monitoring, and Technology ",Florida International University,198393,grant
Gulf of Mexico Program,University of Florida,560611,grant
Gulf of Mexico Program,Mississippi State University,324893,grant
Gulf of Mexico Program,The University of Alabama,299215,grant
Gulf of Mexico Program,New College of Florida,294198,grant
Gulf of Mexico Program,The University of Texas at Austin,150000,grant
Habitat Conservation,University of North Carolina Wilmington,46727,research
Harold Rogers Prescription Drug Monitoring Program,University of Kentucky,999457.88,grant
Harold Rogers Prescription Drug Monitoring Program,University of California-Davis,999175,grant
Harold Rogers Prescription Drug Monitoring Program,The University of Alabama,997971,grant
Head Start,Teachers College of San Joaquin,20446452,grant
Head Start,Education and Technology Institute,14378431,grant
Head Start,Southern Illinois University-Edwardsville,12046610,grant
Head Start,Fort Valley State University,9242062,grant
Head Start,Mt Hood Community College,9047587,grant
"HEADSETS, HANDSETS, MICROPHONES AND SPEAKERS",University of Washington,350,contract
Health Careers Opportunity Program,Mount Wachusett Community College,640000,grant
Health Careers Opportunity Program,University of Hawaii at Manoa,640000,grant
Health Careers Opportunity Program,University of Indianapolis,640000,grant
Health Careers Opportunity Program,Morehouse School of Medicine,639999,grant
Health Careers Opportunity Program,University of Arizona,639968,grant
Health Professions Recruitment Program for Indians,University of North Dakota,1278132,grant
Health Professions Recruitment Program for Indians,California State University-San Marcos,337341,grant
Health Professions Recruitment Program for Indians,Montana State University,337341,grant
Health Professions Recruitment Program for Indians,Salish Kootenai College,337341,grant
Health Professions Recruitment Program for Indians,University of New Mexico-Main Campus,337341,grant
"Health Professions Student Loans, Including Primary Care Loans/Loans for Disadvantaged Students",Midwestern University-Glendale,8759064,grant
"Health Professions Student Loans, Including Primary Care Loans/Loans for Disadvantaged Students",University of Washington,1638294,grant
"Health Professions Student Loans, Including Primary Care Loans/Loans for Disadvantaged Students",MCPHS University,1337861,grant
"Health Professions Student Loans, Including Primary Care Loans/Loans for Disadvantaged Students",University of Arizona,1252349,grant
"Health Professions Student Loans, Including Primary Care Loans/Loans for Disadvantaged Students",University of Michigan-Ann Arbor,913872,grant
HEALTH SERVICES (BASIC),Johns Hopkins University,9770095.44,contract
HEALTH SERVICES (BASIC),University of North Carolina at Chapel Hill,3219822,contract
HEALTH SERVICES (BASIC),University of Colorado Denver/Anschutz Medical Campus,1408195,contract
HEALTH SERVICES (BASIC),Harvard University,892006.2,contract
HEALTH SERVICES (BASIC),The University of Texas Health Science Center at San Antonio,868108.6,contract
HEALTH SERVICES (OPERATIONAL),Wayne State University,344000,contract
"Health Systems Strengthening and HIV/AIDS Prevention, Care and Treatment under the President's Emergency Plan for AIDS Relief ",University of Washington,25916277,grant
"Health Systems Strengthening and HIV/AIDS Prevention, Care and Treatment under the President's Emergency Plan for AIDS Relief ",Columbia University in the City of New York,4938879,grant
"Health Systems Strengthening and HIV/AIDS Prevention, Care and Treatment under the President's Emergency Plan for AIDS Relief ",University of California-San Francisco,3320737,grant
"Health Systems Strengthening and HIV/AIDS Prevention, Care and Treatment under the President's Emergency Plan for AIDS Relief ",Harvard University,2000000,grant
Healthy Communities Access Program,University of Alabama at Birmingham,149730,grant
Healthy Communities Grant Program,Keene State College,25000,grant
Healthy Marriage Promotion and Responsible Fatherhood Grants,University of Missouri-Columbia,2166954,grant
Healthy Marriage Promotion and Responsible Fatherhood Grants,Auburn University,1999874,grant
Healthy Marriage Promotion and Responsible Fatherhood Grants,University of Central Florida,1925524,grant
Healthy Marriage Promotion and Responsible Fatherhood Grants,University of Georgia,1659362,grant
Healthy Marriage Promotion and Responsible Fatherhood Grants,Utah State University,1574870,grant
Healthy Start Initiative,Tougaloo College,1139160,grant
Healthy Start Initiative,University of North Carolina at Pembroke,721973,grant
Healthy Start Initiative,University of Miami,711975,grant
Healthy Start Initiative,West Virginia University,711975,grant
Healthy Start Initiative,Yeshiva University,711812,grant
High Intensity Drug Trafficking Areas Program,Mercyhurst University,8067680.12,grant
High Intensity Drug Trafficking Areas Program,George Mason University,7022349.67,grant
High Intensity Drug Trafficking Areas Program,University of Baltimore,4396802.2,grant
High Intensity Drug Trafficking Areas Program,University of Wisconsin-Milwaukee,1576302.63,grant
High Intensity Drug Trafficking Areas Program,American University of Puerto Rico,1343569.49,grant
Higher Education - Institution Challenge Grants Program,SUNY Oneonta,747525,grant
Higher Education - Institution Challenge Grants Program,University of Wisconsin-Madison,746744,grant
Higher Education - Institution Challenge Grants Program,Montana State University,719578,grant
Higher Education - Institution Challenge Grants Program,Potomac State College of West Virginia University,497266,grant
Higher Education - Institution Challenge Grants Program,West Virginia University,497266,grant
Higher Education - Multicultural Scholars Grant Program,Michigan State University,333000,grant
Higher Education - Multicultural Scholars Grant Program,Oregon State University,200000,grant
Higher Education - Multicultural Scholars Grant Program,University of Hawaii at Manoa,200000,grant
Higher Education - Multicultural Scholars Grant Program,Virginia Polytechnic Institute and State University,164000,grant
Higher Education - Multicultural Scholars Grant Program,Ohio State University,44000,grant
Higher Education Graduate Fellowships Grant Program,University of California-Davis,262500,research
Higher Education Institutional Aid,Florida Agricultural and Mechanical University,14039015,grant
Higher Education Institutional Aid,Morehouse School of Medicine,12901666.96,grant
Higher Education Institutional Aid,Texas Southern University,11984363,grant
Higher Education Institutional Aid,North Carolina A & T State University,11592657,grant
Higher Education Institutional Aid,Tennessee State University,10968014,grant
Highway Research and Development Program,University of North Carolina at Chapel Hill,2190000,grant
Highway Research and Development Program,University of Nevada-Reno,1400000,grant
Highway Research and Development Program,Montana State University,965428.83,grant
Highway Research and Development Program,University of Michigan-Ann Arbor,721669,grant
Highway Research and Development Program,Texas A & M University-College Station,274232.98,grant
Highway Training and Education,Iowa State University,255400,grant
Highway Training and Education,Georgia Institute of Technology-Main Campus,147700,grant
Highway Training and Education,University of Arkansas,86000,grant
Highway Training and Education,Portland State University,57000,grant
Highway Training and Education,Kansas State University,48400,grant
Hispanic Serving Institutions Education Grants,The University of Texas at El Paso,2491879.83,grant
Hispanic Serving Institutions Education Grants,The University of Texas Rio Grande Valley,1116681.83,grant
Hispanic Serving Institutions Education Grants,University of Puerto Rico-Mayaguez,774868,grant
Hispanic Serving Institutions Education Grants,Florida International University,750000,grant
Hispanic Serving Institutions Education Grants,Texas A & M University-Kingsville,750000,grant
Historic Preservation Fund Grants-In-Aid,Benedict College,500000,grant
Historic Preservation Fund Grants-In-Aid,Clark Atlanta University,500000,grant
Historic Preservation Fund Grants-In-Aid,Delaware State University,500000,grant
Historic Preservation Fund Grants-In-Aid,Hampton University,500000,grant
Historic Preservation Fund Grants-In-Aid,Howard University,500000,grant
"HIV Demonstration, Research, Public and Professional Education Projects",Emory University-Oxford College,2397378,grant
"HIV Demonstration, Research, Public and Professional Education Projects",University of Washington,1067000,grant
"HIV Demonstration, Research, Public and Professional Education Projects",University of Florida,827219,grant
"HIV Demonstration, Research, Public and Professional Education Projects",Wake Forest University,600000,grant
"HIV Demonstration, Research, Public and Professional Education Projects",Brown University,516026,grant
HIV Emergency Relief Project Grants,Rutgers University-New Brunswick,4300000,grant
HIV Emergency Relief Project Grants,Boston University,3087834,grant
HIV Emergency Relief Project Grants,Yale University,2666966,grant
HIV Emergency Relief Project Grants,The University of Texas Health Science Center at San Antonio,2142377,grant
HIV Emergency Relief Project Grants,University of California-San Francisco,1149950,grant
HIV Prevention Activities Health Department Based,Georgetown University,399986,grant
HIV Prevention Activities Non-Governmental Organization Based,University of Missouri-Kansas City,1246545,grant
HIV Prevention Activities Non-Governmental Organization Based,University of Rochester,1100000,grant
HIV Prevention Activities Non-Governmental Organization Based,University of California-San Francisco,1010000,grant
HIV Prevention Activities Non-Governmental Organization Based,University of Washington,1000000,grant
HIV Prevention Activities Non-Governmental Organization Based,University of Nebraska Medical Center,400000,grant
HIV-Related Training and Technical Assistance,University of California-San Francisco,5993278,grant
HIV-Related Training and Technical Assistance,Vanderbilt University,4324242,grant
HIV-Related Training and Technical Assistance,Columbia University in the City of New York,3954962,grant
HIV-Related Training and Technical Assistance,University of Illinois at Chicago,3828212,grant
HIV-Related Training and Technical Assistance,University of Washington,3248998,grant
Homeland Security Agricultural,Cornell University,1266546.4,grant
Homeland Security Agricultural,Purdue University-Main Campus,999451,grant
Homeland Security Agricultural,Michigan State University,888043,grant
Homeland Security Agricultural,University of California-Davis,867981.37,grant
Homeland Security Agricultural,Kansas State University,539983,grant
Homeland Security Preparedness Technical Assistance Program,Texas A & M University-College Station,25000000,grant
Homeland Security Preparedness Technical Assistance Program,Louisiana State University,22000000,grant
Homeland Security Preparedness Technical Assistance Program,New Mexico Institute of Mining and Technology,22000000,grant
Homeland Security Preparedness Technical Assistance Program,University of Hawaii at Manoa,5000000,grant
"Homeland Security Research, Development, Testing, Evaluation, and Demonstration of Technologies Related to Nuclear Threat Detection",Carnegie Mellon University,749247,research
"Homeland Security Research, Development, Testing, Evaluation, and Demonstration of Technologies Related to Nuclear Threat Detection",The University of Tennessee-Knoxville,341989.42,research
"Homeland Security Research, Development, Testing, Evaluation, and Demonstration of Technologies Related to Nuclear Threat Detection",Northwestern University,315000,research
"Homeland Security Research, Development, Testing, Evaluation, and Demonstration of Technologies Related to Nuclear Threat Detection",University of Michigan-Ann Arbor,300000,research
"Homeland Security Research, Development, Testing, Evaluation, and Demonstration of Technologies Related to Nuclear Threat Detection",Yale University,299999.98,research
Homeless Veterans' Reintegration Program ,University of Northern Colorado,6704.68,grant
Hospital Preparedness Program (HPP) Ebola Preparedness and Response Activities,Massachusetts General Hospital Dietetic Internship,3000000,grant
HOUSEKEEPING- CUSTODIAL JANITORIAL,The University of Texas at Austin,296431.97,contract
HOUSEKEEPING- CUSTODIAL JANITORIAL,University of Hawaii at Manoa,4050,contract
HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,Texas A & M University-College Station,1092908.64,contract
HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,University of Michigan-Ann Arbor,504840.72,contract
HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,Oregon State University,410087.5,contract
HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,Florida Atlantic University,138645,contract
HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,University of Vermont,103725.96,contract
HOUSEKEEPING- FOOD,University of Wyoming,141177.04,contract
HOUSEKEEPING- FOOD,University of California-San Diego,35590.6,contract
HOUSEKEEPING- FOOD,Marion Military Institute,11268.75,contract
HOUSEKEEPING- FOOD,Indiana University-Bloomington,10090,contract
HOUSEKEEPING- FOOD,University of North Georgia,6353.1,contract
HOUSEKEEPING- GUARD,Southern Methodist University,2275768.7,contract
HOUSEKEEPING- GUARD,Texas A & M University-College Station,993039.74,contract
HOUSEKEEPING- GUARD,The University of Texas at Austin,243493.94,contract
HOUSEKEEPING- GUARD,Johns Hopkins University,76157,contract
HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,Colorado State University-Fort Collins,16569.25,contract
HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,Utah State University,11000,contract
HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,Humboldt State University,6000,contract
HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,University of Georgia,4290.1,contract
HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,University of Minnesota-Twin Cities,2500,contract
Human Genome Research,Stanford University,29771928,research
Human Genome Research,Baylor College of Medicine,28124723,research
Human Genome Research,Harvard University,27729024,research
Human Genome Research,Washington University in St Louis,23906523,research
Human Genome Research,Johns Hopkins University,13897597,research
Hurricane Education Recovery,University of Central Florida,1974661,grant
