source,target,value,type
ADP SUPPORT EQUIPMENT,University of Colorado Boulder,6560,contract
Adult Education - Basic Grants to States,Baton Rouge Community College,9849005.88,grant
Adult Education - Basic Grants to States,Madison Area Technical College,6737029,grant
Adult Education - Basic Grants to States,Mississippi Community College Board,6263315,grant
Adult Education - Basic Grants to States,Northern Marianas College,314473,grant
Adult Education - Basic Grants to States,American Samoa Community College,192416,grant
Advanced Education Nursing Traineeships,Albany State University,26244,grant
Advanced Nursing Education Workforce Grant Program,The University of Texas at Tyler,1567562,grant
Advanced Nursing Education Workforce Grant Program,Florida Atlantic University,1564997,grant
Advanced Nursing Education Workforce Grant Program,University of Alabama at Birmingham,1487896,grant
Advanced Nursing Education Workforce Grant Program,SUNY Buffalo State,1413449,grant
Advanced Nursing Education Workforce Grant Program,Florida International University,1342763,grant
Advanced Research Projects Agency - Energy,University of Colorado Boulder,5289719.01,grant
Advanced Research Projects Agency - Energy,University of California-Berkeley,4418471,grant
Advanced Research Projects Agency - Energy,Rensselaer Polytechnic Institute,3688082.45,grant
Advanced Research Projects Agency - Energy,Virginia Polytechnic Institute and State University,3377342.05,grant
Advanced Research Projects Agency - Energy,Colorado School of Mines,3106864,grant
Advancing System Improvements for Key Issues in Women's Health,Arizona State University-Tempe,304829,grant
Advancing System Improvements for Key Issues in Women's Health,University of Kansas,250000,grant
Advancing System Improvements for Key Issues in Women's Health,University of New Hampshire-Main Campus,247770,grant
Advancing System Improvements for Key Issues in Women's Health,George Washington University,215083,grant
Advancing System Improvements for Key Issues in Women's Health,Texas Woman's University,211370,grant
ADVERTISING SERVICES,The University of Texas Rio Grande Valley,20000,contract
ADVERTISING SERVICES,Colorado Mesa University,12000,contract
ADVERTISING SERVICES,University of Minnesota-Duluth,12000,contract
ADVERTISING SERVICES,Rockefeller University,5000,contract
ADVERTISING SERVICES,Southern Connecticut State University,4999,contract
AEECA/ESF PD Programs,Indiana University-Bloomington,999391,grant
AEECA/ESF PD Programs,Georgetown University,347839,grant
AEECA/ESF PD Programs,Ball State University,300000,grant
AEECA/ESF PD Programs,Cleveland State University,300000,grant
AERIAL PHOTOGRAPHIC SERVICES,University of Alaska Fairbanks,25000,contract
