"source","target","value"
"Appalachian State University","Corporation for National and Community Service",616821
"Appalachian State University","Health Resources and Services Administration",431332
"Appalachian State University","U.S. Geological Survey",177954
"Aquinas College","Department of Education",812403
"Arcadia University","National Science Foundation",352500
"Arcadia University","Offices, Boards and Divisions",300000
"Arizona State University-Tempe","National Aeronautics and Space Administration",181202595.66
"Arizona State University-Tempe","National Institutes of Health",122679341.2
"Arizona State University-Tempe","National Science Foundation",56341401
"Arizona State University-Tempe","Department of the Navy",33081648.06
"Arizona State University-Tempe","Department of Education",12758018.43
"Arizona Western College","Department of Education",2476597.79
"Arkansas Baptist College","Department of Education",2309826
"Arkansas Colleges of Health Education","National Institutes of Health",323628
"Arkansas Northeastern College","Department of Education",1219270
"Arkansas State University Mid-South","Department of Education",1162799.61
"Arkansas State University-Beebe","Department of Education",1241246
"Arkansas State University-Main Campus","National Institute of Food and Agriculture",1748450.19
"Arkansas State University-Main Campus","National Science Foundation",465986
"Arkansas State University-Main Campus","Forest Service",272820
"Arkansas State University-Main Campus","Economic Development Administration",112850
"Arkansas State University-Main Campus","Department of Education",97561
"Arkansas Tech University","Department of Education",1327046
"Arkansas Tech University","U.S. Fish and Wildlife Service",53098.14
"Arkansas Tech University","Forest Service",13437.47
"Armstrong State University","Department of Veterans Affairs",37722
"Armstrong State University","Department of Education",9872
"Art Center College of Design","National Endowment for the Arts",30000
"Asheville-Buncombe Technical Community College","National Science Foundation",331650
"Ashland Community and Technical College","Department of Education",769094
"Ashland Community and Technical College","Rural Business Cooperative Service",586113
"Ashland University","National Science Foundation",587997
"Ashland University","Health Resources and Services Administration",279313
"Ashtabula County Technical and Career Campus","Department of Education",49544
"Asnuntuck Community College","Offices, Boards and Divisions",749510
"Assumption College","Department of Education",200000
"Atlanta Metropolitan State College","Department of Education",1935573.37
"Atlanta Metropolitan State College","Office of Justice Programs",160447
"Atlantic Cape Community College","Department of Education",321755
"Atlantic Cape Community College","National Science Foundation",224761
"Auburn Career Center","Department of Education",40468
"Auburn University","National Science Foundation",7585753
"Auburn University","National Institute of Food and Agriculture",7322607.37
"Auburn University","Department of Energy",6773581
"Auburn University","National Institutes of Health",4714866
"Auburn University","Forest Service",3492798.01
"Auburn University at Montgomery","National Science Foundation",219877
"Auburn University at Montgomery","Department of the Air Force",36900
