"source","target","value"
"Florida Institute of Technology","National Aeronautics and Space Administration",877590
"Florida Institute of Technology","Federal Aviation Administration",383877
"Florida Institute of Technology","Health Resources and Services Administration",349035
"Florida International University","National Institutes of Health",22982946
"Florida International University","National Science Foundation",18321822
"Florida International University","National Oceanic and Atmospheric Administration",5562240.6
"Florida International University","Department of the Air Force",5170996
"Florida International University","Department of Education",5084567.57
"Florida Keys Community College","Department of Education",370511
"Florida Memorial University","Department of Education",3851020.99
"Florida Panhandle Technical College","Department of Education",726495
"Florida Polytechnic University","National Science Foundation",166069
"Florida Polytechnic University","Department of the Army",158592
"Florida Polytechnic University","National Institute of Standards and Technology",8930
"Florida State College at Jacksonville","Department of Education",1293206.43
"Florida State College at Jacksonville","Health Resources and Services Administration",626248
"Florida State College at Jacksonville","National Science Foundation",499655
"Florida State College at Jacksonville","Environmental Protection Agency",198790
"Florida State College at Jacksonville","Federal Prison System / Bureau of Prisons",109240
"Florida State University","National Science Foundation",73907305
"Florida State University","Department of Education",56730261.86
"Florida State University","National Institutes of Health",36627105
"Florida State University","Department of the Navy",34082378.38
"Florida State University","Department of Energy",7592110.67
"Fond du Lac Tribal and Community College","Department of Education",1542868.41
"Fond du Lac Tribal and Community College","National Institute of Food and Agriculture",761030.63
"Fond du Lac Tribal and Community College","National Oceanic and Atmospheric Administration",166469
"Fontbonne University","Department of Education",624896.3
"Fontbonne University","National Endowment for the Humanities",49970
"Fordham University","National Science Foundation",1368970
"Fordham University","National Institutes of Health",973438
"Fordham University","Department of Education",894006.42
"Fordham University","Internal Revenue Service",95000
"Fordham University","Federal Bureau of Investigation",9000
"Forsyth Technical Community College","National Science Foundation",678002
"Forsyth Technical Community College","Department of Education",674794
"Fort Hays State University","Small Business Administration",1112200
"Fort Hays State University","National Science Foundation",1003764
"Fort Hays State University","Corporation for National and Community Service",624287.74
"Fort Hays State University","Rural Business Cooperative Service",99617
"Fort Hays State University","Institute of Museum and Library Services",74475
"Fort Lewis College","National Science Foundation",2911547
"Fort Lewis College","Department of Education",1624491.91
"Fort Lewis College","National Institutes of Health",359992
"Fort Lewis College","National Institute of Food and Agriculture",103202
"Fort Lewis College","Agricultural Research Service",70000
"Fort Myers Technical College","Administration for Children and Families",8713894
"Fort Myers Technical College","Department of Education",2607839.81
"Fort Myers Technical College","Substance Abuse and Mental Health Services Administration",124506
"Fort Peck Community College","Department of Education",3584002
"Fort Peck Community College","Bureau of Indian Affairs and Bureau of Indian Education",2431374
"Fort Peck Community College","National Institute of Food and Agriculture",321147
"Fort Peck Community College","Centers for Disease Control and Prevention",317039
"Fort Peck Community College","National Science Foundation",311956
"Fort Scott Community College","Department of Education",1134711
"Fort Valley State University","Administration for Children and Families",9242062
"Fort Valley State University","Department of Education",5436587
"Fort Valley State University","National Institute of Food and Agriculture",1166646.32
"Fort Valley State University","National Science Foundation",297907
"Fort Valley State University","Substance Abuse and Mental Health Services Administration",225000
"Framingham State University","Department of Education",280260.63
"Framingham State University","Department of the Army",45650
"Francis Marion University","Health Resources and Services Administration",1755802
"Frank Phillips College","Department of Education",10370
"Franklin and Marshall College","National Science Foundation",1610002
"Franklin and Marshall College","National Institutes of Health",90732
"Franklin Pierce University","National Science Foundation",649931
"Franklin University","Department of Education",749015
"Franklin W Olin College of Engineering","National Science Foundation",15040
"Frederick Community College","Department of Education",41090
"Frederick Community College","National Institute of Standards and Technology",5500
"Fresno City College","Department of Education",1843220.25
"Fresno Pacific University","Department of Education",448995
"Front Range Community College","Department of Education",1333863
"Frontier Nursing University","Health Resources and Services Administration",1564107
"Frostburg State University","Department of Education",1137625
"Frostburg State University","National Park Service",174988
"Frostburg State University","Substance Abuse and Mental Health Services Administration",125000
"Frostburg State University","U.S. Geological Survey",48914.4
"Fuller Theological Seminary in California","Department of the Navy",2436.15
"Fulton-Montgomery Community College","Department of Education",496492
"Furman University","National Science Foundation",544817
"Gadsden State Community College","Department of Education",3027450
"Gallaudet University","Administration on Aging",1425000
"Gallaudet University","National Science Foundation",843050
"Gallaudet University","National Institutes of Health",553264
"Gallaudet University","National Endowment for the Humanities",333479
"Gallaudet University","Department of Education",146622.05
"Galveston College","Department of Education",862462.28
"Gannon University","Department of Education",740727
"Gannon University","Department of the Navy",80684
"Gannon University","Health Resources and Services Administration",38907
"Garden City Community College","Department of Education",287656.18
"Gaston College","National Science Foundation",2204916
"Gaston College","Department of Education",557288
"Gateway Community and Technical College","Department of Education",964837
"Gateway Community and Technical College","Substance Abuse and Mental Health Services Administration",102000
"GateWay Community College","Department of Education",1254630
"GateWay Community College","Department of the Army",62070
"Gateway Technical College","Department of Education",242136
"Gavilan College","Department of Education",1886222.94
"Genesee Community College","Department of Education",1228310
"George C Wallace Community College-Dothan","Department of Education",1327185.81
"George C Wallace State Community College-Hanceville","Economic Development Administration",2000000
"George C Wallace State Community College-Hanceville","Department of Education",759541.52
"George C Wallace State Community College-Selma","Department of Education",916786
"George Fox University","Rural Business Cooperative Service",100000
"George Fox University","Bureau of Indian Affairs and Bureau of Indian Education",20000
"George Mason University","Department of the Air Force",92573543
"George Mason University","Department of the Navy",27066233.3
"George Mason University","National Science Foundation",13638976
"George Mason University","Office of the National Drug Control Policy",7022349.67
"George Mason University","Department of the Army",5336360.08
"George Stone Technical Center","Department of Education",440660.33
"George Washington University","National Institutes of Health",582675288.28
"George Washington University","National Science Foundation",19329702
"George Washington University","Department of the Navy",13515525.42
"George Washington University","Department of the Army",8153204
"George Washington University","Department of Energy",7508182.7
"Georgetown University","National Institutes of Health",249933576.4
"Georgetown University","Department of State",23031097
"Georgetown University","Department of the Navy",13878220.76
"Georgetown University","Agency for International Development",11019253.45
"Georgetown University","Department of the Army",5447055.44
"Georgia College and State University","Health Resources and Services Administration",1076047
"Georgia College and State University","Department of Education",498076
"Georgia College and State University","Forest Service",5676
"Georgia Gwinnett College","National Science Foundation",450506
"Georgia Institute of Technology-Main Campus","Department of the Air Force",794741464.7
"Georgia Institute of Technology-Main Campus","Department of the Army",477132882.6
"Georgia Institute of Technology-Main Campus","Department of the Navy",464544575.8
"Georgia Institute of Technology-Main Campus","Department of Defense",132543962
"Georgia Institute of Technology-Main Campus","National Science Foundation",76497752
"Georgia Military College","Department of Education",448574
"Georgia Military College","Department of the Army",91072
"Georgia Northwestern Technical College","Department of Education",493626
"Georgia Southern University","Health Resources and Services Administration",2489636
"Georgia Southern University","National Science Foundation",1556268
"Georgia Southern University","Department of Education",224466.38
"Georgia Southern University","Department of the Army",197453
"Georgia Southern University","Corporation for National and Community Service",150210.27
"Georgia State University","National Institutes of Health",38077151
"Georgia State University","Department of Education",8545765.21
"Georgia State University","Health Resources and Services Administration",5814104.8
"Georgia State University","National Science Foundation",4009388
"Georgia State University","Department of the Navy",1913857
"Georgian Court University","Department of Education",871387
"Gettysburg College","National Science Foundation",193397
"Gettysburg College","National Endowment for the Humanities",165145
"Gettysburg College","National Oceanic and Atmospheric Administration",146789
"Gettysburg College","Substance Abuse and Mental Health Services Administration",99875
"Gettysburg College","Consumer Financial Protection Bureau",44882.2
"Glen Oaks Community College","Department of Education",692136
"Glendale Community College","Department of Education",1225725
"Glenville State College","Department of Education",254329
"Glenville State College","Rural Housing Service",13000
"Gogebic Community College","Department of Education",272491
"Gonzaga University","Internal Revenue Service",98000
"Gonzaga University","Health Resources and Services Administration",33312
"Gonzaga University","Drug Enforcement Administration",1500
"Goodwin College","Department of Education",524413
"Goodwin College","National Endowment for the Humanities",26329
"Gordon Cooper Technology Center","Indian Health Service",4496
"Goucher College","Department of Education",88190
"Goucher College","Department of State",30170
"Governors State University","Health Resources and Services Administration",1718173
"Governors State University","Administration for Children and Families",987804
"Governors State University","Department of Education",393526
"Governors State University","National Institutes of Health",253769
"Governors State University","National Endowment for the Humanities",100000
"Graceland University-Lamoni","Department of Education",719095
"Graceland University-Lamoni","Corporation for National and Community Service",119029
"Grambling State University","Department of Education",6019493.91
"Grambling State University","National Science Foundation",903354
"Grand Rapids Community College","Department of Education",996282
"Grand Rapids Community College","Substance Abuse and Mental Health Services Administration",77152
"Grand Valley State University","Small Business Administration",3952831.6
"Grand Valley State University","Department of Education",2241155.52
"Grand Valley State University","National Science Foundation",1379358
"Grand Valley State University","National Institutes of Health",756903
"Grand Valley State University","National Oceanic and Atmospheric Administration",68000
"Grand View University","Department of Education",550000
"Grays Harbor College","Department of Education",535632
"Grays Harbor College","National Institute of Food and Agriculture",135679
"Grayson College","Department of Education",9872
"Great Oaks Career Campuses","Department of the Army",42791.08
"Greater Altoona Career & Technology Center","Federal Prison System / Bureau of Prisons",97500
"Green River College","National Science Foundation",595536
"Green River College","Department of Education",321755
"Green River College","Rural Business Cooperative Service",30524
"Greenfield Community College","Department of Education",402727
"Greensboro College","Department of Education",400430
"Greenville College","Economic Development Administration",999968
"Greenville College","Rural Business Cooperative Service",143500
"Greenville Technical College","Department of Education",719318
"Grinnell College","National Science Foundation",47482
"Grossmont College","Department of Education",524978
"Grossmont-Cuyamaca Community College District","Department of Education",1717302
"Guilford Technical Community College","Department of Education",598226
"Gulf Coast State College","Department of Education",800685
"Gulf Coast State College","Small Business Administration",288378
"Gulf Coast State College","Department of the Navy",7568.55
"Gustavus Adolphus College","National Science Foundation",557078
"H Councill Trenholm State Community College","Department of Education",2121735
"Hacienda La Puente Adult Education","Administration for Children and Families",3811268
"Hagerstown Community College","Department of Education",569238
"Halifax Community College","Economic Development Administration",2000000
"Halifax Community College","Department of Education",1125556
"Hamilton College","National Science Foundation",48294
"Hamilton College","U.S. Geological Survey",25000
"Hamilton College","National Institute of Standards and Technology",14819
"Hamline University","Office of Justice Programs",300403
"Hamline University","Department of Education",299499
"Hamline University","National Science Foundation",33737
"Hamline University","Federal Prison System / Bureau of Prisons",125
"Hampden-Sydney College","National Science Foundation",45523
"Hampshire College","National Science Foundation",236529
"Hampton University","National Aeronautics and Space Administration",9127396
"Hampton University","Department of Education",7751453
"Hampton University","National Science Foundation",3233995
"Hampton University","Department of the Army",2625000
"Hampton University","National Institutes of Health",877305
"Harcum College","Department of Education",743159
"Harding University","Department of Education",571090
"Harding University","Health Resources and Services Administration",118511
"Harford Community College","National Science Foundation",466488
"Harford Community College","Offices, Boards and Divisions",292663
"Harris-Stowe State University","Department of Education",4734714
"Harrisburg Area Community College-Harrisburg","Defense Logistics Agency",19681
"Harrisburg Area Community College-Harrisburg","Department of the Army",18493.66
"Hartnell College","Department of Education",3447418.44
"Hartnell College","National Science Foundation",1468758
"Hartwick College","Agricultural Research Service",11700
"Harvard University","National Institutes of Health",4813073657.38
"Harvard University","National Aeronautics and Space Administration",617536073.24
"Harvard University","Department of the Army",99948234.87
"Harvard University","National Science Foundation",64559152
"Harvard University","Centers for Disease Control and Prevention",25139794
"Harvey Mudd College","National Science Foundation",1451418
"Harvey Mudd College","Department of Education",756261
"Harvey Mudd College","National Institute of Standards and Technology",17744
"Haverford College","Defense Advanced Research Projects Agency",2158035
"Haverford College","National Science Foundation",367564
"Hawaii Community College","Rural Utilities Service",388280
"Hawaii Pacific University","National Institutes of Health",351818
"Hawaii Pacific University","National Institute of Standards and Technology",166979
"Hawaii Pacific University","Economic Development Administration",166100
"Hawaii Pacific University","Rural Utilities Service",70411
"Hawkeye Community College","Department of Education",398385
"Hawkeye Community College","Corporation for National and Community Service",320271.9
"Hawkeye Community College","Federal Motor Carrier Safety Administration",108200
"Hazard Community and Technical College","Department of Education",614377
"Hazelden Betty Ford Graduate School of Addiction Studies","Department of the Navy",829832.68
"Hazelden Betty Ford Graduate School of Addiction Studies","Rural Utilities Service",337327
"Hazelden Betty Ford Graduate School of Addiction Studies","U.S. Coast Guard",74700
"Hazelden Betty Ford Graduate School of Addiction Studies","Federal Prison System / Bureau of Prisons",10986.83
"Hazelden Betty Ford Graduate School of Addiction Studies","Indian Health Service",8750
"Heartland Community College","Department of Education",254355
"Heidelberg University","Agricultural Research Service",322303
"Heidelberg University","Health Resources and Services Administration",300000
"Helena College University of Montana","Department of Education",242136
"Henderson State University","Department of Education",2000572
"Hendrix College","National Science Foundation",1198187
"Hennepin Technical College","Department of Education",1405764
"Heritage University","Department of Education",2470137
"Heritage University","National Institutes of Health",76885
"Heritage University","Agricultural Research Service",5000
"Hibbing Community College","Department of Education",1841991
"High Point University","Department of Education",1158522
"High Point University","National Science Foundation",568839
"High Point University","National Institutes of Health",158261
"High Point University","Corporation for National and Community Service",9000
"Highland Community College","Department of Education",875843
"Highland Community College","Corporation for National and Community Service",46956
"Highland Community College","Federal Prison System / Bureau of Prisons",17571.44
"Highlands College of Montana Tech","Department of Education",1172131
"Highlands College of Montana Tech","National Science Foundation",380383
"Highlands College of Montana Tech","National Institutes of Health",249307
"Highlands College of Montana Tech","U.S. Geological Survey",205684.1
"Highlands College of Montana Tech","National Park Service",174068.93
"Highline College","Department of Education",950319
"Highline College","National Science Foundation",337537
"Hillsborough Community College","Department of Education",447157
"Hillsborough Community College","National Science Foundation",317934
"Hinds Community College","Department of Education",8096709.64
"Hinds Community College","Federal Aviation Administration",87472
"Hiwassee College","Department of Education",657464.97
"Hobart Institute of Welding Technology","Department of the Navy",9910
"Hobart William Smith Colleges","National Science Foundation",652725
"Hobart William Smith Colleges","Department of Education",72640.71
"Hobart William Smith Colleges","Forest Service",39999.49
"Hocking College","Department of Education",563460.69
"Hofstra University","National Science Foundation",1380951
"Hofstra University","Health Resources and Services Administration",1303388
"Hofstra University","Department of Education",848070
"Hofstra University","Department of the Navy",130495.22
"Hofstra University","Internal Revenue Service",90000
"Holmes Community College","Department of Education",311848
"Holy Cross College","Department of the Navy",1305145
"Holy Names University","Department of Education",1624842
"Holyoke Community College","Health Resources and Services Administration",510571
"Holyoke Community College","Department of Education",376223
"Honolulu Community College","Department of Education",1046102
"Hood College","National Science Foundation",650000
"Hood College","National Endowment for the Humanities",100137
"Hood College","National Institute of Food and Agriculture",100000
"Hood College","National Oceanic and Atmospheric Administration",74732
"Hood College","Department of Education",65898
"Hope College","National Science Foundation",1258695
"Hope College","Department of Education",444046
"Hope College","National Institute of Food and Agriculture",150000
"Hope College","Department of Energy",142902
"Hope College","Department of the Army",15000
"Hopkinsville Community College","Department of Education",669740
"Horry-Georgetown Technical College","Department of Education",924881.08
"Horry-Georgetown Technical College","Forest Service",20000
"Houston Baptist University","Department of Education",1064140
"Houston Community College","Department of Education",1271149
"Houston Community College","Minority Business Development Agency",821775
"Houston Community College","Federal Motor Carrier Safety Administration",102008
"Houston Community College","U.S. Marshals Service",5600
"Howard College","Department of Education",476258.86
"Howard Community College","Department of Education",376602
"Howard Community College","National Science Foundation",250000
"Howard Community College","Offices, Boards and Divisions",450
"Howard University","National Institutes of Health",13088413.85
"Howard University","National Science Foundation",9659074
"Howard University","Health Resources and Services Administration",3766153
"Howard University","Department of State",3714349
"Howard University","National Oceanic and Atmospheric Administration",3515000
"Hudson Valley Community College","Economic Development Administration",1500000
"Hudson Valley Community College","Department of the Army",138161.49
"Humboldt State University","Small Business Administration",5232797.05
"Humboldt State University","Department of Education",3685714
"Humboldt State University","Forest Service",842294.82
"Humboldt State University","National Oceanic and Atmospheric Administration",529061.66
"Humboldt State University","Defense Logistics Agency",410818
"Husson University","National Institute of Food and Agriculture",500000
"Huston-Tillotson University","Department of Education",2368574
"Hutchinson Community College","Mine Safety and Health Administration",122352
"Hutchinson Community College","Corporation for National and Community Service",69672
"Hutchinson Community College","Internal Revenue Service",24111
"Icahn School of Medicine at Mount Sinai","National Institutes of Health",1729603051.14
"Icahn School of Medicine at Mount Sinai","Centers for Disease Control and Prevention",118760940.38
"Icahn School of Medicine at Mount Sinai","Department of the Army",5834226
"Icahn School of Medicine at Mount Sinai","Administration on Aging",894375
"Icahn School of Medicine at Mount Sinai","Health Resources and Services Administration",883745
"Idaho State University","Department of Education",2939439.97
"Idaho State University","National Science Foundation",2358391
"Idaho State University","Health Resources and Services Administration",660253
"Idaho State University","National Aeronautics and Space Administration",396311.32
"Idaho State University","Department of Energy",177895.75
"Ilisagvik College","Department of Education",1686856
"Ilisagvik College","Bureau of Indian Affairs and Bureau of Indian Education",491510
"Ilisagvik College","Administration for Children and Families",317850
"Ilisagvik College","National Institute of Food and Agriculture",226147
"Ilisagvik College","Rural Housing Service",129000
"Illinois Central College","Department of Education",1493932
"Illinois College","Department of Education",676801
"Illinois College","National Science Foundation",298548
"Illinois Institute of Technology","National Science Foundation",8512650
"Illinois Institute of Technology","National Institutes of Health",7277346
"Illinois Institute of Technology","Food and Drug Administration",5355563
"Illinois Institute of Technology","Department of Energy",1131576.53
"Illinois Institute of Technology","Department of the Air Force",461860
"Illinois State University","Department of Education",8263902.28
"Illinois State University","National Science Foundation",4384615
"Illinois State University","Health Resources and Services Administration",2026744
"Illinois State University","Administration for Children and Families",1228496
"Illinois State University","National Institute of Food and Agriculture",1000000
"Illinois Valley Community College","Department of Education",308892
"Illinois Wesleyan University","National Science Foundation",4659261
"Imperial Valley College","Department of Education",2320180
"Independence Community College","Department of Education",628441
"Indian Hills Community College","Department of Education",1137726
"Indian Hills Community College","National Science Foundation",598040
"Indian Hills Community College","Offices, Boards and Divisions",300000
"Indian Hills Community College","Office of Justice Programs",299885
"Indian River State College","Department of Education",1903602
"Indian River State College","Drug Enforcement Administration",26306.76
"Indian River State College","National Science Foundation",19050
"Indian River State College","Internal Revenue Service",13425.12
"Indiana State University","Department of Education",1090233
"Indiana State University","Department of Energy",360000
"Indiana State University","National Institutes of Health",305308
"Indiana State University","Department of the Navy",267166
"Indiana State University","National Science Foundation",142919
"Indiana University of Pennsylvania-Main Campus","Occupational Safety and Health Administration",1844939.07
"Indiana University of Pennsylvania-Main Campus","National Science Foundation",1790944
"Indiana University of Pennsylvania-Main Campus","Department of Education",641783
"Indiana University of Pennsylvania-Main Campus","Department of the Navy",600000
"Indiana University of Pennsylvania-Main Campus","Defense Logistics Agency",350433
"Indiana University-Bloomington","National Institutes of Health",1237549262.4
"Indiana University-Bloomington","National Science Foundation",46599847
"Indiana University-Bloomington","Department of the Army",43214922
"Indiana University-Bloomington","Centers for Medicare and Medicaid Services",16005504
"Indiana University-Bloomington","Department of Education",10342419.86
"Indiana University-Purdue University-Indianapolis","Department of the Navy",849636.69
"Indiana Wesleyan University-Marion","Department of Education",605048
"Indiana Wesleyan University-Marion","Health Resources and Services Administration",533334
"Indiana Wesleyan University-Marion","National Science Foundation",300000
"Institute of American Indian and Alaska Native Culture and Arts Development","Department of Education",1670023
"Institute of American Indian and Alaska Native Culture and Arts Development","National Institute of Food and Agriculture",286147
"Institute of American Indian and Alaska Native Culture and Arts Development","Rural Housing Service",129000
"Institute of American Indian and Alaska Native Culture and Arts Development","National Endowment for the Humanities",3877
"Inter American University of Puerto Rico-Aguadilla","Department of Education",1139999
"Inter American University of Puerto Rico-Arecibo","Department of Education",1353540
"Inter American University of Puerto Rico-Arecibo","Health Resources and Services Administration",94044
"Inter American University of Puerto Rico-Barranquitas","Department of Education",1078927.98
"Inter American University of Puerto Rico-Bayamon","Department of Education",1723514
"Inter American University of Puerto Rico-Fajardo","Department of Education",513708
"Inter American University of Puerto Rico-Metro","National Endowment for the Humanities",30000
"Inter American University of Puerto Rico-Metro","Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",5570.8
"Inter American University of Puerto Rico-Ponce","Department of Education",872732
"Inter American University of Puerto Rico-San German","Department of Education",2107112.47
"Inter American University of Puerto Rico-San German","National Endowment for the Humanities",26000
"Inver Hills Community College","Department of Education",869495
"Iona College","National Science Foundation",9938
"Iowa Central Community College","Department of Education",272494
"Iowa Central Community College","Rural Business Cooperative Service",50000
"Iowa Lakes Community College","Department of Education",1465848.42
"Iowa Lakes Community College","Rural Utilities Service",499975
"Iowa Lakes Community College","Corporation for National and Community Service",61200.04
"Iowa State University","Department of Energy",314672031.8
"Iowa State University","National Science Foundation",37481051
"Iowa State University","National Institute of Food and Agriculture",17347064.54
"Iowa State University","National Institutes of Health",14271505
"Iowa State University","Agricultural Research Service",11928974.13
"Iowa Western Community College","Corporation for National and Community Service",320700
"Iowa Western Community College","Department of Education",312632
"Irell & Manella Graduate School of Biological Sciences at City of Hope","National Institutes of Health",188988379.34
"Irell & Manella Graduate School of Biological Sciences at City of Hope","Agency for Healthcare Research and Quality",694737
"Irell & Manella Graduate School of Biological Sciences at City of Hope","Department of the Army",692000
"Irell & Manella Graduate School of Biological Sciences at City of Hope","Department of Veterans Affairs",9996
"Irvine Valley College","National Science Foundation",500000
"Irvine Valley College","Department of Education",350556
"Itasca Community College","Department of Education",368669.01
"Itasca Community College","Forest Service",37350
"Ithaca College","National Institutes of Health",364388
"Ithaca College","National Science Foundation",326134
"Ithaca College","Department of State",9065
"Ivy Tech Community College","Department of Education",1575864.86
"Ivy Tech Community College","Federal Prison System / Bureau of Prisons",53639.93
"J F Drake State Community and Technical College","Department of Education",1980444
"J F Ingram State Technical College","Department of Education",387408
"Jackson College","Department of Education",242136
"Jackson State University","Department of Education",11022764
"Jackson State University","National Institutes of Health",6233809.92
"Jackson State University","National Science Foundation",4694958
"Jackson State University","Department of the Army",1535497.4
"Jackson State University","Health Resources and Services Administration",352994
"Jacksonville State University","Department of Education",542100
"Jacksonville State University","National Science Foundation",9892
"Jacksonville University","Department of the Navy",1560483.06
"Jacksonville University","Health Resources and Services Administration",168841
"Jacksonville University","National Science Foundation",19030.63
"James H Faulkner State Community College","National Science Foundation",578819
"James H Faulkner State Community College","Department of Education",325260
"James Madison University","National Science Foundation",2938119
"James Madison University","Administration for Children and Families",1393750
"James Madison University","Health Resources and Services Administration",839009
"James Madison University","Department of State",733517
"James Madison University","National Institutes of Health",463915
"James Sprunt Community College","Economic Development Administration",2031480
"James Sprunt Community College","Department of Education",972551.44
"Jarvis Christian College","Department of Education",2670634
"Jefferson College","Offices, Boards and Divisions",295342
"Jefferson College","Department of Education",282954
"Jefferson College of Health Sciences","Health Resources and Services Administration",346362
"Jefferson Community and Technical College","Department of Education",447960
"Jefferson Community College","Department of Education",258901
"Jefferson Community College","National Endowment for the Humanities",95090
"Jefferson Davis Community College","Department of Education",272496
"Jefferson State Community College","Corporation for National and Community Service",4000
"John A Logan College","Department of Education",301141
"John Brown University","Department of Education",248924.95
"John Brown University","National Endowment for the Arts",10000
"John C Calhoun State Community College","Economic Development Administration",1535000
"John Carroll University","National Science Foundation",637069
"John Carroll University","Health Resources and Services Administration",308179
"John Carroll University","Department of the Navy",196341
"John Carroll University","Agricultural Research Service",6000
"John F. Kennedy University","Department of Education",523023
"John Tyler Community College","Employment and Training Administration",39918752.78
"John Wood Community College","Department of Education",1005453
"John Wood Community College","Corporation for National and Community Service",145190
"Johns Hopkins University","National Institutes of Health",10534194524.56
"Johns Hopkins University","Department of the Navy",4240715430.52
"Johns Hopkins University","National Aeronautics and Space Administration",2843664358.35
"Johns Hopkins University","Department of the Army",682796482.92
"Johns Hopkins University","Department of the Air Force",238900938.72
"Johnson C Smith University","Department of Education",4180825.6
"Johnson C Smith University","National Science Foundation",663656
"Johnson C Smith University","Substance Abuse and Mental Health Services Administration",124623
"Johnson County Community College","National Science Foundation",295951
"Johnson County Community College","Department of Education",115653
"Johnson County Community College","Department of State",8000
"Johnston Community College","Department of Education",254356
"Joliet Junior College","Department of Education",1256760
"Joliet Junior College","National Science Foundation",649901
"Joliet Junior College","U.S. Geological Survey",25000
"Juniata College","Offices, Boards and Divisions",299713
"Juniata College","National Science Foundation",142342
"Kalamazoo College","National Science Foundation",844097
"Kalamazoo College","Offices, Boards and Divisions",298698
"Kankakee Community College","Department of Education",1040414
"Kansas City Kansas Community College","Department of Education",242136
"Kansas City University of Medicine and Biosciences","Department of the Navy",685854.54
"Kansas State University","National Science Foundation",16670962
"Kansas State University","Agency for International Development",15342771
"Kansas State University","National Institutes of Health",14309381
"Kansas State University","National Institute of Food and Agriculture",13798183.22
"Kansas State University","Agricultural Research Service",9803208.04
"Kapiolani Community College","Department of Education",2922156
"Kaskaskia College","Department of Education",274798
"Kauai Community College","Department of Education",677868
"Kean University","Department of Education",601779
"Kean University","National Endowment for the Humanities",84932
"Kean University","National Science Foundation",8941
"Keck Graduate Institute","National Institutes of Health",408964
"Keene State College","Department of Education",1156775
"Keene State College","Occupational Safety and Health Administration",446387.89
"Keene State College","National Institutes of Health",416179
"Keene State College","National Oceanic and Atmospheric Administration",72604
"Keene State College","Environmental Protection Agency",25000
"Kellogg Community College","Department of Education",773938
"Kellogg Community College","Defense Logistics Agency",9682.38
"Kennebec Valley Community College","Department of Education",313406
"Kennesaw State University","Department of Education",945465
"Kennesaw State University","National Institutes of Health",739931
"Kennesaw State University","National Science Foundation",152843
"Kennesaw State University","Environmental Protection Agency",84160
"Kent State University at Kent","National Institutes of Health",5629034
"Kent State University at Kent","National Science Foundation",3700149
"Kent State University at Kent","Department of Education",2188606.97
"Kent State University at Kent","Department of Energy",1768000
"Kent State University at Kent","National Aeronautics and Space Administration",649092.25
"Kentucky Community and Technical College System","Economic Development Administration",2561376
"Kentucky Community and Technical College System","Department of Education",275606
"Kentucky Community and Technical College System","Health Resources and Services Administration",230000
"Kentucky Community and Technical College System","Federal Emergency Management Agency",197392
"Kentucky Community and Technical College System","Centers for Disease Control and Prevention",11334.53
"Kentucky State University","Department of Education",4174661
"Kentucky State University","National Institute of Food and Agriculture",1709643.08
"Kentucky State University","Office of Assistant Secretary for Health",302613
"Kentucky Wesleyan College","Department of Education",438177
"Kenyon College","National Institutes of Health",360340
"Kenyon College","National Science Foundation",286784
"Kettering University","National Science Foundation",259411
"Keweenaw Bay Ojibwa Community College","Department of Education",1051954
"Keweenaw Bay Ojibwa Community College","National Institute of Food and Agriculture",856147
"Keweenaw Bay Ojibwa Community College","Bureau of Indian Affairs and Bureau of Indian Education",504294
"Keweenaw Bay Ojibwa Community College","Rural Housing Service",129000
"Kilgore College","Department of Education",917973
"Kirkwood Community College","Department of Education",313406
"Kishwaukee College","Department of Education",556291
"Klamath Community College","Department of Education",517291
"Knox College","Department of Education",610596
"Knox College","National Science Foundation",290078
"Knox College","National Endowment for the Arts",10000
"Kutztown University of Pennsylvania","Small Business Administration",2089974
"Kutztown University of Pennsylvania","Department of Education",596915
"Kutztown University of Pennsylvania","National Park Service",75000
"Kutztown University of Pennsylvania","National Science Foundation",65945
"La Salle University","Health Resources and Services Administration",108808
"La Salle University","Substance Abuse and Mental Health Services Administration",101998
"La Sierra University","Department of Education",524813
"Labette Community College","Department of Education",564168.06
"Lac Courte Oreilles Ojibwa Community College","Bureau of Indian Affairs and Bureau of Indian Education",1555764
"Lac Courte Oreilles Ojibwa Community College","Department of Education",1422719
"Lac Courte Oreilles Ojibwa Community College","National Institute of Food and Agriculture",643424.05
"Lac Courte Oreilles Ojibwa Community College","Rural Housing Service",129000
"Lafayette College","National Science Foundation",167209
"Lafayette College","Department of the Air Force",94297
"Lafayette College","National Institutes of Health",27980
"Lafayette College","National Endowment for the Arts",10000
"Lake Erie College of Osteopathic Medicine","Department of the Navy",1476902.02
"Lake Erie College of Osteopathic Medicine","Health Resources and Services Administration",778373
"Lake Erie College of Osteopathic Medicine","Substance Abuse and Mental Health Services Administration",146326
"Lake Land College","Department of Education",557999
"Lake Michigan College","Department of Education",1714550.13
"Lake Region State College","Department of Education",272488
"Lake Superior College","Department of Education",672874
"Lake Superior College","Federal Prison System / Bureau of Prisons",80060
"Lake Superior State University","U.S. Fish and Wildlife Service",67509
"Lake Superior State University","U.S. Geological Survey",36918
"Lake Tahoe Community College","Department of Education",515663
"Lake Washington Institute of Technology","Department of Education",496252
"Lake-Sumter State College","Department of Education",642653
"Lakeshore Technical College","Department of Education",242136
"Lamar Community College","Department of Education",449748
"Lamar State College-Port Arthur","Economic Development Administration",1600000
"Lamar University","Department of Education",463450
