report_date,today
2017-03-10,1249
2017-03-13,1304
2017-03-14,1471
2017-03-15,1522
2017-03-16,1332
2017-03-17,1521
2017-03-20,1880
2017-03-21,1846
2017-03-22,2158
2017-03-23,2088
2017-03-24,2678
2017-03-27,1570
2017-03-28,1724
2017-03-29,1611
2017-03-30,1395
2017-03-31,1448
2017-04-03,1440
2017-04-04,1257
2017-04-05,1543
2017-04-06,1270
2017-04-07,1154
2017-04-10,1144
2017-04-11,1377
2017-04-12,1475
2017-04-13,1452
2017-04-14,1403
2017-04-17,1641
2017-04-18,1513
2017-04-19,2049
2017-04-21,1744
2017-04-24,1839
2017-04-25,1875
2017-04-26,2203
2017-04-27,1451
2017-04-28,1598
2017-05-01,1407
2017-05-02,1585
2017-05-03,1706
2017-05-04,1458
2017-05-05,1265
2017-05-08,1291
2017-05-09,1509
2017-05-10,1800
2017-05-11,1305
2017-05-12,1402
2017-05-15,1617
2017-05-16,1445
2017-05-17,1882
2017-05-18,1730
2017-05-19,1609
2017-05-22,1711
2017-05-23,2011
2017-05-24,1985
2017-05-25,1572
2017-05-30,2223
2017-05-31,1430
2017-06-01,1811
2017-06-02,1330
2017-06-05,1280
2017-06-06,1428
2017-06-07,1493
2017-06-08,1261
2017-06-09,1453
2017-06-12,1314
2017-06-13,913
2017-06-14,1389
2017-06-15,1603
2017-06-16,1467
2017-06-19,1534
2017-06-20,3781
2017-06-21,1632
2017-06-22,1260
2017-06-23,1929
2017-06-26,1900
2017-06-27,1816
2017-06-28,1938
2017-06-29,1572
2017-06-30,1381
2017-07-03,1278
2017-07-05,1893
2017-07-06,1552
2017-07-07,1435
2017-07-10,1497
2017-07-11,1237
2017-07-12,1653
2017-07-13,1478
2017-07-14,1449
2017-07-17,1400
2017-07-18,1206
2017-07-19,1288
2017-07-20,1374
2017-07-24,2083
2017-07-25,1916
2017-07-26,2067
2017-07-27,1925
2017-07-28,1533
2017-07-31,1466
2017-08-01,1479
2017-08-02,1524
2017-08-03,1290
2017-08-04,1310
2017-08-08,1346
2017-08-09,1628
2017-08-10,1358
2017-08-11,1274
2017-08-14,1292
2017-08-15,1507
2017-08-16,1615
2017-08-17,1487
2017-08-18,1502
2017-08-21,2075
2017-08-22,1948
2017-08-23,2152
2017-08-24,1762
2017-08-25,1553
2017-08-28,1509
2017-08-29,1632
2017-08-30,1512
2017-08-31,1333
2017-09-01,1359
2017-09-05,2076
2017-09-06,1436
2017-09-07,1934
2017-09-08,1322
2017-09-11,1227
2017-09-12,1393
2017-09-13,1406
2017-09-14,1295
2017-09-15,1372
2017-09-18,1446
2017-09-19,1007
2017-09-20,2647
2017-09-21,1919
2017-09-22,1811
2017-09-25,1755
2017-09-26,2574
2017-09-27,1856
2017-09-28,1495
2017-09-29,1541
2017-10-02,1627
2017-10-03,1412
2017-10-04,1638
2017-10-05,1265
2017-10-06,1097
2017-10-10,1452
2017-10-11,2018
2017-10-12,1812
2017-10-13,1588
2017-10-16,1706
2017-10-17,1549
2017-10-18,1961
2017-10-19,1826
2017-10-20,1704
2017-10-23,1640
2017-10-24,1554
2017-10-25,1979
2017-10-26,1371
2017-10-27,1293
2017-10-30,1487
2017-10-31,1825
2017-11-01,2300
2017-11-02,1572
2017-11-03,1379
2017-11-06,1353
2017-11-07,1502
2017-11-08,1506
2017-11-09,1340
2017-11-10,606
2017-11-13,1311
2017-11-14,1971
2017-11-15,1911
2017-11-16,1827
2017-11-17,1491
2017-11-20,1695
2017-11-21,2036
2017-11-22,2070
2017-11-24,1916
2017-11-27,1665
2017-11-28,2212
2017-11-29,2938
2017-11-30,1689
2017-12-01,1447
2017-12-04,1303
2017-12-05,1503
2017-12-06,1526
2017-12-07,1089
2017-12-08,700
2017-12-11,881
2017-12-12,1257
2017-12-13,1751
2017-12-14,1419
2017-12-15,1381
2017-12-18,1472
2017-12-19,1741
2017-12-20,1990
2017-12-21,1869
2017-12-22,2814
2017-12-26,2153
2017-12-27,2443
2017-12-28,2477
2017-12-29,1650
2018-01-02,1840
2018-01-03,1650
2018-01-04,1740
2018-01-05,1160
2018-01-08,1127
2018-01-09,867
2018-01-10,1535
2018-01-11,1418
2018-01-12,1357
2018-01-16,1589
2018-01-17,1489
2018-01-18,1751
2018-01-19,1785
2018-01-22,1971
2018-01-23,1630
2018-01-24,1851
2018-01-26,1520
2018-01-29,1267
2018-01-30,1529
2018-01-31,1390
2018-02-01,1436
2018-02-02,1368
2018-02-05,1510
2018-02-06,1309
2018-02-07,1580
2018-02-08,1381
2018-02-09,1245
2018-02-12,1207
2018-02-13,1934
2018-02-14,1533
2018-02-15,1397
2018-02-16,1473
2018-02-20,1984
2018-02-21,2557
2018-02-22,2727
2018-02-23,2100
2018-02-26,1805
2018-02-27,1867
2018-03-01,1364
2018-03-02,1466
2018-03-05,1569
2018-03-06,1178
2018-03-07,1765
2018-03-08,1390
2018-03-09,1335
2018-03-12,1286
2018-03-13,1570
2018-03-14,1537
2018-03-15,1430
2018-03-16,1430
2018-03-19,1710
2018-03-20,1842
2018-03-21,2257
2018-03-22,1865
2018-03-23,1785
2018-03-26,2703
2018-03-27,1758
2018-03-28,1777
2018-03-29,1433
2018-03-30,1374
2018-04-02,1443
2018-04-03,1381
2018-04-04,1663
2018-04-05,1147
2018-04-06,1076
2018-04-09,1121
2018-04-10,1397
2018-04-11,1860
2018-04-12,1354
2018-04-13,1346
2018-04-16,1296
2018-04-17,1824
2018-04-18,2107
2018-04-19,1769
2018-04-20,1819
2018-04-23,1913
2018-04-24,2166
2018-04-25,1955
2018-04-26,1647
2018-04-27,1664
2018-04-30,1724
2018-05-01,1545
2018-05-02,1720
2018-05-03,1468
2018-05-04,1315
2018-05-07,1321
2018-05-08,1476
2018-05-09,1535
2018-05-10,1297
2018-05-11,1358
2018-05-14,1677
2018-05-16,1856
2018-05-17,1672
2018-05-18,1687
