report_date,today
2011-02-04,126
2011-02-07,78
2011-02-10,52
2011-02-16,98
2011-02-17,51
2011-02-18,228
2011-02-22,557
2011-02-23,118
2011-02-24,159
2011-02-25,150
2011-02-28,85
2011-03-01,64
2011-03-04,202
2011-03-10,66
2011-03-15,137
2011-03-16,163
2011-03-18,115
2011-03-21,367
2011-03-22,156
2011-03-23,58
2011-03-24,171
2011-03-25,192
2011-03-28,183
2011-03-30,130
2011-03-31,74
2011-04-01,76
2011-04-08,120
2011-04-14,61
2011-04-15,79
2011-04-20,213
2011-04-21,369
2011-04-22,132
2011-04-25,147
2011-04-27,57
2011-04-28,84
2011-04-29,90
2011-05-06,150
2011-05-13,98
2011-05-18,151
2011-05-19,85
2011-05-20,222
2011-05-23,347
2011-05-24,206
2011-05-25,210
2011-05-26,54
2011-05-27,63
2011-05-31,75
2011-06-01,89
2011-06-09,73
2011-06-10,109
2011-06-15,63
2011-06-17,98
2011-06-20,66
2011-06-21,240
2011-06-22,179
2011-06-23,348
2011-06-24,273
2011-06-28,86
2011-06-30,76
2011-07-01,134
2011-07-08,108
2011-07-12,65
2011-07-13,92
2011-07-19,127
2011-07-20,301
2011-07-21,335
2011-07-22,303
2011-07-25,200
2011-07-28,75
2011-08-01,96
2011-08-05,160
2011-08-16,63
2011-08-18,71
2011-08-19,143
2011-08-22,555
2011-08-23,111
2011-08-24,170
2011-08-25,164
2011-08-26,120
2011-08-31,73
2011-09-01,119
2011-09-09,144
2011-09-12,104
2011-09-14,51
2011-09-16,77
2011-09-19,119
2011-09-20,150
2011-09-21,202
2011-09-22,50
2011-09-23,701
2011-09-28,74
2011-09-29,69
2011-09-30,92
2011-10-03,61
2011-10-07,208
2011-10-11,53
2011-10-18,91
2011-10-20,569
2011-10-21,307
2011-10-24,136
2011-10-25,171
2011-10-26,96
2011-10-27,88
2011-11-01,140
2011-11-04,182
2011-11-10,56
2011-11-14,50
2011-11-16,78
2011-11-17,65
2011-11-18,267
2011-11-21,485
2011-11-22,74
2011-11-23,270
2011-11-25,121
2011-11-28,50
2011-11-30,131
2011-12-01,133
2011-12-09,181
2011-12-15,75
2011-12-16,54
2011-12-20,275
2011-12-21,142
2011-12-22,626
2011-12-23,254
2011-12-28,78
2011-12-30,61
2012-01-03,56
2012-01-06,122
2012-01-13,63
2012-01-18,117
2012-01-19,134
2012-01-20,242
2012-01-23,495
2012-01-24,152
2012-01-25,125
2012-01-26,54
2012-01-27,92
2012-01-31,87
2012-02-01,95
2012-02-03,153
2012-02-08,70
2012-02-14,57
2012-02-17,91
2012-02-21,471
2012-02-22,235
2012-02-23,158
2012-02-24,254
2012-02-27,85
2012-02-29,140
2012-03-01,110
2012-03-09,188
2012-03-13,149
2012-03-14,152
2012-03-15,87
2012-03-16,88
2012-03-20,202
2012-03-21,58
2012-03-22,381
2012-03-23,321
2012-03-28,73
2012-03-30,130
2012-04-02,63
2012-04-05,164
2012-04-11,58
2012-04-12,68
2012-04-13,69
2012-04-19,213
2012-04-20,272
2012-04-23,365
2012-04-24,152
2012-04-25,183
2012-04-26,79
2012-05-01,108
2012-05-03,102
2012-05-04,72
2012-05-09,55
2012-05-15,68
2012-05-16,85
2012-05-17,72
2012-05-18,142
2012-05-21,547
2012-05-22,106
2012-05-24,158
2012-05-25,154
2012-05-31,123
2012-06-01,65
2012-06-05,71
2012-06-07,128
2012-06-08,91
2012-06-15,103
2012-06-18,105
2012-06-19,139
2012-06-20,209
2012-06-21,471
2012-06-22,180
2012-06-25,119
2012-06-27,50
2012-06-28,55
2012-06-29,118
2012-07-02,93
2012-07-05,120
2012-07-09,64
2012-07-12,68
2012-07-16,68
2012-07-18,78
2012-07-20,469
2012-07-23,423
2012-07-24,188
2012-07-25,168
2012-07-26,54
2012-08-01,155
2012-08-02,125
2012-08-09,50
2012-08-10,54
2012-08-16,60
2012-08-17,112
2012-08-20,273
2012-08-21,217
2012-08-23,413
2012-08-24,217
2012-08-29,87
2012-08-31,72
2012-09-04,86
2012-09-06,108
2012-09-07,84
2012-09-12,51
2012-09-13,50
2012-09-19,134
2012-09-20,698
2012-09-21,79
2012-09-24,176
2012-09-25,153
2012-09-26,55
2012-09-28,176
2012-10-01,100
2012-10-04,145
2012-10-05,58
2012-10-10,57
2012-10-12,74
2012-10-17,66
2012-10-19,271
2012-10-22,559
2012-10-23,53
2012-10-24,186
2012-10-25,168
2012-10-31,143
2012-11-01,105
2012-11-07,79
2012-11-09,148
2012-11-15,57
2012-11-16,68
2012-11-19,474
2012-11-20,310
2012-11-21,345
2012-11-23,81
2012-11-30,103
2012-12-03,127
2012-12-07,128
2012-12-12,96
2012-12-14,69
2012-12-17,56
2012-12-18,133
2012-12-19,293
2012-12-20,521
2012-12-21,258
2012-12-24,108
2012-12-28,73
2012-12-31,116
2013-01-02,77
2013-01-04,108
2013-01-09,106
2013-01-10,57
2013-01-11,58
2013-01-16,80
2013-01-18,167
2013-01-22,673
2013-01-23,142
2013-01-24,131
2013-01-25,185
2013-01-31,64
2013-02-01,185
2013-02-07,79
2013-02-08,209
2013-02-13,67
2013-02-15,50
2013-02-19,97
2013-02-20,317
2013-02-21,180
2013-02-22,549
2013-02-25,119
2013-02-28,75
2013-03-01,139
2013-03-07,56
2013-03-08,136
2013-03-13,134
2013-03-15,138
2013-03-19,134
2013-03-20,395
2013-03-21,371
2013-03-22,300
2013-03-25,211
2013-03-28,75
2013-03-29,80
2013-04-01,94
2013-04-03,50
2013-04-05,167
2013-04-09,56
2013-04-10,51
2013-04-11,60
2013-04-19,106
2013-04-22,461
2013-04-23,175
2013-04-24,153
2013-04-25,129
2013-04-30,119
2013-05-01,129
2013-05-03,169
2013-05-14,95
2013-05-20,268
2013-05-21,176
2013-05-22,499
2013-05-23,125
2013-05-24,182
2013-05-29,59
2013-05-31,119
2013-06-03,69
2013-06-06,87
2013-06-07,141
2013-06-12,87
2013-06-18,89
2013-06-19,91
2013-06-20,251
2013-06-21,276
2013-06-24,467
2013-06-25,92
2013-06-27,72
2013-06-28,53
2013-07-01,200
2013-07-05,116
2013-07-10,57
2013-07-12,82
2013-07-19,235
2013-07-22,501
2013-07-23,210
2013-07-24,233
2013-07-25,104
2013-07-31,65
2013-08-01,178
